Name,Center,Average,Std.dev
34341-Pss,Brown,8.9,0.3
34342-Pss,Demokritos,6.6,0.7
34343-Pss,Brown,8.3,0.5
34347-2S,Demokritos,8.4,0.4
34350-2S,Demokritos,9.3,0.3
34351-2S,Demokritos,8.71,0.4
34353-2S,Brown,8.2,0.2
34355_2S,Demokritos,8.5,0.3
34356_2S,Demokritos,7.29,0.3
34358_2S,Demokritos,8.85,0.3
