Name,Type,Average,Std.dev
35715,2S,-2.72,0.10
35716,2S,-2.23,0.11
35720,2S,-2.69,0.08
35721,2S,-2.77,0.09
35497,PS-p,-4.19,0.42
35498,PS-p,-4.63,0.24
35954,PS-s,-2.70,0.15
35955,PS-s,-2.58,0.11
36243,2S,-2.70,0.09
36244,2S,-2.82,0.08
36232,PS-p,-4.62,0.24
36233,PS-p,-4.59,0.26
36234,PS-p,-4.57,0.32
36235,PS-p,-4.33,0.48
36793,PS-s,-2.92,0.11
36794,PS-s,-2.086,0.1
37077,PS-s,-2.74,0.15
37078,PS-s,-2.73,0.12
37400,2S,-2.854,0.102
37401,2S,-2.442,0.099
37408,2S,-2.8,0.1
37897,2S,-2.75,0.08
37904,2S,-2.77,0.07
37905,2S,-2.87,0.12
38196,2S,-2.78,0.06
38199,2S,-2.65,0.07
38714,2S,-2.49,0.13
38715,2S,-2.6,0.24
38869,2S,-2.53,0.27
38870,2S,-2.84,0.07
