batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,T_UM
34252,PSS,EE,Brown,Right,20.0,20.019,48.873
34252,PSS,EE,Brown,Left,20.0,20.057,48.81
34252,PSS,WW,Brown,Left,20.0,20.097,52.373
34252,PSS,WW,Brown,Right,20.0,20.038,49.213
34252,PSS,EE,Brown,Left,20.0,20.079,49.122
34252,PSS,EE,Brown,Right,20.0,20.039,51.205
34252,PSS,WW,Brown,Left,20.0,20.049,50.045
34252,PSS,EE,Brown,Left,20.0,20.016,48.667
34252,PSS,EE,Brown,Right,20.0,20.003,49.507
34252,PSS,WW,Brown,Right,20.0,20.011,50.166
34252,PSS,WW,Brown,Left,20.0,20.057,51.645
34252,PSS,EE,Brown,Left,20.0,20.092,48.327
34252,PSS,WW,Brown,Right,20.0,20.014,49.344
34252,PSS,WW,Brown,Left,20.0,20.082,49.06
34252,PSS,EE,Brown,Left,20.0,20.116,48.265
34252,PSS,EE,Brown,Right,20.0,20.024,50.158
34252,PSS,WW,Brown,Left,20.0,20.142,50.798
34252,PSS,WW,Brown,Right,20.0,20.057,48.953
34252,PSS,EE,Brown,Left,20.0,20.081,49.081
34252,PSS,EE,Brown,Right,20.0,20.109,49.706
34252,PSS,WW,Brown,Left,20.0,20.11,51.342
34252,PSS,WW,Brown,Right,20.0,20.074,50.363
34252,PSS,EE,Brown,Left,20.0,20.02,51.27
34252,PSS,EE,Brown,Right,20.0,20.02,50.313
34252,PSS,WW,Brown,Left,20.0,20.055,51.209
34252,PSS,WW,Brown,Right,20.0,20.088,49.095
34252,PSS,EE,Brown,Right,20.0,20.116,46.109
34252,PSS,EE,Brown,Left,20.0,20.109,47.669
34252,PSS,WW,Brown,Left,20.0,20.108,49.22
34252,PSS,WW,Brown,Right,20.0,20.062,48.729
34252,PSS,EE,Brown,Right,20.0,20.073,50.708
34252,PSS,EE,Brown,Left,20.0,20.147,49.086
34252,PSS,WW,Brown,Right,20.0,20.046,66.082
34252,PSS,WW,Brown,Left,20.0,20.158,51.705
34252,PSS,EE,Brown,Left,20.0,20.169,50.041
34252,PSS,EE,Brown,Right,20.0,20.146,68.537
34252,PSS,WW,Brown,Left,20.0,20.143,50.536
34252,PSS,WW,Brown,Right,20.0,20.083,65.226
34252,PSS,EE,Brown,Right,20.0,20.018,51.025
34252,PSS,EE,Brown,Left,20.0,20.087,50.451
34252,PSS,WW,Brown,Right,20.0,20.042,53.115
34252,PSS,WW,Brown,Left,20.0,20.111,50.785
34252,PSS,EE,Brown,Right,20.0,20.071,55.489
34252,PSS,EE,Brown,Left,20.0,20.062,51.391
34252,PSS,WW,Brown,Right,20.0,20.043,39.374
34252,PSS,WW,Brown,Left,20.0,20.045,51.535
34252,PSS,EE,Brown,Right,20.0,20.099,61.136
34252,PSS,EE,Brown,Left,20.0,20.078,49.903
34252,PSS,WW,Brown,Right,20.0,20.027,50.623
34252,PSS,WW,Brown,Left,20.0,20.085,50.861
34252,PSS,EE,Brown,Right,20.0,20.061,52.038
34252,PSS,EE,Brown,Left,20.0,20.102,50.77
