ID,KIND_OF_CONDITION_ID,KIND_OF_CONDITION,CONDITION_DATA_SET_ID,KIND_OF_PART_ID,KIND_OF_PART,PART_ID,PART_NAME_LABEL,VTH_V,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
21841830,9160,Tracker Halfmoon TC Parameters,2046497,7500,PS-s Halfmoon W,26241,34252_007_PSS_HM_WW,4.208,PQC2,GCD,Not Used,Left,GCD,PQC_HM_POSITION 2,0.01,,,,20.0,20.107,Test_HPK_VPX34252_007_PSS_HM_WW_West_South_PQC2_GCD_GCD_IV_Run01_08_31_2020_05_06_17_PM.txt,Brown
21936164,9160,Tracker Halfmoon TC Parameters,2049779,7500,PS-s Halfmoon W,26241,34252_007_PSS_HM_WW,4.417,PQC2,GCD,Not Used,Left,GCD,PQC_HM_POSITION 2,0.01,,,,20.0,20.107,Test_HPK_VPX34252_007_PSS_HM_WW_West_South_PQC2_GCD_GCD_IV_Run01_08_31_2020_05_06_17_PM.txt,Brown
21841823,9160,Tracker Halfmoon TC Parameters,2045963,7480,PS-s Halfmoon E,26242,34252_008_PSS_HM_EE,4.331,PQC3,VDP_BULK,Rotated,Right,VdP-bulk,PQC_HM_POSITION 3,0.5,,,,20.0,20.083,Test_HPK_VPX34252_008_PSS_HM_EE_East_South_PQC3_VdP-bulk_VDPBulk_r_Run01_08_31_2020_11_59_23_AM.txt,Brown
21886118,9160,Tracker Halfmoon TC Parameters,2049164,7480,PS-s Halfmoon E,26242,34252_008_PSS_HM_EE,4.309,PQC3,VDP_BULK,Rotated,Right,VdP-bulk,PQC_HM_POSITION 3,0.5,,,,20.0,20.083,Test_HPK_VPX34252_008_PSS_HM_EE_East_South_PQC3_VdP-bulk_VDPBulk_r_Run01_08_31_2020_11_59_23_AM.txt,Brown
21936171,9160,Tracker Halfmoon TC Parameters,2050235,7500,PS-s Halfmoon W,26247,34252_008_PSS_HM_WW,4.218,PQC3,VDP_EDGE,Rotated,Right,VdP-pPlus,PQC_HM_POSITION 4,0.2,,,,20.0,20.046,Test_HPK_VPX34252_008_PSS_HM_WW_West_North_PQC3_VdP-pPlus_VDPEdge_r_Run01_08_31_2020_02_05_35_PM.txt,Brown
21841839,9160,Tracker Halfmoon TC Parameters,2047202,7500,PS-s Halfmoon W,26247,34252_008_PSS_HM_WW,4.425,PQC3,VDP_EDGE,Rotated,Right,VdP-pPlus,PQC_HM_POSITION 4,0.2,,,,20.0,20.046,Test_HPK_VPX34252_008_PSS_HM_WW_West_North_PQC3_VdP-pPlus_VDPEdge_r_Run01_08_31_2020_02_05_35_PM.txt,Brown
21886102,9160,Tracker Halfmoon TC Parameters,2047637,7480,PS-s Halfmoon E,26248,34252_009_PSS_HM_EE,4.324,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 1,0.2,,,,20.0,20.042,Test_HPK_VPX34252_009_PSS_HM_EE_East_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_09_03_2020_03_54_36_PM.txt,Brown
21886112,9160,Tracker Halfmoon TC Parameters,2048633,7480,PS-s Halfmoon E,26248,34252_009_PSS_HM_EE,4.314,PQC4,CC_STRIP,Not Used,Right,ContactChain-Strip,PQC_HM_POSITION 1,0.2,,,,20.0,20.042,Test_HPK_VPX34252_009_PSS_HM_EE_East_South_PQC4_ContactChain-Strip_CCStrip_IV_Run01_09_03_2020_03_54_36_PM.txt,Brown
21936161,9160,Tracker Halfmoon TC Parameters,2049581,7500,PS-s Halfmoon W,26253,34252_009_PSS_HM_WW,4.397,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 2,3.0,10000.0,0.25,0.185,20.0,20.05,Test_HPK_VPX34252_009_PSS_HM_WW_West_South_PQC3_DiodeCV_DiodeHalf_CV_Run01_09_04_2020_07_30_32_PM.txt,Brown
21886103,9160,Tracker Halfmoon TC Parameters,2047730,7500,PS-s Halfmoon W,26253,34252_009_PSS_HM_WW,4.205,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 2,3.0,10000.0,0.25,0.185,20.0,20.05,Test_HPK_VPX34252_009_PSS_HM_WW_West_South_PQC3_DiodeCV_DiodeHalf_CV_Run01_09_04_2020_07_30_32_PM.txt,Brown
21886116,9160,Tracker Halfmoon TC Parameters,2048939,7480,PS-s Halfmoon E,26254,34252_010_PSS_HM_EE,4.336,PQC2,GCD,Not Used,Left,GCD,PQC_HM_POSITION 3,0.01,,,,20.0,20.079,Test_HPK_VPX34252_010_PSS_HM_EE_East_North_PQC2_GCD_GCD_IV_Run01_09_04_2020_08_33_01_PM.txt,Brown
21886107,9160,Tracker Halfmoon TC Parameters,2048231,7480,PS-s Halfmoon E,26254,34252_010_PSS_HM_EE,4.309,PQC2,GCD,Not Used,Left,GCD,PQC_HM_POSITION 3,0.01,,,,20.0,20.079,Test_HPK_VPX34252_010_PSS_HM_EE_East_North_PQC2_GCD_GCD_IV_Run01_09_04_2020_08_33_01_PM.txt,Brown
