batch_number,Type,Orientation,PART_ID,PART_NAME_LABEL,VTH_V,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34252,PSS,WW,26217,34252_003_PSS_HM_WW,4.378,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.05,Test_HPK_VPX34252_003_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run01_08_13_2020_07_17_24_PM.txt,Brown
34252,PSS,WW,26217,34252_003_PSS_HM_WW,4.165,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.03,Test_HPK_VPX34252_003_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_08_17_2020_12_19_07_PM.txt,Brown
34252,PSS,EE,26218,34252_004_PSS_HM_EE,4.382,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.045,Test_HPK_VPX34252_004_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_08_17_2020_01_47_13_PM.txt,Brown
34252,PSS,EE,26218,34252_004_PSS_HM_EE,4.37,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.008,Test_HPK_VPX34252_004_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run03_08_14_2020_03_24_21_PM.txt,Brown
34252,PSS,WW,26223,34252_004_PSS_HM_WW,4.449,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.187,Test_HPK_VPX34252_004_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run01_08_14_2020_05_20_05_PM.txt,Brown
34252,PSS,WW,26223,34252_004_PSS_HM_WW,4.272,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.078,Test_HPK_VPX34252_004_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_08_17_2020_03_30_44_PM.txt,Brown
34252,PSS,EE,26236,34252_007_PSS_HM_EE,4.395,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.002,Test_HPK_VPX34252_007_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run01_08_27_2020_05_31_49_PM.txt,Brown
34252,PSS,EE,26236,34252_007_PSS_HM_EE,4.387,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.095,Test_HPK_VPX34252_007_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_08_31_2020_02_59_32_PM.txt,Brown
34252,PSS,WW,26241,34252_007_PSS_HM_WW,4.208,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.112,Test_HPK_VPX34252_007_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_08_31_2020_04_26_45_PM.txt,Brown
34252,PSS,WW,26241,34252_007_PSS_HM_WW,4.417,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.087,Test_HPK_VPX34252_007_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run01_08_28_2020_02_09_05_PM.txt,Brown
34252,PSS,EE,26242,34252_008_PSS_HM_EE,4.331,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.095,Test_HPK_VPX34252_008_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_09_01_2020_02_26_58_PM.txt,Brown
34252,PSS,EE,26242,34252_008_PSS_HM_EE,4.309,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.102,Test_HPK_VPX34252_008_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run02_08_31_2020_01_04_32_PM.txt,Brown
34252,PSS,WW,26247,34252_008_PSS_HM_WW,4.425,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.093,Test_HPK_VPX34252_008_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run01_08_31_2020_01_23_31_PM.txt,Brown
34252,PSS,WW,26247,34252_008_PSS_HM_WW,4.218,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.092,Test_HPK_VPX34252_008_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_09_01_2020_04_02_44_PM.txt,Brown
34252,PSS,EE,26248,34252_009_PSS_HM_EE,4.324,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.003,Test_HPK_VPX34252_009_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_09_04_2020_05_11_14_PM.txt,Brown
34252,PSS,EE,26248,34252_009_PSS_HM_EE,4.314,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.017,Test_HPK_VPX34252_009_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run01_09_03_2020_02_27_28_PM.txt,Brown
34252,PSS,WW,26253,34252_009_PSS_HM_WW,4.205,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.012,Test_HPK_VPX34252_009_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_09_04_2020_06_29_54_PM.txt,Brown
34252,PSS,WW,26253,34252_009_PSS_HM_WW,4.397,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.087,Test_HPK_VPX34252_009_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run01_09_03_2020_04_38_50_PM.txt,Brown
34252,PSS,EE,26254,34252_010_PSS_HM_EE,4.309,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.041,Test_HPK_VPX34252_010_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_09_04_2020_07_52_48_PM.txt,Brown
34252,PSS,EE,26254,34252_010_PSS_HM_EE,4.336,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.062,Test_HPK_VPX34252_010_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run01_09_03_2020_06_01_12_PM.txt,Brown
34252,PSS,WW,26259,34252_010_PSS_HM_WW,4.236,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.075,Test_HPK_VPX34252_010_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_09_04_2020_09_16_14_PM.txt,Brown
34252,PSS,WW,26259,34252_010_PSS_HM_WW,4.38,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.08,Test_HPK_VPX34252_010_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run01_09_03_2020_07_23_45_PM.txt,Brown
34252,PSS,EE,26260,34252_011_PSS_HM_EE,4.335,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.245,Test_HPK_VPX34252_011_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_09_02_2020_03_27_04_PM.txt,Brown
34252,PSS,EE,26260,34252_011_PSS_HM_EE,4.356,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.128,Test_HPK_VPX34252_011_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run01_09_01_2020_07_24_24_PM.txt,Brown
34252,PSS,WW,26265,34252_011_PSS_HM_WW,4.217,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.116,Test_HPK_VPX34252_011_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_09_02_2020_04_50_37_PM.txt,Brown
34252,PSS,EE,26266,34252_012_PSS_HM_EE,4.359,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.139,Test_HPK_VPX34252_012_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_09_02_2020_06_17_53_PM.txt,Brown
34252,PSS,EE,26266,34252_012_PSS_HM_EE,3.715,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.065,Test_HPK_VPX34252_012_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run01_09_02_2020_11_59_25_AM.txt,Brown
34252,PSS,WW,26271,34252_012_PSS_HM_WW,4.304,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.116,Test_HPK_VPX34252_012_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_09_02_2020_07_40_43_PM.txt,Brown
34252,PSS,WW,26271,34252_012_PSS_HM_WW,3.477,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.089,Test_HPK_VPX34252_012_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run02_09_02_2020_01_58_01_PM.txt,Brown
34252,PSS,EE,26284,34252_015_PSS_HM_EE,4.318,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.112,Test_HPK_VPX34252_015_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run01_08_25_2020_05_03_35_PM.txt,Brown
34252,PSS,EE,26284,34252_015_PSS_HM_EE,4.367,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.054,Test_HPK_VPX34252_015_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_08_26_2020_02_53_53_PM.txt,Brown
34252,PSS,WW,26289,34252_015_PSS_HM_WW,4.227,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.081,Test_HPK_VPX34252_015_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_08_26_2020_04_26_16_PM.txt,Brown
34252,PSS,WW,26289,34252_015_PSS_HM_WW,4.387,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.028,Test_HPK_VPX34252_015_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run01_08_25_2020_06_44_24_PM.txt,Brown
34252,PSS,EE,26290,34252_016_PSS_HM_EE,4.298,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.045,Test_HPK_VPX34252_016_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run01_08_26_2020_11_21_26_AM.txt,Brown
34252,PSS,EE,26290,34252_016_PSS_HM_EE,4.264,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.034,Test_HPK_VPX34252_016_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_08_27_2020_12_09_00_PM.txt,Brown
34252,PSS,WW,26295,34252_016_PSS_HM_WW,4.329,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.056,Test_HPK_VPX34252_016_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run01_08_26_2020_01_15_26_PM.txt,Brown
34252,PSS,WW,26295,34252_016_PSS_HM_WW,4.141,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.072,Test_HPK_VPX34252_016_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_08_27_2020_01_53_14_PM.txt,Brown
34252,PSS,EE,26308,34252_019_PSS_HM_EE,4.243,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.08,Test_HPK_VPX34252_019_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_08_20_2020_03_37_16_PM.txt,Brown
34252,PSS,EE,26308,34252_019_PSS_HM_EE,4.298,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.018,Test_HPK_VPX34252_019_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run01_08_19_2020_03_28_05_PM.txt,Brown
34252,PSS,WW,26313,34252_019_PSS_HM_WW,4.163,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.075,Test_HPK_VPX34252_019_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_08_20_2020_05_04_14_PM.txt,Brown
34252,PSS,WW,26313,34252_019_PSS_HM_WW,4.342,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.085,Test_HPK_VPX34252_019_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run01_08_19_2020_05_45_26_PM.txt,Brown
34252,PSS,EE,26314,34252_020_PSS_HM_EE,4.331,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.014,Test_HPK_VPX34252_020_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run01_08_20_2020_11_35_13_AM.txt,Brown
34252,PSS,EE,26314,34252_020_PSS_HM_EE,4.315,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.041,Test_HPK_VPX34252_020_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_08_21_2020_05_53_26_PM.txt,Brown
34252,PSS,WW,26319,34252_020_PSS_HM_WW,4.352,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.036,Test_HPK_VPX34252_020_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run01_08_20_2020_01_39_29_PM.txt,Brown
34252,PSS,WW,26319,34252_020_PSS_HM_WW,4.255,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.432,Test_HPK_VPX34252_020_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run03_08_24_2020_05_29_19_PM.txt,Brown
34332,2S,EE,28280,34332_001_2-S_HM_EE,4.088,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_001_2-S_HM_E_flute1_R_FET_25_9_2020_16h51m17s.txt,Perugia
34332,2S,EE,28280,34332_001_2-S_HM_EE,4.069,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_001_2-S_HM_E_flute1_L_FET_25_9_2020_14h56m54s.txt,Perugia
34332,2S,WW,28283,34332_001_2-S_HM_WW,4.032,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_001_2-S_HM_W_flute1_R_FET_24_9_2020_11h29m49s.txt,Perugia
34332,2S,WW,28283,34332_001_2-S_HM_WW,3.81,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_001_2-S_HM_W_flute1_L_FET_24_9_2020_9h54m56s.txt,Perugia
34332,2S,EE,28300,34332_006_2-S_HM_EE,4.126,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_006_2-S_HM_E_flute1_R_FET_25_9_2020_12h29m45s.txt,Perugia
34332,2S,EE,28300,34332_006_2-S_HM_EE,4.132,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_006_2-S_HM_E_flute1_L_FET_25_9_2020_11h19m3s.txt,Perugia
34332,2S,WW,28303,34332_006_2-S_HM_WW,4.141,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_006_2-S_HM_W_flute1_R_FET_25_9_2020_10h36m25s.txt,Perugia
34332,2S,WW,28303,34332_006_2-S_HM_WW,3.974,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_006_2-S_HM_W_flute1_L_FET_25_9_2020_9h5m31s.txt,Perugia
34332,2S,EE,28312,34332_009_2-S_HM_EE,4.127,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_009_2-S_HM_E_flute1_R_FET_19_10_2020_9h0m36s.txt,Perugia
34332,2S,EE,28312,34332_009_2-S_HM_EE,4.134,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_009_2-S_HM_E_flute1_L_FET_19_10_2020_10h51m58s.txt,Perugia
34332,2S,WW,28315,34332_009_2-S_HM_WW,3.983,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_009_2-S_HM_W_flute1_L_FET_19_10_2020_12h51m23s.txt,Perugia
34332,2S,WW,28315,34332_009_2-S_HM_WW,4.091,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_009_2-S_HM_W_flute1_R_FET_19_10_2020_13h49m12s.txt,Perugia
34332,2S,EE,28320,34332_011_2-S_HM_EE,4.054,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_011_2-S_HM_E_flute1_L_FET_28_9_2020_11h35m27s.txt,Perugia
34332,2S,EE,28320,34332_011_2-S_HM_EE,4.088,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_011_2-S_HM_E_flute1_R_FET_28_9_2020_13h5m31s.txt,Perugia
34332,2S,WW,28323,34332_011_2-S_HM_WW,4.058,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_011_2-S_HM_W_flute1_R_FET_28_9_2020_15h9m26s.txt,Perugia
34332,2S,WW,28323,34332_011_2-S_HM_WW,3.931,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_011_2-S_HM_W_flute1_L_FET_28_9_2020_14h38m13s.txt,Perugia
34332,2S,EE,28344,34332_017_2-S_HM_EE,4.034,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_017_2-S_HM_E_flute1_L_FET_29_9_2020_8h55m5s.txt,Perugia
34332,2S,EE,28344,34332_017_2-S_HM_EE,4.045,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_017_2-S_HM_E_flute1_R_FET_29_9_2020_10h32m14s.txt,Perugia
34332,2S,WW,28347,34332_017_2-S_HM_WW,3.925,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_017_2-S_HM_W_flute1_L_FET_28_9_2020_17h26m21s.txt,Perugia
34332,2S,WW,28347,34332_017_2-S_HM_WW,4.017,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_017_2-S_HM_W_flute1_R_FET_28_9_2020_18h50m32s.txt,Perugia
34332,2S,EE,28364,34332_024_2-S_HM_EE,3.972,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_024_2-S_HM_E_flute1_L_FET_29_9_2020_13h41m8s.txt,Perugia
34332,2S,EE,28364,34332_024_2-S_HM_EE,3.962,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_024_2-S_HM_E_flute1_R_FET_29_9_2020_15h25m57s.txt,Perugia
34332,2S,WW,28367,34332_024_2-S_HM_WW,3.962,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_024_2-S_HM_W_flute1_R_FET_29_9_2020_12h6m22s.txt,Perugia
34332,2S,WW,28367,34332_024_2-S_HM_WW,3.915,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_024_2-S_HM_W_flute1_L_FET_29_9_2020_12h36m10s.txt,Perugia
34332,2S,EE,28388,34332_031_2-S_HM_EE,4.1,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_031_2-S_HM_E_flute1_R_FET_29_9_2020_17h6m32s.txt,Perugia
34332,2S,WW,28391,34332_031_2-S_HM_WW,4.16,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_031_2-S_HM_W_flute1_R_FET_30_9_2020_11h14m36s.txt,Perugia
34332,2S,WW,28391,34332_031_2-S_HM_WW,3.821,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_031_2-S_HM_W_flute1_L_FET_30_9_2020_8h56m47s.txt,Perugia
34332,2S,EE,28412,34332_038_2-S_HM_EE,4.171,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_038_2-S_HM_E_flute1_R_FET_30_9_2020_13h10m42s.txt,Perugia
34332,2S,EE,28412,34332_038_2-S_HM_EE,4.171,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_038_2-S_HM_E_flute1_L_FET_30_9_2020_11h59m26s.txt,Perugia
34332,2S,WW,28415,34332_038_2-S_HM_WW,3.931,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_038_2-S_HM_W_flute1_L_FET_30_9_2020_15h10m39s.txt,Perugia
34332,2S,WW,28415,34332_038_2-S_HM_WW,4.133,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_038_2-S_HM_W_flute1_R_FET_30_9_2020_16h57m15s.txt,Perugia
34332,2S,EE,28432,34332_044_2-S_HM_EE,4.106,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_044_2-S_HM_E_flute1_L_FET_1_10_2020_11h54m4s.txt,Perugia
34332,2S,EE,28432,34332_044_2-S_HM_EE,4.132,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_044_2-S_HM_E_flute1_R_FET_5_10_2020_9h3m45s.txt,Perugia
34332,2S,WW,28435,34332_044_2-S_HM_WW,3.675,PQC1,FET_2S,Not Used,Left,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_044_2-S_HM_W_flute1_L_FET_1_10_2020_8h56m30s.txt,Perugia
34332,2S,WW,28435,34332_044_2-S_HM_WW,4.098,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_044_2-S_HM_W_flute1_R_FET_1_10_2020_11h1m26s.txt,Perugia
34332,2S,EE,28448,34332_049_2-S_HM_EE,4.085,PQC1,FET_2S,Not Used,Right,FET1,PQC_HM_POSITION 1,0.5,,,,20.0,20.0,HPK_34332_049_2-S_HM_E_flute1_R_FET_5_10_2020_10h29m59s.txt,Perugia
