batch_number,Type,Orientation,PART_ID,PART_NAME_LABEL,VTH_V,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34252,PSS,EE,26200,34252_001_PSS_HM_EE,4.378,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.027,Test_HPK_VPX34252_001_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run02_08_10_2020_04_15_52_PM.txt,Brown
34252,PSS,EE,26200,34252_001_PSS_HM_EE,4.336,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.073,Test_HPK_VPX34252_001_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_08_12_2020_12_52_20_PM.txt,Brown
34252,PSS,WW,26205,34252_001_PSS_HM_WW,4.435,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.02,Test_HPK_VPX34252_001_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run01_08_11_2020_02_31_12_PM.txt,Brown
34252,PSS,WW,26205,34252_001_PSS_HM_WW,4.261,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 2,0.01,,,,20.0,20.073,Test_HPK_VPX34252_001_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_08_12_2020_02_18_54_PM.txt,Brown
34252,PSS,EE,26206,34252_002_PSS_HM_EE,4.345,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.071,Test_HPK_VPX34252_002_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run01_08_11_2020_04_35_59_PM.txt,Brown
34252,PSS,EE,26206,34252_002_PSS_HM_EE,4.33,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 3,0.01,,,,20.0,20.067,Test_HPK_VPX34252_002_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_08_12_2020_04_15_18_PM.txt,Brown
34252,PSS,WW,26211,34252_002_PSS_HM_WW,4.355,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.03,Test_HPK_VPX34252_002_PSS_HM_WW_West_North_PQC1_FET1_FETPSs_trans_Run01_08_11_2020_06_24_33_PM.txt,Brown
34252,PSS,WW,26211,34252_002_PSS_HM_WW,4.196,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 4,0.01,,,,20.0,20.093,Test_HPK_VPX34252_002_PSS_HM_WW_West_South_PQC1_FET1_FETPSs_trans_Run01_08_12_2020_06_42_59_PM.txt,Brown
34252,PSS,EE,26212,34252_003_PSS_HM_EE,4.336,PQC1,FET_PSS,Not Used,Left,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.02,Test_HPK_VPX34252_003_PSS_HM_EE_East_North_PQC1_FET1_FETPSs_trans_Run01_08_17_2020_10_21_13_AM.txt,Brown
34252,PSS,EE,26212,34252_003_PSS_HM_EE,4.358,PQC1,FET_PSS,Not Used,Right,FET1,PQC_HM_POSITION 1,0.01,,,,20.0,20.019,Test_HPK_VPX34252_003_PSS_HM_EE_East_South_PQC1_FET1_FETPSs_trans_Run01_08_13_2020_04_51_13_PM.txt,Brown
