batch_number,Average,std
34252,4.2896363636363635,0.15539166330137874
34254,4.038803571428572,0.042983049362132646
34331,4.098325,0.03896309068717997
34332,4.031717948717948,0.11334366667189161
34340,3.95135,0.03949978902897252
34341,3.815925,0.08329693179315716
34343,4.00955,0.0685991515234962
34346,3.809421052631579,0.07736422512112266
34348,3.611,0.6524620040022766
34352,3.9734444444444446,0.35620140076717405
34353,4.0594375,0.055770808354516095
34354,3.807022727272727,0.08354207647183678
34357,3.9861290322580647,0.41307793791934583
34359,3.8691071428571426,0.3158950059147892
35494,2.3679318181818183,0.5855690972990282
35495,2.335166666666667,0.9762443927038528
35496,2.4479354838709675,0.18472627235703298
35499,2.46285,0.20881945950190237
35500,2.4698214285714286,0.21078935484602185
35501,2.576,0.20524475001180273
35713,3.8222,0.07909054485660263
35714,3.5811052631578946,0.705903744662335
35717,4.14515,0.10629604281415521
35718,4.156125,0.17543419737524274
35719,4.064,0.05309543294860661
35722,4.165916666666667,0.5445583704623219
35952,3.845357142857143,0.09924463388263047
35953,3.5749333333333335,0.46597927535188877
35957,3.95659375,0.047470098822922836
35958,4.0639375,0.15837052053394762
35959,4.010923076923077,0.13378756984919726
35960,3.8473076923076923,0.04162477073163933
35961,3.8595172413793106,0.24066449982877103
35962,3.8354642857142855,0.07573173029546448
35963,3.8838,0.09494484228710416
36236,3.8129666666666666,0.09552919154259387
36237,3.8944411764705884,0.4034871625892595
36238,4.0387352941176475,0.05353407797334636
36239,3.7874166666666667,0.09067712269205581
36240,3.7783333333333338,0.35110814222434644
36241,4.0318,0.16026412410044927
36245,4.180013157894737,0.1277973910449459
36246,4.072615384615385,0.18921502623694073
36696,3.914807692307692,0.09162584584025762
36697,4.182855263157895,0.6103373865646741
36698,3.86365,0.07905579308977063
36699,3.781473684210526,0.0952443456595559
36700,3.938904761904762,0.2287179277542328
36701,3.75935,0.10390647363450421
36702,3.64028125,0.5378168674027464
36703,3.8063,0.0893370796092165
36704,4.034677419354839,0.18898578202195965
36705,4.061166666666667,0.08149173147535005
36706,3.68215,0.6263131279244643
36795,3.9632083333333337,0.19080606570584943
36796,4.15356,0.13277709390804818
36797,3.8003478260869565,0.272385023065722
36798,3.40284375,0.6234272966802399
36799,3.6607666666666665,0.1133455757417549
36800,3.71385,0.20957934686313665
36801,3.7424,0.0825114984012595
36802,3.84525,0.09790321482813628
36803,3.977787234042553,0.19582356035474713
37077,3.993694,0.0
37079,3.5181875,0.42491241744623104
37081,3.79505,0.3253785609021234
37083,3.816,0.11479708345759644
37084,2.9869285714285714,0.4100106528490881
37085,3.303,0.13148484380697031
37086,3.276653846153846,0.5406747271396988
37087,4.0566249999999995,0.06628057128929153
37088,4.191192307692308,0.1327593369163222
37398,3.9944166666666665,0.04772558940503465
37399,4.090458333333333,0.14744430906400666
37400,3.939650690140845,0.11378882663570815
37401,4.052573499999999,0.39926736001245544
37402,3.9611071428571427,0.0840345340324614
37403,3.7425283018867925,0.10019012767533253
37404,3.83215,0.17794576384897415
37405,3.906977272727273,0.09889564352724589
37406,3.9996666666666667,0.06537428471080392
37407,3.8746666666666667,0.08763842053359466
37408,4.0124215,0.10901117809776742
37895,4.13,0.10041479191226065
37896,4.04525,0.10276831265986897
37897,4.055281,0.08501378636804488
37898,3.355029411764706,0.6045231772529547
37899,4.40440625,0.1319633036418249
37900,3.773739130434783,0.0717009048955859
37901,3.920125,0.6993705438526101
37903,3.934214285714286,1.0980508777642
37904,4.043267999999999,0.2635730256149041
37905,3.720456,0.9633123585511792
37906,3.75084375,0.23295522335571195
37907,3.30225,0.6534543736337317
38194,3.748181818181818,0.09987117242853967
38195,3.9575600000000004,0.08334020638323372
38196,3.709731666666667,0.4446149360864708
38197,3.83753125,0.22187354497478376
38198,3.853909090909091,0.057289074481686866
38199,3.9935835000000006,0.2317783332200471
38200,3.92809375,0.10244254388869445
38201,3.68052,0.6074589231654544
38202,2.7929159562500003,1.3909561875710483
38212,4.153958333333333,0.12821703039790763
38213,3.784863636363636,0.11147594037004245
38691,3.69753125,0.08503129760612063
38693,4.216958333333333,0.057398287481396866
38694,3.9855416666666668,0.15340369565489534
38695,3.9289166666666664,0.07959020950641703
38696,3.2247666666666666,0.888564230629403
38711,3.7848333333333333,0.10740725692698669
38712,3.615423076923077,0.49652554198767446
38713,3.9939999999999998,0.07153229735732926
38714,4.18377947368421,0.22953286190467817
38715,4.143829,0.09809941208579666
38716,3.0058333333333334,1.0435806149981897
38868,3.7765,0.0781685523765482
38869,4.1507815789473685,0.07644154573290032
38870,4.3476815,0.06848931897326091
38871,4.3283125,0.06149452506445781
38872,4.376875,0.07401861786064373
38873,4.0219375,0.37660916412110834
38874,4.191599999999999,0.09229951245808424
38875,4.10175,0.3313524810027331
38876,4.364919090909091,0.058152768198005245
38877,4.094409090909091,0.2706305967798538
38878,4.0799375,0.05243671300689741
38879,4.31121875,0.100844733537543
38880,4.002166666666667,0.10241700261305439
38881,4.28829,0.1146644356372106
38882,4.761336842105263,0.20495341018150745
38883,4.3217565,0.08735439550143473
38884,4.522011,0.08474855824887627
38885,4.22628125,0.2218070424655208
38920,3.6302800000000004,0.25660370223361934
38921,1.7715185185185187,1.9359116590296552
38922,4.078916666666667,0.04447854066524806
