batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,VTH_V
34252,PSS,EE,Brown,Right,20.0,20.027,4.378
34252,PSS,EE,Brown,Left,20.0,20.073,4.336
34252,PSS,WW,Brown,Right,20.0,20.02,4.435
34252,PSS,WW,Brown,Left,20.0,20.073,4.261
34252,PSS,EE,Brown,Right,20.0,20.071,4.345
34252,PSS,EE,Brown,Left,20.0,20.067,4.33
34252,PSS,WW,Brown,Right,20.0,20.03,4.355
34252,PSS,WW,Brown,Left,20.0,20.093,4.196
34252,PSS,EE,Brown,Left,20.0,20.02,4.336
34252,PSS,EE,Brown,Right,20.0,20.019,4.358
34252,PSS,WW,Brown,Right,20.0,20.05,4.378
34252,PSS,WW,Brown,Left,20.0,20.03,4.165
34252,PSS,EE,Brown,Left,20.0,20.045,4.382
34252,PSS,EE,Brown,Right,20.0,20.008,4.37
34252,PSS,WW,Brown,Right,20.0,20.187,4.449
34252,PSS,WW,Brown,Left,20.0,20.078,4.272
34252,PSS,EE,Brown,Right,20.0,20.002,4.395
34252,PSS,EE,Brown,Left,20.0,20.095,4.387
34252,PSS,WW,Brown,Left,20.0,20.112,4.208
34252,PSS,WW,Brown,Right,20.0,20.087,4.417
34252,PSS,EE,Brown,Left,20.0,20.095,4.331
34252,PSS,EE,Brown,Right,20.0,20.102,4.309
34252,PSS,WW,Brown,Right,20.0,20.093,4.425
34252,PSS,WW,Brown,Left,20.0,20.092,4.218
34252,PSS,EE,Brown,Left,20.0,20.003,4.324
34252,PSS,EE,Brown,Right,20.0,20.017,4.314
34252,PSS,WW,Brown,Left,20.0,20.012,4.205
34252,PSS,WW,Brown,Right,20.0,20.087,4.397
34252,PSS,EE,Brown,Left,20.0,20.041,4.309
34252,PSS,EE,Brown,Right,20.0,20.062,4.336
34252,PSS,WW,Brown,Left,20.0,20.075,4.236
34252,PSS,WW,Brown,Right,20.0,20.08,4.38
34252,PSS,EE,Brown,Left,20.0,20.245,4.335
34252,PSS,EE,Brown,Right,20.0,20.128,4.356
34252,PSS,WW,Brown,Left,20.0,20.116,4.217
34252,PSS,EE,Brown,Left,20.0,20.139,4.359
34252,PSS,EE,Brown,Right,20.0,20.065,3.715
34252,PSS,WW,Brown,Left,20.0,20.116,4.304
34252,PSS,WW,Brown,Right,20.0,20.089,3.477
34252,PSS,EE,Brown,Right,20.0,20.112,4.318
34252,PSS,EE,Brown,Left,20.0,20.054,4.367
34252,PSS,WW,Brown,Left,20.0,20.081,4.227
34252,PSS,WW,Brown,Right,20.0,20.028,4.387
34252,PSS,EE,Brown,Right,20.0,20.045,4.298
34252,PSS,EE,Brown,Left,20.0,20.034,4.264
34252,PSS,WW,Brown,Right,20.0,20.056,4.329
34252,PSS,WW,Brown,Left,20.0,20.072,4.141
34252,PSS,EE,Brown,Left,20.0,20.08,4.243
34252,PSS,EE,Brown,Right,20.0,20.018,4.298
34252,PSS,WW,Brown,Left,20.0,20.075,4.163
34252,PSS,WW,Brown,Right,20.0,20.085,4.342
34252,PSS,EE,Brown,Right,20.0,20.014,4.331
34252,PSS,EE,Brown,Left,20.0,20.041,4.315
34252,PSS,WW,Brown,Right,20.0,20.036,4.352
34252,PSS,WW,Brown,Left,20.0,20.432,4.255
34332,2S,EE,Perugia,Right,20.0,20.0,4.088
34332,2S,EE,Perugia,Left,20.0,20.0,4.069
34332,2S,WW,Perugia,Right,20.0,20.0,4.032
34332,2S,WW,Perugia,Left,20.0,20.0,3.81
34332,2S,EE,Perugia,Right,20.0,20.0,4.126
