Name,Type,Average,Std.dev
35715,2S,34.67,0.13
35716,2S,34.57,0.18
35720,2S,34.69,0.17
35721,2S,34.41,0.18
35497,PS-p,34.84,0.20
35498,PS-p,35.24,0.12
35954,PS-s,35.45,0.18
35955,PS-s,35.32,0.19
36243,2S,34.66,0.10
36244,2S,34.51,0.12
36232,PS-p,35.07,0.36
36233,PS-p,34.49,0.20
36234,PS-p,34.79,0.16
36235,PS-p,34.72,0.12
36793,PS-s,34.82,0.21
36794,PS-s,34.59,0.16
37077,PS-s,34.75,0.2
37078,PS-s,34.85,0.2
37400,2S,34.76,0.13
37401,2S,34.71,0.15
37408,2S,34.57,0.18
37897,2S,34.69,0.27
37904,2S,34.24,0.22
37905,2S,34.51,0.25
38196,2S,34.89,0.15
38199,2S,34.75,0.15
38714,2S,34.69,0.28
38715,2S,34.79,0.15
38869,2S,34.48,0.19
38870,2S,34.76,0.2
