Name,Type,Average,Std.dev
35715,2S,33.95,0.21
35716,2S,33.94,0.19
35720,2S,33.74,0.28
35721,2S,33.94,0.20
35497,PS-p,34.39,0.14
35498,PS-p,34.54,0.29
35954,PS-s,34.24,0.13
35955,PS-s,34.04,0.23
36243,2S,33.85,0.21
36244,2S,33.02,3.98
36232,PS-p,34.47,0.36
36233,PS-p,34.28,0.22
36234,PS-p,34.21,0.46
36235,PS-p,34.28,0.20
36793,PS-s,33.95,0.21
36794,PS-s,33.73,0.20
37077,PS-s,34.12,0.19
37078,PS-s,33.93,0.39
37400,2S,33.79,0.24
37401,2S,33.59,0.36
37408,2S,33.82,0.2
37897,2S,33.81,0.32
37904,2S,33.76,0.47
37905,2S,33.79,0.29
38196,2S,33.84,0.16
38199,2S,33.68,0.3
38714,2S,33.78,0.57
38715,2S,33.72,0.31
38869,2S,33.62,0.22
38870,2S,33.75,0.31
