PART_NAME_LABEL,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34252_001_PSS_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 1,10.0,10000.0,0.05,,20.0,20.029,Test_HPK_VPX34252_001_PSS_HM_EE_East_North_PQC1_MOS_MOSQuarter_CV_Run01_08_12_2020_01_12_48_PM.txt,Brown
34252_001_PSS_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 2,10.0,10000.0,0.05,,20.0,20.074,Test_HPK_VPX34252_001_PSS_HM_WW_West_South_PQC1_MOS_MOSQuarter_CV_Run01_08_12_2020_02_39_16_PM.txt,Brown
34252_002_PSS_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 3,10.0,10000.0,0.05,,20.0,20.051,Test_HPK_VPX34252_002_PSS_HM_EE_East_North_PQC1_MOS_MOSQuarter_CV_Run01_08_12_2020_04_35_43_PM.txt,Brown
34252_002_PSS_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 3,10.0,10000.0,0.05,,20.0,20.052,Test_HPK_VPX34252_002_PSS_HM_EE_East_South_PQC1_MOS_MOSQuarter_CV_Run01_08_11_2020_04_56_10_PM.txt,Brown
34252_002_PSS_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.013,Test_HPK_VPX34252_002_PSS_HM_WW_West_South_PQC1_MOS_MOSQuarter_CV_Run03_08_13_2020_11_53_41_AM.txt,Brown
34252_002_PSS_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.018,Test_HPK_VPX34252_002_PSS_HM_WW_West_North_PQC1_MOS_MOSQuarter_CV_Run04_08_12_2020_11_27_43_AM.txt,Brown
34252_003_PSS_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 1,10.0,10000.0,0.05,,20.0,20.002,Test_HPK_VPX34252_003_PSS_HM_EE_East_North_PQC1_MOS_MOSQuarter_CV_Run01_08_17_2020_10_41_41_AM.txt,Brown
34252_003_PSS_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 2,10.0,10000.0,0.05,,20.0,20.029,Test_HPK_VPX34252_003_PSS_HM_WW_West_South_PQC1_MOS_MOSQuarter_CV_Run01_08_17_2020_12_39_29_PM.txt,Brown
34252_004_PSS_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 3,10.0,10000.0,0.05,,20.0,20.011,Test_HPK_VPX34252_004_PSS_HM_EE_East_South_PQC1_MOS_MOSQuarter_CV_Run02_08_14_2020_04_53_53_PM.txt,Brown
34252_004_PSS_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 3,10.0,10000.0,0.05,,20.0,20.061,Test_HPK_VPX34252_004_PSS_HM_EE_East_North_PQC1_MOS_MOSQuarter_CV_Run01_08_17_2020_02_07_39_PM.txt,Brown
34252_004_PSS_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.032,Test_HPK_VPX34252_004_PSS_HM_WW_West_South_PQC1_MOS_MOSQuarter_CV_Run02_08_17_2020_04_57_05_PM.txt,Brown
34252_004_PSS_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.004,Test_HPK_VPX34252_004_PSS_HM_WW_West_North_PQC1_MOS_MOSQuarter_CV_Run01_08_14_2020_05_40_30_PM.txt,Brown
34252_007_PSS_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 1,10.0,10000.0,0.05,,20.0,20.09,Test_HPK_VPX34252_007_PSS_HM_EE_East_North_PQC1_MOS_MOSQuarter_CV_Run01_08_31_2020_03_19_51_PM.txt,Brown
34252_007_PSS_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 2,10.0,10000.0,0.05,,20.0,20.125,Test_HPK_VPX34252_007_PSS_HM_WW_West_South_PQC1_MOS_MOSQuarter_CV_Run01_08_31_2020_04_46_54_PM.txt,Brown
34252_008_PSS_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 3,10.0,10000.0,0.05,,20.0,20.105,Test_HPK_VPX34252_008_PSS_HM_EE_East_South_PQC1_MOS_MOSQuarter_CV_Run03_08_31_2020_01_16_54_PM.txt,Brown
34252_008_PSS_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 3,10.0,10000.0,0.05,,20.0,20.045,Test_HPK_VPX34252_008_PSS_HM_EE_East_North_PQC1_MOS_MOSQuarter_CV_Run01_09_01_2020_02_47_18_PM.txt,Brown
34252_008_PSS_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.077,Test_HPK_VPX34252_008_PSS_HM_WW_West_South_PQC1_MOS_MOSQuarter_CV_Run01_09_01_2020_04_23_05_PM.txt,Brown
34252_008_PSS_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 4,10.0,10000.0,0.05,,20.0,20.044,Test_HPK_VPX34252_008_PSS_HM_WW_West_North_PQC1_MOS_MOSQuarter_CV_Run02_08_31_2020_02_48_09_PM.txt,Brown
34252_009_PSS_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 1,10.0,10000.0,0.05,,20.0,20.006,Test_HPK_VPX34252_009_PSS_HM_EE_East_South_PQC1_MOS_MOSQuarter_CV_Run01_09_03_2020_02_47_42_PM.txt,Brown
34252_009_PSS_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 1,10.0,10000.0,0.05,,20.0,20.005,Test_HPK_VPX34252_009_PSS_HM_EE_East_North_PQC1_MOS_MOSQuarter_CV_Run01_09_04_2020_05_31_56_PM.txt,Brown
34252_009_PSS_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS,PQC_HM_POSITION 2,10.0,10000.0,0.05,,20.0,20.072,Test_HPK_VPX34252_009_PSS_HM_WW_West_North_PQC1_MOS_MOSQuarter_CV_Run01_09_03_2020_04_59_04_PM.txt,Brown
34252_010_PSS_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS,PQC_HM_POSITION 3,10.0,10000.0,0.05,,20.0,20.036,Test_HPK_VPX34252_010_PSS_HM_EE_East_North_PQC1_MOS_MOSQuarter_CV_Run02_09_08_2020_03_06_32_PM.txt,Brown
