batch_number,Type,NOX,Location,KIND_OF_HM_SET_ID
34353,2-S,80482500000.0,Brown,Left
34353,2-S,81566830000.0,Brown,Right
34353,2-S,82869000000.0,Brown,Left
34353,2-S,83167320000.0,Brown,Right
34353,2-S,84903060000.0,Brown,Right
34353,2-S,84054890000.0,Brown,Right
34353,2-S,85179910000.0,Brown,Right
34353,2-S,82143470000.0,Brown,Left
34353,2-S,85374820000.0,Brown,Right
34353,2-S,84465330000.0,Brown,Right
34353,2-S,86070020000.0,Brown,Right
34353,2-S,84964930000.0,Brown,Right
34353,2-S,80669400000.0,Brown,Left
34353,2-S,77644670000.0,Brown,Left
34353,2-S,79410120000.0,Brown,Right
34353,2-S,75797620000.0,Brown,Left
34353,2-S,79968620000.0,Brown,Right
34353,2-S,80228240000.0,Brown,Right
34353,2-S,80427920000.0,Brown,Left
34353,2-S,81605950000.0,Brown,Right
34353,2-S,78990710000.0,Brown,Right
34353,2-S,80729120000.0,Brown,Right
34353,2-S,78853630000.0,Brown,Right
34353,2-S,81162190000.0,Brown,Right
34353,2-S,80911950000.0,Brown,Right
34353,2-S,83259190000.0,Brown,Right
34353,2-S,80312900000.0,Brown,Right
34353,2-S,83126450000.0,Brown,Right
34353,2-S,83162530000.0,Brown,Right
34353,2-S,84042960000.0,Brown,Right
34353,2-S,83119820000.0,Brown,Right
34353,2-S,83835610000.0,Brown,Right
34354,2-S,79164340725.166,Perugia,Left
34354,2-S,77723646212.921,Perugia,Left
34354,2-S,80220825880.845,Perugia,Left
34354,2-S,77615765912.464,Perugia,Left
34354,2-S,80568384934.522,Perugia,Left
34354,2-S,76468848010.956,Perugia,Left
34354,2-S,78256352985.845,Perugia,Left
34354,2-S,75650940695.863,Perugia,Left
34354,2-S,77899401043.9,Perugia,Left
34354,2-S,76580708110.715,Perugia,Left
34354,2-S,81777288293.635,Perugia,Left
34354,2-S,76551102060.469,Perugia,Left
34354,2-S,77950105994.692,Perugia,Left
34354,2-S,77020810981.496,Perugia,Left
34354,2-S,78095581915.251,Perugia,Left
34354,2-S,77138865980.951,Perugia,Left
34354,2-S,78054837250.864,Perugia,Left
34354,2-S,77922095202.642,Perugia,Left
34354,2-S,78028655185.165,Perugia,Left
34354,2-S,77414513631.892,Perugia,Left
34354,2-S,78252213239.85,Perugia,Left
34354,2-S,78474459656.635,Perugia,Left
34354,2-S,74406790483.562,Perugia,Left
34354,2-S,72812049496.299,Perugia,Left
34354,2-S,74010368251.752,Perugia,Left
34354,2-S,72897780259.502,Perugia,Left
34354,2-S,74508541325.927,Perugia,Left
34354,2-S,73824162858.743,Perugia,Left
34354,2-S,75122615419.506,Perugia,Left
34354,2-S,74479316589.495,Perugia,Left
34354,2-S,75105617369.851,Perugia,Left
34354,2-S,74066314708.921,Perugia,Left
34354,2-S,75584653850.075,Perugia,Left
34354,2-S,75746029109.548,Perugia,Left
34354,2-S,75543487690.144,Perugia,Left
34354,2-S,75255079639.124,Perugia,Left
34354,2-S,75953354761.839,Perugia,Left
34354,2-S,75507795488.198,Perugia,Left
34354,2-S,75629107567.227,Perugia,Left
34354,2-S,74864000099.479,Perugia,Left
34354,2-S,75788444421.638,Perugia,Left
