ID,KIND_OF_CONDITION_ID,KIND_OF_CONDITION,CONDITION_DATA_SET_ID,CHANNEL_ID,KIND_OF_PART_ID,KIND_OF_PART,PART_ID,PART_BARCODE,PART_SERIAL_NUMBER,PART_NAME_LABEL,VD_V,CMIN_PFRD,RHO_KOHMCM,NA,D_UM,VFB_V,CACC_PFRD,NOX,TOX_NM,CAC_PFRD,DOX_NM,VDPLNR_V,CMINPLNR_PFRD,RHOPLNR_KOHMCM,NAPLNR,DPLNR_UM
9408734,9140,Tracker Halfmoon CV Parameters,824638,,7400,2S Halfmoon E,28280,34332_001_2-S_HM_EE,,34332_001_2-S_HM_EE,,,,,,-3.005,,75943196342.592,,87.078,,,,,,
9460661,9140,Tracker Halfmoon CV Parameters,825967,,7400,2S Halfmoon E,28280,34332_001_2-S_HM_EE,,34332_001_2-S_HM_EE,,,,,,-2.991,,74124350616.054,,85.507,,,,,,
9430018,9140,Tracker Halfmoon CV Parameters,825469,,7420,2S Halfmoon W,28283,34332_001_2-S_HM_WW,,34332_001_2-S_HM_WW,,,,,,-3.015,,76084620015.198,,86.866,,,,,,
9408732,9140,Tracker Halfmoon CV Parameters,824623,,7420,2S Halfmoon W,28283,34332_001_2-S_HM_WW,,34332_001_2-S_HM_WW,,,,,,-3.021,,75012333180.364,,85.423,,,,,,
9408739,9140,Tracker Halfmoon CV Parameters,824932,,7400,2S Halfmoon E,28300,34332_006_2-S_HM_EE,,34332_006_2-S_HM_EE,,,,,,-2.976,,73477122378.95,,85.314,,,,,,
9408729,9140,Tracker Halfmoon CV Parameters,824560,,7400,2S Halfmoon E,28300,34332_006_2-S_HM_EE,,34332_006_2-S_HM_EE,,,,,,-2.984,,74765731586.193,,86.509,,,,,,
9446136,9140,Tracker Halfmoon CV Parameters,825907,,7420,2S Halfmoon W,28303,34332_006_2-S_HM_WW,,34332_006_2-S_HM_WW,,,,,,-2.984,,74424066725.679,,86.114,,,,,,
9430012,9140,Tracker Halfmoon CV Parameters,825358,,7420,2S Halfmoon W,28303,34332_006_2-S_HM_WW,,34332_006_2-S_HM_WW,,,,,,-2.983,,73719918686.012,,85.336,,,,,,
9430005,9140,Tracker Halfmoon CV Parameters,825157,,7400,2S Halfmoon E,28312,34332_009_2-S_HM_EE,,34332_009_2-S_HM_EE,,,,,,-2.977,,73404661009.415,,85.193,,,,,,
9446137,9140,Tracker Halfmoon CV Parameters,825913,,7400,2S Halfmoon E,28312,34332_009_2-S_HM_EE,,34332_009_2-S_HM_EE,,,,,,-2.984,,74824422959.672,,86.577,,,,,,
