batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,S0_CMSEC
34252,PSS,EE,Brown,Left,20.0,20.031,0.792
34252,PSS,EE,Brown,Right,20.0,20.004,0.767
34252,PSS,WW,Brown,Right,20.0,20.011,0.791
34252,PSS,WW,Brown,Left,20.0,20.067,0.772
34252,PSS,EE,Brown,Left,20.0,20.035,0.787
34252,PSS,EE,Brown,Right,20.0,20.045,0.719
34252,PSS,WW,Brown,Right,20.0,20.015,0.752
34252,PSS,WW,Brown,Left,20.0,20.012,0.742
34252,PSS,EE,Brown,Left,20.0,20.005,0.765
34252,PSS,EE,Brown,Right,20.0,20.003,0.75
34252,PSS,WW,Brown,Left,20.0,20.026,0.74
34252,PSS,WW,Brown,Right,20.0,20.002,0.772
34252,PSS,EE,Brown,Left,20.0,20.062,0.785
34252,PSS,EE,Brown,Right,20.0,20.006,0.76
34252,PSS,WW,Brown,Right,20.0,20.003,0.781
34252,PSS,WW,Brown,Left,20.0,20.052,0.744
34252,PSS,EE,Brown,Right,20.0,20.007,0.752
34252,PSS,EE,Brown,Left,20.0,20.087,0.77
34252,PSS,WW,Brown,Right,20.0,20.036,0.764
34252,PSS,WW,Brown,Left,20.0,20.107,0.759
34252,PSS,EE,Brown,Right,20.0,20.098,0.732
34252,PSS,EE,Brown,Left,20.0,20.054,0.789
34252,PSS,WW,Brown,Right,20.0,20.052,0.775
34252,PSS,WW,Brown,Left,20.0,20.074,0.754
34252,PSS,EE,Brown,Left,20.0,20.005,0.784
34252,PSS,EE,Brown,Right,20.0,20.097,0.733
34252,PSS,WW,Brown,Left,20.0,20.029,0.745
34252,PSS,WW,Brown,Right,20.0,20.062,0.777
34252,PSS,EE,Brown,Left,20.0,20.079,0.788
34252,PSS,EE,Brown,Right,20.0,20.099,0.762
34252,PSS,WW,Brown,Right,20.0,20.04,0.792
34252,PSS,WW,Brown,Left,20.0,20.076,0.758
34252,PSS,EE,Brown,Right,20.0,20.055,0.771
34252,PSS,EE,Brown,Left,20.0,20.111,0.777
34252,PSS,WW,Brown,Right,20.0,20.032,0.765
34252,PSS,WW,Brown,Left,20.0,20.123,0.76
34252,PSS,EE,Brown,Left,20.0,20.14,0.796
34252,PSS,EE,Brown,Right,20.0,20.11,0.767
34252,PSS,WW,Brown,Left,20.0,20.111,0.771
34252,PSS,WW,Brown,Right,20.0,20.064,0.759
34252,PSS,EE,Brown,Left,20.0,20.06,0.788
34252,PSS,EE,Brown,Right,20.0,20.004,0.783
34252,PSS,WW,Brown,Left,20.0,20.083,0.772
34252,PSS,WW,Brown,Right,20.0,20.023,0.798
34252,PSS,EE,Brown,Left,20.0,20.039,0.799
34252,PSS,EE,Brown,Right,20.0,20.056,0.783
34252,PSS,WW,Brown,Right,20.0,20.023,0.795
34252,PSS,WW,Brown,Left,20.0,20.06,0.772
34252,PSS,EE,Brown,Right,20.0,20.006,0.739
34252,PSS,EE,Brown,Left,20.0,20.055,0.772
34252,PSS,WW,Brown,Right,20.0,20.007,0.773
34252,PSS,WW,Brown,Left,20.0,20.062,0.751
34252,PSS,EE,Brown,Left,20.0,20.071,0.784
34252,PSS,EE,Brown,Right,20.0,20.044,0.762
34252,PSS,WW,Brown,Right,20.0,20.008,0.785
34252,PSS,WW,Brown,Left,20.0,20.037,0.764
34332,2S,EE,Perugia,Left,20.0,20.0,0.893
34332,2S,WW,Perugia,Left,20.0,20.0,0.902
34332,2S,WW,Perugia,Left,20.0,20.0,0.902
34332,2S,WW,Perugia,Right,20.0,20.0,0.902
34332,2S,EE,Perugia,Right,20.0,20.0,0.89
34332,2S,EE,Perugia,Left,20.0,20.0,0.917
34332,2S,WW,Perugia,Right,20.0,20.0,0.943
34332,2S,WW,Perugia,Left,20.0,20.0,0.873
34332,2S,EE,Perugia,Right,20.0,20.0,0.877
34332,2S,EE,Perugia,Left,20.0,20.0,0.928
34332,2S,EE,Perugia,Right,20.0,20.0,0.877
34332,2S,WW,Perugia,Left,20.0,20.0,0.88
34332,2S,WW,Perugia,Right,20.0,20.0,0.895
34332,2S,EE,Perugia,Left,20.0,20.0,0.902
34332,2S,EE,Perugia,Right,20.0,20.0,0.878
34332,2S,WW,Perugia,Right,20.0,20.0,0.937
34332,2S,WW,Perugia,Left,20.0,20.0,0.905
34332,2S,EE,Perugia,Left,20.0,20.0,0.914
34332,2S,EE,Perugia,Right,20.0,20.0,0.909
34332,2S,WW,Perugia,Left,20.0,20.0,0.903
34332,2S,WW,Perugia,Right,20.0,20.0,0.951
34332,2S,EE,Perugia,Left,20.0,20.0,0.952
34332,2S,EE,Perugia,Right,20.0,20.0,0.894
34332,2S,WW,Perugia,Right,20.0,20.0,0.94
34332,2S,WW,Perugia,Left,20.0,20.0,0.904
34332,2S,EE,Perugia,Left,20.0,20.0,0.849
34332,2S,EE,Perugia,Right,20.0,20.0,0.825
34332,2S,WW,Perugia,Left,20.0,20.0,0.805
34332,2S,WW,Perugia,Right,20.0,20.0,0.848
34332,2S,EE,Perugia,Left,20.0,20.0,0.885
34332,2S,EE,Perugia,Right,20.0,20.0,0.865
34332,2S,WW,Perugia,Left,20.0,20.0,0.857
34332,2S,WW,Perugia,Right,20.0,20.0,0.891
34332,2S,EE,Perugia,Right,20.0,20.0,0.849
34332,2S,EE,Perugia,Left,20.0,20.0,0.889
34332,2S,EE,Perugia,Left,20.0,20.0,0.889
34332,2S,WW,Perugia,Right,20.0,20.0,0.89
34332,2S,WW,Perugia,Left,20.0,20.0,0.847
34332,2S,EE,Perugia,Right,20.0,20.0,0.87
34332,2S,EE,Perugia,Left,20.0,20.0,0.903
34332,2S,WW,Perugia,Right,20.0,20.0,0.944
