batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,S0_CMSEC
34332,2S,WW,Perugia,Left,20.0,20.0,0.898
34346,2S,EE,Perugia,Right,20.0,20.0,1.046
34346,2S,EE,Perugia,Left,20.0,20.0,1.061
34346,2S,WW,Perugia,Right,20.0,20.0,1.054
34346,2S,WW,Perugia,Left,20.0,20.0,0.995
34346,2S,WW,Perugia,Left,20.0,20.0,0.995
34346,2S,EE,Perugia,Right,20.0,20.0,1.013
34346,2S,EE,Perugia,Left,20.0,20.0,1.081
34346,2S,WW,Perugia,Right,20.0,20.0,1.072
34346,2S,WW,Perugia,Left,20.0,20.0,1.017
34346,2S,EE,Perugia,Left,20.0,20.0,1.101
34346,2S,EE,Perugia,Right,20.0,20.0,1.039
34346,2S,WW,Perugia,Left,20.0,20.0,1.012
34346,2S,WW,Perugia,Right,20.0,20.0,1.061
34346,2S,WW,Perugia,Left,20.0,20.0,1.012
34346,2S,EE,Perugia,Left,20.0,20.0,1.058
34346,2S,EE,Perugia,Right,20.0,20.0,1.052
34346,2S,WW,Perugia,Left,20.0,20.0,1.017
34346,2S,EE,Perugia,Left,20.0,20.0,1.113
34346,2S,EE,Perugia,Right,20.0,20.0,1.102
34346,2S,WW,Perugia,Left,20.0,20.0,1.053
34346,2S,WW,Perugia,Right,20.0,20.0,1.078
34346,2S,EE,Perugia,Left,20.0,20.0,1.091
34346,2S,EE,Perugia,Right,20.0,20.0,1.074
34346,2S,WW,Perugia,Left,20.0,20.0,1.089
34346,2S,WW,Perugia,Right,20.0,20.0,1.11
34346,2S,EE,Perugia,Right,20.0,20.0,0.91
34346,2S,EE,Perugia,Left,20.0,20.0,0.94
34346,2S,WW,Perugia,Right,20.0,20.0,0.888
34346,2S,WW,Perugia,Left,20.0,20.0,0.841
34346,2S,WW,Perugia,Right,20.0,20.0,0.888
34346,2S,WW,Perugia,Right,20.0,20.0,0.888
34346,2S,WW,Perugia,Left,20.0,20.0,0.841
34346,2S,EE,Perugia,Left,20.0,20.0,1.026
34346,2S,EE,Perugia,Right,20.0,20.0,0.99
34346,2S,WW,Perugia,Right,20.0,20.0,0.987
34346,2S,WW,Perugia,Left,20.0,20.0,0.934
34346,2S,EE,Perugia,Right,20.0,20.0,1.023
34346,2S,WW,Perugia,Right,20.0,20.0,1.036
34346,2S,WW,Perugia,Left,20.0,20.0,0.999
34346,2S,EE,Perugia,Left,20.0,20.0,1.046
34346,2S,EE,Perugia,Right,20.0,20.0,1.046
34346,2S,EE,Perugia,Left,20.0,20.0,1.081
34346,2S,WW,Perugia,Left,20.0,20.0,1.036
34346,2S,WW,Perugia,Right,20.0,20.0,1.089
34348,2S,EE,Perugia,Left,20.0,20.0,1.13
34348,2S,EE,Perugia,Left,20.0,20.0,1.138
34348,2S,WW,Perugia,Left,20.0,20.0,1.089
34348,2S,EE,Perugia,Left,20.0,20.0,1.149
34348,2S,WW,Perugia,Left,20.0,20.0,1.113
34348,2S,EE,Perugia,Left,20.0,20.0,1.189
34348,2S,EE,Perugia,Left,20.0,20.0,1.189
34348,2S,EE,Perugia,Left,20.0,20.0,1.189
34348,2S,WW,Perugia,Left,20.0,20.0,1.127
34348,2S,EE,Perugia,Left,20.0,20.0,1.197
34348,2S,WW,Perugia,Left,20.0,20.0,1.131
34348,2S,EE,Perugia,Left,20.0,20.0,1.13
34348,2S,EE,Perugia,Left,20.0,20.0,1.196
34348,2S,EE,Perugia,Left,20.0,20.0,1.23
34348,2S,WW,Perugia,Left,20.0,20.0,1.15
34348,2S,EE,Perugia,Left,20.0,20.0,1.177
34348,2S,EE,Perugia,Left,20.0,20.0,1.177
34348,2S,WW,Perugia,Left,20.0,20.0,1.136
34348,2S,EE,Perugia,Left,20.0,20.0,1.221
34348,2S,WW,Perugia,Left,20.0,20.0,1.145
34348,2S,EE,Perugia,Left,20.0,20.0,1.238
34348,2S,WW,Perugia,Left,20.0,20.0,1.178
34348,2S,EE,Perugia,Left,20.0,20.0,0.998
34348,2S,WW,Perugia,Left,20.0,20.0,0.96
34348,2S,EE,Perugia,Left,20.0,20.0,1.089
34348,2S,WW,Perugia,Left,20.0,20.0,1.04
34331,2S,EE,Brown,Left,20.0,20.126,1.029
34331,2S,EE,Brown,Right,20.0,20.099,1.007
34331,2S,WW,Brown,Right,20.0,20.047,1.036
34331,2S,WW,Brown,Left,20.0,20.099,1.009
34331,2S,EE,Brown,Right,20.0,20.006,1.009
34331,2S,WW,Brown,Right,20.0,20.056,1.04
34331,2S,EE,Brown,Right,20.0,20.121,1.017
34331,2S,WW,Brown,Right,20.0,20.065,1.036
34331,2S,EE,Brown,Right,20.0,20.025,0.973
34331,2S,WW,Brown,Right,20.0,20.072,0.999
34331,2S,EE,Brown,Right,20.0,20.133,0.986
34331,2S,WW,Brown,Right,20.0,20.072,1.007
34331,2S,EE,Brown,Right,20.0,20.012,0.984
34331,2S,WW,Brown,Right,20.0,20.047,0.996
34331,2S,EE,Brown,Right,20.0,20.1,0.981
34331,2S,WW,Brown,Right,20.0,20.041,1.008
34331,2S,EE,Brown,Right,20.0,20.005,1.003
34331,2S,WW,Brown,Right,20.0,20.019,1.03
34331,2S,EE,Brown,Right,20.0,20.079,1.012
34331,2S,WW,Brown,Right,20.0,20.026,1.019
34331,2S,EE,Brown,Right,20.0,20.002,0.999
34331,2S,WW,Brown,Right,20.0,20.004,1.015
34331,2S,EE,Brown,Right,20.0,20.003,0.994
34331,2S,WW,Brown,Right,20.0,20.008,1.002
34331,2S,EE,Brown,Right,20.0,20.001,0.874
34331,2S,WW,Brown,Right,20.0,20.001,0.898
34331,2S,EE,Brown,Right,20.0,20.003,0.872
34331,2S,WW,Brown,Right,20.0,20.001,0.899
34331,2S,EE,Brown,Right,20.0,20.006,0.876
34331,2S,WW,Brown,Right,20.0,20.068,0.941
34331,2S,EE,Brown,Right,20.0,20.138,0.932
34331,2S,WW,Brown,Right,20.0,20.069,0.954
34331,2S,EE,Brown,Right,20.0,20.008,0.893
34331,2S,WW,Brown,Right,20.0,20.06,0.918
34331,2S,EE,Brown,Right,20.0,20.122,0.929
34331,2S,WW,Brown,Right,20.0,20.058,0.952
34331,2S,EE,Brown,Right,20.0,20.019,0.928
34331,2S,WW,Brown,Right,20.0,20.035,0.947
34331,2S,EE,Brown,Right,20.0,20.106,0.932
34331,2S,WW,Brown,Right,20.0,20.052,0.972
34340,PSS,EE,Brown,Right,20.0,20.003,0.968
34340,PSS,WW,Brown,Right,20.0,20.007,0.971
34340,PSS,EE,Brown,Right,20.0,20.049,0.965
34340,PSS,WW,Brown,Right,20.0,20.004,0.979
34340,PSS,EE,Brown,Right,20.0,20.001,0.944
34340,PSS,WW,Brown,Right,20.0,20.005,0.979
34340,PSS,EE,Brown,Right,20.0,20.029,0.966
34340,PSS,WW,Brown,Right,20.0,20.002,0.969
34340,PSS,EE,Brown,Right,20.0,20.001,0.971
34340,PSS,WW,Brown,Right,20.0,20.008,0.996
34340,PSS,EE,Brown,Right,20.0,20.056,0.974
34340,PSS,WW,Brown,Right,20.0,20.007,1.004
34340,PSS,EE,Brown,Right,20.0,20.004,0.975
34340,PSS,WW,Brown,Right,20.0,20.005,1.001
34340,PSS,EE,Brown,Right,20.0,20.05,0.998
34340,PSS,WW,Brown,Right,20.0,20.013,1.002
34340,PSS,EE,Brown,Right,20.0,20.003,0.974
34340,PSS,WW,Brown,Right,20.0,20.008,1.001
34340,PSS,EE,Brown,Right,20.0,20.055,0.998
34340,PSS,WW,Brown,Right,20.0,20.008,1.009
34340,PSS,EE,Brown,Right,20.0,20.002,0.887
34340,PSS,WW,Brown,Right,20.0,20.005,0.908
34340,PSS,EE,Brown,Right,20.0,20.082,0.903
34340,PSS,WW,Brown,Right,20.0,20.018,0.891
34340,PSS,EE,Brown,Right,20.0,20.001,0.879
34340,PSS,WW,Brown,Right,20.0,20.003,0.918
34340,PSS,EE,Brown,Right,20.0,20.05,0.898
34340,PSS,WW,Brown,Right,20.0,20.009,0.916
34340,PSS,EE,Brown,Right,20.0,20.001,0.921
34340,PSS,WW,Brown,Right,20.0,20.006,0.923
34340,PSS,EE,Brown,Right,20.0,20.06,0.916
34340,PSS,WW,Brown,Right,20.0,20.016,0.937
34340,PSS,EE,Brown,Right,20.0,20.004,0.924
34254,PSS,EE,Brown,Right,20.0,20.004,0.96
34254,PSS,WW,Brown,Right,20.0,20.008,0.969
34254,PSS,EE,Brown,Right,20.0,20.063,0.93
34254,PSS,WW,Brown,Right,20.0,20.012,0.959
34254,PSS,EE,Brown,Right,20.0,20.005,0.95
34254,PSS,WW,Brown,Right,20.0,20.013,0.952
34254,PSS,EE,Brown,Right,20.0,20.068,0.955
34254,PSS,WW,Brown,Right,20.0,20.018,0.974
34254,PSS,EE,Brown,Right,20.0,20.008,0.952
34254,PSS,WW,Brown,Right,20.0,20.03,0.968
34254,PSS,EE,Brown,Right,20.0,20.078,0.954
34254,PSS,WW,Brown,Right,20.0,20.02,0.989
34254,PSS,EE,Brown,Right,20.0,20.005,0.97
34254,PSS,WW,Brown,Right,20.0,20.003,0.98
34254,PSS,EE,Brown,Right,20.0,20.009,0.965
34254,PSS,WW,Brown,Right,20.0,20.003,0.988
34254,PSS,EE,Brown,Right,20.0,20.003,0.955
34254,PSS,WW,Brown,Right,20.0,20.003,0.992
34254,PSS,EE,Brown,Right,20.0,20.008,0.973
34254,PSS,WW,Brown,Right,20.0,20.003,0.99
34254,PSS,EE,Brown,Right,20.0,20.004,0.974
34254,PSS,WW,Brown,Right,20.0,20.002,1.017
34254,PSS,EE,Brown,Right,20.0,20.011,0.99
34254,PSS,WW,Brown,Right,20.0,19.977,1.006
34254,PSS,EE,Brown,Right,20.0,20.001,1.011
34254,PSS,WW,Brown,Right,20.0,20.001,1.016
34254,PSS,EE,Brown,Right,20.0,20.008,1.002
34254,PSS,WW,Brown,Right,20.0,20.002,1.03
34254,PSS,EE,Brown,Right,20.0,20.003,0.999
34254,PSS,WW,Brown,Right,20.0,20.002,1.011
34254,PSS,EE,Brown,Right,20.0,20.017,0.986
34254,PSS,WW,Brown,Right,20.0,20.004,1.022
34254,PSS,EE,Brown,Right,20.0,20.002,0.977
34254,PSS,WW,Brown,Right,20.0,20.003,1.01
34254,PSS,EE,Brown,Right,20.0,20.011,0.798
34254,PSS,WW,Brown,Right,20.0,20.002,0.814
34254,PSS,EE,Brown,Right,20.0,20.001,0.825
34254,PSS,WW,Brown,Right,20.0,20.004,0.848
34254,PSS,EE,Brown,Right,20.0,20.024,0.817
34254,PSS,WW,Brown,Right,20.0,20.006,0.844
34254,PSS,EE,Brown,Right,20.0,20.003,0.879
34254,PSS,WW,Brown,Right,20.0,20.002,0.907
34254,PSS,EE,Brown,Right,20.0,20.012,0.877
34254,PSS,WW,Brown,Right,20.0,20.002,0.887
34254,PSS,EE,Brown,Right,20.0,20.004,0.898
34254,PSS,WW,Brown,Right,20.0,20.027,0.908
34254,PSS,EE,Brown,Right,20.0,20.082,0.903
34254,PSS,WW,Brown,Right,20.0,20.031,0.924
34254,PSS,EE,Brown,Right,20.0,20.001,0.933
34254,PSS,WW,Brown,Right,20.0,20.003,0.938
34254,PSS,EE,Brown,Right,20.0,20.015,0.919
34254,PSS,WW,Brown,Right,20.0,20.001,0.956
34254,PSS,EE,Brown,Right,20.0,20.001,0.931
34254,PSS,WW,Brown,Right,20.0,20.002,0.952
34254,PSS,EE,Brown,Right,20.0,20.013,0.938
34254,PSS,WW,Brown,Right,20.0,20.002,0.929
34340,PSS,WW,Brown,Right,20.0,20.013,0.935
34340,PSS,EE,Brown,Right,20.0,20.067,0.934
34340,PSS,WW,Brown,Right,20.0,20.013,0.945
34340,PSS,EE,Brown,Right,20.0,20.002,0.922
34340,PSS,WW,Brown,Right,20.0,20.014,0.939
34340,PSS,EE,Brown,Right,20.0,20.081,0.936
34340,PSS,WW,Brown,Right,20.0,20.019,0.948
34354,2S,EE,Perugia,Left,20.0,20.0,1.063
34354,2S,EE,Perugia,Left,20.0,20.0,1.009
34354,2S,EE,Perugia,Left,20.0,20.0,1.079
34354,2S,WW,Perugia,Left,20.0,20.0,1.003
34352,2S,WW,Perugia,Left,20.0,20.0,0.974
34352,2S,EE,Perugia,Left,20.0,20.0,1.056
34352,2S,WW,Perugia,Left,20.0,20.0,0.968
34352,2S,EE,Perugia,Left,20.0,20.0,1.036
34352,2S,WW,Perugia,Left,20.0,20.0,0.97
34352,2S,EE,Perugia,Left,20.0,20.0,1.081
34352,2S,WW,Perugia,Left,20.0,20.0,1.009
34352,2S,EE,Perugia,Left,20.0,20.0,1.136
34352,2S,WW,Perugia,Left,20.0,20.0,1.024
34352,2S,WW,Perugia,Left,20.0,20.0,1.024
34353,2S,EE,Brown,Right,20.0,20.003,0.954
34353,2S,WW,Brown,Right,20.0,20.032,1.011
34353,2S,EE,Brown,Right,20.0,20.089,0.93
34353,2S,WW,Brown,Right,20.0,20.043,0.961
34353,2S,EE,Brown,Right,20.0,20.009,0.984
34353,2S,WW,Brown,Right,20.0,20.042,0.999
34353,2S,EE,Brown,Right,20.0,20.101,0.991
34353,2S,WW,Brown,Right,20.0,20.055,1.009
34353,2S,EE,Brown,Right,20.0,20.024,0.99
34353,2S,WW,Brown,Right,20.0,20.057,1.007
34353,2S,EE,Brown,Right,20.0,20.104,0.992
34353,2S,WW,Brown,Right,20.0,20.047,1.006
34353,2S,EE,Brown,Right,20.0,20.004,0.868
34353,2S,WW,Brown,Right,20.0,20.027,0.884
34353,2S,EE,Brown,Right,20.0,20.091,0.876
34353,2S,WW,Brown,Right,20.0,20.052,0.917
34353,2S,EE,Brown,Right,20.0,20.012,0.904
34353,2S,WW,Brown,Right,20.0,20.043,0.904
34353,2S,EE,Brown,Right,20.0,20.09,0.907
34353,2S,WW,Brown,Right,20.0,20.036,0.915
34353,2S,EE,Brown,Right,20.0,20.002,0.911
34353,2S,WW,Brown,Right,20.0,20.002,0.939
34353,2S,EE,Brown,Right,20.0,20.012,0.889
34353,2S,WW,Brown,Right,20.0,20.002,0.938
34353,2S,EE,Brown,Right,20.0,20.001,0.955
34353,2S,WW,Brown,Right,20.0,20.003,0.977
34353,2S,EE,Brown,Right,20.0,20.019,0.945
34353,2S,WW,Brown,Right,20.0,20.004,0.968
34353,2S,EE,Brown,Right,20.0,20.003,0.968
34353,2S,WW,Brown,Right,20.0,20.002,0.984
34353,2S,EE,Brown,Right,20.0,20.015,0.97
34353,2S,WW,Brown,Right,20.0,20.001,1.017
34357,2S,EE,Perugia,Left,20.0,20.0,1.009
34357,2S,WW,Perugia,Left,20.0,20.0,0.897
34357,2S,EE,Perugia,Left,20.0,20.0,0.945
34357,2S,EE,Perugia,Left,20.0,20.0,0.945
34357,2S,WW,Perugia,Left,20.0,20.0,0.905
34357,2S,EE,Perugia,Left,20.0,20.0,0.999
34357,2S,WW,Perugia,Left,20.0,20.0,0.947
34357,2S,EE,Perugia,Left,20.0,20.0,1.023
34357,2S,WW,Perugia,Left,20.0,20.0,0.953
34357,2S,EE,Perugia,Left,20.0,20.0,0.992
34357,2S,WW,Perugia,Left,20.0,20.0,0.964
34357,2S,EE,Perugia,Left,20.0,20.0,1.013
34357,2S,WW,Perugia,Left,20.0,20.0,0.959
34357,2S,EE,Perugia,Left,20.0,20.0,1.016
34357,2S,WW,Perugia,Left,20.0,20.0,0.979
34357,2S,EE,Perugia,Left,20.0,20.0,1.045
34357,2S,WW,Perugia,Left,20.0,20.0,1.001
34357,2S,EE,Perugia,Left,20.0,20.0,0.98
34357,2S,WW,Perugia,Left,20.0,20.0,0.95
34357,2S,EE,Perugia,Left,20.0,20.0,0.986
34357,2S,WW,Perugia,Left,20.0,20.0,0.961
34357,2S,EE,Perugia,Left,20.0,20.0,0.87
34357,2S,EE,Perugia,Left,20.0,20.0,0.895
34357,2S,EE,Perugia,Left,20.0,20.0,0.89
34357,2S,EE,Perugia,Left,20.0,20.0,0.89
34354,2S,EE,Perugia,Left,20.0,20.0,1.054
34354,2S,WW,Perugia,Left,20.0,20.0,1.01
34354,2S,EE,Perugia,Left,20.0,20.0,1.089
34354,2S,WW,Perugia,Left,20.0,20.0,1.009
34354,2S,EE,Perugia,Left,20.0,20.0,1.09
34354,2S,WW,Perugia,Left,20.0,20.0,1.071
34354,2S,EE,Perugia,Left,20.0,20.0,1.112
34354,2S,WW,Perugia,Left,20.0,20.0,1.079
34354,2S,EE,Perugia,Left,20.0,20.0,1.088
34354,2S,WW,Perugia,Left,20.0,20.0,1.061
34354,2S,EE,Perugia,Left,20.0,20.0,1.096
34354,2S,WW,Perugia,Left,20.0,20.0,1.04
34354,2S,EE,Perugia,Left,20.0,20.0,1.068
34354,2S,WW,Perugia,Left,20.0,20.0,1.037
34354,2S,EE,Perugia,Left,20.0,20.0,1.07
34354,2S,WW,Perugia,Left,20.0,20.0,1.046
34354,2S,EE,Perugia,Left,20.0,20.0,1.083
34354,2S,WW,Perugia,Left,20.0,20.0,1.063
34354,2S,EE,Perugia,Left,20.0,20.0,0.92
34354,2S,WW,Perugia,Left,20.0,20.0,0.875
34354,2S,EE,Perugia,Left,20.0,20.0,0.964
34354,2S,WW,Perugia,Left,20.0,20.0,0.931
34354,2S,EE,Perugia,Left,20.0,20.0,0.97
34354,2S,WW,Perugia,Left,20.0,20.0,0.928
34354,2S,EE,Perugia,Left,20.0,20.0,0.989
34354,2S,WW,Perugia,Left,20.0,20.0,0.962
34354,2S,EE,Perugia,Left,20.0,20.0,0.967
34354,2S,WW,Perugia,Left,20.0,20.0,0.949
34354,2S,EE,Perugia,Left,20.0,20.0,0.93
34354,2S,WW,Perugia,Left,20.0,20.0,0.946
34354,2S,EE,Perugia,Left,20.0,20.0,1.002
34354,2S,WW,Perugia,Left,20.0,20.0,0.973
34354,2S,EE,Perugia,Left,20.0,20.0,1.009
34354,2S,WW,Perugia,Left,20.0,20.0,0.985
34354,2S,EE,Perugia,Left,20.0,20.0,1.005
34354,2S,WW,Perugia,Left,20.0,20.0,0.929
34354,2S,EE,Perugia,Left,20.0,20.0,0.963
34354,2S,WW,Perugia,Left,20.0,20.0,0.964
34354,2S,EE,Perugia,Left,20.0,20.0,1.012
34354,2S,WW,Perugia,Left,20.0,20.0,0.952
34357,2S,EE,Perugia,Left,20.0,20.0,0.932
34357,2S,WW,Perugia,Left,20.0,20.0,0.892
34357,2S,EE,Perugia,Left,20.0,20.0,0.925
34357,2S,WW,Perugia,Left,20.0,20.0,0.884
34357,2S,EE,Perugia,Left,20.0,20.0,0.937
34357,2S,WW,Perugia,Left,20.0,20.0,0.896
34359,2S,EE,Brown,Left,20.0,20.003,0.84
34359,2S,WW,Brown,Right,20.0,20.002,0.856
34359,2S,EE,Brown,Right,20.0,20.004,0.811
34359,2S,WW,Brown,Right,20.0,20.002,0.855
34359,2S,EE,Brown,Right,20.0,20.001,0.856
34359,2S,WW,Brown,Right,20.0,20.003,0.863
34359,2S,EE,Brown,Right,20.0,20.011,0.837
34359,2S,WW,Brown,Right,20.0,20.003,0.86
34359,2S,EE,Brown,Right,20.0,20.002,0.856
34359,2S,WW,Brown,Right,20.0,20.003,0.884
34359,2S,EE,Brown,Right,20.0,20.014,0.864
34359,2S,WW,Brown,Right,20.0,20.002,0.898
34359,2S,EE,Brown,Right,20.0,20.003,0.869
34359,2S,WW,Brown,Right,20.0,20.002,0.922
34359,2S,EE,Brown,Right,20.0,20.008,0.87
34359,2S,WW,Brown,Right,20.0,20.001,0.915
34359,2S,EE,Brown,Right,20.0,20.002,0.85
34359,2S,WW,Brown,Right,20.0,20.002,0.876
34359,2S,EE,Brown,Right,20.0,20.01,0.86
34359,2S,WW,Brown,Right,20.0,20.002,0.903
34359,2S,EE,Brown,Left,20.0,20.004,0.798
34359,2S,WW,Brown,Right,20.0,20.004,0.797
34359,2S,EE,Brown,Left,20.0,20.023,0.802
34359,2S,WW,Brown,Right,20.0,20.002,0.811
34359,2S,EE,Brown,Left,20.0,20.004,0.818
34359,2S,WW,Brown,Right,20.0,20.001,0.815
34359,2S,EE,Brown,Right,20.0,20.009,0.818
34359,2S,WW,Brown,Right,20.0,20.002,0.854
34341,PSS,EE,Brown,Right,20.0,20.062,1.007
34341,PSS,WW,Brown,Right,20.0,20.023,0.997
34341,PSS,EE,Brown,Right,20.0,20.005,0.993
34341,PSS,WW,Brown,Right,20.0,20.003,0.981
34341,PSS,EE,Brown,Right,20.0,20.015,0.987
34341,PSS,WW,Brown,Right,20.0,20.046,0.989
34341,PSS,EE,Brown,Right,20.0,20.104,0.97
34341,PSS,WW,Brown,Right,20.0,20.046,0.998
34341,PSS,EE,Brown,Right,20.0,20.01,1.005
34341,PSS,WW,Brown,Right,20.0,20.043,1.024
34341,PSS,EE,Brown,Right,20.0,20.103,1.023
34341,PSS,WW,Brown,Right,20.0,20.049,1.03
34341,PSS,EE,Brown,Right,20.0,20.009,1.034
34341,PSS,WW,Brown,Right,20.0,20.04,1.02
34341,PSS,EE,Brown,Right,20.0,20.095,1.027
34341,PSS,WW,Brown,Right,20.0,20.041,1.037
34341,PSS,EE,Brown,Right,20.0,20.004,1.051
34341,PSS,WW,Brown,Right,20.0,20.017,1.053
34341,PSS,EE,Brown,Right,20.0,20.076,1.036
34341,PSS,WW,Brown,Right,20.0,20.026,1.055
34341,PSS,EE,Brown,Right,20.0,20.007,1.059
34341,PSS,WW,Brown,Right,20.0,20.035,1.059
34341,PSS,EE,Brown,Right,20.0,20.104,1.062
34341,PSS,WW,Brown,Right,20.0,20.054,1.063
34341,PSS,EE,Brown,Right,20.0,20.003,1.08
34341,PSS,WW,Brown,Right,20.0,20.02,1.075
34341,PSS,EE,Brown,Right,20.0,20.082,0.854
34341,PSS,WW,Brown,Right,20.0,20.042,0.865
34341,PSS,EE,Brown,Right,20.0,20.003,0.891
34341,PSS,WW,Brown,Right,20.0,20.016,0.902
34341,PSS,EE,Brown,Right,20.0,20.065,0.9
34341,PSS,WW,Brown,Right,20.0,20.016,0.924
