batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,VFB_ACC_V
34252,PSS,EE,Brown,Left,20.0,20.031,-1.921
34252,PSS,EE,Brown,Right,20.0,20.004,-1.923
34252,PSS,WW,Brown,Right,20.0,20.011,-1.921
34252,PSS,WW,Brown,Left,20.0,20.067,-2.0
34252,PSS,EE,Brown,Left,20.0,20.035,-1.985
34252,PSS,EE,Brown,Right,20.0,20.045,-1.96
34252,PSS,WW,Brown,Right,20.0,20.015,-1.969
34252,PSS,WW,Brown,Left,20.0,20.012,-2.033
34252,PSS,EE,Brown,Left,20.0,20.005,-1.985
34252,PSS,EE,Brown,Right,20.0,20.003,-1.942
34252,PSS,WW,Brown,Left,20.0,20.026,-2.049
34252,PSS,WW,Brown,Right,20.0,20.002,-1.979
34252,PSS,EE,Brown,Left,20.0,20.062,-1.97
34252,PSS,EE,Brown,Right,20.0,20.006,-1.976
34252,PSS,WW,Brown,Right,20.0,20.003,-1.941
34252,PSS,WW,Brown,Left,20.0,20.052,-2.028
34252,PSS,EE,Brown,Right,20.0,20.007,-1.973
34252,PSS,EE,Brown,Left,20.0,20.087,-1.981
34252,PSS,WW,Brown,Right,20.0,20.036,-1.965
34252,PSS,WW,Brown,Left,20.0,20.107,-2.023
34252,PSS,EE,Brown,Right,20.0,20.098,-1.946
34252,PSS,EE,Brown,Left,20.0,20.054,-1.969
34252,PSS,WW,Brown,Right,20.0,20.052,-1.96
34252,PSS,WW,Brown,Left,20.0,20.074,-2.041
34252,PSS,EE,Brown,Left,20.0,20.005,-2.005
34252,PSS,EE,Brown,Right,20.0,20.097,-1.974
34252,PSS,WW,Brown,Left,20.0,20.029,-2.068
34252,PSS,WW,Brown,Right,20.0,20.062,-1.966
34252,PSS,EE,Brown,Left,20.0,20.079,-1.997
34252,PSS,EE,Brown,Right,20.0,20.099,-1.99
34252,PSS,WW,Brown,Right,20.0,20.04,-1.953
34252,PSS,WW,Brown,Left,20.0,20.076,-2.039
34252,PSS,EE,Brown,Right,20.0,20.055,-1.973
34252,PSS,EE,Brown,Left,20.0,20.111,-1.988
34252,PSS,WW,Brown,Right,20.0,20.032,-1.931
34252,PSS,WW,Brown,Left,20.0,20.123,-2.06
34252,PSS,EE,Brown,Left,20.0,20.14,-1.961
34252,PSS,EE,Brown,Right,20.0,20.11,-1.949
34252,PSS,WW,Brown,Left,20.0,20.111,-2.032
34252,PSS,WW,Brown,Right,20.0,20.064,-1.931
34252,PSS,EE,Brown,Left,20.0,20.06,-1.975
