batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,VFB_ACC_V
34252,PSS,EE,Brown,Right,20.0,20.004,-1.976
34252,PSS,WW,Brown,Left,20.0,20.083,-2.021
34252,PSS,WW,Brown,Right,20.0,20.023,-1.939
34252,PSS,EE,Brown,Left,20.0,20.039,-1.979
34252,PSS,EE,Brown,Right,20.0,20.056,-2.03
34252,PSS,WW,Brown,Right,20.0,20.023,-1.96
34252,PSS,WW,Brown,Left,20.0,20.06,-2.066
34252,PSS,EE,Brown,Right,20.0,20.006,-1.99
34252,PSS,EE,Brown,Left,20.0,20.055,-1.959
34252,PSS,WW,Brown,Right,20.0,20.007,-1.914
34252,PSS,WW,Brown,Left,20.0,20.062,-2.084
34252,PSS,EE,Brown,Left,20.0,20.071,-1.95
34252,PSS,EE,Brown,Right,20.0,20.044,-1.979
34252,PSS,WW,Brown,Right,20.0,20.008,-1.942
34252,PSS,WW,Brown,Left,20.0,20.037,-2.034
34332,2S,EE,Perugia,Left,20.0,20.0,-1.822
34332,2S,WW,Perugia,Left,20.0,20.0,-1.818
34332,2S,WW,Perugia,Left,20.0,20.0,-1.818
34332,2S,WW,Perugia,Right,20.0,20.0,-1.805
34332,2S,EE,Perugia,Right,20.0,20.0,-1.833
34332,2S,EE,Perugia,Left,20.0,20.0,-1.839
34332,2S,WW,Perugia,Right,20.0,20.0,-1.817
34332,2S,WW,Perugia,Left,20.0,20.0,-1.812
34332,2S,EE,Perugia,Right,20.0,20.0,-1.815
34332,2S,EE,Perugia,Left,20.0,20.0,-1.84
34332,2S,EE,Perugia,Right,20.0,20.0,-1.815
34332,2S,WW,Perugia,Left,20.0,20.0,-1.821
34332,2S,WW,Perugia,Right,20.0,20.0,-1.867
34332,2S,EE,Perugia,Left,20.0,20.0,-1.806
34332,2S,EE,Perugia,Right,20.0,20.0,-1.658
34332,2S,WW,Perugia,Right,20.0,20.0,-1.76
34332,2S,WW,Perugia,Left,20.0,20.0,-1.814
34332,2S,EE,Perugia,Left,20.0,20.0,-1.802
34332,2S,EE,Perugia,Right,20.0,20.0,-1.833
34332,2S,WW,Perugia,Left,20.0,20.0,-1.775
34332,2S,WW,Perugia,Right,20.0,20.0,-1.591
34332,2S,EE,Perugia,Left,20.0,20.0,-1.822
34332,2S,EE,Perugia,Right,20.0,20.0,-1.837
34332,2S,WW,Perugia,Right,20.0,20.0,-1.713
34332,2S,WW,Perugia,Left,20.0,20.0,-1.796
34332,2S,EE,Perugia,Left,20.0,20.0,-1.813
34332,2S,EE,Perugia,Right,20.0,20.0,-1.765
34332,2S,WW,Perugia,Left,20.0,20.0,-1.815
34332,2S,WW,Perugia,Right,20.0,20.0,-1.842
34332,2S,EE,Perugia,Left,20.0,20.0,-1.826
34332,2S,EE,Perugia,Right,20.0,20.0,-1.805
34332,2S,WW,Perugia,Left,20.0,20.0,-1.834
34332,2S,WW,Perugia,Right,20.0,20.0,-1.828
34332,2S,EE,Perugia,Right,20.0,20.0,-1.802
34332,2S,EE,Perugia,Left,20.0,20.0,-1.888
34332,2S,EE,Perugia,Left,20.0,20.0,-1.888
34332,2S,WW,Perugia,Right,20.0,20.0,-1.834
34332,2S,WW,Perugia,Left,20.0,20.0,-1.839
34332,2S,EE,Perugia,Right,20.0,20.0,-1.814
34332,2S,EE,Perugia,Left,20.0,20.0,-1.825
34332,2S,WW,Perugia,Right,20.0,20.0,-1.902
34332,2S,WW,Perugia,Left,20.0,20.0,-1.833
34346,2S,EE,Perugia,Right,20.0,20.0,-2.129
34346,2S,EE,Perugia,Left,20.0,20.0,-1.88
34346,2S,WW,Perugia,Right,20.0,20.0,-2.151
34346,2S,WW,Perugia,Left,20.0,20.0,-1.657
34346,2S,WW,Perugia,Left,20.0,20.0,-1.657
34346,2S,EE,Perugia,Right,20.0,20.0,-2.109
34346,2S,EE,Perugia,Left,20.0,20.0,-2.141
34346,2S,WW,Perugia,Right,20.0,20.0,-2.135
34346,2S,WW,Perugia,Left,20.0,20.0,-2.105
34346,2S,EE,Perugia,Left,20.0,20.0,-2.132
34346,2S,EE,Perugia,Right,20.0,20.0,-2.116
34346,2S,WW,Perugia,Left,20.0,20.0,-2.142
34346,2S,WW,Perugia,Right,20.0,20.0,-2.158
34346,2S,WW,Perugia,Left,20.0,20.0,-2.142
34346,2S,EE,Perugia,Left,20.0,20.0,-2.104
34346,2S,EE,Perugia,Right,20.0,20.0,-2.113
34346,2S,WW,Perugia,Left,20.0,20.0,-2.096
34346,2S,EE,Perugia,Left,20.0,20.0,-2.135
34346,2S,EE,Perugia,Right,20.0,20.0,-2.131
34346,2S,WW,Perugia,Left,20.0,20.0,-2.14
34346,2S,WW,Perugia,Right,20.0,20.0,-2.142
34346,2S,EE,Perugia,Left,20.0,20.0,-2.109
34346,2S,EE,Perugia,Right,20.0,20.0,-2.135
34346,2S,WW,Perugia,Left,20.0,20.0,-2.075
34346,2S,WW,Perugia,Right,20.0,20.0,-2.11
34346,2S,EE,Perugia,Right,20.0,20.0,-2.082
34346,2S,EE,Perugia,Left,20.0,20.0,-1.794
34346,2S,WW,Perugia,Right,20.0,20.0,-2.123
34346,2S,WW,Perugia,Left,20.0,20.0,-1.838
34346,2S,WW,Perugia,Right,20.0,20.0,-2.123
34346,2S,WW,Perugia,Right,20.0,20.0,-2.123
34346,2S,WW,Perugia,Left,20.0,20.0,-1.838
34346,2S,EE,Perugia,Left,20.0,20.0,-2.115
34346,2S,EE,Perugia,Right,20.0,20.0,-1.863
34346,2S,WW,Perugia,Right,20.0,20.0,-2.141
34346,2S,WW,Perugia,Left,20.0,20.0,-2.122
34346,2S,EE,Perugia,Right,20.0,20.0,-2.127
34346,2S,WW,Perugia,Right,20.0,20.0,-2.144
34346,2S,WW,Perugia,Left,20.0,20.0,-2.126
34346,2S,EE,Perugia,Left,20.0,20.0,-2.129
34346,2S,EE,Perugia,Right,20.0,20.0,-2.114
34346,2S,EE,Perugia,Left,20.0,20.0,-2.133
34346,2S,WW,Perugia,Left,20.0,20.0,-2.129
34346,2S,WW,Perugia,Right,20.0,20.0,-2.151
34348,2S,EE,Perugia,Left,20.0,20.0,-1.94
34348,2S,EE,Perugia,Left,20.0,20.0,-1.965
34348,2S,WW,Perugia,Left,20.0,20.0,-1.932
34348,2S,EE,Perugia,Left,20.0,20.0,-1.965
34348,2S,WW,Perugia,Left,20.0,20.0,-1.818
34348,2S,EE,Perugia,Left,20.0,20.0,-1.843
34348,2S,EE,Perugia,Left,20.0,20.0,-1.843
34348,2S,EE,Perugia,Left,20.0,20.0,-1.843
34348,2S,WW,Perugia,Left,20.0,20.0,-1.811
34348,2S,EE,Perugia,Left,20.0,20.0,-1.917
34348,2S,WW,Perugia,Left,20.0,20.0,-1.815
34348,2S,EE,Perugia,Left,20.0,20.0,-1.939
34348,2S,EE,Perugia,Left,20.0,20.0,-1.953
34348,2S,EE,Perugia,Left,20.0,20.0,-1.954
34348,2S,WW,Perugia,Left,20.0,20.0,-1.844
34348,2S,EE,Perugia,Left,20.0,20.0,-1.925
34348,2S,EE,Perugia,Left,20.0,20.0,-1.925
34348,2S,WW,Perugia,Left,20.0,20.0,-1.825
34348,2S,EE,Perugia,Left,20.0,20.0,-1.874
34348,2S,WW,Perugia,Left,20.0,20.0,-1.796
34348,2S,EE,Perugia,Left,20.0,20.0,-1.934
34348,2S,WW,Perugia,Left,20.0,20.0,-1.939
34348,2S,EE,Perugia,Left,20.0,20.0,-1.72
34348,2S,WW,Perugia,Left,20.0,20.0,-1.8
34348,2S,EE,Perugia,Left,20.0,20.0,-1.765
34348,2S,WW,Perugia,Left,20.0,20.0,-1.789
34331,2S,EE,Brown,Left,20.0,20.126,-2.492
34331,2S,EE,Brown,Right,20.0,20.099,-2.566
34331,2S,WW,Brown,Right,20.0,20.047,-2.547
34331,2S,WW,Brown,Left,20.0,20.099,-2.549
34331,2S,EE,Brown,Right,20.0,20.006,-2.559
34331,2S,WW,Brown,Right,20.0,20.056,-2.484
34331,2S,EE,Brown,Right,20.0,20.121,-2.549
34331,2S,WW,Brown,Right,20.0,20.065,-2.555
34331,2S,EE,Brown,Right,20.0,20.025,-2.553
34331,2S,WW,Brown,Right,20.0,20.072,-2.532
34331,2S,EE,Brown,Right,20.0,20.133,-2.537
34331,2S,WW,Brown,Right,20.0,20.072,-2.536
34331,2S,EE,Brown,Right,20.0,20.012,-2.559
34331,2S,WW,Brown,Right,20.0,20.047,-2.546
34331,2S,EE,Brown,Right,20.0,20.1,-2.53
34331,2S,WW,Brown,Right,20.0,20.041,-2.543
34331,2S,EE,Brown,Right,20.0,20.005,-2.522
34331,2S,WW,Brown,Right,20.0,20.019,-2.529
34331,2S,EE,Brown,Right,20.0,20.079,-2.545
34331,2S,WW,Brown,Right,20.0,20.026,-2.507
34331,2S,EE,Brown,Right,20.0,20.002,-2.544
34331,2S,WW,Brown,Right,20.0,20.004,-2.548
34331,2S,EE,Brown,Right,20.0,20.003,-2.565
34331,2S,WW,Brown,Right,20.0,20.008,-2.551
34331,2S,EE,Brown,Right,20.0,20.001,-2.387
34331,2S,WW,Brown,Right,20.0,20.001,-2.469
34331,2S,EE,Brown,Right,20.0,20.003,-2.418
34331,2S,WW,Brown,Right,20.0,20.001,-2.501
34331,2S,EE,Brown,Right,20.0,20.006,-1.986
34331,2S,WW,Brown,Right,20.0,20.068,-2.434
34331,2S,EE,Brown,Right,20.0,20.138,-2.406
34331,2S,WW,Brown,Right,20.0,20.069,-2.459
34331,2S,EE,Brown,Right,20.0,20.008,-2.495
34331,2S,WW,Brown,Right,20.0,20.06,-2.499
34331,2S,EE,Brown,Right,20.0,20.122,-2.462
34331,2S,WW,Brown,Right,20.0,20.058,-2.452
34331,2S,EE,Brown,Right,20.0,20.019,-2.463
34331,2S,WW,Brown,Right,20.0,20.035,-2.488
34331,2S,EE,Brown,Right,20.0,20.106,-2.507
34331,2S,WW,Brown,Right,20.0,20.052,-2.553
34340,PSS,EE,Brown,Right,20.0,20.003,-2.575
34340,PSS,WW,Brown,Right,20.0,20.007,-2.621
34340,PSS,EE,Brown,Right,20.0,20.049,-2.49
34340,PSS,WW,Brown,Right,20.0,20.004,-2.592
34340,PSS,EE,Brown,Right,20.0,20.001,-2.541
34340,PSS,WW,Brown,Right,20.0,20.005,-2.625
34340,PSS,EE,Brown,Right,20.0,20.029,-2.628
34340,PSS,WW,Brown,Right,20.0,20.002,-2.635
34340,PSS,EE,Brown,Right,20.0,20.001,-2.547
34340,PSS,WW,Brown,Right,20.0,20.008,-2.611
34340,PSS,EE,Brown,Right,20.0,20.056,-2.572
34340,PSS,WW,Brown,Right,20.0,20.007,-2.638
34340,PSS,EE,Brown,Right,20.0,20.004,-2.566
34340,PSS,WW,Brown,Right,20.0,20.005,-2.633
34340,PSS,EE,Brown,Right,20.0,20.05,-2.532
34340,PSS,WW,Brown,Right,20.0,20.013,-2.585
34340,PSS,EE,Brown,Right,20.0,20.003,-2.584
34340,PSS,WW,Brown,Right,20.0,20.008,-2.644
34340,PSS,EE,Brown,Right,20.0,20.055,-2.604
34340,PSS,WW,Brown,Right,20.0,20.008,-2.607
34340,PSS,EE,Brown,Right,20.0,20.002,-2.521
34340,PSS,WW,Brown,Right,20.0,20.005,-2.524
34340,PSS,EE,Brown,Right,20.0,20.082,-2.523
34340,PSS,WW,Brown,Right,20.0,20.018,-2.574
34340,PSS,EE,Brown,Right,20.0,20.001,-2.495
34340,PSS,WW,Brown,Right,20.0,20.003,-2.593
34340,PSS,EE,Brown,Right,20.0,20.05,-2.494
34340,PSS,WW,Brown,Right,20.0,20.009,-2.525
34340,PSS,EE,Brown,Right,20.0,20.001,-2.486
34340,PSS,WW,Brown,Right,20.0,20.006,-2.498
34340,PSS,EE,Brown,Right,20.0,20.06,-2.504
34340,PSS,WW,Brown,Right,20.0,20.016,-2.577
34340,PSS,EE,Brown,Right,20.0,20.004,-2.501
34254,PSS,EE,Brown,Right,20.0,20.004,-2.508
34254,PSS,WW,Brown,Right,20.0,20.008,-2.517
34254,PSS,EE,Brown,Right,20.0,20.063,-2.504
34254,PSS,WW,Brown,Right,20.0,20.012,-2.511
34254,PSS,EE,Brown,Right,20.0,20.005,-2.497
34254,PSS,WW,Brown,Right,20.0,20.013,-2.548
34254,PSS,EE,Brown,Right,20.0,20.068,-2.52
34254,PSS,WW,Brown,Right,20.0,20.018,-2.521
34254,PSS,EE,Brown,Right,20.0,20.008,-2.536
34254,PSS,WW,Brown,Right,20.0,20.03,-2.531
34254,PSS,EE,Brown,Right,20.0,20.078,-2.531
34254,PSS,WW,Brown,Right,20.0,20.02,-2.525
34254,PSS,EE,Brown,Right,20.0,20.005,-2.535
34254,PSS,WW,Brown,Right,20.0,20.003,-2.547
34254,PSS,EE,Brown,Right,20.0,20.009,-2.526
34254,PSS,WW,Brown,Right,20.0,20.003,-2.565
34254,PSS,EE,Brown,Right,20.0,20.003,-2.54
34254,PSS,WW,Brown,Right,20.0,20.003,-2.546
34254,PSS,EE,Brown,Right,20.0,20.008,-2.546
34254,PSS,WW,Brown,Right,20.0,20.003,-2.6
34254,PSS,EE,Brown,Right,20.0,20.004,-2.578
34254,PSS,WW,Brown,Right,20.0,20.002,-2.571
34254,PSS,EE,Brown,Right,20.0,20.011,-2.613
34254,PSS,WW,Brown,Right,20.0,19.977,-2.555
34254,PSS,EE,Brown,Right,20.0,20.001,-2.572
34254,PSS,WW,Brown,Right,20.0,20.001,-2.606
34254,PSS,EE,Brown,Right,20.0,20.008,-2.606
34254,PSS,WW,Brown,Right,20.0,20.002,-2.585
34254,PSS,EE,Brown,Right,20.0,20.003,-2.549
34254,PSS,WW,Brown,Right,20.0,20.002,-2.593
34254,PSS,EE,Brown,Right,20.0,20.017,-2.602
34254,PSS,WW,Brown,Right,20.0,20.004,-2.566
34254,PSS,EE,Brown,Right,20.0,20.002,-2.601
34254,PSS,WW,Brown,Right,20.0,20.003,-2.558
34254,PSS,EE,Brown,Right,20.0,20.011,-2.404
34254,PSS,WW,Brown,Right,20.0,20.002,-2.392
34254,PSS,EE,Brown,Right,20.0,20.001,-2.366
34254,PSS,WW,Brown,Right,20.0,20.004,-2.396
34254,PSS,EE,Brown,Right,20.0,20.024,-2.356
34254,PSS,WW,Brown,Right,20.0,20.006,-2.391
34254,PSS,EE,Brown,Right,20.0,20.003,-2.387
34254,PSS,WW,Brown,Right,20.0,20.002,-2.434
34254,PSS,EE,Brown,Right,20.0,20.012,-2.426
34254,PSS,WW,Brown,Right,20.0,20.002,-2.457
34254,PSS,EE,Brown,Right,20.0,20.004,-2.394
34254,PSS,WW,Brown,Right,20.0,20.027,-2.433
34254,PSS,EE,Brown,Right,20.0,20.082,-2.412
34254,PSS,WW,Brown,Right,20.0,20.031,-2.442
34254,PSS,EE,Brown,Right,20.0,20.001,-2.449
34254,PSS,WW,Brown,Right,20.0,20.003,-2.52
34254,PSS,EE,Brown,Right,20.0,20.015,-2.454
34254,PSS,WW,Brown,Right,20.0,20.001,-2.477
34254,PSS,EE,Brown,Right,20.0,20.001,-2.428
34254,PSS,WW,Brown,Right,20.0,20.002,-2.437
34254,PSS,EE,Brown,Right,20.0,20.013,-2.433
34254,PSS,WW,Brown,Right,20.0,20.002,-2.504
34340,PSS,WW,Brown,Right,20.0,20.013,-2.528
34340,PSS,EE,Brown,Right,20.0,20.067,-2.474
34340,PSS,WW,Brown,Right,20.0,20.013,-2.533
34340,PSS,EE,Brown,Right,20.0,20.002,-2.529
34340,PSS,WW,Brown,Right,20.0,20.014,-2.541
34340,PSS,EE,Brown,Right,20.0,20.081,-2.515
34340,PSS,WW,Brown,Right,20.0,20.019,-2.607
34352,2S,EE,Perugia,Left,20.0,20.0,-6.765
34353,2S,EE,Brown,Right,20.0,20.003,-2.452
34353,2S,WW,Brown,Right,20.0,20.032,-2.469
34353,2S,EE,Brown,Right,20.0,20.089,-2.581
34353,2S,WW,Brown,Right,20.0,20.043,-2.541
34353,2S,EE,Brown,Right,20.0,20.009,-2.616
34353,2S,WW,Brown,Right,20.0,20.042,-2.554
34353,2S,EE,Brown,Right,20.0,20.101,-2.628
34353,2S,WW,Brown,Right,20.0,20.055,-2.544
34353,2S,EE,Brown,Right,20.0,20.024,-2.632
34353,2S,WW,Brown,Right,20.0,20.057,-2.588
34353,2S,EE,Brown,Right,20.0,20.104,-2.705
34353,2S,WW,Brown,Right,20.0,20.047,-2.629
34353,2S,EE,Brown,Right,20.0,20.004,-2.508
34353,2S,WW,Brown,Right,20.0,20.027,-2.447
34353,2S,EE,Brown,Right,20.0,20.091,-2.436
34353,2S,WW,Brown,Right,20.0,20.052,-2.414
34353,2S,EE,Brown,Right,20.0,20.012,-2.444
34353,2S,WW,Brown,Right,20.0,20.043,-2.474
34353,2S,EE,Brown,Right,20.0,20.09,-2.499
34353,2S,WW,Brown,Right,20.0,20.036,-2.52
34353,2S,EE,Brown,Right,20.0,20.002,-2.441
34353,2S,WW,Brown,Right,20.0,20.002,-2.425
34353,2S,EE,Brown,Right,20.0,20.012,-2.423
34353,2S,WW,Brown,Right,20.0,20.002,-2.464
34353,2S,EE,Brown,Right,20.0,20.001,-2.504
34353,2S,WW,Brown,Right,20.0,20.003,-2.518
34353,2S,EE,Brown,Right,20.0,20.019,-2.501
34353,2S,WW,Brown,Right,20.0,20.004,-2.517
34353,2S,EE,Brown,Right,20.0,20.003,-2.514
34353,2S,WW,Brown,Right,20.0,20.002,-2.471
34353,2S,EE,Brown,Right,20.0,20.015,-2.531
34353,2S,WW,Brown,Right,20.0,20.001,-2.467
34359,2S,EE,Brown,Left,20.0,20.003,-2.438
34359,2S,WW,Brown,Right,20.0,20.002,-2.457
34359,2S,EE,Brown,Right,20.0,20.004,-2.428
34359,2S,WW,Brown,Right,20.0,20.002,-2.456
34359,2S,EE,Brown,Right,20.0,20.001,-2.405
34359,2S,WW,Brown,Right,20.0,20.003,-2.423
34359,2S,EE,Brown,Right,20.0,20.011,-2.415
34359,2S,WW,Brown,Right,20.0,20.003,-2.44
34359,2S,EE,Brown,Right,20.0,20.002,-2.426
34359,2S,WW,Brown,Right,20.0,20.003,-2.472
34359,2S,EE,Brown,Right,20.0,20.014,-2.437
34359,2S,WW,Brown,Right,20.0,20.002,-2.474
34359,2S,EE,Brown,Right,20.0,20.003,-2.418
34359,2S,WW,Brown,Right,20.0,20.002,-2.488
34359,2S,EE,Brown,Right,20.0,20.008,-2.441
34359,2S,WW,Brown,Right,20.0,20.001,-2.492
34359,2S,EE,Brown,Right,20.0,20.002,-2.51
34359,2S,WW,Brown,Right,20.0,20.002,-2.522
34359,2S,EE,Brown,Right,20.0,20.01,-2.518
34359,2S,WW,Brown,Right,20.0,20.002,-2.521
34359,2S,EE,Brown,Left,20.0,20.004,-2.273
34359,2S,WW,Brown,Right,20.0,20.004,-2.235
34359,2S,EE,Brown,Left,20.0,20.023,-2.263
34359,2S,WW,Brown,Right,20.0,20.002,-2.251
34359,2S,EE,Brown,Left,20.0,20.004,-2.356
34359,2S,WW,Brown,Right,20.0,20.001,-2.343
34359,2S,EE,Brown,Right,20.0,20.009,-2.371
34359,2S,WW,Brown,Right,20.0,20.002,-2.394
34341,PSS,EE,Brown,Right,20.0,20.062,-2.819
34341,PSS,WW,Brown,Right,20.0,20.023,-2.749
34341,PSS,EE,Brown,Right,20.0,20.005,-2.868
34341,PSS,WW,Brown,Right,20.0,20.003,-2.766
34341,PSS,EE,Brown,Right,20.0,20.015,-2.854
34341,PSS,WW,Brown,Right,20.0,20.046,-2.785
34341,PSS,EE,Brown,Right,20.0,20.104,-2.901
34341,PSS,WW,Brown,Right,20.0,20.046,-2.78
34341,PSS,EE,Brown,Right,20.0,20.01,-2.845
34341,PSS,WW,Brown,Right,20.0,20.043,-2.77
34341,PSS,EE,Brown,Right,20.0,20.103,-2.821
34341,PSS,WW,Brown,Right,20.0,20.049,-2.735
34341,PSS,EE,Brown,Right,20.0,20.009,-2.835
34341,PSS,WW,Brown,Right,20.0,20.04,-2.754
34341,PSS,EE,Brown,Right,20.0,20.095,-2.834
34341,PSS,WW,Brown,Right,20.0,20.041,-2.739
34341,PSS,EE,Brown,Right,20.0,20.004,-2.91
34341,PSS,WW,Brown,Right,20.0,20.017,-2.794
34341,PSS,EE,Brown,Right,20.0,20.076,-2.885
34341,PSS,WW,Brown,Right,20.0,20.026,-2.794
34341,PSS,EE,Brown,Right,20.0,20.007,-2.881
34341,PSS,WW,Brown,Right,20.0,20.035,-2.792
34341,PSS,EE,Brown,Right,20.0,20.104,-2.9
34341,PSS,WW,Brown,Right,20.0,20.054,-2.861
34341,PSS,EE,Brown,Right,20.0,20.003,-2.9
34341,PSS,WW,Brown,Right,20.0,20.02,-2.798
34341,PSS,EE,Brown,Right,20.0,20.082,-2.696
34341,PSS,WW,Brown,Right,20.0,20.042,-2.696
34341,PSS,EE,Brown,Right,20.0,20.003,-2.684
34341,PSS,WW,Brown,Right,20.0,20.016,-2.639
34341,PSS,EE,Brown,Right,20.0,20.065,-2.643
34341,PSS,WW,Brown,Right,20.0,20.016,-2.651
34341,PSS,EE,Brown,Right,20.0,20.013,-2.687
34341,PSS,WW,Brown,Right,20.0,20.04,-2.697
34341,PSS,EE,Brown,Right,20.0,20.093,-2.68
34341,PSS,WW,Brown,Right,20.0,20.037,-2.672
34341,PSS,EE,Brown,Right,20.0,20.039,-2.668
34341,PSS,WW,Brown,Right,20.0,20.055,-2.643
34341,PSS,EE,Brown,Right,20.0,20.105,-2.709
34341,PSS,WW,Brown,Right,20.0,20.05,-2.684
34343,PSS,EE,Brown,Right,20.0,20.003,-2.601
34343,PSS,WW,Brown,Right,20.0,20.012,-2.634
34343,PSS,EE,Brown,Right,20.0,20.067,-2.522
34343,PSS,WW,Brown,Right,20.0,20.026,-2.588
34343,PSS,EE,Brown,Right,20.0,20.063,-2.525
34343,PSS,WW,Brown,Right,20.0,20.017,-2.585
34343,PSS,EE,Brown,Right,20.0,20.003,-2.553
34343,PSS,WW,Brown,Right,20.0,20.012,-2.606
34343,PSS,EE,Brown,Right,20.0,20.002,-2.485
34343,PSS,WW,Brown,Right,20.0,20.044,-2.608
34343,PSS,EE,Brown,Right,20.0,20.046,-2.551
34343,PSS,WW,Brown,Right,20.0,20.038,-2.628
34343,PSS,EE,Brown,Right,20.0,20.004,-2.583
34343,PSS,WW,Brown,Right,20.0,20.01,-2.623
34343,PSS,EE,Brown,Right,20.0,20.058,-2.649
34343,PSS,WW,Brown,Right,20.0,20.014,-2.686
34343,PSS,EE,Brown,Right,20.0,20.022,-2.62
34343,PSS,WW,Brown,Right,20.0,20.066,-2.637
34343,PSS,EE,Brown,Right,20.0,20.124,-2.619
34343,PSS,WW,Brown,Right,20.0,20.071,-2.634
34343,PSS,EE,Brown,Right,20.0,20.01,-2.352
34343,PSS,WW,Brown,Right,20.0,20.026,-2.422
34343,PSS,EE,Brown,Right,20.0,20.074,-2.408
34343,PSS,WW,Brown,Right,20.0,20.021,-2.446
34343,PSS,EE,Brown,Right,20.0,20.014,-2.434
34343,PSS,WW,Brown,Right,20.0,20.065,-2.491
34343,PSS,EE,Brown,Right,20.0,20.131,-2.42
34343,PSS,WW,Brown,Right,20.0,20.083,-2.504
34343,PSS,EE,Brown,Right,20.0,20.003,-2.403
34343,PSS,WW,Brown,Right,20.0,20.019,-2.512
34343,PSS,EE,Brown,Right,20.0,20.081,-2.403
34343,PSS,WW,Brown,Right,20.0,20.035,-2.44
34343,PSS,EE,Brown,Right,20.0,20.031,-2.411
34343,PSS,WW,Brown,Right,20.0,20.09,-2.572
34343,PSS,EE,Brown,Right,20.0,20.152,-2.508
34343,PSS,WW,Brown,Right,20.0,20.098,-2.597
34343,PSS,EE,Brown,Right,20.0,20.012,-2.492
34343,PSS,WW,Brown,Right,20.0,20.028,-2.512
34343,PSS,EE,Brown,Right,20.0,20.076,-2.496
34343,PSS,WW,Brown,Right,20.0,20.022,-2.571
35722,2S,EE,Brown,Right,20.0,20.038,-2.422
35722,2S,WW,Brown,Right,20.0,20.009,-2.465
35722,2S,EE,Brown,Right,20.0,20.002,-2.309
35722,2S,WW,Brown,Right,20.0,20.002,-2.458
35722,2S,EE,Brown,Right,20.0,20.049,-2.298
35722,2S,WW,Brown,Right,20.0,20.031,-2.416
35722,2S,EE,Brown,Right,20.0,20.031,-2.291
35722,2S,WW,Brown,Right,20.0,20.01,-2.341
35722,2S,EE,Brown,Right,20.0,20.004,-2.111
35722,2S,WW,Brown,Right,20.0,20.012,-2.285
35722,2S,EE,Brown,Right,20.0,20.002,-2.229
35722,2S,WW,Brown,Right,20.0,20.005,-2.38
35722,2S,EE,Brown,Right,20.0,20.051,-2.188
35722,2S,WW,Brown,Right,20.0,20.019,-2.251
35722,2S,EE,Brown,Right,20.0,20.037,-2.133
35722,2S,WW,Brown,Right,20.0,20.003,-2.239
35952,2S,EE,Brown,Right,20.0,20.003,-2.626
35952,2S,WW,Brown,Right,20.0,20.014,-2.626
35952,2S,EE,Brown,Right,20.0,20.016,-2.628
35952,2S,WW,Brown,Right,20.0,20.023,-2.627
35717,2S,EE,Brown,Right,20.0,20.01,-2.306
