Name,Center,Average,Std.dev
34252-Pss,Brown,1.1,0.03
34254-PS-s,Brown,0.94,0.06
34330-2S,Perugia,1.1,0.04
34331-2S,Brown,0.96,0.05
34332-2S,Perugia,0.89,0.03
34340-Pss,Brown,0.94,0.03
34341-Pss,Brown,0.99,0.06
34342-Pss,Demokritos,1.09,0.05
34343-Pss,Brown,0.94,0.06
34346-2S,Perugia,1.04,0.06
34347-2S,Demokritos,1.15,0.2
34348-2S,Perugia,1.13,0.07
34350-2S,Demokritos,1.13,0.11
34351-2S,Demokritos,1.06,0.07
34352-2S,Perugia,1.09,0.08
34353-2S,Brown,0.94,0.04
34354-2S,Perugia,1.01,0.06
34355_2S,Demokritos,1.22,0.08
34356_2S,Demokritos,1.36,0.09
34358_2S,Demokritos,1.22,0.06
