Name,Center,Average,Std.dev
34252-Pss,Brown,4.9,0.1
34254-PS-s,Brown,4.2,0.1
34331-2S,Brown,4.2,0.2
34340-Pss,Brown,4.1,0.2
34341-Pss,Brown,4.3,0.3
34343-Pss,Brown,4.1,0.3
34347-2S,Demokritos,6.1,0.5
34350-2S,Demokritos,5.5,0.5
34351-2S,Demokritos,4.7,0.4
34353-2S,Brown,4.1,0.2
34355_2S,Demokritos,5.9,0.5
34356_2S,Demokritos,6.2,0.6
34358_2S,Demokritos,5.3,0.5
