batch_number,Type,Orientation,PART_ID,PART_NAME_LABEL,RHO_KOHMCM,VD_V,CMIN_PFRD,NA,D_UM,CMINPLNR_PFRD,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34330,2S,WW,25895,34330_005_2-S_HM_WW,,,2.941,9.072,198.425,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_005_2-S_HM_W_flute3_R_DiodeCV_21_9_2020_16h45m25s.txt,Perugia
34330,2S,EE,25900,34330_007_2-S_HM_EE,,,2.547,8.745,229.119,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_007_2-S_HM_E_flute3_L_DiodeCV_10_9_2020_11h6m35s.txt,Perugia
34330,2S,EE,25900,34330_007_2-S_HM_EE,,,2.526,8.89,231.024,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_007_2-S_HM_E_flute3_R_DiodeCV_10_9_2020_10h38m2s.txt,Perugia
34330,2S,EE,25900,34330_007_2-S_HM_EE,,,2.526,8.89,231.024,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_007_2-S_HM_E_flute3_R_DiodeCV_10_9_2020_10h38m2s.txt,Perugia
34330,2S,EE,25900,34330_007_2-S_HM_EE,,,2.547,8.745,229.119,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_007_2-S_HM_E_flute3_L_DiodeCV_10_9_2020_11h6m35s.txt,Perugia
34330,2S,WW,25903,34330_007_2-S_HM_WW,,,2.58,8.825,226.189,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_007_2-S_HM_W_flute3_R_DiodeCV_11_9_2020_10h12m29s.txt,Perugia
34330,2S,WW,25903,34330_007_2-S_HM_WW,,,2.524,8.437,231.207,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_007_2-S_HM_W_flute3_L_DiodeCV_11_9_2020_10h37m27s.txt,Perugia
34330,2S,WW,25903,34330_007_2-S_HM_WW,,,2.58,8.825,226.189,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_007_2-S_HM_W_flute3_R_DiodeCV_11_9_2020_10h12m29s.txt,Perugia
34330,2S,WW,25903,34330_007_2-S_HM_WW,,,2.524,8.437,231.207,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_007_2-S_HM_W_flute3_L_DiodeCV_11_9_2020_10h37m27s.txt,Perugia
34330,2S,EE,25928,34330_015_2-S_HM_EE,,,2.52,8.778,231.574,,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_015_2-S_HM_E_flute3_L_DiodeCV_11_9_2020_14h54m55s.txt,Perugia
34330,2S,EE,25928,34330_015_2-S_HM_EE,,,2.471,8.528,236.166,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_015_2-S_HM_E_flute3_R_DiodeCV_11_9_2020_14h33m13s.txt,Perugia
34330,2S,EE,25928,34330_015_2-S_HM_EE,,,2.471,8.528,236.166,,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_015_2-S_HM_E_flute3_R_DiodeCV_11_9_2020_14h33m13s.txt,Perugia
