batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,RHO_KOHMCM,VD_V,CMIN_PFRD,NA,D_UM,CMINPLNR_PFRD,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34330,2S,WW,830774,25903,34330_007_2-S_HM_WW,,,2.58,8.825,226.189,,34330_007_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_007_2-S_HM_W_flute3_R_DiodeCV_11_9_2020_10h12m29s.txt,Perugia
34330,2S,WW,832595,25903,34330_007_2-S_HM_WW,,,2.524,8.437,231.207,,34330_007_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_007_2-S_HM_W_flute3_L_DiodeCV_11_9_2020_10h37m27s.txt,Perugia
34330,2S,EE,831869,25928,34330_015_2-S_HM_EE,,,2.52,8.778,231.574,,34330_015_2-S_HM_EE,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_015_2-S_HM_E_flute3_L_DiodeCV_11_9_2020_14h54m55s.txt,Perugia
34330,2S,EE,832112,25928,34330_015_2-S_HM_EE,,,2.471,8.528,236.166,,34330_015_2-S_HM_EE,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_015_2-S_HM_E_flute3_R_DiodeCV_11_9_2020_14h33m13s.txt,Perugia
34330,2S,WW,832358,25931,34330_015_2-S_HM_WW,,,2.589,8.702,225.403,,34330_015_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_015_2-S_HM_W_flute3_L_DiodeCV_11_9_2020_17h31m36s.txt,Perugia
34330,2S,WW,832523,25931,34330_015_2-S_HM_WW,,,2.598,8.961,224.622,,34330_015_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_015_2-S_HM_W_flute3_R_DiodeCV_11_9_2020_17h13m13s.txt,Perugia
34330,2S,EE,831521,26008,34330_038_2-S_HM_EE,,,2.486,8.64,234.741,,34330_038_2-S_HM_EE,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_038_2-S_HM_E_flute3_R_DiodeCV_9_9_2020_16h51m35s.txt,Perugia
34330,2S,EE,832592,26008,34330_038_2-S_HM_EE,,,2.46,8.81,237.222,,34330_038_2-S_HM_EE,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_038_2-S_HM_E_flute3_L_DiodeCV_9_9_2020_16h6m57s.txt,Perugia
34330,2S,WW,832877,26011,34330_038_2-S_HM_WW,,,2.546,8.434,229.209,,34330_038_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_038_2-S_HM_W_flute3_L_DiodeCV_9_9_2020_18h57m10s.txt,Perugia
34330,2S,WW,833414,26011,34330_038_2-S_HM_WW,,,2.603,9.13,224.19,,34330_038_2-S_HM_WW,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,0.5,,,0.2,20.0,20.0,HPK_34330_038_2-S_HM_W_flute3_R_DiodeCV_9_9_2020_18h38m4s.txt,Perugia
