batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,NA
34330,2S,WW,Perugia,Left,20.0,20.0,8.358
34330,2S,WW,Perugia,Right,20.0,20.0,9.326
34330,2S,WW,Perugia,Right,20.0,20.0,8.761
34330,2S,WW,Perugia,Right,20.0,20.0,8.761
34330,2S,WW,Perugia,Right,20.0,20.0,9.326
34330,2S,WW,Perugia,Left,20.0,20.0,8.358
34330,2S,EE,Perugia,Right,20.0,20.0,9.626
34330,2S,EE,Perugia,Left,20.0,20.0,9.599
34330,2S,EE,Perugia,Left,20.0,20.0,9.599
34330,2S,EE,Perugia,Right,20.0,20.0,9.626
34330,2S,WW,Perugia,Right,20.0,20.0,9.966
34330,2S,WW,Perugia,Left,20.0,20.0,9.985
34330,2S,WW,Perugia,Left,20.0,20.0,9.985
34330,2S,WW,Perugia,Right,20.0,20.0,9.966
34330,2S,EE,Perugia,Left,20.0,20.0,9.947
34330,2S,EE,Perugia,Right,20.0,20.0,10.015
34330,2S,EE,Perugia,Right,20.0,20.0,10.015
34330,2S,EE,Perugia,Left,20.0,20.0,9.947
34330,2S,WW,Perugia,Right,20.0,20.0,10.057
34330,2S,WW,Perugia,Left,20.0,20.0,10.173
34330,2S,WW,Perugia,Right,20.0,20.0,10.057
34330,2S,WW,Perugia,Left,20.0,20.0,10.173
34330,2S,EE,Perugia,Right,20.0,20.0,9.925
34330,2S,EE,Perugia,Left,20.0,20.0,9.697
34330,2S,EE,Perugia,Left,20.0,20.0,9.697
34330,2S,EE,Perugia,Right,20.0,20.0,9.925
34330,2S,WW,Perugia,Left,20.0,20.0,10.209
34330,2S,WW,Perugia,Right,20.0,20.0,10.756
34330,2S,WW,Perugia,Right,20.0,20.0,10.756
34330,2S,WW,Perugia,Left,20.0,20.0,10.209
34330,2S,EE,Perugia,Right,20.0,20.0,9.832
34330,2S,EE,Perugia,Right,20.0,20.0,9.832
34330,2S,WW,Perugia,Right,20.0,20.0,10.227
34330,2S,WW,Perugia,Right,20.0,20.0,10.227
34252,PSS,EE,Brown,Right,20.0,20.01,2.662
34252,PSS,EE,Brown,Left,20.0,20.046,2.527
34252,PSS,WW,Brown,Left,20.0,20.078,2.568
34252,PSS,WW,Brown,Right,20.0,20.013,2.962
34252,PSS,EE,Brown,Right,20.0,20.082,2.895
34252,PSS,WW,Brown,Left,20.0,20.008,2.905
34252,PSS,WW,Brown,Right,20.0,20.008,2.493
34252,PSS,EE,Brown,Left,20.0,20.007,2.624
34252,PSS,EE,Brown,Right,20.0,20.003,2.541
34252,PSS,WW,Brown,Right,20.0,20.003,2.981
34252,PSS,WW,Brown,Left,20.0,20.046,2.411
34252,PSS,EE,Brown,Left,20.0,20.07,2.722
34252,PSS,EE,Brown,Right,20.0,20.05,2.777
34252,PSS,WW,Brown,Right,20.0,20.003,2.817
34252,PSS,WW,Brown,Left,20.0,20.06,2.573
34252,PSS,EE,Brown,Right,20.0,20.013,2.74
34252,PSS,EE,Brown,Left,20.0,20.088,2.739
34252,PSS,WW,Brown,Left,20.0,20.123,2.712
34252,PSS,WW,Brown,Right,20.0,20.061,2.528
34252,PSS,EE,Brown,Left,20.0,20.075,2.62
34252,PSS,EE,Brown,Right,20.0,20.115,2.489
34252,PSS,WW,Brown,Left,20.0,20.095,2.432
34252,PSS,WW,Brown,Right,20.0,20.063,2.486
34252,PSS,EE,Brown,Left,20.0,20.027,3.815
34252,PSS,EE,Brown,Right,20.0,20.021,2.762
34252,PSS,WW,Brown,Left,20.0,20.05,2.651
34252,PSS,WW,Brown,Right,20.0,20.067,2.61
34252,PSS,EE,Brown,Right,20.0,20.104,2.62
34252,PSS,EE,Brown,Left,20.0,20.095,2.629
34252,PSS,WW,Brown,Left,20.0,20.095,2.624
34252,PSS,WW,Brown,Right,20.0,20.049,2.651
34252,PSS,EE,Brown,Right,20.0,20.066,2.562
34252,PSS,EE,Brown,Left,20.0,20.14,3.609
34252,PSS,WW,Brown,Right,20.0,20.059,2.468
34252,PSS,WW,Brown,Left,20.0,20.158,3.173
34252,PSS,WW,Brown,Left,20.0,20.124,2.698
34252,PSS,EE,Brown,Right,20.0,20.018,3.382
34252,PSS,EE,Brown,Left,20.0,20.073,5.844
34252,PSS,WW,Brown,Left,20.0,20.093,3.507
34252,PSS,WW,Brown,Right,20.0,20.038,3.492
34252,PSS,EE,Brown,Left,20.0,20.077,3.388
34252,PSS,WW,Brown,Left,20.0,20.088,3.277
34252,PSS,WW,Brown,Right,20.0,20.042,3.369
34252,PSS,EE,Brown,Left,20.0,20.066,3.226
34252,PSS,EE,Brown,Right,20.0,20.008,3.258
34252,PSS,WW,Brown,Left,20.0,20.071,3.435
34252,PSS,EE,Brown,Right,20.0,20.058,3.414
34252,PSS,EE,Brown,Left,20.0,20.055,3.306
34252,PSS,WW,Brown,Right,20.0,20.025,3.199
34252,PSS,WW,Brown,Left,20.0,20.052,3.384
34332,2S,EE,Perugia,Left,20.0,20.0,7.626
34332,2S,WW,Perugia,Left,20.0,20.0,7.254
34332,2S,WW,Perugia,Right,20.0,20.0,7.772
34332,2S,EE,Perugia,Right,20.0,20.0,7.239
34332,2S,EE,Perugia,Left,20.0,20.0,7.383
34332,2S,WW,Perugia,Left,20.0,20.0,6.872
34332,2S,WW,Perugia,Right,20.0,20.0,7.418
34332,2S,EE,Perugia,Left,20.0,20.0,7.801
34332,2S,EE,Perugia,Right,20.0,20.0,7.606
34332,2S,WW,Perugia,Right,20.0,20.0,7.929
34332,2S,WW,Perugia,Left,20.0,20.0,7.357
34332,2S,EE,Perugia,Right,20.0,20.0,7.362
34332,2S,WW,Perugia,Right,20.0,20.0,7.712
34332,2S,WW,Perugia,Left,20.0,20.0,6.988
34332,2S,WW,Perugia,Left,20.0,20.0,7.482
34332,2S,EE,Perugia,Left,20.0,20.0,7.533
34332,2S,EE,Perugia,Right,20.0,20.0,7.454
34332,2S,WW,Perugia,Right,20.0,20.0,7.629
34332,2S,WW,Perugia,Left,20.0,20.0,7.131
34332,2S,EE,Perugia,Left,20.0,20.0,7.204
34332,2S,EE,Perugia,Right,20.0,20.0,7.152
34332,2S,WW,Perugia,Left,20.0,20.0,7.281
34332,2S,WW,Perugia,Right,20.0,20.0,7.576
34332,2S,EE,Perugia,Left,20.0,20.0,7.068
34332,2S,EE,Perugia,Right,20.0,20.0,7.081
34332,2S,WW,Perugia,Left,20.0,20.0,6.944
34332,2S,WW,Perugia,Right,20.0,20.0,7.377
34332,2S,EE,Perugia,Right,20.0,20.0,7.131
34332,2S,EE,Perugia,Left,20.0,20.0,7.275
34332,2S,WW,Perugia,Left,20.0,20.0,6.778
34332,2S,WW,Perugia,Right,20.0,20.0,7.44
34332,2S,EE,Perugia,Left,20.0,20.0,7.67
34332,2S,EE,Perugia,Right,20.0,20.0,7.663
34332,2S,WW,Perugia,Right,20.0,20.0,7.869
34332,2S,WW,Perugia,Left,20.0,20.0,7.406
34332,2S,EE,Perugia,Right,20.0,20.0,7.494
34332,2S,EE,Perugia,Left,20.0,20.0,7.741
34332,2S,WW,Perugia,Right,20.0,20.0,8.219
34332,2S,WW,Perugia,Left,20.0,20.0,7.397
34346,2S,EE,Perugia,Left,20.0,20.0,8.12
34346,2S,EE,Perugia,Right,20.0,20.0,7.925
34346,2S,WW,Perugia,Right,20.0,20.0,7.992
34346,2S,WW,Perugia,Left,20.0,20.0,7.473
34346,2S,EE,Perugia,Right,20.0,20.0,7.785
34346,2S,EE,Perugia,Left,20.0,20.0,7.992
34346,2S,WW,Perugia,Left,20.0,20.0,7.473
34346,2S,WW,Perugia,Right,20.0,20.0,7.958
34346,2S,EE,Perugia,Right,20.0,20.0,7.83
34346,2S,EE,Perugia,Left,20.0,20.0,7.928
34346,2S,WW,Perugia,Left,20.0,20.0,7.453
34346,2S,WW,Perugia,Right,20.0,20.0,8.082
34346,2S,EE,Perugia,Right,20.0,20.0,7.882
34346,2S,EE,Perugia,Left,20.0,20.0,8.025
34346,2S,WW,Perugia,Left,20.0,20.0,7.555
34346,2S,EE,Perugia,Right,20.0,20.0,8.043
34346,2S,EE,Perugia,Left,20.0,20.0,8.272
34346,2S,WW,Perugia,Right,20.0,20.0,8.003
34346,2S,WW,Perugia,Left,20.0,20.0,7.713
34346,2S,EE,Perugia,Left,20.0,20.0,8.645
34346,2S,EE,Perugia,Right,20.0,20.0,8.068
34346,2S,WW,Perugia,Left,20.0,20.0,7.686
34346,2S,WW,Perugia,Right,20.0,20.0,8.287
34346,2S,EE,Perugia,Left,20.0,20.0,7.823
34346,2S,EE,Perugia,Right,20.0,20.0,7.73
34346,2S,WW,Perugia,Left,20.0,20.0,7.279
34346,2S,WW,Perugia,Right,20.0,20.0,7.741
34346,2S,EE,Perugia,Right,20.0,20.0,8.167
34346,2S,EE,Perugia,Left,20.0,20.0,8.391
34346,2S,EE,Perugia,Right,20.0,20.0,7.986
34346,2S,WW,Perugia,Left,20.0,20.0,7.377
34346,2S,EE,Perugia,Right,20.0,20.0,7.886
34346,2S,EE,Perugia,Left,20.0,20.0,8.113
34346,2S,WW,Perugia,Left,20.0,20.0,7.458
34346,2S,WW,Perugia,Right,20.0,20.0,8.057
34346,2S,EE,Perugia,Right,20.0,20.0,8.482
34346,2S,EE,Perugia,Left,20.0,20.0,8.24
34346,2S,WW,Perugia,Left,20.0,20.0,7.752
34346,2S,WW,Perugia,Right,20.0,20.0,8.202
34348,2S,EE,Perugia,Left,20.0,20.0,8.208
34348,2S,WW,Perugia,Left,20.0,20.0,8.387
34348,2S,EE,Perugia,Left,20.0,20.0,8.193
34348,2S,WW,Perugia,Left,20.0,20.0,8.186
34348,2S,EE,Perugia,Left,20.0,20.0,8.207
34348,2S,WW,Perugia,Left,20.0,20.0,8.275
34348,2S,EE,Perugia,Left,20.0,20.0,8.379
34348,2S,WW,Perugia,Left,20.0,20.0,8.41
34348,2S,EE,Perugia,Left,20.0,20.0,8.478
34348,2S,WW,Perugia,Left,20.0,20.0,8.465
34348,2S,EE,Perugia,Left,20.0,20.0,8.56
34348,2S,EE,Perugia,Left,20.0,20.0,8.557
34348,2S,EE,Perugia,Left,20.0,20.0,8.459
34348,2S,WW,Perugia,Left,20.0,20.0,8.527
34348,2S,EE,Perugia,Left,20.0,20.0,8.448
34348,2S,WW,Perugia,Left,20.0,20.0,8.575
34348,2S,EE,Perugia,Left,20.0,20.0,8.5
