batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,VD_V
34348,2S,EE,Perugia,Left,20.0,20.0,240.652
34348,2S,WW,Perugia,Left,20.0,20.0,266.958
34348,2S,EE,Perugia,Left,20.0,20.0,251.451
34348,2S,WW,Perugia,Left,20.0,20.0,252.458
34348,2S,EE,Perugia,Left,20.0,20.0,241.554
34348,2S,WW,Perugia,Left,20.0,20.0,287.237
34348,2S,EE,Perugia,Left,20.0,20.0,247.433
34348,2S,EE,Perugia,Left,20.0,20.0,251.516
34348,2S,EE,Perugia,Left,20.0,20.0,242.669
34348,2S,WW,Perugia,Left,20.0,20.0,311.697
34348,2S,EE,Perugia,Left,20.0,20.0,268.217
34348,2S,WW,Perugia,Left,20.0,20.0,296.734
34348,2S,EE,Perugia,Left,20.0,20.0,240.487
34348,2S,WW,Perugia,Left,20.0,20.0,306.814
34348,2S,WW,Perugia,Left,20.0,20.0,306.814
34348,2S,EE,Perugia,Left,20.0,20.0,272.432
34348,2S,WW,Perugia,Left,20.0,20.0,302.315
34348,2S,EE,Perugia,Left,20.0,20.0,249.707
34348,2S,EE,Perugia,Left,20.0,20.0,249.707
34348,2S,WW,Perugia,Left,20.0,20.0,241.731
34348,2S,EE,Perugia,Left,20.0,20.0,245.024
34348,2S,EE,Perugia,Left,20.0,20.0,245.024
34348,2S,WW,Perugia,Left,20.0,20.0,248.497
34331,2S,EE,Brown,Right,20.0,20.112,311.089
34331,2S,EE,Brown,Left,20.0,20.136,315.745
34331,2S,WW,Brown,Right,20.0,20.061,313.269
34331,2S,EE,Brown,Right,20.0,20.017,294.071
34331,2S,WW,Brown,Right,20.0,20.07,318.906
34331,2S,EE,Brown,Right,20.0,20.133,313.622
34331,2S,WW,Brown,Right,20.0,20.074,304.017
34331,2S,EE,Brown,Right,20.0,20.066,279.515
34331,2S,WW,Brown,Right,20.0,20.106,307.646
34331,2S,EE,Brown,Right,20.0,20.099,342.111
34331,2S,WW,Brown,Right,20.0,20.094,333.264
34331,2S,EE,Brown,Right,20.0,20.012,317.315
34331,2S,WW,Brown,Right,20.0,20.069,325.438
34331,2S,EE,Brown,Right,20.0,20.12,323.31
34331,2S,WW,Brown,Right,20.0,20.06,338.879
34331,2S,EE,Brown,Right,20.0,20.007,365.215
34331,2S,WW,Brown,Right,20.0,20.046,338.333
34331,2S,EE,Brown,Right,20.0,20.097,316.091
34331,2S,WW,Brown,Right,20.0,20.046,336.414
34331,2S,EE,Brown,Right,20.0,20.002,317.756
34331,2S,WW,Brown,Right,20.0,20.001,309.615
34331,2S,EE,Brown,Right,20.0,20.006,304.454
34331,2S,WW,Brown,Right,20.0,20.003,293.638
34331,2S,EE,Brown,Right,20.0,20.002,293.435
34331,2S,WW,Brown,Right,20.0,20.002,285.761
34331,2S,EE,Brown,Right,20.0,20.008,306.721
34331,2S,WW,Brown,Right,20.0,20.002,295.059
34331,2S,EE,Brown,Right,20.0,20.028,285.035
34331,2S,WW,Brown,Right,20.0,20.104,298.045
34331,2S,EE,Brown,Right,20.0,20.144,286.751
34331,2S,WW,Brown,Right,20.0,20.079,285.13
34331,2S,EE,Brown,Right,20.0,20.035,305.474
34331,2S,WW,Brown,Right,20.0,20.096,295.974
34331,2S,EE,Brown,Right,20.0,20.139,285.773
34331,2S,WW,Brown,Right,20.0,20.079,300.656
34331,2S,EE,Brown,Right,20.0,20.056,279.961
34331,2S,WW,Brown,Right,20.0,20.074,270.384
34331,2S,EE,Brown,Right,20.0,20.126,240.532
34331,2S,WW,Brown,Right,20.0,20.069,261.841
34340,PSS,EE,Brown,Right,20.0,20.005,250.663
34340,PSS,WW,Brown,Right,20.0,20.019,244.559
34340,PSS,EE,Brown,Right,20.0,20.061,229.114
34340,PSS,WW,Brown,Right,20.0,20.01,235.739
34340,PSS,EE,Brown,Right,20.0,20.002,230.123
34340,PSS,WW,Brown,Right,20.0,20.009,238.235
34340,PSS,EE,Brown,Right,20.0,20.04,234.087
34340,PSS,WW,Brown,Right,20.0,20.003,227.729
34340,PSS,EE,Brown,Right,20.0,20.004,269.932
34340,PSS,WW,Brown,Right,20.0,20.025,248.144
34340,PSS,EE,Brown,Right,20.0,20.071,245.796
34340,PSS,WW,Brown,Right,20.0,20.026,255.314
34340,PSS,EE,Brown,Right,20.0,20.002,232.43
34340,PSS,WW,Brown,Right,20.0,20.015,245.9
34340,PSS,EE,Brown,Right,20.0,20.069,250.961
34340,PSS,WW,Brown,Right,20.0,20.027,250.178
34340,PSS,EE,Brown,Right,20.0,20.004,230.327
34340,PSS,WW,Brown,Right,20.0,20.027,245.555
34340,PSS,EE,Brown,Right,20.0,20.067,229.936
34340,PSS,WW,Brown,Right,20.0,20.031,225.573
34340,PSS,EE,Brown,Right,20.0,20.003,227.121
34340,PSS,WW,Brown,Right,20.0,20.018,230.101
34340,PSS,EE,Brown,Right,20.0,20.092,225.566
34340,PSS,WW,Brown,Right,20.0,20.027,235.353
34340,PSS,EE,Brown,Right,20.0,20.003,226.407
34340,PSS,WW,Brown,Right,20.0,20.022,214.035
34340,PSS,EE,Brown,Right,20.0,20.068,235.692
34340,PSS,WW,Brown,Right,20.0,20.024,257.014
34340,PSS,EE,Brown,Right,20.0,20.001,227.123
34340,PSS,WW,Brown,Right,20.0,20.019,230.71
34340,PSS,EE,Brown,Right,20.0,20.081,228.851
34340,PSS,WW,Brown,Right,20.0,20.048,221.22
34340,PSS,EE,Brown,Right,20.0,20.009,230.543
34254,PSS,EE,Brown,Right,20.0,20.009,270.93
34254,PSS,WW,Brown,Right,20.0,20.028,259.421
34254,PSS,EE,Brown,Right,20.0,20.085,255.357
34254,PSS,WW,Brown,Left,20.0,20.115,259.611
34254,PSS,EE,Brown,Right,20.0,20.012,308.333
34254,PSS,WW,Brown,Right,20.0,20.045,282.221
34254,PSS,WW,Brown,Right,20.0,20.035,266.005
34254,PSS,EE,Brown,Right,20.0,20.005,260.672
34254,PSS,WW,Brown,Right,20.0,20.03,296.308
34254,PSS,EE,Brown,Right,20.0,20.104,271.024
34254,PSS,WW,Brown,Right,20.0,20.038,289.962
34254,PSS,EE,Brown,Right,20.0,20.019,278.385
34254,PSS,WW,Brown,Right,20.0,20.006,278.451
34254,PSS,EE,Brown,Right,20.0,20.038,261.22
34254,PSS,WW,Brown,Right,20.0,20.138,251.003
34254,PSS,EE,Brown,Right,20.0,20.002,261.543
34254,PSS,WW,Brown,Right,20.0,20.004,269.355
34254,PSS,EE,Brown,Right,20.0,20.03,287.231
34254,PSS,WW,Brown,Right,20.0,20.003,271.912
34254,PSS,WW,Brown,Right,20.0,20.004,258.212
34254,PSS,EE,Brown,Right,20.0,20.026,255.277
34254,PSS,WW,Brown,Right,20.0,19.993,270.431
34254,PSS,EE,Brown,Right,20.0,20.002,272.076
34254,PSS,WW,Brown,Right,20.0,20.003,260.68
34254,PSS,EE,Brown,Right,20.0,20.025,256.803
34254,PSS,WW,Brown,Right,20.0,20.007,259.863
34254,PSS,EE,Brown,Right,20.0,20.002,266.366
34254,PSS,WW,Brown,Right,20.0,20.01,278.099
34254,PSS,EE,Brown,Right,20.0,20.04,281.123
34254,PSS,WW,Brown,Right,20.0,20.009,286.919
34254,PSS,EE,Brown,Right,20.0,20.002,268.097
34254,PSS,WW,Brown,Right,20.0,20.006,273.356
34254,PSS,EE,Brown,Right,20.0,20.025,258.148
34254,PSS,WW,Brown,Right,20.0,20.004,265.093
34254,PSS,EE,Brown,Right,20.0,20.003,267.49
34254,PSS,WW,Brown,Right,20.0,20.011,295.495
34254,PSS,EE,Brown,Right,20.0,20.046,275.345
34254,PSS,WW,Brown,Right,20.0,20.012,270.955
34254,PSS,EE,Brown,Right,20.0,20.004,256.087
34254,PSS,WW,Brown,Right,20.0,20.008,254.383
34254,PSS,EE,Brown,Right,20.0,20.03,255.335
34254,PSS,WW,Brown,Right,20.0,20.005,263.515
34254,PSS,EE,Brown,Right,20.0,20.013,262.771
34254,PSS,WW,Brown,Right,20.0,20.052,271.752
34254,PSS,EE,Brown,Right,20.0,20.112,254.906
34254,PSS,WW,Brown,Right,20.0,20.048,263.51
34254,PSS,EE,Brown,Right,20.0,20.004,269.136
34254,PSS,WW,Brown,Right,20.0,20.006,259.377
34254,PSS,EE,Brown,Right,20.0,20.033,261.678
34254,PSS,WW,Brown,Right,20.0,20.004,260.741
34254,PSS,EE,Brown,Right,20.0,20.003,288.733
34254,PSS,WW,Brown,Right,20.0,20.017,257.316
34254,PSS,WW,Brown,Right,20.0,20.004,254.947
34340,PSS,WW,Brown,Right,20.0,20.036,245.736
34340,PSS,EE,Brown,Right,20.0,20.085,233.994
34340,PSS,WW,Brown,Right,20.0,20.032,224.91
34340,PSS,EE,Brown,Right,20.0,20.01,234.845
34340,PSS,WW,Brown,Right,20.0,20.033,235.254
34340,PSS,EE,Brown,Right,20.0,20.1,230.417
34340,PSS,WW,Brown,Right,20.0,20.051,255.937
34354,2S,EE,Perugia,Left,20.0,20.0,304.946
34352,2S,WW,Perugia,Left,20.0,20.0,256.618
34352,2S,WW,Perugia,Left,20.0,20.0,256.618
34352,2S,WW,Perugia,Left,20.0,20.0,256.618
34352,2S,WW,Perugia,Left,20.0,20.0,256.618
34352,2S,WW,Perugia,Left,20.0,20.0,256.618
34352,2S,WW,Perugia,Left,20.0,20.0,256.618
34352,2S,WW,Perugia,Left,20.0,20.0,256.618
34352,2S,EE,Perugia,Left,20.0,20.0,258.901
34352,2S,WW,Perugia,Left,20.0,20.0,252.677
34352,2S,EE,Perugia,Left,20.0,20.0,252.087
34352,2S,WW,Perugia,Left,20.0,20.0,254.413
34352,2S,EE,Perugia,Left,20.0,20.0,256.4
34352,2S,WW,Perugia,Left,20.0,20.0,256.202
34352,2S,EE,Perugia,Left,20.0,20.0,273.681
34352,2S,WW,Perugia,Left,20.0,20.0,255.963
34353,2S,EE,Brown,Right,20.0,20.011,253.561
34353,2S,WW,Brown,Right,20.0,20.059,274.743
34353,2S,EE,Brown,Right,20.0,20.104,254.253
34353,2S,WW,Brown,Right,20.0,20.056,298.742
34353,2S,WW,Brown,Right,20.0,20.087,275.306
34353,2S,EE,Brown,Right,20.0,20.093,277.818
34353,2S,WW,Brown,Right,20.0,20.051,283.841
34353,2S,WW,Brown,Right,20.0,20.075,267.712
34353,2S,EE,Brown,Right,20.0,20.04,254.793
34353,2S,WW,Brown,Right,20.0,20.058,274.959
34353,2S,EE,Brown,Right,20.0,20.088,273.915
34353,2S,WW,Brown,Right,20.0,20.06,222.897
34353,2S,EE,Brown,Right,20.0,20.004,254.878
34353,2S,WW,Brown,Right,20.0,20.057,271.731
34353,2S,EE,Brown,Right,20.0,20.103,254.508
34353,2S,WW,Brown,Right,20.0,20.055,280.403
34353,2S,EE,Brown,Right,20.0,20.003,253.788
34353,2S,WW,Brown,Right,20.0,20.008,266.852
34353,2S,EE,Brown,Right,20.0,20.028,259.284
34353,2S,WW,Brown,Right,20.0,20.006,260.57
34353,2S,EE,Brown,Right,20.0,20.003,251.667
34353,2S,WW,Brown,Right,20.0,20.015,258.611
34353,2S,EE,Brown,Right,20.0,20.031,233.897
34353,2S,WW,Brown,Right,20.0,20.005,285.768
34353,2S,EE,Brown,Right,20.0,20.003,249.484
34353,2S,WW,Brown,Right,20.0,20.006,286.798
34353,2S,EE,Brown,Right,20.0,20.021,256.224
34353,2S,WW,Brown,Right,20.0,20.008,268.765
34357,2S,EE,Perugia,Left,20.0,20.0,252.348
34357,2S,WW,Perugia,Left,20.0,20.0,250.741
34357,2S,EE,Perugia,Left,20.0,20.0,250.857
34357,2S,WW,Perugia,Left,20.0,20.0,248.599
34357,2S,EE,Perugia,Left,20.0,20.0,250.849
34357,2S,WW,Perugia,Left,20.0,20.0,250.488
34357,2S,EE,Perugia,Left,20.0,20.0,251.39
34357,2S,WW,Perugia,Left,20.0,20.0,250.471
34357,2S,EE,Perugia,Left,20.0,20.0,249.837
34357,2S,WW,Perugia,Left,20.0,20.0,250.678
34357,2S,EE,Perugia,Left,20.0,20.0,254.879
34357,2S,WW,Perugia,Left,20.0,20.0,249.444
34357,2S,EE,Perugia,Left,20.0,20.0,240.904
34357,2S,WW,Perugia,Left,20.0,20.0,251.593
34357,2S,EE,Perugia,Left,20.0,20.0,251.159
34357,2S,WW,Perugia,Left,20.0,20.0,250.445
34357,2S,EE,Perugia,Left,20.0,20.0,248.025
34357,2S,WW,Perugia,Left,20.0,20.0,246.317
34357,2S,EE,Perugia,Left,20.0,20.0,252.145
34357,2S,WW,Perugia,Left,20.0,20.0,250.51
34357,2S,EE,Perugia,Left,20.0,20.0,248.132
34357,2S,EE,Perugia,Left,20.0,20.0,249.854
34357,2S,EE,Perugia,Left,20.0,20.0,248.439
34354,2S,EE,Perugia,Left,20.0,20.0,318.251
34354,2S,EE,Perugia,Left,20.0,20.0,251.198
34354,2S,WW,Perugia,Left,20.0,20.0,254.23
34354,2S,EE,Perugia,Left,20.0,20.0,257.223
34354,2S,WW,Perugia,Left,20.0,20.0,256.961
34354,2S,EE,Perugia,Left,20.0,20.0,246.748
34354,2S,WW,Perugia,Left,20.0,20.0,252.098
34354,2S,EE,Perugia,Left,20.0,20.0,294.039
34354,2S,EE,Perugia,Left,20.0,20.0,255.32
34354,2S,EE,Perugia,Left,20.0,20.0,258.311
34354,2S,EE,Perugia,Left,20.0,20.0,256.942
34354,2S,EE,Perugia,Left,20.0,20.0,256.031
34354,2S,WW,Perugia,Left,20.0,20.0,259.191
34354,2S,EE,Perugia,Left,20.0,20.0,253.796
34354,2S,WW,Perugia,Left,20.0,20.0,256.299
34354,2S,EE,Perugia,Left,20.0,20.0,258.858
34354,2S,WW,Perugia,Left,20.0,20.0,262.058
34354,2S,EE,Perugia,Left,20.0,20.0,258.588
34354,2S,WW,Perugia,Left,20.0,20.0,257.325
34354,2S,EE,Perugia,Left,20.0,20.0,260.879
34354,2S,WW,Perugia,Left,20.0,20.0,260.041
34354,2S,EE,Perugia,Left,20.0,20.0,254.754
34354,2S,WW,Perugia,Left,20.0,20.0,257.827
34354,2S,EE,Perugia,Left,20.0,20.0,255.055
34354,2S,WW,Perugia,Left,20.0,20.0,255.409
34354,2S,EE,Perugia,Left,20.0,20.0,258.787
34354,2S,WW,Perugia,Left,20.0,20.0,257.136
34354,2S,EE,Perugia,Left,20.0,20.0,257.412
34354,2S,WW,Perugia,Left,20.0,20.0,255.003
34354,2S,EE,Perugia,Left,20.0,20.0,257.141
34354,2S,WW,Perugia,Left,20.0,20.0,257.373
34357,2S,EE,Perugia,Left,20.0,20.0,252.948
34357,2S,WW,Perugia,Left,20.0,20.0,251.833
34357,2S,EE,Perugia,Left,20.0,20.0,250.931
34357,2S,WW,Perugia,Left,20.0,20.0,250.082
34357,2S,EE,Perugia,Left,20.0,20.0,252.733
34357,2S,WW,Perugia,Left,20.0,20.0,251.679
34359,2S,EE,Brown,Right,20.0,20.003,249.901
34359,2S,WW,Brown,Right,20.0,20.003,273.191
34359,2S,WW,Brown,Right,20.0,20.004,225.964
34359,2S,EE,Brown,Right,20.0,20.03,272.606
34359,2S,WW,Brown,Right,20.0,20.004,270.672
34359,2S,EE,Brown,Right,20.0,20.022,269.331
34359,2S,WW,Brown,Right,20.0,20.003,268.186
34359,2S,EE,Brown,Right,20.0,20.004,267.634
34359,2S,WW,Brown,Right,20.0,20.01,234.371
34359,2S,WW,Brown,Right,20.0,20.003,260.056
34359,2S,EE,Brown,Right,20.0,20.003,260.378
34359,2S,WW,Brown,Right,20.0,20.003,257.606
34359,2S,EE,Brown,Right,20.0,20.018,263.374
34359,2S,WW,Brown,Right,20.0,20.003,311.684
34359,2S,EE,Brown,Right,20.0,20.006,255.879
34359,2S,WW,Brown,Right,20.0,20.007,271.524
34359,2S,EE,Brown,Right,20.0,20.023,262.939
34359,2S,WW,Brown,Right,20.0,20.005,234.695
34359,2S,EE,Brown,Right,20.0,20.022,292.585
34359,2S,WW,Brown,Right,20.0,20.003,256.217
34359,2S,EE,Brown,Right,20.0,20.02,272.18
34359,2S,WW,Brown,Right,20.0,20.004,224.88
34359,2S,EE,Brown,Left,20.0,20.046,249.636
34359,2S,WW,Brown,Right,20.0,20.004,264.446
34359,2S,EE,Brown,Right,20.0,20.021,262.193
34359,2S,WW,Brown,Right,20.0,20.005,255.94
34341,PSS,EE,Brown,Right,20.0,20.082,237.312
34341,PSS,WW,Brown,Right,20.0,20.039,237.456
34341,PSS,EE,Brown,Right,20.0,20.002,235.089
34341,PSS,WW,Brown,Right,20.0,20.013,279.947
34341,PSS,EE,Brown,Right,20.0,20.031,239.957
34341,PSS,WW,Brown,Right,20.0,20.074,253.56
34341,PSS,EE,Brown,Right,20.0,20.118,234.956
34341,PSS,WW,Brown,Right,20.0,20.065,235.063
34341,PSS,EE,Brown,Right,20.0,20.021,241.549
34341,PSS,WW,Brown,Right,20.0,20.064,232.944
34341,PSS,EE,Brown,Right,20.0,20.122,254.982
34341,PSS,WW,Brown,Right,20.0,20.069,247.714
34341,PSS,EE,Brown,Right,20.0,20.026,235.835
34341,PSS,WW,Brown,Right,20.0,20.063,241.707
34341,PSS,EE,Brown,Right,20.0,20.113,249.843
34341,PSS,WW,Brown,Right,20.0,20.055,237.082
34341,PSS,EE,Brown,Right,20.0,20.008,233.217
34341,PSS,WW,Brown,Right,20.0,20.053,244.969
34341,PSS,WW,Brown,Right,20.0,20.044,240.884
34341,PSS,EE,Brown,Right,20.0,20.031,234.877
34341,PSS,WW,Brown,Right,20.0,20.062,246.961
34341,PSS,EE,Brown,Right,20.0,20.136,255.841
34341,PSS,WW,Brown,Right,20.0,20.079,244.009
34341,PSS,EE,Brown,Left,20.0,20.064,241.053
34341,PSS,WW,Brown,Right,20.0,20.044,246.271
34341,PSS,WW,Brown,Right,20.0,20.057,233.917
34341,PSS,WW,Brown,Right,20.0,20.037,222.951
34341,PSS,EE,Brown,Right,20.0,20.086,254.46
34341,PSS,WW,Brown,Right,20.0,20.027,244.573
34341,PSS,WW,Brown,Right,20.0,20.074,206.16
34341,PSS,EE,Brown,Right,20.0,20.11,248.537
34341,PSS,WW,Brown,Right,20.0,20.05,233.071
34341,PSS,EE,Brown,Right,20.0,20.054,226.423
34341,PSS,WW,Brown,Right,20.0,20.077,224.413
34341,PSS,WW,Brown,Right,20.0,20.078,220.23
34343,PSS,EE,Brown,Right,20.0,20.01,248.381
34343,PSS,WW,Brown,Right,20.0,20.029,243.033
34343,PSS,EE,Brown,Right,20.0,20.083,239.97
34343,PSS,WW,Brown,Right,20.0,20.018,256.104
34343,PSS,EE,Brown,Right,20.0,20.075,243.827
34343,PSS,EE,Brown,Right,20.0,20.004,255.437
34343,PSS,WW,Brown,Right,20.0,20.025,240.186
34343,PSS,EE,Brown,Right,20.0,20.002,238.678
34343,PSS,WW,Brown,Right,20.0,20.008,247.948
34343,PSS,EE,Brown,Right,20.0,20.065,238.812
34343,PSS,WW,Brown,Right,20.0,20.154,243.795
34343,PSS,EE,Brown,Right,20.0,20.009,245.174
34343,PSS,WW,Brown,Right,20.0,20.025,244.659
34343,PSS,WW,Brown,Right,20.0,20.025,245.969
34343,PSS,EE,Brown,Right,20.0,20.05,257.567
34343,PSS,WW,Brown,Right,20.0,20.089,243.212
34343,PSS,EE,Brown,Right,20.0,20.138,256.333
34343,PSS,WW,Brown,Right,20.0,20.015,247.702
34343,PSS,EE,Brown,Right,20.0,20.024,251.039
34343,PSS,WW,Brown,Right,20.0,20.054,250.174
34343,PSS,EE,Brown,Right,20.0,20.088,244.44
34343,PSS,WW,Brown,Right,20.0,20.039,259.292
34343,PSS,EE,Brown,Right,20.0,20.045,260.238
34343,PSS,WW,Brown,Right,20.0,20.09,253.897
34343,PSS,EE,Brown,Right,20.0,20.144,243.071
34343,PSS,WW,Brown,Right,20.0,20.093,241.104
34343,PSS,EE,Brown,Left,20.0,20.065,240.662
34343,PSS,WW,Brown,Right,20.0,20.041,247.064
34343,PSS,EE,Brown,Right,20.0,20.093,254.603
34343,PSS,WW,Brown,Right,20.0,20.047,244.766
