batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,VD_V
34252,PSS,EE,Brown,Right,20.0,20.01,259.366
34252,PSS,EE,Brown,Left,20.0,20.046,255.193
34252,PSS,WW,Brown,Left,20.0,20.078,270.283
34252,PSS,WW,Brown,Right,20.0,20.013,264.945
34252,PSS,EE,Brown,Left,20.0,20.036,226.598
34252,PSS,EE,Brown,Right,20.0,20.082,252.037
34252,PSS,WW,Brown,Left,20.0,20.008,268.999
34252,PSS,WW,Brown,Right,20.0,20.008,230.344
34252,PSS,EE,Brown,Left,20.0,20.007,242.984
34252,PSS,EE,Brown,Right,20.0,20.003,255.254
34252,PSS,WW,Brown,Right,20.0,20.003,265.863
34252,PSS,WW,Brown,Left,20.0,20.046,232.266
34252,PSS,EE,Brown,Left,20.0,20.07,259.486
34252,PSS,EE,Brown,Right,20.0,20.05,261.733
34252,PSS,WW,Brown,Right,20.0,20.003,269.333
34252,PSS,WW,Brown,Left,20.0,20.06,265.312
34252,PSS,EE,Brown,Right,20.0,20.013,269.37
34252,PSS,EE,Brown,Left,20.0,20.088,266.739
34252,PSS,WW,Brown,Left,20.0,20.123,266.393
34252,PSS,WW,Brown,Right,20.0,20.061,254.958
34252,PSS,EE,Brown,Left,20.0,20.075,266.241
34252,PSS,EE,Brown,Right,20.0,20.115,259.534
34252,PSS,WW,Brown,Left,20.0,20.095,264.86
34252,PSS,WW,Brown,Right,20.0,20.063,260.894
34252,PSS,EE,Brown,Left,20.0,20.027,281.625
34252,PSS,EE,Brown,Right,20.0,20.021,281.299
34252,PSS,WW,Brown,Left,20.0,20.05,266.118
34252,PSS,WW,Brown,Right,20.0,20.067,270.166
34252,PSS,EE,Brown,Right,20.0,20.104,271.949
34252,PSS,EE,Brown,Left,20.0,20.095,267.972
34252,PSS,WW,Brown,Left,20.0,20.095,253.202
34252,PSS,WW,Brown,Right,20.0,20.049,272.084
34252,PSS,EE,Brown,Right,20.0,20.066,260.459
34252,PSS,EE,Brown,Left,20.0,20.14,267.425
34252,PSS,WW,Brown,Right,20.0,20.059,230.315
34252,PSS,WW,Brown,Left,20.0,20.158,269.616
34252,PSS,WW,Brown,Left,20.0,20.124,258.245
34252,PSS,EE,Brown,Right,20.0,20.018,321.267
34252,PSS,EE,Brown,Left,20.0,20.073,399.157
34252,PSS,WW,Brown,Left,20.0,20.093,315.566
34252,PSS,WW,Brown,Right,20.0,20.038,308.396
34252,PSS,EE,Brown,Left,20.0,20.077,332.592
34252,PSS,WW,Brown,Left,20.0,20.088,297.129
34252,PSS,WW,Brown,Right,20.0,20.042,323.302
34252,PSS,EE,Brown,Left,20.0,20.066,316.459
34252,PSS,EE,Brown,Right,20.0,20.008,304.776
34252,PSS,WW,Brown,Left,20.0,20.071,318.111
34252,PSS,EE,Brown,Right,20.0,20.058,316.613
34252,PSS,EE,Brown,Left,20.0,20.055,313.762
34252,PSS,WW,Brown,Right,20.0,20.025,308.231
34252,PSS,WW,Brown,Left,20.0,20.052,320.552
34332,2S,EE,Perugia,Left,20.0,20.0,236.238
34332,2S,WW,Perugia,Left,20.0,20.0,240.232
34332,2S,WW,Perugia,Right,20.0,20.0,335.248
34332,2S,EE,Perugia,Right,20.0,20.0,238.507
34332,2S,EE,Perugia,Left,20.0,20.0,234.451
34332,2S,WW,Perugia,Left,20.0,20.0,235.419
34332,2S,WW,Perugia,Right,20.0,20.0,235.729
34332,2S,EE,Perugia,Left,20.0,20.0,236.404
34332,2S,EE,Perugia,Right,20.0,20.0,239.243
34332,2S,WW,Perugia,Right,20.0,20.0,367.601
34332,2S,WW,Perugia,Left,20.0,20.0,240.514
34332,2S,EE,Perugia,Right,20.0,20.0,237.929
34332,2S,WW,Perugia,Right,20.0,20.0,282.043
34332,2S,WW,Perugia,Left,20.0,20.0,235.441
34332,2S,WW,Perugia,Left,20.0,20.0,236.296
34332,2S,EE,Perugia,Left,20.0,20.0,238.524
34332,2S,EE,Perugia,Right,20.0,20.0,245.554
34332,2S,WW,Perugia,Right,20.0,20.0,244.64
34332,2S,WW,Perugia,Left,20.0,20.0,238.529
34332,2S,EE,Perugia,Left,20.0,20.0,234.088
34332,2S,EE,Perugia,Right,20.0,20.0,278.316
34332,2S,WW,Perugia,Left,20.0,20.0,254.794
34332,2S,WW,Perugia,Right,20.0,20.0,264.785
34332,2S,EE,Perugia,Left,20.0,20.0,237.446
34332,2S,EE,Perugia,Right,20.0,20.0,238.411
34332,2S,WW,Perugia,Left,20.0,20.0,239.688
34332,2S,WW,Perugia,Right,20.0,20.0,254.112
34332,2S,EE,Perugia,Right,20.0,20.0,234.918
34332,2S,EE,Perugia,Left,20.0,20.0,232.411
34332,2S,WW,Perugia,Left,20.0,20.0,236.795
34332,2S,WW,Perugia,Right,20.0,20.0,305.61
34332,2S,EE,Perugia,Left,20.0,20.0,241.147
34332,2S,EE,Perugia,Right,20.0,20.0,238.242
34332,2S,WW,Perugia,Right,20.0,20.0,307.889
34332,2S,WW,Perugia,Left,20.0,20.0,241.154
34332,2S,EE,Perugia,Right,20.0,20.0,234.91
34332,2S,EE,Perugia,Left,20.0,20.0,234.369
34332,2S,WW,Perugia,Right,20.0,20.0,221.042
34332,2S,WW,Perugia,Left,20.0,20.0,236.226
34346,2S,EE,Perugia,Left,20.0,20.0,231.915
34346,2S,EE,Perugia,Right,20.0,20.0,232.965
34346,2S,WW,Perugia,Left,20.0,20.0,236.291
34346,2S,EE,Perugia,Right,20.0,20.0,250.205
34346,2S,EE,Perugia,Left,20.0,20.0,267.961
34346,2S,WW,Perugia,Left,20.0,20.0,238.176
34346,2S,WW,Perugia,Right,20.0,20.0,273.953
34346,2S,EE,Perugia,Right,20.0,20.0,256.538
34346,2S,EE,Perugia,Left,20.0,20.0,288.415
34346,2S,WW,Perugia,Left,20.0,20.0,237.148
34346,2S,WW,Perugia,Right,20.0,20.0,271.883
34346,2S,EE,Perugia,Right,20.0,20.0,238.243
34346,2S,EE,Perugia,Left,20.0,20.0,234.459
34346,2S,WW,Perugia,Left,20.0,20.0,237.163
34346,2S,EE,Perugia,Right,20.0,20.0,258.799
34346,2S,EE,Perugia,Left,20.0,20.0,263.129
34346,2S,WW,Perugia,Right,20.0,20.0,301.628
34346,2S,WW,Perugia,Left,20.0,20.0,237.595
34346,2S,EE,Perugia,Left,20.0,20.0,315.691
34346,2S,EE,Perugia,Right,20.0,20.0,280.775
34346,2S,WW,Perugia,Left,20.0,20.0,240.744
34346,2S,WW,Perugia,Right,20.0,20.0,284.055
34346,2S,EE,Perugia,Left,20.0,20.0,241.164
34346,2S,WW,Perugia,Left,20.0,20.0,241.692
34346,2S,WW,Perugia,Right,20.0,20.0,238.35
34346,2S,EE,Perugia,Right,20.0,20.0,262.253
34346,2S,EE,Perugia,Left,20.0,20.0,237.071
34346,2S,EE,Perugia,Right,20.0,20.0,251.36
34346,2S,WW,Perugia,Left,20.0,20.0,242.331
34346,2S,EE,Perugia,Right,20.0,20.0,265.091
34346,2S,EE,Perugia,Left,20.0,20.0,254.117
34346,2S,WW,Perugia,Left,20.0,20.0,243.421
34346,2S,WW,Perugia,Right,20.0,20.0,272.994
34346,2S,EE,Perugia,Right,20.0,20.0,344.538
34346,2S,EE,Perugia,Left,20.0,20.0,250.348
34346,2S,WW,Perugia,Left,20.0,20.0,245.062
34346,2S,WW,Perugia,Right,20.0,20.0,237.514
34348,2S,EE,Perugia,Left,20.0,20.0,246.45
34348,2S,WW,Perugia,Left,20.0,20.0,327.438
34348,2S,EE,Perugia,Left,20.0,20.0,240.877
34348,2S,WW,Perugia,Left,20.0,20.0,241.202
