batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,D_UM
34331,2S,EE,Brown,Right,20.0,20.066,320.404
34331,2S,WW,Brown,Right,20.0,20.106,332.846
34331,2S,EE,Brown,Right,20.0,20.099,309.689
34331,2S,WW,Brown,Right,20.0,20.094,332.179
34331,2S,EE,Brown,Right,20.0,20.012,332.929
34331,2S,WW,Brown,Right,20.0,20.069,337.293
34331,2S,EE,Brown,Right,20.0,20.12,334.338
34331,2S,WW,Brown,Right,20.0,20.06,337.901
34331,2S,EE,Brown,Right,20.0,20.007,350.723
34331,2S,WW,Brown,Right,20.0,20.046,326.987
34331,2S,EE,Brown,Right,20.0,20.097,335.754
34331,2S,WW,Brown,Right,20.0,20.046,331.404
34331,2S,EE,Brown,Right,20.0,20.002,339.276
34331,2S,WW,Brown,Right,20.0,20.001,331.396
34331,2S,EE,Brown,Right,20.0,20.006,318.426
34331,2S,WW,Brown,Right,20.0,20.003,323.002
34331,2S,EE,Brown,Right,20.0,20.002,338.193
34331,2S,WW,Brown,Right,20.0,20.002,336.529
34331,2S,EE,Brown,Right,20.0,20.008,345.073
34331,2S,WW,Brown,Right,20.0,20.002,329.351
34331,2S,EE,Brown,Right,20.0,20.028,346.171
34331,2S,WW,Brown,Right,20.0,20.104,329.922
34331,2S,EE,Brown,Right,20.0,20.144,339.921
34331,2S,WW,Brown,Right,20.0,20.079,327.777
34331,2S,EE,Brown,Right,20.0,20.035,334.366
34331,2S,WW,Brown,Right,20.0,20.096,334.972
34331,2S,EE,Brown,Right,20.0,20.139,341.616
34331,2S,WW,Brown,Right,20.0,20.079,331.062
34331,2S,EE,Brown,Right,20.0,20.056,339.828
34331,2S,WW,Brown,Right,20.0,20.074,325.679
34331,2S,EE,Brown,Right,20.0,20.126,331.745
34331,2S,WW,Brown,Right,20.0,20.069,342.583
34340,PSS,EE,Brown,Right,20.0,20.005,339.575
34340,PSS,WW,Brown,Right,20.0,20.019,317.281
34340,PSS,EE,Brown,Right,20.0,20.061,319.961
34340,PSS,WW,Brown,Right,20.0,20.01,314.174
34340,PSS,EE,Brown,Right,20.0,20.002,320.149
34340,PSS,WW,Brown,Right,20.0,20.009,315.135
34340,PSS,EE,Brown,Right,20.0,20.04,318.892
34340,PSS,WW,Brown,Right,20.0,20.003,317.564
34340,PSS,EE,Brown,Right,20.0,20.004,340.117
34340,PSS,WW,Brown,Right,20.0,20.025,322.46
34340,PSS,EE,Brown,Right,20.0,20.071,336.71
34340,PSS,WW,Brown,Right,20.0,20.026,328.526
34340,PSS,EE,Brown,Right,20.0,20.002,318.326
34340,PSS,WW,Brown,Right,20.0,20.015,312.901
34340,PSS,EE,Brown,Right,20.0,20.069,337.096
34340,PSS,WW,Brown,Right,20.0,20.027,310.707
34340,PSS,EE,Brown,Right,20.0,20.004,315.128
34340,PSS,WW,Brown,Right,20.0,20.027,306.8
34340,PSS,EE,Brown,Right,20.0,20.067,314.824
34340,PSS,WW,Brown,Right,20.0,20.031,294.275
34340,PSS,EE,Brown,Right,20.0,20.003,318.978
34340,PSS,WW,Brown,Right,20.0,20.018,317.207
34340,PSS,EE,Brown,Right,20.0,20.092,317.893
34340,PSS,WW,Brown,Right,20.0,20.027,314.256
34340,PSS,EE,Brown,Right,20.0,20.003,317.973
34340,PSS,WW,Brown,Right,20.0,20.022,279.91
34340,PSS,EE,Brown,Right,20.0,20.068,321.318
34340,PSS,WW,Brown,Right,20.0,20.024,314.012
34340,PSS,EE,Brown,Right,20.0,20.001,318.466
34340,PSS,WW,Brown,Right,20.0,20.019,316.834
34340,PSS,EE,Brown,Right,20.0,20.081,317.286
34340,PSS,WW,Brown,Right,20.0,20.048,293.371
34340,PSS,EE,Brown,Right,20.0,20.009,320.358
34254,PSS,EE,Brown,Right,20.0,20.009,330.816
34254,PSS,WW,Brown,Right,20.0,20.028,322.354
34254,PSS,EE,Brown,Right,20.0,20.085,327.451
34254,PSS,WW,Brown,Left,20.0,20.115,304.344
34254,PSS,EE,Brown,Right,20.0,20.012,350.943
34254,PSS,WW,Brown,Right,20.0,20.045,346.027
34254,PSS,WW,Brown,Right,20.0,20.035,321.489
34254,PSS,EE,Brown,Right,20.0,20.005,311.191
34254,PSS,WW,Brown,Right,20.0,20.03,313.226
34254,PSS,EE,Brown,Right,20.0,20.104,335.764
34254,PSS,WW,Brown,Right,20.0,20.038,341.231
34254,PSS,EE,Brown,Right,20.0,20.019,326.929
34254,PSS,WW,Brown,Right,20.0,20.006,336.873
34254,PSS,EE,Brown,Right,20.0,20.038,324.401
34254,PSS,WW,Brown,Right,20.0,20.138,313.339
34254,PSS,EE,Brown,Right,20.0,20.002,329.473
34254,PSS,WW,Brown,Right,20.0,20.004,304.569
34254,PSS,EE,Brown,Right,20.0,20.03,371.202
34254,PSS,WW,Brown,Right,20.0,20.003,337.277
34254,PSS,WW,Brown,Right,20.0,20.004,323.276
34254,PSS,EE,Brown,Right,20.0,20.026,324.661
34254,PSS,WW,Brown,Right,20.0,19.993,320.083
34254,PSS,EE,Brown,Right,20.0,20.002,333.049
34254,PSS,WW,Brown,Right,20.0,20.003,319.485
34254,PSS,EE,Brown,Right,20.0,20.025,321.981
34254,PSS,WW,Brown,Right,20.0,20.007,315.919
34254,PSS,EE,Brown,Right,20.0,20.002,322.526
34254,PSS,WW,Brown,Right,20.0,20.01,328.262
34254,PSS,EE,Brown,Right,20.0,20.04,338.653
34254,PSS,WW,Brown,Right,20.0,20.009,329.026
34254,PSS,EE,Brown,Right,20.0,20.002,319.488
34254,PSS,WW,Brown,Right,20.0,20.006,324.379
34254,PSS,EE,Brown,Right,20.0,20.025,329.709
34254,PSS,WW,Brown,Right,20.0,20.004,324.169
34254,PSS,EE,Brown,Right,20.0,20.003,323.766
34254,PSS,WW,Brown,Right,20.0,20.011,331.438
34254,PSS,EE,Brown,Right,20.0,20.046,341.578
34254,PSS,WW,Brown,Right,20.0,20.012,321.017
34254,PSS,EE,Brown,Right,20.0,20.004,327.662
34254,PSS,WW,Brown,Right,20.0,20.008,321.767
34254,PSS,EE,Brown,Right,20.0,20.03,328.677
34254,PSS,WW,Brown,Right,20.0,20.005,321.729
34254,PSS,EE,Brown,Right,20.0,20.013,323.103
34254,PSS,WW,Brown,Right,20.0,20.052,322.253
34254,PSS,EE,Brown,Right,20.0,20.112,317.092
34254,PSS,WW,Brown,Right,20.0,20.048,324.746
34254,PSS,EE,Brown,Right,20.0,20.004,323.399
34254,PSS,WW,Brown,Right,20.0,20.006,326.382
34254,PSS,EE,Brown,Right,20.0,20.033,326.157
34254,PSS,WW,Brown,Right,20.0,20.004,327.814
34254,PSS,EE,Brown,Right,20.0,20.003,318.103
34254,PSS,WW,Brown,Right,20.0,20.017,325.596
34254,PSS,WW,Brown,Right,20.0,20.004,324.579
34340,PSS,WW,Brown,Right,20.0,20.036,315.538
34340,PSS,EE,Brown,Right,20.0,20.085,319.511
34340,PSS,WW,Brown,Right,20.0,20.032,312.252
34340,PSS,EE,Brown,Right,20.0,20.01,323.08
34340,PSS,WW,Brown,Right,20.0,20.033,318.996
34340,PSS,EE,Brown,Right,20.0,20.1,316.257
34340,PSS,WW,Brown,Right,20.0,20.051,332.74
34354,2S,EE,Perugia,Left,20.0,20.0,225.055
34354,2S,WW,Perugia,Left,20.0,20.0,225.926
34352,2S,WW,Perugia,Left,20.0,20.0,223.932
34352,2S,EE,Perugia,Left,20.0,20.0,222.396
34352,2S,WW,Perugia,Left,20.0,20.0,222.736
34352,2S,EE,Perugia,Left,20.0,20.0,223.589
34352,2S,WW,Perugia,Left,20.0,20.0,221.216
34352,2S,EE,Perugia,Left,20.0,20.0,223.503
34352,2S,WW,Perugia,Left,20.0,20.0,222.311
34352,2S,EE,Perugia,Left,20.0,20.0,223.503
34352,2S,WW,Perugia,Left,20.0,20.0,223.418
34353,2S,EE,Brown,Right,20.0,20.011,322.789
34353,2S,WW,Brown,Right,20.0,20.059,319.071
34353,2S,EE,Brown,Right,20.0,20.104,322.441
34353,2S,WW,Brown,Right,20.0,20.056,312.674
34353,2S,WW,Brown,Right,20.0,20.087,298.703
34353,2S,EE,Brown,Right,20.0,20.093,321.885
34353,2S,WW,Brown,Right,20.0,20.051,321.296
34353,2S,WW,Brown,Right,20.0,20.075,322.329
34353,2S,EE,Brown,Right,20.0,20.04,306.04
34353,2S,WW,Brown,Right,20.0,20.058,305.734
34353,2S,EE,Brown,Right,20.0,20.088,339.606
34353,2S,WW,Brown,Right,20.0,20.06,141.15
34353,2S,EE,Brown,Right,20.0,20.004,312.325
34353,2S,WW,Brown,Right,20.0,20.057,326.955
34353,2S,EE,Brown,Right,20.0,20.103,325.935
34353,2S,WW,Brown,Right,20.0,20.055,309.767
34353,2S,EE,Brown,Right,20.0,20.003,322.321
34353,2S,WW,Brown,Right,20.0,20.008,305.728
34353,2S,EE,Brown,Right,20.0,20.028,338.553
34353,2S,WW,Brown,Right,20.0,20.006,303.416
34353,2S,EE,Brown,Right,20.0,20.003,320.877
34353,2S,WW,Brown,Right,20.0,20.015,267.041
34353,2S,EE,Brown,Right,20.0,20.031,284.057
34353,2S,WW,Brown,Right,20.0,20.005,321.9
34353,2S,EE,Brown,Right,20.0,20.003,328.978
34353,2S,WW,Brown,Right,20.0,20.006,325.619
34353,2S,EE,Brown,Right,20.0,20.021,321.221
34353,2S,WW,Brown,Right,20.0,20.008,305.818
34357,2S,EE,Perugia,Left,20.0,20.0,223.589
34357,2S,WW,Perugia,Left,20.0,20.0,221.216
34357,2S,EE,Perugia,Left,20.0,20.0,223.247
34357,2S,WW,Perugia,Left,20.0,20.0,220.797
34357,2S,EE,Perugia,Left,20.0,20.0,223.076
34357,2S,WW,Perugia,Left,20.0,20.0,220.881
34357,2S,EE,Perugia,Left,20.0,20.0,223.076
34357,2S,WW,Perugia,Left,20.0,20.0,221.132
34357,2S,EE,Perugia,Left,20.0,20.0,222.906
34357,2S,WW,Perugia,Left,20.0,20.0,220.797
34357,2S,EE,Perugia,Left,20.0,20.0,224.622
34357,2S,WW,Perugia,Left,20.0,20.0,221.132
34357,2S,EE,Perugia,Left,20.0,20.0,223.932
34357,2S,WW,Perugia,Left,20.0,20.0,221.804
34357,2S,EE,Perugia,Left,20.0,20.0,223.332
34357,2S,WW,Perugia,Left,20.0,20.0,221.552
34357,2S,EE,Perugia,Left,20.0,20.0,223.332
34357,2S,WW,Perugia,Left,20.0,20.0,221.636
34357,2S,EE,Perugia,Left,20.0,20.0,223.418
34357,2S,WW,Perugia,Left,20.0,20.0,222.481
34357,2S,EE,Perugia,Left,20.0,20.0,222.651
34357,2S,EE,Perugia,Left,20.0,20.0,223.332
34357,2S,EE,Perugia,Left,20.0,20.0,223.161
34354,2S,EE,Perugia,Left,20.0,20.0,223.675
34354,2S,EE,Perugia,Left,20.0,20.0,223.503
34354,2S,WW,Perugia,Left,20.0,20.0,222.821
34354,2S,EE,Perugia,Left,20.0,20.0,223.076
34354,2S,WW,Perugia,Left,20.0,20.0,222.227
34354,2S,EE,Perugia,Left,20.0,20.0,223.503
34354,2S,WW,Perugia,Left,20.0,20.0,223.76
34354,2S,EE,Perugia,Left,20.0,20.0,223.932
34354,2S,EE,Perugia,Left,20.0,20.0,223.503
34354,2S,EE,Perugia,Left,20.0,20.0,223.589
34354,2S,EE,Perugia,Left,20.0,20.0,222.991
34354,2S,EE,Perugia,Left,20.0,20.0,223.247
34354,2S,WW,Perugia,Left,20.0,20.0,223.675
34354,2S,EE,Perugia,Left,20.0,20.0,222.396
34354,2S,WW,Perugia,Left,20.0,20.0,223.846
34354,2S,EE,Perugia,Left,20.0,20.0,222.736
34354,2S,WW,Perugia,Left,20.0,20.0,223.589
34354,2S,EE,Perugia,Left,20.0,20.0,223.247
34354,2S,WW,Perugia,Left,20.0,20.0,223.503
34354,2S,EE,Perugia,Left,20.0,20.0,222.991
34354,2S,WW,Perugia,Left,20.0,20.0,223.418
34354,2S,EE,Perugia,Left,20.0,20.0,223.076
34354,2S,WW,Perugia,Left,20.0,20.0,223.675
34354,2S,EE,Perugia,Left,20.0,20.0,223.247
34354,2S,WW,Perugia,Left,20.0,20.0,223.332
34354,2S,EE,Perugia,Left,20.0,20.0,223.503
34354,2S,WW,Perugia,Left,20.0,20.0,223.675
34354,2S,EE,Perugia,Left,20.0,20.0,223.332
34354,2S,WW,Perugia,Left,20.0,20.0,223.675
34354,2S,EE,Perugia,Left,20.0,20.0,223.332
34354,2S,WW,Perugia,Left,20.0,20.0,223.503
34357,2S,EE,Perugia,Left,20.0,20.0,223.589
34357,2S,WW,Perugia,Left,20.0,20.0,221.3
34357,2S,EE,Perugia,Left,20.0,20.0,223.247
34357,2S,WW,Perugia,Left,20.0,20.0,220.797
34357,2S,EE,Perugia,Left,20.0,20.0,223.589
34357,2S,WW,Perugia,Left,20.0,20.0,221.3
34359,2S,EE,Brown,Right,20.0,20.003,326.612
34359,2S,WW,Brown,Right,20.0,20.003,325.286
34359,2S,WW,Brown,Right,20.0,20.004,284.805
34359,2S,EE,Brown,Right,20.0,20.03,319.591
34359,2S,WW,Brown,Right,20.0,20.004,318.64
34359,2S,EE,Brown,Right,20.0,20.022,317.463
34359,2S,WW,Brown,Right,20.0,20.003,313.476
34359,2S,EE,Brown,Right,20.0,20.004,313.667
34359,2S,WW,Brown,Right,20.0,20.01,305.824
34359,2S,WW,Brown,Right,20.0,20.003,323.667
34359,2S,EE,Brown,Right,20.0,20.003,321.825
34359,2S,WW,Brown,Right,20.0,20.003,303.625
34359,2S,EE,Brown,Right,20.0,20.018,320.119
34359,2S,WW,Brown,Right,20.0,20.003,286.567
34359,2S,EE,Brown,Right,20.0,20.006,323.886
34359,2S,WW,Brown,Right,20.0,20.007,301.222
34359,2S,EE,Brown,Right,20.0,20.023,325.952
34359,2S,WW,Brown,Right,20.0,20.005,304.056
34359,2S,EE,Brown,Right,20.0,20.022,274.221
34359,2S,WW,Brown,Right,20.0,20.003,302.727
34359,2S,EE,Brown,Right,20.0,20.02,313.907
34359,2S,WW,Brown,Right,20.0,20.004,286.946
34359,2S,EE,Brown,Left,20.0,20.046,302.735
34359,2S,WW,Brown,Right,20.0,20.004,321.642
34359,2S,EE,Brown,Right,20.0,20.021,318.253
34359,2S,WW,Brown,Right,20.0,20.005,316.474
34341,PSS,EE,Brown,Right,20.0,20.082,311.772
34341,PSS,WW,Brown,Right,20.0,20.039,314.334
34341,PSS,EE,Brown,Right,20.0,20.002,314.251
34341,PSS,WW,Brown,Right,20.0,20.013,580.197
34341,PSS,EE,Brown,Right,20.0,20.031,312.038
34341,PSS,WW,Brown,Right,20.0,20.074,319.899
34341,PSS,EE,Brown,Right,20.0,20.118,309.652
34341,PSS,WW,Brown,Right,20.0,20.065,313.38
34341,PSS,EE,Brown,Right,20.0,20.021,312.61
34341,PSS,WW,Brown,Right,20.0,20.064,314.882
34341,PSS,EE,Brown,Right,20.0,20.122,303.971
34341,PSS,WW,Brown,Right,20.0,20.069,325.152
34341,PSS,EE,Brown,Right,20.0,20.026,313.968
34341,PSS,WW,Brown,Right,20.0,20.063,313.994
34341,PSS,EE,Brown,Right,20.0,20.113,312.091
34341,PSS,WW,Brown,Right,20.0,20.055,315.994
34341,PSS,EE,Brown,Right,20.0,20.008,312.18
34341,PSS,WW,Brown,Right,20.0,20.053,277.755
34341,PSS,WW,Brown,Right,20.0,20.044,310.31
34341,PSS,EE,Brown,Right,20.0,20.031,307.894
34341,PSS,WW,Brown,Right,20.0,20.062,324.315
