batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,D_UM
34330,2S,EE,Perugia,Left,20.0,20.0,226.804
34330,2S,EE,Perugia,Right,20.0,20.0,225.055
34330,2S,WW,Perugia,Right,20.0,20.0,220.048
34330,2S,WW,Perugia,Left,20.0,20.0,221.384
34330,2S,EE,Perugia,Left,20.0,20.0,225.315
34330,2S,EE,Perugia,Right,20.0,20.0,225.403
34330,2S,WW,Perugia,Right,20.0,20.0,219.634
34330,2S,WW,Perugia,Left,20.0,20.0,224.622
34330,2S,EE,Perugia,Right,20.0,20.0,225.142
34330,2S,EE,Perugia,Left,20.0,20.0,224.881
34330,2S,WW,Perugia,Right,20.0,20.0,198.425
34330,2S,WW,Perugia,Left,20.0,20.0,225.49
34330,2S,EE,Perugia,Left,20.0,20.0,229.119
34330,2S,EE,Perugia,Right,20.0,20.0,231.024
34330,2S,WW,Perugia,Right,20.0,20.0,226.189
34330,2S,WW,Perugia,Left,20.0,20.0,231.207
34330,2S,EE,Perugia,Left,20.0,20.0,231.574
34330,2S,EE,Perugia,Right,20.0,20.0,236.166
34330,2S,WW,Perugia,Left,20.0,20.0,225.403
34330,2S,WW,Perugia,Right,20.0,20.0,224.622
34330,2S,EE,Perugia,Right,20.0,20.0,234.741
34330,2S,EE,Perugia,Left,20.0,20.0,237.222
34330,2S,WW,Perugia,Left,20.0,20.0,229.209
34330,2S,WW,Perugia,Right,20.0,20.0,224.19
34330,2S,EE,Perugia,Left,20.0,20.0,241.543
34330,2S,EE,Perugia,Right,20.0,20.0,238.58
34330,2S,WW,Perugia,Left,20.0,20.0,228.671
34330,2S,EE,Perugia,Right,20.0,20.0,242.951
34330,2S,EE,Perugia,Left,20.0,20.0,236.549
34330,2S,WW,Perugia,Left,20.0,20.0,233.334
34330,2S,WW,Perugia,Right,20.0,20.0,224.363
34330,2S,WW,Perugia,Right,20.0,20.0,224.795
34330,2S,EE,Perugia,Right,20.0,20.0,273.59
34330,2S,EE,Perugia,Left,20.0,20.0,269.92
34330,2S,WW,Perugia,Right,20.0,20.0,245.093
34330,2S,WW,Perugia,Left,20.0,20.0,260.173
34330,2S,EE,Perugia,Left,20.0,20.0,258.33
34330,2S,EE,Perugia,Right,20.0,20.0,264.177
34330,2S,WW,Perugia,Right,20.0,20.0,239.658
34330,2S,WW,Perugia,Left,20.0,20.0,259.825
34330,2S,EE,Perugia,Right,20.0,20.0,259.248
34330,2S,EE,Perugia,Left,20.0,20.0,255.614
34330,2S,WW,Perugia,Left,20.0,20.0,234.364
34330,2S,WW,Perugia,Right,20.0,20.0,223.161
34330,2S,EE,Perugia,Right,20.0,20.0,263.7
34330,2S,EE,Perugia,Left,20.0,20.0,260.057
34330,2S,WW,Perugia,Left,20.0,20.0,256.063
34330,2S,WW,Perugia,Right,20.0,20.0,245.816
34252,PSS,EE,Brown,Right,20.0,20.01,318.188
34252,PSS,EE,Brown,Left,20.0,20.046,331.434
34252,PSS,WW,Brown,Left,20.0,20.078,336.096
34252,PSS,WW,Brown,Right,20.0,20.013,322.277
34252,PSS,EE,Brown,Left,20.0,20.036,85.003
34252,PSS,EE,Brown,Right,20.0,20.082,323.905
34252,PSS,WW,Brown,Left,20.0,20.008,331.548
34252,PSS,WW,Brown,Right,20.0,20.008,321.572
34252,PSS,EE,Brown,Left,20.0,20.007,319.943
34252,PSS,EE,Brown,Right,20.0,20.003,332.11
34252,PSS,WW,Brown,Right,20.0,20.003,323.44
34252,PSS,WW,Brown,Left,20.0,20.046,315.691
34252,PSS,EE,Brown,Left,20.0,20.07,329.249
34252,PSS,EE,Brown,Right,20.0,20.05,319.424
34252,PSS,WW,Brown,Right,20.0,20.003,331.201
34252,PSS,WW,Brown,Left,20.0,20.06,334.346
34252,PSS,EE,Brown,Right,20.0,20.013,330.498
34252,PSS,EE,Brown,Left,20.0,20.088,334.231
34252,PSS,WW,Brown,Left,20.0,20.123,329.232
34252,PSS,WW,Brown,Right,20.0,20.061,325.514
34252,PSS,EE,Brown,Left,20.0,20.075,337.521
34252,PSS,EE,Brown,Right,20.0,20.115,334.352
34252,PSS,WW,Brown,Left,20.0,20.095,339.025
34252,PSS,WW,Brown,Right,20.0,20.063,333.55
34252,PSS,EE,Brown,Left,20.0,20.027,303.299
34252,PSS,EE,Brown,Right,20.0,20.021,336.206
34252,PSS,WW,Brown,Left,20.0,20.05,330.654
34252,PSS,WW,Brown,Right,20.0,20.067,334.948
34252,PSS,EE,Brown,Right,20.0,20.104,337.203
34252,PSS,EE,Brown,Left,20.0,20.095,338.228
34252,PSS,WW,Brown,Left,20.0,20.095,325.849
34252,PSS,WW,Brown,Right,20.0,20.049,332.415
34252,PSS,EE,Brown,Right,20.0,20.066,333.304
34252,PSS,EE,Brown,Left,20.0,20.14,297.987
34252,PSS,WW,Brown,Right,20.0,20.059,305.949
34252,PSS,WW,Brown,Left,20.0,20.158,310.421
34252,PSS,WW,Brown,Left,20.0,20.124,328.19
34252,PSS,EE,Brown,Right,20.0,20.018,334.189
34252,PSS,EE,Brown,Left,20.0,20.073,295.876
34252,PSS,WW,Brown,Left,20.0,20.093,326.998
34252,PSS,WW,Brown,Right,20.0,20.038,325.757
34252,PSS,EE,Brown,Left,20.0,20.077,339.447
34252,PSS,WW,Brown,Left,20.0,20.088,326.784
34252,PSS,WW,Brown,Right,20.0,20.042,338.217
34252,PSS,EE,Brown,Left,20.0,20.066,339.716
34252,PSS,EE,Brown,Right,20.0,20.008,329.807
34252,PSS,WW,Brown,Left,20.0,20.071,331.403
34252,PSS,EE,Brown,Right,20.0,20.058,328.63
34252,PSS,EE,Brown,Left,20.0,20.055,331.07
34252,PSS,WW,Brown,Right,20.0,20.025,332.116
34252,PSS,WW,Brown,Left,20.0,20.052,334.59
34332,2S,EE,Perugia,Left,20.0,20.0,222.227
34332,2S,WW,Perugia,Left,20.0,20.0,220.964
34332,2S,WW,Perugia,Right,20.0,20.0,222.991
34332,2S,EE,Perugia,Right,20.0,20.0,222.396
34332,2S,EE,Perugia,Left,20.0,20.0,222.311
34332,2S,WW,Perugia,Left,20.0,20.0,220.297
34332,2S,WW,Perugia,Right,20.0,20.0,222.311
34332,2S,EE,Perugia,Left,20.0,20.0,223.503
34332,2S,EE,Perugia,Right,20.0,20.0,231.391
34332,2S,WW,Perugia,Right,20.0,20.0,219.057
34332,2S,WW,Perugia,Left,20.0,20.0,255.39
34332,2S,EE,Perugia,Right,20.0,20.0,221.889
34332,2S,WW,Perugia,Right,20.0,20.0,219.799
34332,2S,WW,Perugia,Left,20.0,20.0,220.214
34332,2S,WW,Perugia,Left,20.0,20.0,222.227
34332,2S,EE,Perugia,Left,20.0,20.0,223.161
34332,2S,EE,Perugia,Right,20.0,20.0,222.651
34332,2S,WW,Perugia,Right,20.0,20.0,222.821
34332,2S,WW,Perugia,Left,20.0,20.0,220.131
34332,2S,EE,Perugia,Left,20.0,20.0,222.311
34332,2S,EE,Perugia,Right,20.0,20.0,223.332
34332,2S,WW,Perugia,Left,20.0,20.0,223.932
34332,2S,WW,Perugia,Right,20.0,20.0,223.418
34332,2S,EE,Perugia,Left,20.0,20.0,222.651
34332,2S,EE,Perugia,Right,20.0,20.0,222.058
34332,2S,WW,Perugia,Left,20.0,20.0,220.547
34332,2S,WW,Perugia,Right,20.0,20.0,223.503
34332,2S,EE,Perugia,Right,20.0,20.0,222.142
34332,2S,EE,Perugia,Left,20.0,20.0,222.991
34332,2S,WW,Perugia,Left,20.0,20.0,220.38
34332,2S,WW,Perugia,Right,20.0,20.0,224.104
34332,2S,EE,Perugia,Left,20.0,20.0,221.889
34332,2S,EE,Perugia,Right,20.0,20.0,221.552
34332,2S,WW,Perugia,Right,20.0,20.0,223.675
34332,2S,WW,Perugia,Left,20.0,20.0,220.714
34332,2S,EE,Perugia,Right,20.0,20.0,223.846
34332,2S,EE,Perugia,Left,20.0,20.0,223.161
34332,2S,WW,Perugia,Right,20.0,20.0,218.646
34332,2S,WW,Perugia,Left,20.0,20.0,222.058
34346,2S,EE,Perugia,Left,20.0,20.0,222.821
34346,2S,EE,Perugia,Right,20.0,20.0,222.736
34346,2S,WW,Perugia,Right,20.0,20.0,218.646
34346,2S,WW,Perugia,Left,20.0,20.0,221.384
34346,2S,EE,Perugia,Right,20.0,20.0,223.418
34346,2S,EE,Perugia,Left,20.0,20.0,223.932
34346,2S,WW,Perugia,Left,20.0,20.0,239.069
34346,2S,WW,Perugia,Right,20.0,20.0,222.906
34346,2S,EE,Perugia,Right,20.0,20.0,223.418
34346,2S,EE,Perugia,Left,20.0,20.0,223.332
34346,2S,WW,Perugia,Left,20.0,20.0,220.964
34346,2S,WW,Perugia,Right,20.0,20.0,223.418
34346,2S,EE,Perugia,Right,20.0,20.0,222.142
34346,2S,EE,Perugia,Left,20.0,20.0,222.311
34346,2S,WW,Perugia,Left,20.0,20.0,231.666
34346,2S,EE,Perugia,Right,20.0,20.0,223.332
34346,2S,EE,Perugia,Left,20.0,20.0,223.76
34346,2S,WW,Perugia,Right,20.0,20.0,222.991
34346,2S,WW,Perugia,Left,20.0,20.0,235.594
34346,2S,EE,Perugia,Left,20.0,20.0,222.991
34346,2S,EE,Perugia,Right,20.0,20.0,223.161
34346,2S,WW,Perugia,Left,20.0,20.0,250.997
34346,2S,WW,Perugia,Right,20.0,20.0,222.566
34346,2S,EE,Perugia,Left,20.0,20.0,230.295
34346,2S,EE,Perugia,Right,20.0,20.0,218.156
34346,2S,WW,Perugia,Left,20.0,20.0,260.521
34346,2S,WW,Perugia,Right,20.0,20.0,231.299
34346,2S,EE,Perugia,Right,20.0,20.0,225.229
34346,2S,EE,Perugia,Left,20.0,20.0,224.19
34346,2S,EE,Perugia,Right,20.0,20.0,222.821
34346,2S,WW,Perugia,Left,20.0,20.0,258.903
34346,2S,EE,Perugia,Right,20.0,20.0,223.503
34346,2S,EE,Perugia,Left,20.0,20.0,223.076
34346,2S,WW,Perugia,Left,20.0,20.0,259.941
34346,2S,WW,Perugia,Right,20.0,20.0,223.932
34346,2S,EE,Perugia,Right,20.0,20.0,219.469
34346,2S,EE,Perugia,Left,20.0,20.0,222.906
34346,2S,WW,Perugia,Left,20.0,20.0,256.739
34346,2S,WW,Perugia,Right,20.0,20.0,228.76
34348,2S,EE,Perugia,Left,20.0,20.0,229.119
34348,2S,WW,Perugia,Left,20.0,20.0,225.229
34348,2S,EE,Perugia,Left,20.0,20.0,234.364
34348,2S,WW,Perugia,Left,20.0,20.0,232.775
34348,2S,EE,Perugia,Left,20.0,20.0,232.868
34348,2S,WW,Perugia,Left,20.0,20.0,228.134
34348,2S,EE,Perugia,Left,20.0,20.0,228.671
34348,2S,WW,Perugia,Left,20.0,20.0,228.402
34348,2S,EE,Perugia,Left,20.0,20.0,228.045
34348,2S,WW,Perugia,Left,20.0,20.0,228.313
34348,2S,EE,Perugia,Left,20.0,20.0,228.76
34348,2S,EE,Perugia,Left,20.0,20.0,227.778
34348,2S,EE,Perugia,Left,20.0,20.0,228.671
34348,2S,WW,Perugia,Left,20.0,20.0,224.535
34348,2S,EE,Perugia,Left,20.0,20.0,224.968
34348,2S,WW,Perugia,Left,20.0,20.0,225.142
34348,2S,EE,Perugia,Left,20.0,20.0,224.018
34348,2S,WW,Perugia,Left,20.0,20.0,221.132
34348,2S,WW,Perugia,Left,20.0,20.0,220.881
34348,2S,EE,Perugia,Left,20.0,20.0,224.708
34348,2S,WW,Perugia,Left,20.0,20.0,221.216
34348,2S,EE,Perugia,Left,20.0,20.0,223.247
34348,2S,EE,Perugia,Left,20.0,20.0,223.247
34348,2S,WW,Perugia,Left,20.0,20.0,224.104
34348,2S,EE,Perugia,Left,20.0,20.0,223.503
34348,2S,WW,Perugia,Left,20.0,20.0,223.247
34331,2S,EE,Brown,Right,20.0,20.112,335.625
34331,2S,EE,Brown,Left,20.0,20.136,327.969
34331,2S,WW,Brown,Right,20.0,20.061,330.704
34331,2S,EE,Brown,Right,20.0,20.017,332.434
34331,2S,WW,Brown,Right,20.0,20.07,334.67
34331,2S,EE,Brown,Right,20.0,20.133,337.685
34331,2S,WW,Brown,Right,20.0,20.074,315.411
