batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,CMIN_PFRD
34254,PSS,WW,Brown,Right,20.0,20.038,1.897
34254,PSS,EE,Brown,Right,20.0,20.019,1.98
34254,PSS,WW,Brown,Right,20.0,20.006,1.922
34254,PSS,EE,Brown,Right,20.0,20.038,1.996
34254,PSS,WW,Brown,Right,20.0,20.138,2.066
34254,PSS,EE,Brown,Right,20.0,20.002,1.965
34254,PSS,WW,Brown,Right,20.0,20.004,2.126
34254,PSS,EE,Brown,Right,20.0,20.03,1.744
34254,PSS,WW,Brown,Right,20.0,20.003,1.92
34254,PSS,WW,Brown,Right,20.0,20.004,2.003
34254,PSS,EE,Brown,Right,20.0,20.026,1.994
34254,PSS,WW,Brown,Right,20.0,19.993,2.023
34254,PSS,EE,Brown,Right,20.0,20.002,1.944
34254,PSS,WW,Brown,Right,20.0,20.003,2.027
34254,PSS,EE,Brown,Right,20.0,20.025,2.011
34254,PSS,WW,Brown,Right,20.0,20.007,2.049
34254,PSS,EE,Brown,Right,20.0,20.002,2.007
34254,PSS,WW,Brown,Right,20.0,20.01,1.972
34254,PSS,EE,Brown,Right,20.0,20.04,1.912
34254,PSS,WW,Brown,Right,20.0,20.009,1.968
34254,PSS,EE,Brown,Right,20.0,20.002,2.027
34254,PSS,WW,Brown,Right,20.0,20.006,1.996
34254,PSS,EE,Brown,Right,20.0,20.025,1.964
34254,PSS,WW,Brown,Right,20.0,20.004,1.997
34254,PSS,EE,Brown,Right,20.0,20.003,2.0
34254,PSS,WW,Brown,Right,20.0,20.011,1.953
34254,PSS,EE,Brown,Right,20.0,20.046,1.896
34254,PSS,WW,Brown,Right,20.0,20.012,2.017
34254,PSS,EE,Brown,Right,20.0,20.004,1.976
34254,PSS,WW,Brown,Right,20.0,20.008,2.012
34254,PSS,EE,Brown,Right,20.0,20.03,1.97
34254,PSS,WW,Brown,Right,20.0,20.005,2.012
34254,PSS,EE,Brown,Right,20.0,20.013,2.004
34254,PSS,WW,Brown,Right,20.0,20.052,2.009
34254,PSS,EE,Brown,Right,20.0,20.112,2.042
34254,PSS,WW,Brown,Right,20.0,20.048,1.994
34254,PSS,EE,Brown,Right,20.0,20.004,2.002
34254,PSS,WW,Brown,Right,20.0,20.006,1.984
34254,PSS,EE,Brown,Right,20.0,20.033,1.985
34254,PSS,WW,Brown,Right,20.0,20.004,1.975
34254,PSS,EE,Brown,Right,20.0,20.003,2.035
34254,PSS,WW,Brown,Right,20.0,20.017,1.989
34254,PSS,WW,Brown,Right,20.0,20.004,1.995
34340,PSS,WW,Brown,Right,20.0,20.036,2.052
34340,PSS,EE,Brown,Right,20.0,20.085,2.026
34340,PSS,WW,Brown,Right,20.0,20.032,2.074
34340,PSS,EE,Brown,Right,20.0,20.01,2.004
34340,PSS,WW,Brown,Right,20.0,20.033,2.03
34340,PSS,EE,Brown,Right,20.0,20.1,2.047
34340,PSS,WW,Brown,Right,20.0,20.051,1.946
34354,2S,EE,Perugia,Left,20.0,20.0,2.593
34354,2S,WW,Perugia,Left,20.0,20.0,2.583
34352,2S,WW,Perugia,Left,20.0,20.0,2.606
34352,2S,EE,Perugia,Left,20.0,20.0,2.624
34352,2S,WW,Perugia,Left,20.0,20.0,2.62
34352,2S,EE,Perugia,Left,20.0,20.0,2.61
34352,2S,WW,Perugia,Left,20.0,20.0,2.638
34352,2S,EE,Perugia,Left,20.0,20.0,2.611
34352,2S,WW,Perugia,Left,20.0,20.0,2.625
34352,2S,EE,Perugia,Left,20.0,20.0,2.611
34352,2S,WW,Perugia,Left,20.0,20.0,2.612
34353,2S,EE,Brown,Right,20.0,20.011,2.006
34353,2S,WW,Brown,Right,20.0,20.059,2.029
34353,2S,EE,Brown,Right,20.0,20.104,2.008
34353,2S,WW,Brown,Right,20.0,20.056,2.071
34353,2S,WW,Brown,Right,20.0,20.087,2.168
34353,2S,EE,Brown,Right,20.0,20.093,2.011
34353,2S,WW,Brown,Right,20.0,20.051,2.015
34353,2S,WW,Brown,Right,20.0,20.075,2.009
34353,2S,EE,Brown,Right,20.0,20.04,2.116
34353,2S,WW,Brown,Right,20.0,20.058,2.118
34353,2S,EE,Brown,Right,20.0,20.088,1.907
34353,2S,WW,Brown,Right,20.0,20.06,4.587
34353,2S,EE,Brown,Right,20.0,20.004,2.073
34353,2S,WW,Brown,Right,20.0,20.057,1.98
34353,2S,EE,Brown,Right,20.0,20.103,1.986
34353,2S,WW,Brown,Right,20.0,20.055,2.09
34353,2S,EE,Brown,Right,20.0,20.003,2.009
34353,2S,WW,Brown,Right,20.0,20.008,2.118
34353,2S,EE,Brown,Right,20.0,20.028,1.912
34353,2S,WW,Brown,Right,20.0,20.006,2.134
34353,2S,EE,Brown,Right,20.0,20.003,2.018
34353,2S,WW,Brown,Right,20.0,20.015,2.425
34353,2S,EE,Brown,Right,20.0,20.031,2.279
34353,2S,WW,Brown,Right,20.0,20.005,2.011
34353,2S,EE,Brown,Right,20.0,20.003,1.968
34353,2S,WW,Brown,Right,20.0,20.006,1.988
34353,2S,EE,Brown,Right,20.0,20.021,2.016
34353,2S,WW,Brown,Right,20.0,20.008,2.117
34357,2S,EE,Perugia,Left,20.0,20.0,2.61
34357,2S,WW,Perugia,Left,20.0,20.0,2.638
34357,2S,EE,Perugia,Left,20.0,20.0,2.614
34357,2S,WW,Perugia,Left,20.0,20.0,2.643
34357,2S,EE,Perugia,Left,20.0,20.0,2.616
34357,2S,WW,Perugia,Left,20.0,20.0,2.642
34357,2S,EE,Perugia,Left,20.0,20.0,2.616
34357,2S,WW,Perugia,Left,20.0,20.0,2.639
34357,2S,EE,Perugia,Left,20.0,20.0,2.618
34357,2S,WW,Perugia,Left,20.0,20.0,2.643
34357,2S,EE,Perugia,Left,20.0,20.0,2.598
34357,2S,WW,Perugia,Left,20.0,20.0,2.639
34357,2S,EE,Perugia,Left,20.0,20.0,2.606
34357,2S,WW,Perugia,Left,20.0,20.0,2.631
34357,2S,EE,Perugia,Left,20.0,20.0,2.613
34357,2S,WW,Perugia,Left,20.0,20.0,2.634
34357,2S,EE,Perugia,Left,20.0,20.0,2.613
34357,2S,WW,Perugia,Left,20.0,20.0,2.633
34357,2S,EE,Perugia,Left,20.0,20.0,2.612
34357,2S,WW,Perugia,Left,20.0,20.0,2.623
34357,2S,EE,Perugia,Left,20.0,20.0,2.621
34357,2S,EE,Perugia,Left,20.0,20.0,2.613
34357,2S,EE,Perugia,Left,20.0,20.0,2.615
34354,2S,EE,Perugia,Left,20.0,20.0,2.609
34354,2S,EE,Perugia,Left,20.0,20.0,2.611
34354,2S,WW,Perugia,Left,20.0,20.0,2.619
34354,2S,EE,Perugia,Left,20.0,20.0,2.616
34354,2S,WW,Perugia,Left,20.0,20.0,2.626
34354,2S,EE,Perugia,Left,20.0,20.0,2.611
34354,2S,WW,Perugia,Left,20.0,20.0,2.608
34354,2S,EE,Perugia,Left,20.0,20.0,2.606
34354,2S,EE,Perugia,Left,20.0,20.0,2.611
34354,2S,EE,Perugia,Left,20.0,20.0,2.61
34354,2S,EE,Perugia,Left,20.0,20.0,2.617
34354,2S,EE,Perugia,Left,20.0,20.0,2.614
34354,2S,WW,Perugia,Left,20.0,20.0,2.609
34354,2S,EE,Perugia,Left,20.0,20.0,2.624
34354,2S,WW,Perugia,Left,20.0,20.0,2.607
34354,2S,EE,Perugia,Left,20.0,20.0,2.62
34354,2S,WW,Perugia,Left,20.0,20.0,2.61
34354,2S,EE,Perugia,Left,20.0,20.0,2.614
34354,2S,WW,Perugia,Left,20.0,20.0,2.611
34354,2S,EE,Perugia,Left,20.0,20.0,2.617
34354,2S,WW,Perugia,Left,20.0,20.0,2.612
34354,2S,EE,Perugia,Left,20.0,20.0,2.616
34354,2S,WW,Perugia,Left,20.0,20.0,2.609
34354,2S,EE,Perugia,Left,20.0,20.0,2.614
34354,2S,WW,Perugia,Left,20.0,20.0,2.613
34354,2S,EE,Perugia,Left,20.0,20.0,2.611
34354,2S,WW,Perugia,Left,20.0,20.0,2.609
34354,2S,EE,Perugia,Left,20.0,20.0,2.613
34354,2S,WW,Perugia,Left,20.0,20.0,2.609
34354,2S,EE,Perugia,Left,20.0,20.0,2.613
34354,2S,WW,Perugia,Left,20.0,20.0,2.611
34357,2S,EE,Perugia,Left,20.0,20.0,2.61
34357,2S,WW,Perugia,Left,20.0,20.0,2.637
34357,2S,EE,Perugia,Left,20.0,20.0,2.614
34357,2S,WW,Perugia,Left,20.0,20.0,2.643
34357,2S,EE,Perugia,Left,20.0,20.0,2.61
34357,2S,WW,Perugia,Left,20.0,20.0,2.637
34359,2S,EE,Brown,Right,20.0,20.003,1.982
34359,2S,WW,Brown,Right,20.0,20.003,1.99
34359,2S,WW,Brown,Right,20.0,20.004,2.273
34359,2S,EE,Brown,Right,20.0,20.03,2.026
34359,2S,WW,Brown,Right,20.0,20.004,2.032
34359,2S,EE,Brown,Right,20.0,20.022,2.039
34359,2S,WW,Brown,Right,20.0,20.003,2.065
34359,2S,EE,Brown,Right,20.0,20.004,2.064
34359,2S,WW,Brown,Right,20.0,20.01,2.117
34359,2S,WW,Brown,Right,20.0,20.003,2.0
34359,2S,EE,Brown,Right,20.0,20.003,2.012
34359,2S,WW,Brown,Right,20.0,20.003,2.132
34359,2S,EE,Brown,Right,20.0,20.018,2.023
34359,2S,WW,Brown,Right,20.0,20.003,2.259
34359,2S,EE,Brown,Right,20.0,20.006,1.999
34359,2S,WW,Brown,Right,20.0,20.007,2.149
34359,2S,EE,Brown,Right,20.0,20.023,1.986
34359,2S,WW,Brown,Right,20.0,20.005,2.129
34359,2S,EE,Brown,Right,20.0,20.022,2.361
34359,2S,WW,Brown,Right,20.0,20.003,2.139
34359,2S,EE,Brown,Right,20.0,20.02,2.063
34359,2S,WW,Brown,Right,20.0,20.004,2.256
34359,2S,EE,Brown,Left,20.0,20.046,2.139
34359,2S,WW,Brown,Right,20.0,20.004,2.013
34359,2S,EE,Brown,Right,20.0,20.021,2.034
34359,2S,WW,Brown,Right,20.0,20.005,2.046
34341,PSS,EE,Brown,Right,20.0,20.082,2.077
34341,PSS,WW,Brown,Right,20.0,20.039,2.06
34341,PSS,EE,Brown,Right,20.0,20.002,2.06
34341,PSS,WW,Brown,Right,20.0,20.013,1.116
34341,PSS,EE,Brown,Right,20.0,20.031,2.075
34341,PSS,WW,Brown,Right,20.0,20.074,2.024
34341,PSS,EE,Brown,Right,20.0,20.118,2.091
34341,PSS,WW,Brown,Right,20.0,20.065,2.066
34341,PSS,EE,Brown,Right,20.0,20.021,2.071
34341,PSS,WW,Brown,Right,20.0,20.064,2.056
34341,PSS,EE,Brown,Right,20.0,20.122,2.13
34341,PSS,WW,Brown,Right,20.0,20.069,1.991
34341,PSS,EE,Brown,Right,20.0,20.026,2.062
34341,PSS,WW,Brown,Right,20.0,20.063,2.062
34341,PSS,EE,Brown,Right,20.0,20.113,2.075
34341,PSS,WW,Brown,Right,20.0,20.055,2.049
34341,PSS,EE,Brown,Right,20.0,20.008,2.074
34341,PSS,WW,Brown,Right,20.0,20.053,2.331
34341,PSS,WW,Brown,Right,20.0,20.044,2.087
34341,PSS,EE,Brown,Right,20.0,20.031,2.103
34341,PSS,WW,Brown,Right,20.0,20.062,1.996
