batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,CMIN_PFRD
34330,2S,EE,Perugia,Left,20.0,20.0,2.573
34330,2S,EE,Perugia,Right,20.0,20.0,2.593
34330,2S,WW,Perugia,Right,20.0,20.0,2.652
34330,2S,WW,Perugia,Left,20.0,20.0,2.636
34330,2S,EE,Perugia,Left,20.0,20.0,2.59
34330,2S,EE,Perugia,Right,20.0,20.0,2.589
34330,2S,WW,Perugia,Right,20.0,20.0,2.657
34330,2S,WW,Perugia,Left,20.0,20.0,2.598
34330,2S,EE,Perugia,Right,20.0,20.0,2.592
34330,2S,EE,Perugia,Left,20.0,20.0,2.595
34330,2S,WW,Perugia,Right,20.0,20.0,2.941
34330,2S,WW,Perugia,Left,20.0,20.0,2.588
34330,2S,EE,Perugia,Left,20.0,20.0,2.547
34330,2S,EE,Perugia,Right,20.0,20.0,2.526
34330,2S,WW,Perugia,Right,20.0,20.0,2.58
34330,2S,WW,Perugia,Left,20.0,20.0,2.524
34330,2S,EE,Perugia,Left,20.0,20.0,2.52
34330,2S,EE,Perugia,Right,20.0,20.0,2.471
34330,2S,WW,Perugia,Left,20.0,20.0,2.589
34330,2S,WW,Perugia,Right,20.0,20.0,2.598
34330,2S,EE,Perugia,Right,20.0,20.0,2.486
34330,2S,EE,Perugia,Left,20.0,20.0,2.46
34330,2S,WW,Perugia,Left,20.0,20.0,2.546
34330,2S,WW,Perugia,Right,20.0,20.0,2.603
34330,2S,EE,Perugia,Left,20.0,20.0,2.416
34330,2S,EE,Perugia,Right,20.0,20.0,2.446
34330,2S,WW,Perugia,Left,20.0,20.0,2.552
34330,2S,EE,Perugia,Right,20.0,20.0,2.402
34330,2S,EE,Perugia,Left,20.0,20.0,2.467
34330,2S,WW,Perugia,Left,20.0,20.0,2.501
34330,2S,WW,Perugia,Right,20.0,20.0,2.601
34330,2S,WW,Perugia,Right,20.0,20.0,2.596
34330,2S,EE,Perugia,Right,20.0,20.0,2.133
34330,2S,EE,Perugia,Left,20.0,20.0,2.162
34330,2S,WW,Perugia,Right,20.0,20.0,2.381
34330,2S,WW,Perugia,Left,20.0,20.0,2.243
34330,2S,EE,Perugia,Left,20.0,20.0,2.259
34330,2S,EE,Perugia,Right,20.0,20.0,2.209
34330,2S,WW,Perugia,Right,20.0,20.0,2.435
34330,2S,WW,Perugia,Left,20.0,20.0,2.246
34330,2S,EE,Perugia,Right,20.0,20.0,2.251
34330,2S,EE,Perugia,Left,20.0,20.0,2.283
34330,2S,WW,Perugia,Left,20.0,20.0,2.49
34330,2S,WW,Perugia,Right,20.0,20.0,2.615
34330,2S,EE,Perugia,Right,20.0,20.0,2.213
34330,2S,EE,Perugia,Left,20.0,20.0,2.244
34330,2S,WW,Perugia,Left,20.0,20.0,2.279
34330,2S,WW,Perugia,Right,20.0,20.0,2.374
34252,PSS,EE,Brown,Right,20.0,20.01,2.035
34252,PSS,EE,Brown,Left,20.0,20.046,1.954
34252,PSS,WW,Brown,Left,20.0,20.078,1.926
34252,PSS,WW,Brown,Right,20.0,20.013,2.009
34252,PSS,EE,Brown,Left,20.0,20.036,7.617
34252,PSS,EE,Brown,Right,20.0,20.082,1.999
34252,PSS,WW,Brown,Left,20.0,20.008,1.953
34252,PSS,WW,Brown,Right,20.0,20.008,2.013
34252,PSS,EE,Brown,Left,20.0,20.007,2.024
34252,PSS,EE,Brown,Right,20.0,20.003,1.95
34252,PSS,WW,Brown,Right,20.0,20.003,2.002
34252,PSS,WW,Brown,Left,20.0,20.046,2.051
34252,PSS,EE,Brown,Left,20.0,20.07,1.966
34252,PSS,EE,Brown,Right,20.0,20.05,2.027
34252,PSS,WW,Brown,Right,20.0,20.003,1.955
34252,PSS,WW,Brown,Left,20.0,20.06,1.937
34252,PSS,EE,Brown,Right,20.0,20.013,1.959
34252,PSS,EE,Brown,Left,20.0,20.088,1.937
34252,PSS,WW,Brown,Left,20.0,20.123,1.967
34252,PSS,WW,Brown,Right,20.0,20.061,1.989
34252,PSS,EE,Brown,Left,20.0,20.075,1.918
34252,PSS,EE,Brown,Right,20.0,20.115,1.936
34252,PSS,WW,Brown,Left,20.0,20.095,1.91
34252,PSS,WW,Brown,Right,20.0,20.063,1.941
34252,PSS,EE,Brown,Left,20.0,20.027,2.135
34252,PSS,EE,Brown,Right,20.0,20.021,1.926
34252,PSS,WW,Brown,Left,20.0,20.05,1.958
34252,PSS,WW,Brown,Right,20.0,20.067,1.933
34252,PSS,EE,Brown,Right,20.0,20.104,1.92
34252,PSS,EE,Brown,Left,20.0,20.095,1.914
34252,PSS,WW,Brown,Left,20.0,20.095,1.987
34252,PSS,WW,Brown,Right,20.0,20.049,1.948
34252,PSS,EE,Brown,Right,20.0,20.066,1.943
34252,PSS,EE,Brown,Left,20.0,20.14,2.173
34252,PSS,WW,Brown,Right,20.0,20.059,2.116
34252,PSS,WW,Brown,Left,20.0,20.158,2.086
34252,PSS,WW,Brown,Left,20.0,20.124,1.973
34252,PSS,EE,Brown,Right,20.0,20.018,1.937
34252,PSS,EE,Brown,Left,20.0,20.073,2.188
34252,PSS,WW,Brown,Left,20.0,20.093,1.98
34252,PSS,WW,Brown,Right,20.0,20.038,1.988
34252,PSS,EE,Brown,Left,20.0,20.077,1.907
34252,PSS,WW,Brown,Left,20.0,20.088,1.981
34252,PSS,WW,Brown,Right,20.0,20.042,1.914
34252,PSS,EE,Brown,Left,20.0,20.066,1.906
34252,PSS,EE,Brown,Right,20.0,20.008,1.963
34252,PSS,WW,Brown,Left,20.0,20.071,1.954
34252,PSS,EE,Brown,Right,20.0,20.058,1.97
34252,PSS,EE,Brown,Left,20.0,20.055,1.956
34252,PSS,WW,Brown,Right,20.0,20.025,1.95
34252,PSS,WW,Brown,Left,20.0,20.052,1.935
34332,2S,EE,Perugia,Left,20.0,20.0,2.626
34332,2S,WW,Perugia,Left,20.0,20.0,2.641
34332,2S,WW,Perugia,Right,20.0,20.0,2.617
34332,2S,EE,Perugia,Right,20.0,20.0,2.624
34332,2S,EE,Perugia,Left,20.0,20.0,2.625
34332,2S,WW,Perugia,Left,20.0,20.0,2.649
34332,2S,WW,Perugia,Right,20.0,20.0,2.625
34332,2S,EE,Perugia,Left,20.0,20.0,2.611
34332,2S,EE,Perugia,Right,20.0,20.0,2.522
34332,2S,WW,Perugia,Right,20.0,20.0,2.664
34332,2S,WW,Perugia,Left,20.0,20.0,2.285
34332,2S,EE,Perugia,Right,20.0,20.0,2.63
34332,2S,WW,Perugia,Right,20.0,20.0,2.655
34332,2S,WW,Perugia,Left,20.0,20.0,2.65
34332,2S,WW,Perugia,Left,20.0,20.0,2.626
34332,2S,EE,Perugia,Left,20.0,20.0,2.615
34332,2S,EE,Perugia,Right,20.0,20.0,2.621
34332,2S,WW,Perugia,Right,20.0,20.0,2.619
34332,2S,WW,Perugia,Left,20.0,20.0,2.651
34332,2S,EE,Perugia,Left,20.0,20.0,2.625
34332,2S,EE,Perugia,Right,20.0,20.0,2.613
34332,2S,WW,Perugia,Left,20.0,20.0,2.606
34332,2S,WW,Perugia,Right,20.0,20.0,2.612
34332,2S,EE,Perugia,Left,20.0,20.0,2.621
34332,2S,EE,Perugia,Right,20.0,20.0,2.628
34332,2S,WW,Perugia,Left,20.0,20.0,2.646
34332,2S,WW,Perugia,Right,20.0,20.0,2.611
34332,2S,EE,Perugia,Right,20.0,20.0,2.627
34332,2S,EE,Perugia,Left,20.0,20.0,2.617
34332,2S,WW,Perugia,Left,20.0,20.0,2.648
34332,2S,WW,Perugia,Right,20.0,20.0,2.604
34332,2S,EE,Perugia,Left,20.0,20.0,2.63
34332,2S,EE,Perugia,Right,20.0,20.0,2.634
34332,2S,WW,Perugia,Right,20.0,20.0,2.609
34332,2S,WW,Perugia,Left,20.0,20.0,2.644
34332,2S,EE,Perugia,Right,20.0,20.0,2.607
34332,2S,EE,Perugia,Left,20.0,20.0,2.615
34332,2S,WW,Perugia,Right,20.0,20.0,2.669
34332,2S,WW,Perugia,Left,20.0,20.0,2.628
34346,2S,EE,Perugia,Left,20.0,20.0,2.619
34346,2S,EE,Perugia,Right,20.0,20.0,2.62
34346,2S,WW,Perugia,Right,20.0,20.0,2.669
34346,2S,WW,Perugia,Left,20.0,20.0,2.636
34346,2S,EE,Perugia,Right,20.0,20.0,2.612
34346,2S,EE,Perugia,Left,20.0,20.0,2.606
34346,2S,WW,Perugia,Left,20.0,20.0,2.441
34346,2S,WW,Perugia,Right,20.0,20.0,2.618
34346,2S,EE,Perugia,Right,20.0,20.0,2.612
34346,2S,EE,Perugia,Left,20.0,20.0,2.613
34346,2S,WW,Perugia,Left,20.0,20.0,2.641
34346,2S,WW,Perugia,Right,20.0,20.0,2.612
34346,2S,EE,Perugia,Right,20.0,20.0,2.627
34346,2S,EE,Perugia,Left,20.0,20.0,2.625
34346,2S,WW,Perugia,Left,20.0,20.0,2.519
34346,2S,EE,Perugia,Right,20.0,20.0,2.613
34346,2S,EE,Perugia,Left,20.0,20.0,2.608
34346,2S,WW,Perugia,Right,20.0,20.0,2.617
34346,2S,WW,Perugia,Left,20.0,20.0,2.477
34346,2S,EE,Perugia,Left,20.0,20.0,2.617
34346,2S,EE,Perugia,Right,20.0,20.0,2.615
34346,2S,WW,Perugia,Left,20.0,20.0,2.325
34346,2S,WW,Perugia,Right,20.0,20.0,2.622
34346,2S,EE,Perugia,Left,20.0,20.0,2.534
34346,2S,EE,Perugia,Right,20.0,20.0,2.675
34346,2S,WW,Perugia,Left,20.0,20.0,2.24
34346,2S,WW,Perugia,Right,20.0,20.0,2.523
34346,2S,EE,Perugia,Right,20.0,20.0,2.591
34346,2S,EE,Perugia,Left,20.0,20.0,2.603
34346,2S,EE,Perugia,Right,20.0,20.0,2.619
34346,2S,WW,Perugia,Left,20.0,20.0,2.254
34346,2S,EE,Perugia,Right,20.0,20.0,2.611
34346,2S,EE,Perugia,Left,20.0,20.0,2.616
34346,2S,WW,Perugia,Left,20.0,20.0,2.245
34346,2S,WW,Perugia,Right,20.0,20.0,2.606
34346,2S,EE,Perugia,Right,20.0,20.0,2.659
34346,2S,EE,Perugia,Left,20.0,20.0,2.618
34346,2S,WW,Perugia,Left,20.0,20.0,2.273
34346,2S,WW,Perugia,Right,20.0,20.0,2.551
34348,2S,EE,Perugia,Left,20.0,20.0,2.547
34348,2S,WW,Perugia,Left,20.0,20.0,2.591
34348,2S,EE,Perugia,Left,20.0,20.0,2.49
34348,2S,WW,Perugia,Left,20.0,20.0,2.507
34348,2S,EE,Perugia,Left,20.0,20.0,2.506
34348,2S,WW,Perugia,Left,20.0,20.0,2.558
34348,2S,EE,Perugia,Left,20.0,20.0,2.552
34348,2S,WW,Perugia,Left,20.0,20.0,2.555
34348,2S,EE,Perugia,Left,20.0,20.0,2.559
34348,2S,WW,Perugia,Left,20.0,20.0,2.556
34348,2S,EE,Perugia,Left,20.0,20.0,2.551
34348,2S,EE,Perugia,Left,20.0,20.0,2.562
34348,2S,EE,Perugia,Left,20.0,20.0,2.552
34348,2S,WW,Perugia,Left,20.0,20.0,2.599
34348,2S,EE,Perugia,Left,20.0,20.0,2.594
34348,2S,WW,Perugia,Left,20.0,20.0,2.592
34348,2S,EE,Perugia,Left,20.0,20.0,2.605
34348,2S,WW,Perugia,Left,20.0,20.0,2.639
34348,2S,WW,Perugia,Left,20.0,20.0,2.642
34348,2S,EE,Perugia,Left,20.0,20.0,2.597
34348,2S,WW,Perugia,Left,20.0,20.0,2.638
34348,2S,EE,Perugia,Left,20.0,20.0,2.614
34348,2S,EE,Perugia,Left,20.0,20.0,2.614
34348,2S,WW,Perugia,Left,20.0,20.0,2.604
34348,2S,EE,Perugia,Left,20.0,20.0,2.611
34348,2S,WW,Perugia,Left,20.0,20.0,2.614
34331,2S,EE,Brown,Right,20.0,20.112,1.929
34331,2S,EE,Brown,Left,20.0,20.136,1.974
34331,2S,WW,Brown,Right,20.0,20.061,1.958
34331,2S,EE,Brown,Right,20.0,20.017,1.948
34331,2S,WW,Brown,Right,20.0,20.07,1.935
34331,2S,EE,Brown,Right,20.0,20.133,1.917
34331,2S,WW,Brown,Right,20.0,20.074,2.053
34331,2S,EE,Brown,Right,20.0,20.066,2.021
34331,2S,WW,Brown,Right,20.0,20.106,1.945
34331,2S,EE,Brown,Right,20.0,20.099,2.091
34331,2S,WW,Brown,Right,20.0,20.094,1.949
34331,2S,EE,Brown,Right,20.0,20.012,1.945
34331,2S,WW,Brown,Right,20.0,20.069,1.92
34331,2S,EE,Brown,Right,20.0,20.12,1.937
34331,2S,WW,Brown,Right,20.0,20.06,1.916
34331,2S,EE,Brown,Right,20.0,20.007,1.846
34331,2S,WW,Brown,Right,20.0,20.046,1.98
34331,2S,EE,Brown,Right,20.0,20.097,1.928
34331,2S,WW,Brown,Right,20.0,20.046,1.954
34331,2S,EE,Brown,Right,20.0,20.002,1.908
34331,2S,WW,Brown,Right,20.0,20.001,1.954
34331,2S,EE,Brown,Right,20.0,20.006,2.033
34331,2S,WW,Brown,Right,20.0,20.003,2.005
34331,2S,EE,Brown,Right,20.0,20.002,1.914
34331,2S,WW,Brown,Right,20.0,20.002,1.924
34331,2S,EE,Brown,Right,20.0,20.008,1.876
34331,2S,WW,Brown,Right,20.0,20.002,1.966
34331,2S,EE,Brown,Right,20.0,20.028,1.87
34331,2S,WW,Brown,Right,20.0,20.104,1.962
34331,2S,EE,Brown,Right,20.0,20.144,1.905
34331,2S,WW,Brown,Right,20.0,20.079,1.975
34331,2S,EE,Brown,Right,20.0,20.035,1.936
34331,2S,WW,Brown,Right,20.0,20.096,1.933
34331,2S,EE,Brown,Right,20.0,20.139,1.895
34331,2S,WW,Brown,Right,20.0,20.079,1.956
34331,2S,EE,Brown,Right,20.0,20.056,1.905
34331,2S,WW,Brown,Right,20.0,20.074,1.988
34331,2S,EE,Brown,Right,20.0,20.126,1.952
34331,2S,WW,Brown,Right,20.0,20.069,1.89
34340,PSS,EE,Brown,Right,20.0,20.005,1.907
34340,PSS,WW,Brown,Right,20.0,20.019,2.041
34340,PSS,EE,Brown,Right,20.0,20.061,2.024
34340,PSS,WW,Brown,Right,20.0,20.01,2.061
34340,PSS,EE,Brown,Right,20.0,20.002,2.022
34340,PSS,WW,Brown,Right,20.0,20.009,2.055
34340,PSS,EE,Brown,Right,20.0,20.04,2.03
34340,PSS,WW,Brown,Right,20.0,20.003,2.039
34340,PSS,EE,Brown,Right,20.0,20.004,1.904
34340,PSS,WW,Brown,Right,20.0,20.025,2.008
34340,PSS,EE,Brown,Right,20.0,20.071,1.923
34340,PSS,WW,Brown,Right,20.0,20.026,1.971
34340,PSS,EE,Brown,Right,20.0,20.002,2.034
34340,PSS,WW,Brown,Right,20.0,20.015,2.069
34340,PSS,EE,Brown,Right,20.0,20.069,1.921
34340,PSS,WW,Brown,Right,20.0,20.027,2.084
34340,PSS,EE,Brown,Right,20.0,20.004,2.055
34340,PSS,WW,Brown,Right,20.0,20.027,2.11
34340,PSS,EE,Brown,Right,20.0,20.067,2.057
34340,PSS,WW,Brown,Right,20.0,20.031,2.2
34340,PSS,EE,Brown,Right,20.0,20.003,2.03
34340,PSS,WW,Brown,Right,20.0,20.018,2.041
34340,PSS,EE,Brown,Right,20.0,20.092,2.037
34340,PSS,WW,Brown,Right,20.0,20.027,2.06
34340,PSS,EE,Brown,Right,20.0,20.003,2.036
34340,PSS,WW,Brown,Right,20.0,20.022,2.313
34340,PSS,EE,Brown,Right,20.0,20.068,2.015
34340,PSS,WW,Brown,Right,20.0,20.024,2.062
34340,PSS,EE,Brown,Right,20.0,20.001,2.033
34340,PSS,WW,Brown,Right,20.0,20.019,2.044
34340,PSS,EE,Brown,Right,20.0,20.081,2.041
34340,PSS,WW,Brown,Right,20.0,20.048,2.207
34340,PSS,EE,Brown,Right,20.0,20.009,2.021
34254,PSS,EE,Brown,Right,20.0,20.009,1.957
34254,PSS,WW,Brown,Right,20.0,20.028,2.009
34254,PSS,EE,Brown,Right,20.0,20.085,1.977
34254,PSS,WW,Brown,Left,20.0,20.115,2.127
34254,PSS,EE,Brown,Right,20.0,20.012,1.845
34254,PSS,WW,Brown,Right,20.0,20.045,1.871
34254,PSS,WW,Brown,Right,20.0,20.035,2.014
34254,PSS,EE,Brown,Right,20.0,20.005,2.081
34254,PSS,WW,Brown,Right,20.0,20.03,2.067
34254,PSS,EE,Brown,Right,20.0,20.104,1.928
