batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,RHO_KOHMCM
34348,2S,EE,Perugia,Left,20.0,20.0,3.397
34348,2S,EE,Perugia,Left,20.0,20.0,3.342
34348,2S,EE,Perugia,Left,20.0,20.0,3.464
34348,2S,WW,Perugia,Left,20.0,20.0,2.697
34348,2S,EE,Perugia,Left,20.0,20.0,3.134
34348,2S,WW,Perugia,Left,20.0,20.0,2.832
34348,2S,EE,Perugia,Left,20.0,20.0,3.495
34348,2S,WW,Perugia,Left,20.0,20.0,2.739
34348,2S,WW,Perugia,Left,20.0,20.0,2.739
34348,2S,EE,Perugia,Left,20.0,20.0,3.085
34348,2S,WW,Perugia,Left,20.0,20.0,2.78
34348,2S,EE,Perugia,Left,20.0,20.0,3.366
34348,2S,EE,Perugia,Left,20.0,20.0,3.366
34348,2S,WW,Perugia,Left,20.0,20.0,3.477
34348,2S,EE,Perugia,Left,20.0,20.0,3.43
34348,2S,EE,Perugia,Left,20.0,20.0,3.43
34348,2S,WW,Perugia,Left,20.0,20.0,3.382
34331,2S,EE,Brown,Right,20.0,20.112,2.9
34331,2S,EE,Brown,Left,20.0,20.136,2.857
34331,2S,WW,Brown,Right,20.0,20.061,2.879
34331,2S,EE,Brown,Right,20.0,20.017,3.067
34331,2S,WW,Brown,Right,20.0,20.07,2.829
34331,2S,EE,Brown,Right,20.0,20.133,2.876
34331,2S,WW,Brown,Right,20.0,20.074,2.967
34331,2S,EE,Brown,Right,20.0,20.066,3.227
34331,2S,WW,Brown,Right,20.0,20.106,2.932
34331,2S,EE,Brown,Right,20.0,20.099,2.637
34331,2S,WW,Brown,Right,20.0,20.094,2.707
34331,2S,EE,Brown,Right,20.0,20.012,2.843
34331,2S,WW,Brown,Right,20.0,20.069,2.772
34331,2S,EE,Brown,Right,20.0,20.12,2.79
34331,2S,WW,Brown,Right,20.0,20.06,2.662
34331,2S,EE,Brown,Right,20.0,20.007,2.47
34331,2S,WW,Brown,Right,20.0,20.046,2.666
34331,2S,EE,Brown,Right,20.0,20.097,2.854
34331,2S,WW,Brown,Right,20.0,20.046,2.681
34331,2S,EE,Brown,Right,20.0,20.002,2.839
34331,2S,WW,Brown,Right,20.0,20.001,2.913
34331,2S,EE,Brown,Right,20.0,20.006,2.963
34331,2S,WW,Brown,Right,20.0,20.003,3.072
34331,2S,EE,Brown,Right,20.0,20.002,3.074
34331,2S,WW,Brown,Right,20.0,20.002,3.157
34331,2S,EE,Brown,Right,20.0,20.008,2.941
34331,2S,WW,Brown,Right,20.0,20.002,3.057
34331,2S,EE,Brown,Right,20.0,20.028,3.165
34331,2S,WW,Brown,Right,20.0,20.104,3.026
34331,2S,EE,Brown,Right,20.0,20.144,3.146
34331,2S,WW,Brown,Right,20.0,20.079,3.164
34331,2S,EE,Brown,Right,20.0,20.035,2.953
34331,2S,WW,Brown,Right,20.0,20.096,3.048
34331,2S,EE,Brown,Right,20.0,20.139,3.156
34331,2S,WW,Brown,Right,20.0,20.079,3.0
34331,2S,EE,Brown,Right,20.0,20.056,3.222
34331,2S,WW,Brown,Right,20.0,20.074,3.336
34331,2S,EE,Brown,Right,20.0,20.126,3.75
34331,2S,WW,Brown,Right,20.0,20.069,3.445
34340,PSS,EE,Brown,Right,20.0,20.005,3.599
34340,PSS,WW,Brown,Right,20.0,20.019,3.688
34340,PSS,EE,Brown,Right,20.0,20.061,3.937
34340,PSS,WW,Brown,Right,20.0,20.01,3.826
34340,PSS,EE,Brown,Right,20.0,20.002,3.92
34340,PSS,WW,Brown,Right,20.0,20.009,3.786
34340,PSS,EE,Brown,Right,20.0,20.04,3.853
34340,PSS,WW,Brown,Right,20.0,20.003,3.961
34340,PSS,EE,Brown,Right,20.0,20.004,3.342
34340,PSS,WW,Brown,Right,20.0,20.025,3.635
34340,PSS,EE,Brown,Right,20.0,20.071,3.67
34340,PSS,WW,Brown,Right,20.0,20.026,3.533
34340,PSS,EE,Brown,Right,20.0,20.002,3.881
34340,PSS,WW,Brown,Right,20.0,20.015,3.668
34340,PSS,EE,Brown,Right,20.0,20.069,3.594
34340,PSS,WW,Brown,Right,20.0,20.027,3.606
34340,PSS,EE,Brown,Right,20.0,20.004,3.916
34340,PSS,WW,Brown,Right,20.0,20.027,3.673
34340,PSS,EE,Brown,Right,20.0,20.067,3.923
34340,PSS,WW,Brown,Right,20.0,20.031,3.999
34340,PSS,EE,Brown,Right,20.0,20.003,3.972
34340,PSS,WW,Brown,Right,20.0,20.018,3.92
34340,PSS,EE,Brown,Right,20.0,20.092,3.999
34340,PSS,WW,Brown,Right,20.0,20.027,3.833
34340,PSS,EE,Brown,Right,20.0,20.003,3.984
34340,PSS,WW,Brown,Right,20.0,20.022,4.214
34340,PSS,EE,Brown,Right,20.0,20.068,3.827
34340,PSS,WW,Brown,Right,20.0,20.024,3.51
34340,PSS,EE,Brown,Right,20.0,20.001,3.972
34340,PSS,WW,Brown,Right,20.0,20.019,3.91
34340,PSS,EE,Brown,Right,20.0,20.081,3.942
34340,PSS,WW,Brown,Right,20.0,20.048,4.078
34340,PSS,EE,Brown,Right,20.0,20.009,3.913
34254,PSS,EE,Brown,Right,20.0,20.009,3.329
34254,PSS,WW,Brown,Right,20.0,20.028,3.477
34254,PSS,EE,Brown,Right,20.0,20.085,3.532
34254,PSS,WW,Brown,Left,20.0,20.115,3.475
34254,PSS,EE,Brown,Right,20.0,20.012,2.925
34254,PSS,WW,Brown,Right,20.0,20.045,3.196
34254,PSS,WW,Brown,Right,20.0,20.035,3.391
34254,PSS,EE,Brown,Right,20.0,20.005,3.46
34254,PSS,WW,Brown,Right,20.0,20.03,3.044
34254,PSS,EE,Brown,Right,20.0,20.104,3.328
34254,PSS,WW,Brown,Right,20.0,20.038,3.111
34254,PSS,EE,Brown,Right,20.0,20.019,3.24
34254,PSS,WW,Brown,Right,20.0,20.006,3.239
34254,PSS,EE,Brown,Right,20.0,20.038,3.453
34254,PSS,WW,Brown,Right,20.0,20.138,3.594
34254,PSS,EE,Brown,Right,20.0,20.002,3.449
34254,PSS,WW,Brown,Right,20.0,20.004,3.349
34254,PSS,EE,Brown,Right,20.0,20.03,3.14
34254,PSS,WW,Brown,Right,20.0,20.003,3.317
34254,PSS,WW,Brown,Right,20.0,20.004,3.493
34254,PSS,EE,Brown,Right,20.0,20.026,3.534
34254,PSS,WW,Brown,Right,20.0,19.993,3.336
34254,PSS,EE,Brown,Right,20.0,20.002,3.315
34254,PSS,WW,Brown,Right,20.0,20.003,3.46
34254,PSS,EE,Brown,Right,20.0,20.025,3.513
34254,PSS,WW,Brown,Right,20.0,20.007,3.471
34254,PSS,EE,Brown,Right,20.0,20.002,3.386
34254,PSS,WW,Brown,Right,20.0,20.01,3.244
34254,PSS,EE,Brown,Right,20.0,20.04,3.209
34254,PSS,WW,Brown,Right,20.0,20.009,3.144
34254,PSS,EE,Brown,Right,20.0,20.002,3.365
34254,PSS,WW,Brown,Right,20.0,20.006,3.3
34254,PSS,EE,Brown,Right,20.0,20.025,3.494
34254,PSS,WW,Brown,Right,20.0,20.004,3.403
34254,PSS,EE,Brown,Right,20.0,20.003,3.372
34254,PSS,WW,Brown,Right,20.0,20.011,3.053
34254,PSS,EE,Brown,Right,20.0,20.046,3.276
34254,PSS,WW,Brown,Right,20.0,20.012,3.329
34254,PSS,EE,Brown,Right,20.0,20.004,3.522
34254,PSS,WW,Brown,Right,20.0,20.008,3.546
34254,PSS,EE,Brown,Right,20.0,20.03,3.533
34254,PSS,WW,Brown,Right,20.0,20.005,3.423
34254,PSS,EE,Brown,Right,20.0,20.013,3.433
34254,PSS,WW,Brown,Right,20.0,20.052,3.319
34254,PSS,EE,Brown,Right,20.0,20.112,3.539
34254,PSS,WW,Brown,Right,20.0,20.048,3.423
34254,PSS,EE,Brown,Right,20.0,20.004,3.352
34254,PSS,WW,Brown,Right,20.0,20.006,3.478
34254,PSS,EE,Brown,Right,20.0,20.033,3.447
34254,PSS,WW,Brown,Right,20.0,20.004,3.459
34254,PSS,EE,Brown,Right,20.0,20.003,3.124
34254,PSS,WW,Brown,Right,20.0,20.017,3.506
34254,PSS,WW,Brown,Right,20.0,20.004,3.538
34340,PSS,WW,Brown,Right,20.0,20.036,3.671
34340,PSS,EE,Brown,Right,20.0,20.085,3.855
34340,PSS,WW,Brown,Right,20.0,20.032,4.011
34340,PSS,EE,Brown,Right,20.0,20.01,3.841
34340,PSS,WW,Brown,Right,20.0,20.033,3.834
34340,PSS,EE,Brown,Right,20.0,20.1,3.915
34340,PSS,WW,Brown,Right,20.0,20.051,3.524
34354,2S,EE,Perugia,Left,20.0,20.0,2.756
34354,2S,WW,Perugia,Left,20.0,20.0,0.178
34352,2S,WW,Perugia,Left,20.0,20.0,3.275
34352,2S,WW,Perugia,Left,20.0,20.0,3.275
34352,2S,WW,Perugia,Left,20.0,20.0,3.275
34352,2S,WW,Perugia,Left,20.0,20.0,3.275
34352,2S,WW,Perugia,Left,20.0,20.0,3.275
34352,2S,WW,Perugia,Left,20.0,20.0,3.275
34352,2S,WW,Perugia,Left,20.0,20.0,3.275
34352,2S,EE,Perugia,Left,20.0,20.0,3.246
34352,2S,WW,Perugia,Left,20.0,20.0,3.326
34352,2S,EE,Perugia,Left,20.0,20.0,3.334
34352,2S,WW,Perugia,Left,20.0,20.0,3.304
34352,2S,EE,Perugia,Left,20.0,20.0,3.278
34352,2S,WW,Perugia,Left,20.0,20.0,3.281
34352,2S,EE,Perugia,Left,20.0,20.0,3.071
34352,2S,WW,Perugia,Left,20.0,20.0,3.284
34353,2S,EE,Brown,Right,20.0,20.011,3.557
34353,2S,WW,Brown,Right,20.0,20.059,3.283
34353,2S,EE,Brown,Right,20.0,20.104,3.548
34353,2S,WW,Brown,Right,20.0,20.056,3.019
34353,2S,WW,Brown,Right,20.0,20.087,3.276
34353,2S,EE,Brown,Right,20.0,20.093,3.247
34353,2S,WW,Brown,Right,20.0,20.051,3.178
34353,2S,WW,Brown,Right,20.0,20.075,3.369
34353,2S,EE,Brown,Right,20.0,20.04,3.54
34353,2S,WW,Brown,Right,20.0,20.058,3.281
34353,2S,EE,Brown,Right,20.0,20.088,3.293
34353,2S,WW,Brown,Right,20.0,20.06,4.047
34353,2S,EE,Brown,Right,20.0,20.004,3.539
34353,2S,WW,Brown,Right,20.0,20.057,3.32
34353,2S,EE,Brown,Right,20.0,20.103,3.544
34353,2S,WW,Brown,Right,20.0,20.055,3.217
34353,2S,EE,Brown,Right,20.0,20.003,3.554
34353,2S,WW,Brown,Right,20.0,20.008,3.38
34353,2S,EE,Brown,Right,20.0,20.028,3.479
34353,2S,WW,Brown,Right,20.0,20.006,3.462
34353,2S,EE,Brown,Right,20.0,20.003,3.584
34353,2S,WW,Brown,Right,20.0,20.015,3.488
34353,2S,EE,Brown,Right,20.0,20.031,3.857
34353,2S,WW,Brown,Right,20.0,20.005,3.156
34353,2S,EE,Brown,Right,20.0,20.003,3.616
34353,2S,WW,Brown,Right,20.0,20.006,3.145
34353,2S,EE,Brown,Right,20.0,20.021,3.52
34353,2S,WW,Brown,Right,20.0,20.008,3.356
34357,2S,EE,Perugia,Left,20.0,20.0,3.331
34357,2S,WW,Perugia,Left,20.0,20.0,3.352
34357,2S,EE,Perugia,Left,20.0,20.0,3.35
34357,2S,WW,Perugia,Left,20.0,20.0,3.381
34357,2S,EE,Perugia,Left,20.0,20.0,3.351
34357,2S,WW,Perugia,Left,20.0,20.0,3.355
34357,2S,EE,Perugia,Left,20.0,20.0,3.343
34357,2S,WW,Perugia,Left,20.0,20.0,3.356
34357,2S,EE,Perugia,Left,20.0,20.0,3.364
34357,2S,WW,Perugia,Left,20.0,20.0,3.353
34357,2S,EE,Perugia,Left,20.0,20.0,3.298
34357,2S,WW,Perugia,Left,20.0,20.0,3.369
34357,2S,EE,Perugia,Left,20.0,20.0,3.489
34357,2S,WW,Perugia,Left,20.0,20.0,3.341
34357,2S,EE,Perugia,Left,20.0,20.0,3.346
34357,2S,WW,Perugia,Left,20.0,20.0,3.356
34357,2S,EE,Perugia,Left,20.0,20.0,3.389
34357,2S,WW,Perugia,Left,20.0,20.0,3.412
34357,2S,EE,Perugia,Left,20.0,20.0,3.333
34357,2S,WW,Perugia,Left,20.0,20.0,3.355
34357,2S,EE,Perugia,Left,20.0,20.0,3.387
34357,2S,EE,Perugia,Left,20.0,20.0,3.364
34357,2S,EE,Perugia,Left,20.0,20.0,3.383
34354,2S,EE,Perugia,Left,20.0,20.0,2.641
34354,2S,EE,Perugia,Left,20.0,20.0,3.346
34354,2S,WW,Perugia,Left,20.0,20.0,3.306
34354,2S,EE,Perugia,Left,20.0,20.0,3.268
34354,2S,WW,Perugia,Left,20.0,20.0,3.271
34354,2S,EE,Perugia,Left,20.0,20.0,3.406
34354,2S,WW,Perugia,Left,20.0,20.0,3.334
34354,2S,EE,Perugia,Left,20.0,20.0,2.858
34354,2S,EE,Perugia,Left,20.0,20.0,3.292
34354,2S,EE,Perugia,Left,20.0,20.0,3.254
34354,2S,EE,Perugia,Left,20.0,20.0,3.271
34354,2S,EE,Perugia,Left,20.0,20.0,3.283
34354,2S,WW,Perugia,Left,20.0,20.0,3.243
34354,2S,EE,Perugia,Left,20.0,20.0,3.312
34354,2S,WW,Perugia,Left,20.0,20.0,3.279
34354,2S,EE,Perugia,Left,20.0,20.0,3.247
34354,2S,WW,Perugia,Left,20.0,20.0,3.207
34354,2S,EE,Perugia,Left,20.0,20.0,3.25
34354,2S,WW,Perugia,Left,20.0,20.0,3.266
34354,2S,EE,Perugia,Left,20.0,20.0,3.222
34354,2S,WW,Perugia,Left,20.0,20.0,3.232
34354,2S,EE,Perugia,Left,20.0,20.0,3.299
34354,2S,WW,Perugia,Left,20.0,20.0,3.26
34354,2S,EE,Perugia,Left,20.0,20.0,3.295
34354,2S,WW,Perugia,Left,20.0,20.0,3.291
34354,2S,EE,Perugia,Left,20.0,20.0,3.248
34354,2S,WW,Perugia,Left,20.0,20.0,3.269
34354,2S,EE,Perugia,Left,20.0,20.0,3.265
34354,2S,WW,Perugia,Left,20.0,20.0,3.296
34354,2S,EE,Perugia,Left,20.0,20.0,3.269
34354,2S,WW,Perugia,Left,20.0,20.0,3.266
34357,2S,EE,Perugia,Left,20.0,20.0,3.323
34357,2S,WW,Perugia,Left,20.0,20.0,3.338
34357,2S,EE,Perugia,Left,20.0,20.0,3.35
34357,2S,WW,Perugia,Left,20.0,20.0,3.361
34357,2S,EE,Perugia,Left,20.0,20.0,3.326
34357,2S,WW,Perugia,Left,20.0,20.0,3.34
34359,2S,EE,Brown,Right,20.0,20.003,3.61
34359,2S,WW,Brown,Right,20.0,20.003,3.302
34359,2S,WW,Brown,Right,20.0,20.004,3.992
34359,2S,EE,Brown,Right,20.0,20.03,3.309
34359,2S,WW,Brown,Right,20.0,20.004,3.333
34359,2S,EE,Brown,Right,20.0,20.022,3.349
34359,2S,WW,Brown,Right,20.0,20.003,3.363
34359,2S,EE,Brown,Right,20.0,20.004,3.37
34359,2S,WW,Brown,Right,20.0,20.01,3.849
34359,2S,WW,Brown,Right,20.0,20.003,3.469
34359,2S,EE,Brown,Right,20.0,20.003,3.464
34359,2S,WW,Brown,Right,20.0,20.003,3.502
34359,2S,EE,Brown,Right,20.0,20.018,3.425
34359,2S,WW,Brown,Right,20.0,20.003,2.894
34359,2S,EE,Brown,Right,20.0,20.006,3.525
34359,2S,WW,Brown,Right,20.0,20.007,3.322
34359,2S,EE,Brown,Right,20.0,20.023,3.431
34359,2S,WW,Brown,Right,20.0,20.005,3.843
34359,2S,EE,Brown,Right,20.0,20.022,3.083
34359,2S,WW,Brown,Right,20.0,20.003,3.521
34359,2S,EE,Brown,Right,20.0,20.02,3.314
34359,2S,WW,Brown,Right,20.0,20.004,4.011
34359,2S,EE,Brown,Left,20.0,20.046,3.613
34359,2S,WW,Brown,Right,20.0,20.004,3.411
34359,2S,EE,Brown,Right,20.0,20.021,3.44
34359,2S,WW,Brown,Right,20.0,20.005,3.524
34341,PSS,EE,Brown,Right,20.0,20.082,3.801
34341,PSS,WW,Brown,Right,20.0,20.039,3.799
34341,PSS,EE,Brown,Right,20.0,20.002,3.837
34341,PSS,WW,Brown,Right,20.0,20.013,3.222
34341,PSS,EE,Brown,Right,20.0,20.031,3.759
34341,PSS,WW,Brown,Right,20.0,20.074,3.557
34341,PSS,EE,Brown,Right,20.0,20.118,3.839
34341,PSS,WW,Brown,Right,20.0,20.065,3.837
34341,PSS,EE,Brown,Right,20.0,20.021,3.734
34341,PSS,WW,Brown,Right,20.0,20.064,3.872
34341,PSS,EE,Brown,Right,20.0,20.122,3.538
34341,PSS,WW,Brown,Right,20.0,20.069,3.641
34341,PSS,EE,Brown,Right,20.0,20.026,3.825
34341,PSS,WW,Brown,Right,20.0,20.063,3.732
34341,PSS,EE,Brown,Right,20.0,20.113,3.61
34341,PSS,WW,Brown,Right,20.0,20.055,3.805
34341,PSS,EE,Brown,Right,20.0,20.008,3.868
34341,PSS,WW,Brown,Right,20.0,20.053,3.682
34341,PSS,WW,Brown,Right,20.0,20.044,3.745
34341,PSS,EE,Brown,Right,20.0,20.031,3.84
34341,PSS,WW,Brown,Right,20.0,20.062,3.652
34341,PSS,EE,Brown,Right,20.0,20.136,3.526
34341,PSS,WW,Brown,Right,20.0,20.079,3.697
34341,PSS,EE,Brown,Left,20.0,20.064,3.742
34341,PSS,WW,Brown,Right,20.0,20.044,3.663
34341,PSS,WW,Brown,Right,20.0,20.057,3.856
34341,PSS,WW,Brown,Right,20.0,20.037,4.046
34341,PSS,EE,Brown,Right,20.0,20.086,3.545
34341,PSS,WW,Brown,Right,20.0,20.027,3.688
34341,PSS,WW,Brown,Right,20.0,20.074,4.375
34341,PSS,EE,Brown,Right,20.0,20.11,3.629
34341,PSS,WW,Brown,Right,20.0,20.05,3.87
34341,PSS,EE,Brown,Right,20.0,20.054,3.984
34341,PSS,WW,Brown,Right,20.0,20.077,4.019
34341,PSS,WW,Brown,Right,20.0,20.078,4.096
34343,PSS,EE,Brown,Right,20.0,20.01,3.632
34343,PSS,WW,Brown,Right,20.0,20.029,3.712
34343,PSS,EE,Brown,Right,20.0,20.083,3.759
34343,PSS,WW,Brown,Right,20.0,20.018,3.522
34343,PSS,EE,Brown,Right,20.0,20.075,3.699
34343,PSS,EE,Brown,Right,20.0,20.004,3.531
34343,PSS,WW,Brown,Right,20.0,20.025,3.756
34343,PSS,EE,Brown,Right,20.0,20.002,3.779
34343,PSS,WW,Brown,Right,20.0,20.008,3.638
34343,PSS,EE,Brown,Right,20.0,20.065,3.777
34343,PSS,WW,Brown,Right,20.0,20.154,3.7
34343,PSS,EE,Brown,Right,20.0,20.009,3.679
34343,PSS,WW,Brown,Right,20.0,20.025,3.687
34343,PSS,WW,Brown,Right,20.0,20.025,3.667
34343,PSS,EE,Brown,Right,20.0,20.05,3.502
34343,PSS,WW,Brown,Right,20.0,20.089,3.709
34343,PSS,EE,Brown,Right,20.0,20.138,3.519
34343,PSS,WW,Brown,Right,20.0,20.015,3.642
34343,PSS,EE,Brown,Right,20.0,20.024,3.593
34343,PSS,WW,Brown,Right,20.0,20.054,3.606
34343,PSS,EE,Brown,Right,20.0,20.088,3.69
34343,PSS,WW,Brown,Right,20.0,20.039,3.479
34343,PSS,EE,Brown,Right,20.0,20.045,3.466
