batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,VI600_NAMPRMM3
34359,2S,WW,Brown,Right,20.0,20.004,0.13
34359,2S,EE,Brown,Right,20.0,20.003,0.123
34359,2S,WW,Brown,Right,20.0,20.004,0.118
34359,2S,EE,Brown,Right,20.0,20.01,0.132
34359,2S,WW,Brown,Right,20.0,20.003,0.111
34359,2S,EE,Brown,Right,20.0,20.003,0.123
34359,2S,WW,Brown,Right,20.0,20.004,0.113
34359,2S,EE,Brown,Right,20.0,20.011,0.137
34359,2S,WW,Brown,Right,20.0,20.007,0.139
34359,2S,EE,Brown,Right,20.0,20.003,0.09859032
34359,2S,WW,Brown,Right,20.0,20.005,0.16
34359,2S,EE,Brown,Right,20.0,20.011,0.115
34359,2S,WW,Brown,Right,20.0,20.007,0.159
34359,2S,EE,Brown,Right,20.0,20.004,0.117
34359,2S,WW,Brown,Right,20.0,20.003,0.128
34359,2S,EE,Brown,Right,20.0,20.011,0.135
34359,2S,WW,Brown,Right,20.0,20.005,0.149
34341,PSS,EE,Brown,Right,20.0,20.068,0.101
34341,PSS,WW,Brown,Right,20.0,20.025,0.09992251
34341,PSS,EE,Brown,Right,20.0,20.002,0.08296651
34341,PSS,WW,Brown,Right,20.0,20.007,0.132
34341,PSS,EE,Brown,Right,20.0,20.017,0.07732554
34341,PSS,WW,Brown,Right,20.0,20.052,0.114
34341,PSS,EE,Brown,Right,20.0,20.105,0.07169777
34341,PSS,WW,Brown,Right,20.0,20.048,0.119
34341,PSS,EE,Brown,Right,20.0,20.012,0.08934177
34341,PSS,WW,Brown,Right,20.0,20.046,0.164
34341,PSS,EE,Brown,Right,20.0,20.107,0.09019972
34341,PSS,WW,Brown,Right,20.0,20.053,0.136
34341,PSS,EE,Brown,Right,20.0,20.011,0.07705934
34341,PSS,WW,Brown,Right,20.0,20.043,0.125
34341,PSS,EE,Brown,Right,20.0,20.099,0.08973686
34341,PSS,WW,Brown,Right,20.0,20.043,0.137
34341,PSS,EE,Brown,Right,20.0,20.005,0.08484786
34341,PSS,WW,Brown,Right,20.0,20.027,0.11
34341,PSS,EE,Brown,Right,20.0,20.079,0.08756919
34341,PSS,WW,Brown,Right,20.0,20.031,0.107
34341,PSS,EE,Brown,Right,20.0,20.012,0.0791931
34341,PSS,WW,Brown,Right,20.0,20.042,0.114
34341,PSS,EE,Brown,Right,20.0,20.114,0.09149564
34341,PSS,WW,Brown,Right,20.0,20.065,0.0854491
34341,PSS,EE,Brown,Right,20.0,20.005,0.08016488
34341,PSS,WW,Brown,Right,20.0,20.024,0.08320566
34341,PSS,EE,Brown,Right,20.0,20.085,0.09101506
34341,PSS,WW,Brown,Right,20.0,20.04,0.18
34341,PSS,EE,Brown,Right,20.0,20.004,0.101
34341,PSS,WW,Brown,Right,20.0,20.021,0.213
34341,PSS,EE,Brown,Right,20.0,20.069,0.12
34341,PSS,WW,Brown,Right,20.0,20.019,0.08724596
34341,PSS,EE,Brown,Right,20.0,20.014,0.116
34341,PSS,WW,Brown,Right,20.0,20.043,0.195
34341,PSS,EE,Brown,Right,20.0,20.092,0.108
34341,PSS,WW,Brown,Right,20.0,20.037,0.151
34341,PSS,EE,Brown,Right,20.0,20.04,0.09921261
34341,PSS,WW,Brown,Right,20.0,20.057,0.18
34341,PSS,EE,Brown,Right,20.0,20.109,0.09432772
34341,PSS,WW,Brown,Right,20.0,20.058,0.104
34343,PSS,EE,Brown,Right,20.0,20.005,0.08766135
34343,PSS,WW,Brown,Right,20.0,20.015,0.169
34343,PSS,EE,Brown,Right,20.0,20.069,0.113
34343,PSS,WW,Brown,Right,20.0,20.024,0.115
34343,PSS,EE,Brown,Right,20.0,20.062,0.103
34343,PSS,WW,Brown,Right,20.0,20.015,0.123
34343,PSS,EE,Brown,Right,20.0,20.004,0.09632844
34343,PSS,WW,Brown,Right,20.0,20.013,0.116
34343,PSS,EE,Brown,Right,20.0,20.004,0.09943274
34343,PSS,WW,Brown,Right,20.0,20.004,0.114
34343,PSS,EE,Brown,Right,20.0,20.047,0.1
34343,PSS,WW,Brown,Right,20.0,20.04,0.12
34343,PSS,EE,Brown,Right,20.0,20.005,0.109
34343,PSS,WW,Brown,Right,20.0,20.014,0.136
34343,PSS,EE,Brown,Right,20.0,20.061,0.115
34343,PSS,WW,Brown,Right,20.0,20.014,0.126
34343,PSS,EE,Brown,Right,20.0,20.028,0.116
34343,PSS,WW,Brown,Right,20.0,20.072,0.129
34343,PSS,EE,Brown,Right,20.0,20.127,0.09802458
34343,PSS,WW,Brown,Right,20.0,20.07,0.126
34343,PSS,EE,Brown,Right,20.0,20.012,0.113
34343,PSS,WW,Brown,Right,20.0,20.027,0.145
34343,PSS,EE,Brown,Right,20.0,20.076,0.116
34343,PSS,WW,Brown,Right,20.0,20.023,0.135
34343,PSS,EE,Brown,Right,20.0,20.016,0.127
34343,PSS,WW,Brown,Right,20.0,20.068,0.15
34343,PSS,EE,Brown,Right,20.0,20.131,0.125
34343,PSS,WW,Brown,Right,20.0,20.081,0.134
34343,PSS,EE,Brown,Right,20.0,20.006,0.141
34343,PSS,WW,Brown,Right,20.0,20.023,0.141
34343,PSS,EE,Brown,Right,20.0,20.081,0.121
34343,PSS,WW,Brown,Right,20.0,20.035,0.126
34343,PSS,EE,Brown,Right,20.0,20.038,0.128
34343,PSS,WW,Brown,Right,20.0,20.097,0.1
34343,PSS,EE,Brown,Right,20.0,20.15,0.127
34343,PSS,WW,Brown,Right,20.0,20.096,0.13
34343,PSS,EE,Brown,Right,20.0,20.013,0.127
34343,PSS,WW,Brown,Right,20.0,20.032,0.128
34343,PSS,EE,Brown,Right,20.0,20.074,0.14
34343,PSS,WW,Brown,Right,20.0,20.021,0.14
35722,2S,EE,Brown,Right,20.0,20.006,0.178
35722,2S,WW,Brown,Right,20.0,20.012,0.137
35722,2S,EE,Brown,Right,20.0,20.003,0.199
35722,2S,WW,Brown,Right,20.0,20.008,0.08233948
35722,2S,EE,Brown,Right,20.0,20.056,0.215
35722,2S,WW,Brown,Right,20.0,20.029,0.149
35722,2S,EE,Brown,Right,20.0,20.039,0.175
35722,2S,WW,Brown,Right,20.0,20.016,0.153
35722,2S,EE,Brown,Right,20.0,20.006,0.195
35722,2S,WW,Brown,Right,20.0,20.018,0.181
35722,2S,EE,Brown,Right,20.0,20.004,0.192
35722,2S,WW,Brown,Right,20.0,20.01,0.172
35722,2S,EE,Brown,Right,20.0,20.053,0.218
35722,2S,WW,Brown,Right,20.0,20.015,0.205
35722,2S,EE,Brown,Right,20.0,20.039,0.214
35722,2S,WW,Brown,Right,20.0,20.006,0.193
35952,2S,EE,Brown,Right,20.0,20.005,0.172
35952,2S,WW,Brown,Right,20.0,20.017,0.107
35952,2S,EE,Brown,Right,20.0,20.011,0.153
35952,2S,WW,Brown,Right,20.0,20.021,0.127
35717,2S,EE,Brown,Right,20.0,20.011,0.153
35717,2S,WW,Brown,Right,20.0,20.04,0.196
35717,2S,EE,Brown,Right,20.0,20.013,0.196
35717,2S,WW,Brown,Right,20.0,20.041,0.149
35717,2S,EE,Brown,Right,20.0,20.092,0.169
35717,2S,WW,Brown,Right,20.0,20.063,0.161
35717,2S,EE,Brown,Right,20.0,20.09,0.153
35717,2S,WW,Brown,Right,20.0,20.045,0.164
35717,2S,EE,Brown,Right,20.0,20.01,0.123
35717,2S,WW,Brown,Right,20.0,20.043,0.129
35717,2S,EE,Brown,Right,20.0,20.05,0.125
35717,2S,WW,Brown,Right,20.0,20.064,0.17
35717,2S,EE,Brown,Right,20.0,20.095,0.174
35717,2S,WW,Brown,Right,20.0,20.067,0.172
35717,2S,EE,Brown,Right,20.0,20.111,0.156
35717,2S,WW,Brown,Right,20.0,20.061,0.229
35717,2S,EE,Brown,Right,20.0,20.046,0.152
35717,2S,WW,Brown,Right,20.0,20.055,0.147
35717,2S,EE,Brown,Right,20.0,20.096,0.103
35717,2S,WW,Brown,Right,20.0,20.058,0.08010905
35718,2S,EE,Brown,Right,20.0,20.053,0.154
35718,2S,WW,Brown,Right,20.0,20.07,0.165
35718,2S,EE,Brown,Right,20.0,20.003,0.162
35718,2S,WW,Brown,Right,20.0,20.009,0.183
35718,2S,EE,Brown,Right,20.0,20.118,0.144
35718,2S,WW,Brown,Right,20.0,20.08,0.188
35718,2S,EE,Brown,Right,20.0,20.044,0.15
35718,2S,WW,Brown,Right,20.0,20.009,0.18
35718,2S,EE,Brown,Right,20.0,20.024,0.145
35718,2S,WW,Brown,Right,20.0,20.062,0.179
35718,2S,EE,Brown,Right,20.0,20.007,0.174
35718,2S,WW,Brown,Right,20.0,20.053,0.183
35718,2S,EE,Brown,Right,20.0,20.112,0.157
35718,2S,WW,Brown,Right,20.0,20.072,0.19
35718,2S,EE,Brown,Right,20.0,20.101,0.187
35718,2S,WW,Brown,Right,20.0,20.057,0.207
35952,2S,EE,Brown,Right,20.0,20.07,0.166
35952,2S,WW,Brown,Right,20.0,20.043,0.123
35952,2S,EE,Brown,Right,20.0,20.073,0.147
35952,2S,WW,Brown,Right,20.0,20.029,0.118
35952,2S,EE,Brown,Right,20.0,20.004,0.133
35952,2S,WW,Brown,Right,20.0,20.015,0.128
