batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,I600_PAMPR
34353,2S,WW,Brown,Left,20.0,20.147,0.12266800000000001
34353,2S,EE,Brown,Right,20.0,20.013,0.316772
34353,2S,WW,Brown,Right,20.0,20.044,0.203423
34353,2S,EE,Brown,Right,20.0,20.087,0.38151
34353,2S,WW,Brown,Right,20.0,20.038,0.255566
34353,2S,EE,Brown,Right,20.0,20.003,0.309459
34353,2S,WW,Brown,Right,20.0,20.004,0.186708
34353,2S,EE,Brown,Right,20.0,20.014,0.32377999999999996
34353,2S,WW,Brown,Right,20.0,20.006,0.193361
34353,2S,EE,Brown,Right,20.0,20.002,0.32744
34353,2S,WW,Brown,Right,20.0,20.004,0.190592
34353,2S,EE,Brown,Right,20.0,20.017,0.34008800000000006
34353,2S,WW,Brown,Right,20.0,20.007,0.158578
34353,2S,EE,Brown,Right,20.0,20.002,0.321035
34353,2S,WW,Brown,Right,20.0,20.005,0.19384200000000001
34353,2S,EE,Brown,Right,20.0,20.012,0.31948200000000004
34353,2S,WW,Brown,Right,20.0,20.005,0.44467
34359,2S,EE,Brown,Right,20.0,20.003,0.19863
34359,2S,WW,Brown,Right,20.0,20.003,0.192778
34359,2S,EE,Brown,Right,20.0,20.006,0.208852
34359,2S,WW,Brown,Right,20.0,20.005,0.234607
34359,2S,EE,Brown,Right,20.0,20.002,0.2131
34359,2S,WW,Brown,Right,20.0,20.004,0.21062
34359,2S,EE,Brown,Right,20.0,20.012,0.225898
34359,2S,WW,Brown,Right,20.0,20.004,0.234934
34359,2S,EE,Brown,Right,20.0,20.003,0.275855
34359,2S,WW,Brown,Right,20.0,20.017,0.223381
34359,2S,EE,Brown,Right,20.0,20.013,0.225805
34359,2S,WW,Brown,Right,20.0,20.004,0.235619
34359,2S,EE,Brown,Right,20.0,20.003,0.222517
34359,2S,WW,Brown,Right,20.0,20.004,0.21438200000000002
34359,2S,EE,Brown,Right,20.0,20.01,0.239414
34359,2S,WW,Brown,Right,20.0,20.003,0.200964
34359,2S,EE,Brown,Right,20.0,20.003,0.222917
34359,2S,WW,Brown,Right,20.0,20.004,0.205647
34359,2S,EE,Brown,Right,20.0,20.011,0.24744900000000003
34359,2S,WW,Brown,Right,20.0,20.007,0.251286
34359,2S,EE,Brown,Right,20.0,20.003,0.178695
34359,2S,WW,Brown,Right,20.0,20.005,0.289695
34359,2S,EE,Brown,Right,20.0,20.011,0.208451
34359,2S,WW,Brown,Right,20.0,20.007,0.2879
34359,2S,EE,Brown,Right,20.0,20.004,0.211877
34359,2S,WW,Brown,Right,20.0,20.003,0.23168000000000002
34359,2S,EE,Brown,Right,20.0,20.011,0.245167
34359,2S,WW,Brown,Right,20.0,20.005,0.27026900000000004
34341,PSS,EE,Brown,Right,20.0,20.068,0.182324
34341,PSS,WW,Brown,Right,20.0,20.025,0.18110900000000002
34341,PSS,EE,Brown,Right,20.0,20.002,0.150377
34341,PSS,WW,Brown,Right,20.0,20.007,0.23952600000000002
34341,PSS,EE,Brown,Right,20.0,20.017,0.140153
34341,PSS,WW,Brown,Right,20.0,20.052,0.206813
