Name,Type,Average,Std.dev
34332,2-S,4.031717948717949,0.11334366667189179
34346,2-S,3.809421052631579,0.07736422512112279
34348,2-S,3.6110000000000007,0.6524620040022765
34352,2-S,3.985368421052632,0.3500457447131916
34354,2-S,3.8067777777777794,0.08260362332161082
34357,2-S,3.9861290322580643,0.41307793791934583
35494,PSP,2.818999999999999,1.5291514872089464
35495,PSP,2.1555384615384616,1.1292461818714532
35496,PSP,2.447935483870968,0.184726272357033
35499,PSP,2.462850000000001,0.2088194595019024
35713,PSS,3.8221999999999996,0.07909054485660262
35714,PSS,3.5811052631578946,0.7059037446623351
35719,2-S,4.064,0.053095432948606795
35953,2-S,3.5749333333333335,0.4659792753518886
35957,2-S,3.9565937500000006,0.0474700988229229
35958,2-S,4.063937500000001,0.1583705205339478
35959,2-S,4.010923076923078,0.13378756984919724
35960,2-S,3.8473076923076936,0.04162477073163925
35961,2-S,3.8595172413793097,0.24066449982877094
35962,2-S,3.8354642857142864,0.07573173029546448
35963,2-S,3.881761904761904,0.09336103786593927
36236,PSS,3.8129666666666666,0.09552919154259387
36237,PSS,3.8944411764705884,0.40348716258925965
36238,2-S,4.0387352941176475,0.053534077973346694
36239,2-S,3.7874166666666667,0.09067712269205587
36240,2-S,3.7783333333333338,0.35110814222434644
36241,2-S,4.0318000000000005,0.16026412410044932
36245,2-S,4.181051282051281,0.1268157368082964
36246,2-S,4.072615384615384,0.18921502623694067
36696,PSS,3.914807692307691,0.09162584584025779
36697,PSS,4.186346153846153,0.6031347941547393
36698,2-S,3.86365,0.07905579308977055
36699,2-S,3.781473684210526,0.0952443456595559
36700,2-S,3.9389047619047624,0.22871792775423286
36701,2-S,3.759349999999999,0.10390647363450417
36702,2-S,3.64028125,0.5378168674027464
36703,2-S,3.8063000000000007,0.08933707960921632
36704,2-S,4.034677419354838,0.18898578202195954
36705,2-S,4.061166666666667,0.08149173147535008
36706,2-S,3.6821500000000014,0.6263131279244644
36795,2-S,3.9632083333333337,0.19080606570584924
36796,2-S,4.153560000000001,0.13277709390804834
36797,2-S,3.8058333333333336,0.2677498291586622
36798,2-S,3.4028437499999997,0.6234272966802398
36799,2-S,3.6607666666666674,0.11334557574175497
36800,2-S,3.71385,0.20957934686313656
36801,2-S,3.7424,0.08251149840125954
36802,2-S,3.845250000000001,0.09790321482813613
36803,2-S,3.977787234042554,0.19582356035474702
37077,PSS,3.993694,0.0
37079,2-S,3.5181875000000007,0.424912417446231
37081,2-S,3.795049999999999,0.3253785609021234
37083,2-S,3.8160000000000003,0.11479708345759658
37084,2-S,2.986928571428572,0.4100106528490881
37085,2-S,3.3011428571428576,0.12948954728912623
37086,2-S,3.2766538461538457,0.5406747271396989
37087,2-S,4.056625,0.06628057128929117
37088,2-S,4.197142857142857,0.129647303405907
37398,PSS,3.9944166666666665,0.04772558940503468
37399,PSS,4.090458333333333,0.14744430906400666
37400,2-S,3.943130671232876,0.1141232615335589
37401,2-S,4.052573500000001,0.3992673600124557
37402,2-S,3.9611071428571423,0.08403453403246136
37403,2-S,3.7425283018867925,0.10019012767533256
37404,2-S,3.8321499999999995,0.17794576384897404
37405,2-S,3.906977272727273,0.09889564352724581
37406,2-S,3.9996666666666676,0.06537428471080409
37407,2-S,3.8746666666666667,0.0876384205335948
37408,2-S,4.012421499999999,0.10901117809776728
37895,PSS,4.129999999999999,0.10041479191226062
37896,PSS,4.04525,0.10276831265986881
37897,2-S,4.055281000000001,0.08501378636804502
37898,2-S,3.355029411764706,0.6045231772529547
37899,2-S,4.404406249999998,0.1319633036418249
37900,2-S,3.7789999999999995,0.0747110375408801
37901,2-S,3.920125,0.6993705438526102
37903,2-S,3.934214285714286,1.0980508777642002
37904,2-S,4.043267999999999,0.26357302561490414
37905,2-S,3.720456,0.9633123585511792
37906,2-S,3.7508437500000005,0.23295522335571217
37907,2-S,3.302250000000001,0.6534543736337316
38194,2-S,3.748181818181818,0.09987117242853956
38195,2-S,3.9575599999999995,0.08334020638323383
38196,2-S,3.709731666666667,0.4446149360864707
38197,2-S,3.83753125,0.2218735449747839
38198,2-S,3.8539090909090916,0.057289074481686984
38199,2-S,3.9935834999999997,0.231778333220047
38200,2-S,3.9280937499999995,0.10244254388869456
38201,2-S,3.68052,0.6074589231654544
38202,2-S,2.7929159562499994,1.3909561875710486
38212,PSS,4.153958333333333,0.1282170303979077
38213,PSS,3.784863636363637,0.11147594037004252
38691,2-S,3.6975312499999995,0.08503129760612059
38693,2-S,4.2169583333333325,0.057398287481397074
38694,2-S,3.9855416666666668,0.15340369565489534
38695,2-S,3.9289166666666673,0.07959020950641697
38696,2-S,3.224766666666667,0.888564230629403
38711,PSS,3.7848333333333333,0.10740725692698659
38712,PSS,3.6154230769230766,0.49652554198767446
38713,2-S,3.994,0.07153229735732933
38714,2-S,3.846963,1.5227669425237593
38715,2-S,4.143828999999999,0.0980994120857969
38716,2-S,3.0058333333333334,1.0435806149981897
38868,2-S,3.776500000000001,0.07816855237654814
38869,2-S,3.693242500000001,2.047529228745491
38870,2-S,4.347681499999999,0.06848931897326091
38871,2-S,4.328312499999999,0.06149452506445786
38872,2-S,4.376875,0.0740186178606437
38873,2-S,4.0219375,0.37660916412110845
38874,2-S,4.191599999999999,0.09229951245808421
38875,2-S,4.10175,0.33135248100273323
38876,2-S,3.5845091666666664,2.703987816431194
38877,2-S,4.0944090909090916,0.27063059677985374
38878,2-S,4.0799375,0.05243671300689747
38879,2-S,4.31121875,0.10084473353754297
38880,2-S,4.002166666666667,0.10241700261305443
38881,2-S,4.28829,0.1146644356372106
38882,2-S,4.273270000000001,2.1917983280258344
38883,2-S,4.321756499999999,0.08735439550143466
38884,2-S,4.522010999999999,0.08474855824887662
38885,2-S,4.2262812499999995,0.22180704246552096
38920,PSS,3.6302800000000004,0.25660370223361945
38921,PSS,1.7715185185185187,1.9359116590296552
38922,PSS,4.078916666666667,0.04447854066524821
39478,PSS,4.296333333333334,0.2602717086408751
39480,2-S,4.823249999999999,0.26058160755039556
39481,2-S,4.19715625,0.16618938077463935
39484,2-S,4.3733435,0.36734432796370375
39485,2-S,4.054277777777777,0.09399549773670703
39487,2-S,3.936782,0.4108335351401945
39488,2-S,4.0728888888888894,0.10112653046257769
39547,PSS,4.443418500000001,0.10774683506281083
39568,2-S,4.28255,0.10267499823792497
