Name,Type,Average,Std.dev
35715,2S,3.90,0.28
35716,2S,4.42,0.13
35720,2S,3.89,0.28
35721,2S,4.22,0.08
35497,PS-p,2.20,0.66
35498,PS-p,2.59,0.19
35954,PS-s,4.06,0.04
35955,PS-s,3.66,0.60
36243,2S,3.99,0.06
36244,2S,3.96,0.10
36232,PS-p,2.59,0.17
36233,PS-p,2.51,0.21
36234,PS-p,2.71,0.18
36235,PS-p,2.64,0.27
36793,PS-s,3.83,0.10
36794,PS-s,3.75,0.80
37077,PS-s,4.08,0.10
37078,PS-s,4.04,0.10
37400,2S,3.97,0.12
37401,2S,4.03,0.45
37408,2S,4.01,0.11
37897,2S,4.06,0.09
37904,2S,4.04,0.27
37905,2S,3.72,0.98
38196,2S,3.71,0.44
38199,2S,3.99,0.23
38714,2S,4.18,0.23
38715,2S,4.14,0.10
38869,2S,4.15,0.08
38870,2S,4.35,0.07
