batch_number,Type,Orientation,Location,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,CAC_PFRD
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.02,2.425
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.065,2.377
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.042,2.379
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.047,2.426
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.003,2.358
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.001,2.44
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.02,2.396
34252,PSS,WW,Brown,CAP_W,Right,20.0,20.004,2.435
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.011,2.384
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.055,2.426
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.044,2.368
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.002,2.366
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.084,2.415
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.111,2.407
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.102,2.395
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.037,2.444
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.067,2.367
34252,PSS,WW,Brown,CAP_W,Right,20.0,20.048,2.366
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.001,2.445
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.004,2.389
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.013,2.391
34252,PSS,WW,Brown,CAP_W,Right,20.0,20.062,2.409
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.063,2.443
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.087,2.391
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.066,2.368
34252,PSS,WW,Brown,CAP_W,Right,20.0,20.035,2.41
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.12,2.429
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.046,2.39
34252,PSS,WW,Brown,CAP_W,Right,20.0,20.032,2.446
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.114,2.378
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.096,2.393
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.089,2.433
34252,PSS,WW,Brown,CAP_W,Right,20.0,20.07,2.454
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.104,2.353
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.005,2.415
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.055,2.422
34252,PSS,WW,Brown,CAP_W,Right,20.0,20.018,2.425
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.082,2.351
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.046,2.34
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.029,2.457
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.047,2.366
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.042,2.36
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.051,2.435
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.06,2.381
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.058,2.423
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.03,2.409
34348,2S,WW,Perugia,CAP_W,Left,20.0,20.0,2.265
34348,2S,WW,Perugia,CAP_W,Left,20.0,20.0,2.277
34348,2S,WW,Perugia,CAP_W,Left,20.0,20.0,2.277
34348,2S,WW,Perugia,CAP_W,Left,20.0,20.0,2.279
34348,2S,WW,Perugia,CAP_W,Left,20.0,20.0,2.267
34348,2S,WW,Perugia,CAP_W,Left,20.0,20.0,2.271
34348,2S,WW,Perugia,CAP_W,Left,20.0,20.0,2.267
34348,2S,WW,Perugia,CAP_W,Left,20.0,20.0,2.344
34348,2S,WW,Perugia,CAP_W,Left,20.0,20.0,2.271
34348,2S,WW,Perugia,CAP_W,Left,20.0,20.0,2.328
34348,2S,WW,Perugia,CAP_W,Left,20.0,20.0,2.298
34348,2S,WW,Perugia,CAP_W,Left,20.0,20.0,2.331
34331,2S,EE,Brown,CAP_W,Left,20.0,20.119,2.439
34331,2S,EE,Brown,CAP_W,Right,20.0,20.09,2.341
34331,2S,WW,Brown,CAP_W,Left,20.0,20.09,2.382
34331,2S,WW,Brown,CAP_W,Right,20.0,20.198,2.306
34331,2S,EE,Brown,CAP_W,Right,20.0,20.049,2.373
34331,2S,WW,Brown,CAP_W,Right,20.0,20.043,2.431
34331,2S,EE,Brown,CAP_W,Right,20.0,20.11,2.362
34331,2S,WW,Brown,CAP_W,Right,20.0,20.095,2.424
34331,2S,EE,Brown,CAP_W,Right,20.0,20.022,2.342
34331,2S,WW,Brown,CAP_W,Right,20.0,20.07,2.428
34331,2S,EE,Brown,CAP_W,Right,20.0,20.131,2.369
34331,2S,EE,Brown,CAP_W,Right,20.0,20.02,2.327
34331,2S,EE,Brown,CAP_W,Right,20.0,20.2,2.375
34331,2S,WW,Brown,CAP_W,Right,20.0,20.044,2.422
34331,2S,EE,Brown,CAP_W,Right,20.0,20.002,2.373
34331,2S,WW,Brown,CAP_W,Right,20.0,20.018,2.416
34331,2S,EE,Brown,CAP_W,Right,20.0,20.076,2.376
34331,2S,WW,Brown,CAP_W,Right,20.0,20.028,2.433
34331,2S,EE,Brown,CAP_W,Right,20.0,20.004,2.381
34331,2S,WW,Brown,CAP_W,Right,20.0,20.002,2.423
34331,2S,EE,Brown,CAP_W,Right,20.0,20.002,2.393
34331,2S,WW,Brown,CAP_W,Right,20.0,20.003,2.446
34331,2S,EE,Brown,CAP_W,Right,20.0,20.001,2.402
34331,2S,WW,Brown,CAP_W,Right,20.0,20.001,2.414
34331,2S,EE,Brown,CAP_W,Right,20.0,20.005,2.405
34331,2S,WW,Brown,CAP_W,Right,20.0,20.001,2.425
34331,2S,EE,Brown,CAP_W,Right,20.0,20.005,2.35
34331,2S,WW,Brown,CAP_W,Right,20.0,20.054,2.399
34331,2S,EE,Brown,CAP_W,Right,20.0,20.137,2.361
34331,2S,WW,Brown,CAP_W,Right,20.0,20.072,2.394
34331,2S,EE,Brown,CAP_W,Right,20.0,20.007,2.351
34331,2S,WW,Brown,CAP_W,Right,20.0,20.056,2.412
