batch_number,Type,Orientation,Location,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,CAC_PFRD
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.018,2.375
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.001,2.29
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.059,2.318
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.003,2.324
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.003,2.376
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.016,2.344
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.003,2.369
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.007,2.311
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.051,1.976
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.005,2.353
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.041,2.322
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.003,2.3
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.081,2.352
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.107,2.348
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.03,2.363
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.077,2.298
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.037,2.376
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.046,2.31
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.064,2.327
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.006,2.337
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.056,2.373
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.011,2.328
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.059,2.341
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.085,2.335
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.062,2.381
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.064,2.295
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.028,2.334
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.041,2.336
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.112,2.38
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.029,2.381
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.108,2.329
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.092,2.323
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.129,2.383
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.101,2.285
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.063,2.391
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.002,2.345
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.05,2.357
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.079,2.301
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.021,2.36
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.028,2.396
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.042,2.292
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.047,2.311
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.005,2.304
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.048,2.362
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.053,2.334
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.062,2.36
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.028,2.381
34346,2S,EE,Perugia,CAP_E,Left,20.0,20.0,2.361
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,2.33
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,2.328
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,2.38
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,2.316
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,2.321
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,2.334
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,2.324
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,2.313
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,2.347
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,2.347
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,2.324
34331,2S,EE,Brown,CAP_E,Right,20.0,20.086,2.299
34331,2S,EE,Brown,CAP_E,Left,20.0,20.117,2.37
34331,2S,WW,Brown,CAP_E,Left,20.0,20.088,2.322
34331,2S,WW,Brown,CAP_E,Right,20.0,20.133,2.356
34331,2S,EE,Brown,CAP_E,Right,20.0,20.051,2.311
34331,2S,EE,Brown,CAP_E,Right,20.0,20.077,2.304
34331,2S,WW,Brown,CAP_E,Right,20.0,20.087,2.365
34331,2S,EE,Brown,CAP_E,Right,20.0,20.015,2.293
34331,2S,WW,Brown,CAP_E,Right,20.0,20.059,2.366
34331,2S,EE,Brown,CAP_E,Right,20.0,20.132,2.302
34331,2S,WW,Brown,CAP_E,Right,20.0,20.071,2.354
34331,2S,WW,Brown,CAP_E,Right,20.0,20.041,2.358
34331,2S,WW,Brown,CAP_E,Right,20.0,20.04,2.359
34331,2S,EE,Brown,CAP_E,Right,20.0,20.002,2.317
34331,2S,WW,Brown,CAP_E,Right,20.0,20.017,2.35
34331,2S,EE,Brown,CAP_E,Right,20.0,20.076,2.314
34331,2S,WW,Brown,CAP_E,Right,20.0,20.024,2.369
34331,2S,EE,Brown,CAP_E,Right,20.0,20.006,2.316
34331,2S,WW,Brown,CAP_E,Right,20.0,20.002,2.367
34331,2S,EE,Brown,CAP_E,Right,20.0,20.009,2.321
34331,2S,WW,Brown,CAP_E,Right,20.0,20.002,2.369
34331,2S,EE,Brown,CAP_E,Right,20.0,20.002,2.344
34331,2S,WW,Brown,CAP_E,Right,20.0,20.004,2.353
34331,2S,EE,Brown,CAP_E,Right,20.0,20.003,2.342
34331,2S,WW,Brown,CAP_E,Right,20.0,20.005,2.357
34331,2S,EE,Brown,CAP_E,Right,20.0,20.02,2.279
34331,2S,WW,Brown,CAP_E,Right,20.0,20.061,2.185
34331,2S,EE,Brown,CAP_E,Right,20.0,20.07,2.281
34331,2S,WW,Brown,CAP_E,Right,20.0,20.069,2.285
34331,2S,EE,Brown,CAP_E,Right,20.0,20.004,2.238
34331,2S,WW,Brown,CAP_E,Right,20.0,20.055,2.353
34331,2S,EE,Brown,CAP_E,Right,20.0,20.115,2.316
34331,2S,WW,Brown,CAP_E,Right,20.0,20.057,2.353
34331,2S,WW,Brown,CAP_E,Right,20.0,20.034,2.346
34331,2S,EE,Brown,CAP_E,Right,20.0,20.101,2.33
34331,2S,WW,Brown,CAP_E,Right,20.0,20.054,2.353
34340,PSS,EE,Brown,CAP_E,Right,20.0,20.002,2.308
34340,PSS,WW,Brown,CAP_E,Right,20.0,20.005,2.37
