batch_number,Type,Orientation,Location,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,DOX_NM
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.02,240.671
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.065,245.477
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.042,245.349
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.047,240.512
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.003,247.449
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.001,239.153
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.02,243.529
34252,PSS,WW,Brown,CAP_W,Right,20.0,20.004,239.664
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.011,244.809
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.055,240.568
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.044,246.433
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.002,246.686
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.084,241.625
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.111,242.49
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.102,243.63
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.037,238.814
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.067,246.568
34252,PSS,WW,Brown,CAP_W,Right,20.0,20.048,246.693
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.001,238.704
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.004,244.3
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.013,244.069
34252,PSS,WW,Brown,CAP_W,Right,20.0,20.062,242.22
34252,PSS,EE,Brown,CAP_W,Left,20.0,20.063,238.887
34252,PSS,EE,Brown,CAP_W,Right,20.0,20.087,244.024
34252,PSS,WW,Brown,CAP_W,Left,20.0,20.066,246.429
34252,PSS,WW,Brown,CAP_W,Right,20.0,20.035,242.18
