batch_number,Average,std
34252,243.02482608695652,3.2031976613957216
34254,241.2532857142857,2.8446421453435815
34331,244.13567567567569,3.485171445281132
34340,243.44735,3.6469971388485134
34341,243.79917500000002,3.12769543149257
34343,243.273525,7.574000456986781
34348,254.91525000000001,3.143295465966187
34352,251.9576,4.002197184047764
34353,244.326,2.995189271848026
34354,253.7830476190476,3.364733250588974
34357,258.8258333333333,1.6021183041854588
34359,244.26771428571428,23.77954074854349
35494,209.2294,2.9005825928212676
35495,208.50766666666667,1.5251119978744512
35496,174.9261875,5.298021179206692
35499,190.766525,2.402992493212555
35500,185.26925,1.3803690534361663
35501,185.99124999999998,1.7851755589621432
35713,257.23325,2.872001827993862
35714,255.49988888888888,3.17187706431238
35717,245.51164285714285,4.095800823556164
35718,247.92425,3.49855331053661
35719,262.7567777777778,2.4364878297345287
35722,255.4228125,2.7936744076275715
35952,242.01015,3.138961934931253
35953,222.11255555555556,3.682580108620892
35957,243.69083333333333,3.410328247196043
35958,244.9358125,3.2861769524022852
35959,253.45136363636365,4.606202020596305
35960,259.19922222222226,3.4632121931011226
35961,259.21549999999996,3.7339380834597717
35962,256.0825,2.373654156686601
35963,241.63612,2.3199813454709766
36236,254.5428,2.4579254938531516
36237,259.4241,2.073451306933017
36238,247.8221724137931,3.451071097385825
36239,237.579625,3.0379024753931767
36240,239.27110000000002,3.6415768114491645
36241,237.41799999999998,3.435651964482526
36245,244.32043396226416,3.7791341372443865
36246,247.80169999999998,2.0646001523028352
36696,243.73371428571429,2.4396029880896197
36697,246.0069259259259,4.378981150785845
36698,242.16019999999997,6.10848728452987
36699,240.6791052631579,3.1783659130428936
36700,241.54887499999998,3.0812928160884434
36701,240.78665,5.8362669690659725
36702,254.820375,2.9132950386362895
36703,256.6315,3.811500266007835
36704,256.0519,2.5554216634007614
36705,255.061,2.807205648960453
36706,247.46545454545455,2.1806379050010283
36795,249.0453125,3.582171980214414
36796,249.76755555555553,4.182448090071623
36797,246.4528125,2.9818918205003104
36798,256.5948888888889,9.445989207307779
36799,255.5799,3.0527238638450127
36800,243.542,2.360965703400109
36801,245.3973,3.0972547114127433
36802,240.12505000000002,2.5725087790756076
36803,245.459,2.966805841848408
37079,238.8631875,3.0891453881561963
37081,244.15745,18.109617864767184
37083,258.4302222222222,6.441089790900626
37084,254.59044444444442,3.4583386947749686
37085,252.98633333333333,3.412375160396952
37086,252.078625,2.5435259214136585
37087,248.399125,3.1911818683156805
37088,248.93561111111114,5.716177642434611
37398,251.4685,3.6636071659863636
37399,253.195,5.7306281331107085
37402,271.4102222222222,2.794541276210536
37403,254.7332941176471,2.8972501782877136
37404,243.07545,3.839658064203111
37405,242.10395454545457,2.988614402269809
37406,247.9958125,2.9525137362085268
37407,243.9993125,4.478635919097837
37895,257.678375,2.969438956548303
37896,246.6139375,2.503816273045346
37898,240.5116111111111,8.178938721165187
37899,243.2111875,4.755564673358984
37900,264.484875,2.6617128984117397
37901,256.983125,3.0911433131032338
37903,255.41368749999998,2.402374955989717
37906,245.36495,24.612552247893007
37907,237.1435625,5.505558560445982
38194,256.29657142857144,2.727461326162886
38195,254.685,2.3382663296920287
38197,240.0483125,8.11249448458981
38198,252.3352857142857,3.7586574818589122
38200,235.0864375,2.733469808838813
38201,259.98375,2.9097549602280077
38202,240.250375,2.759494346796169
38212,242.02625,2.7272744025247317
38213,252.82885714285712,2.991176269662236
38691,233.4043125,3.6854015379376683
38693,243.717125,3.5573261845567856
38694,247.0164375,6.293786936005491
38695,242.8363125,3.582163810115333
38696,241.62089999999998,3.12335792478476
38711,252.862,2.185031088369876
38712,239.37255555555555,3.217409265089685
38713,249.236375,6.177616335070777
38716,253.157,2.4125813561411844
38868,234.717875,3.308916275257898
38871,240.132875,2.8887001661647025
38873,241.65410000000003,4.504604075585084
38874,241.45883333333333,3.1389810979573256
38875,242.6207,2.6723607561688087
38877,253.13457142857143,3.3714423153472883
38878,240.3595625,4.144264180265697
38879,242.1125,3.3401023736805926
38880,242.20133333333334,2.5358095880145757
38885,245.64375,3.7557928332712467
38920,250.43075,2.7388635156106136
38921,251.507375,2.6202474222048964
38922,254.120375,3.832372109039368
39478,265.62262499999997,3.8088785727747876
39480,254.999,3.8309927521031275
39481,242.6169375,2.3692802695825894
39482,241.4359375,3.5338013426290185
39483,240.91617647058823,4.299952663043141
39484,237.49407,1.205763959443258
39485,257.57416666666666,3.617321794735258
39486,239.7028125,12.540456781785633
39487,237.39580928571428,1.1878277148350362
39488,263.12266666666665,3.437948845847867
39548,233.2367,2.6363858255294605
39562,248.34969999999998,2.965256820332149
39563,262.0620625,2.3757211247324563
39564,254.45808333333332,4.900138615077103
39565,254.73572727272725,4.52688676887128
39566,251.79987500000001,2.188091645704085
39567,250.4215625,3.091240807372758
39568,255.11014285714285,3.4022217950711475
39569,251.14749999999998,2.8387494605899986
39570,249.67525,2.4274457597785077
39571,245.102375,2.7930473341342226
39572,247.1726666666667,2.147368404970763
41352,251.48262499999998,2.4892989797760934
41353,254.436125,3.7460821986824704
41354,245.52716666666666,5.0653204660951525
41355,272.458125,3.9324682702379934
41356,237.18381714285715,0.964520234771423
41357,237.85684785714287,1.3553669807965358
41727,248.6346875,2.015204959592614
41728,254.781375,3.6840734030805695
41729,249.613,3.076389572209606
41730,237.50930428571428,1.6639247573026956
41731,238.346396,1.8813131849747953
41732,237.66419285714284,1.8829829895405092
41733,238.3108125,2.7836273270381082
41734,240.1495625,3.0489871972782496
41735,241.13325,7.718210099066577
41736,261.29733333333337,2.4021913051767263
41737,256.08925,3.4411688525018183
41738,259.2945,4.566965371009504
41739,258.5643333333333,2.763672821928566
41740,238.03627,1.286837749213152
41741,237.55256285714287,1.5998344804934763
41742,266.94928571428574,2.933245910493784
41743,253.40083333333334,3.6324207584841726
41744,239.0123125,2.755509528653461
41745,236.7878125,3.6840560114951155
41746,254.7542,3.22381074196359
41747,238.5408125,3.0168061084254774
41748,236.95713214285712,1.1916538432472032
41749,237.32844799999998,0.9726301941734014
41750,237.90468700000002,1.529310572578746
41751,248.50675,3.106258202842662
41752,251.1172,2.9197094082410726
41753,249.248375,2.309243739842116
41754,246.33249999999998,1.8246319927839934
41755,247.922125,3.0001604818187104
41756,237.86591357142856,1.0931498988744976
41757,237.47125785714283,1.7436264915142987
41758,237.51703214285712,1.7458176905124831
41759,235.9490625,3.262575577030104
42240,244.5900625,2.6233453316646393
42241,236.4411,2.738829040993515
42242,237.32681250000002,4.294986150055276
42243,246.18193333333332,2.7363976441055917
42244,241.5416875,26.471551441043896
42245,264.549375,2.7819117888759495
