batch_number,Type,Orientation,Location,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,DOX_NM
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.018,245.755
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.001,254.787
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.059,251.734
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.003,251.07
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.003,245.614
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.016,248.97
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.003,246.353
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.007,252.544
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.051,295.363
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.005,247.978
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.041,251.299
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.003,253.705
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.081,248.126
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.107,248.595
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.03,246.983
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.077,253.979
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.037,245.61
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.046,252.668
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.064,250.803
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.006,249.742
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.056,245.91
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.011,250.725
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.059,249.305
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.085,249.878
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.062,245.131
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.064,254.256
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.028,250.01
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.041,249.857
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.112,245.219
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.029,245.129
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.108,250.54
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.092,251.25
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.129,244.91
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.101,255.383
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.063,244.102
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.002,248.829
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.05,247.638
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.079,253.626
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.021,247.244
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.028,243.572
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.042,254.592
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.047,252.473
34252,PSS,EE,Brown,CAP_E,Right,20.0,20.005,253.245
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.048,247.08
34252,PSS,WW,Brown,CAP_E,Left,20.0,20.053,250.044
34252,PSS,EE,Brown,CAP_E,Left,20.0,20.062,247.279
34252,PSS,WW,Brown,CAP_E,Right,20.0,20.028,245.113
34346,2S,EE,Perugia,CAP_E,Left,20.0,20.0,247.169
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,250.458
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,250.673
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,245.196
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,251.972
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,251.429
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,250.029
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,251.105
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,252.299
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,248.644
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,248.644
34348,2S,EE,Perugia,CAP_E,Left,20.0,20.0,251.105
34331,2S,EE,Brown,CAP_E,Right,20.0,20.086,253.811
34331,2S,EE,Brown,CAP_E,Left,20.0,20.117,246.217
34331,2S,WW,Brown,CAP_E,Left,20.0,20.088,251.302
34331,2S,WW,Brown,CAP_E,Right,20.0,20.133,247.669
34331,2S,EE,Brown,CAP_E,Right,20.0,20.051,252.542
34331,2S,EE,Brown,CAP_E,Right,20.0,20.077,253.343
34331,2S,WW,Brown,CAP_E,Right,20.0,20.087,246.783
34331,2S,EE,Brown,CAP_E,Right,20.0,20.015,254.493
34331,2S,WW,Brown,CAP_E,Right,20.0,20.059,246.605
34331,2S,EE,Brown,CAP_E,Right,20.0,20.132,253.559
34331,2S,WW,Brown,CAP_E,Right,20.0,20.071,247.859
34331,2S,WW,Brown,CAP_E,Right,20.0,20.041,247.506
34331,2S,WW,Brown,CAP_E,Right,20.0,20.04,247.359
34331,2S,EE,Brown,CAP_E,Right,20.0,20.002,251.819
34331,2S,WW,Brown,CAP_E,Right,20.0,20.017,248.354
34331,2S,EE,Brown,CAP_E,Right,20.0,20.076,252.223
34331,2S,WW,Brown,CAP_E,Right,20.0,20.024,246.357
34331,2S,EE,Brown,CAP_E,Right,20.0,20.006,251.932
34331,2S,WW,Brown,CAP_E,Right,20.0,20.002,246.556
34331,2S,EE,Brown,CAP_E,Right,20.0,20.009,251.398
34331,2S,WW,Brown,CAP_E,Right,20.0,20.002,246.315
34331,2S,EE,Brown,CAP_E,Right,20.0,20.002,248.984
34331,2S,WW,Brown,CAP_E,Right,20.0,20.004,247.973
34331,2S,EE,Brown,CAP_E,Right,20.0,20.003,249.176
34331,2S,WW,Brown,CAP_E,Right,20.0,20.005,247.584
34331,2S,EE,Brown,CAP_E,Right,20.0,20.02,256.023
34331,2S,WW,Brown,CAP_E,Right,20.0,20.061,267.044
34331,2S,EE,Brown,CAP_E,Right,20.0,20.07,255.857
34331,2S,WW,Brown,CAP_E,Right,20.0,20.069,255.429
34331,2S,EE,Brown,CAP_E,Right,20.0,20.004,260.77
34331,2S,WW,Brown,CAP_E,Right,20.0,20.055,247.974
34331,2S,EE,Brown,CAP_E,Right,20.0,20.115,251.949
34331,2S,WW,Brown,CAP_E,Right,20.0,20.057,247.969
34331,2S,WW,Brown,CAP_E,Right,20.0,20.034,248.784
34331,2S,EE,Brown,CAP_E,Right,20.0,20.101,250.456
34331,2S,WW,Brown,CAP_E,Right,20.0,20.054,247.98
34340,PSS,EE,Brown,CAP_E,Right,20.0,20.002,252.868
34340,PSS,WW,Brown,CAP_E,Right,20.0,20.005,246.27
34340,PSS,EE,Brown,CAP_E,Right,20.0,20.046,251.502
34340,PSS,WW,Brown,CAP_E,Right,20.0,20.006,247.076
34340,PSS,EE,Brown,CAP_E,Right,20.0,20.003,252.396
34340,PSS,WW,Brown,CAP_E,Right,20.0,20.002,250.105
34340,PSS,EE,Brown,CAP_E,Right,20.0,20.006,258.126
34340,PSS,WW,Brown,CAP_E,Right,20.0,20.006,250.456
34340,PSS,EE,Brown,CAP_E,Right,20.0,20.107,285.891
34340,PSS,WW,Brown,CAP_E,Right,20.0,20.005,249.066
34340,PSS,EE,Brown,CAP_E,Right,20.0,20.053,252.106
34340,PSS,WW,Brown,CAP_E,Right,20.0,20.004,249.268
34340,PSS,EE,Brown,CAP_E,Right,20.0,20.014,251.839
34340,PSS,WW,Brown,CAP_E,Right,20.0,20.004,249.296
34340,PSS,EE,Brown,CAP_E,Right,20.0,20.048,250.427
34340,PSS,WW,Brown,CAP_E,Right,20.0,20.008,248.357
34340,PSS,EE,Brown,CAP_E,Right,20.0,20.109,249.404
34340,PSS,WW,Brown,CAP_E,Right,20.0,20.003,249.563
