batch_number,Type,Orientation,PART_ID,PART_NAME_LABEL,RSH_OHMSQR,T_UM,RHO_KOHMCM,RC_OHM,R_OHM,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34330,2S,WW,25891,34330_004_2-S_HM_WW,,,,,28.093145211004998,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_004_2-S_HM_W_L_flute4_Poly_Chain_5_8_2020_16h13m37s.txt,Perugia
34330,2S,WW,25891,34330_004_2-S_HM_WW,,,,,33.763624360776994,PQC4,CC_POLY,Not Used,Right,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_004_2-S_HM_W_R_flute4_Poly_Chain_5_8_2020_15h56m20s.txt,Perugia
34330,2S,WW,25891,34330_004_2-S_HM_WW,,,,,33.763624360776994,PQC4,CC_POLY,Not Used,Right,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_004_2-S_HM_W_R_flute4_Poly_Chain_5_8_2020_15h56m20s.txt,Perugia
34330,2S,WW,25891,34330_004_2-S_HM_WW,,,,,28.093145211004998,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_004_2-S_HM_W_L_flute4_Poly_Chain_5_8_2020_16h13m37s.txt,Perugia
34330,2S,EE,25892,34330_005_2-S_HM_EE,,,,,26.89275426508,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_005_2-S_HM_E_L_flute4_Poly_Chain_5_8_2020_15h7m39s.txt,Perugia
34330,2S,EE,25892,34330_005_2-S_HM_EE,,,,,29.001663606256997,PQC4,CC_POLY,Not Used,Right,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_005_2-S_HM_E_R_flute4_Poly_Chain_5_8_2020_15h2m46s.txt,Perugia
34330,2S,EE,25892,34330_005_2-S_HM_EE,,,,,26.89275426508,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_005_2-S_HM_E_L_flute4_Poly_Chain_5_8_2020_15h7m39s.txt,Perugia
34330,2S,EE,25892,34330_005_2-S_HM_EE,,,,,29.001663606256997,PQC4,CC_POLY,Not Used,Right,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_005_2-S_HM_E_R_flute4_Poly_Chain_5_8_2020_15h2m46s.txt,Perugia
34330,2S,WW,25895,34330_005_2-S_HM_WW,,,,,27.15580590002,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_005_2-S_HM_W_L_flute4_Poly_Chain_5_8_2020_15h14m58s.txt,Perugia
34330,2S,WW,25895,34330_005_2-S_HM_WW,,,,,33.080171253535,PQC4,CC_POLY,Not Used,Right,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_005_2-S_HM_W_R_flute4_Poly_Chain_5_8_2020_15h19m36s.txt,Perugia
34330,2S,WW,25895,34330_005_2-S_HM_WW,,,,,33.080171253535,PQC4,CC_POLY,Not Used,Right,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_005_2-S_HM_W_R_flute4_Poly_Chain_5_8_2020_15h19m36s.txt,Perugia
34330,2S,WW,25895,34330_005_2-S_HM_WW,,,,,27.15580590002,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_005_2-S_HM_W_L_flute4_Poly_Chain_5_8_2020_15h14m58s.txt,Perugia
34330,2S,EE,25896,34330_006_2-S_HM_EE,,,,,30.743495004820996,PQC4,CC_POLY,Not Used,Right,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_006_2-S_HM_E_R_flute4_Poly_Chain_5_8_2020_14h48m53s.txt,Perugia
34330,2S,EE,25896,34330_006_2-S_HM_EE,,,,,28.084585528833,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_006_2-S_HM_E_L_flute4_Poly_Chain_5_8_2020_14h43m39s.txt,Perugia
34330,2S,EE,25896,34330_006_2-S_HM_EE,,,,,28.084585528833,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_006_2-S_HM_E_L_flute4_Poly_Chain_5_8_2020_14h43m39s.txt,Perugia
34330,2S,EE,25896,34330_006_2-S_HM_EE,,,,,30.743495004820996,PQC4,CC_POLY,Not Used,Right,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_006_2-S_HM_E_R_flute4_Poly_Chain_5_8_2020_14h48m53s.txt,Perugia
34330,2S,WW,25899,34330_006_2-S_HM_WW,,,,,27.773910631990997,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_006_2-S_HM_W_L_flute4_Poly_Chain_5_8_2020_12h15m10s.txt,Perugia
34330,2S,WW,25899,34330_006_2-S_HM_WW,,,,,32.722287035953,PQC4,CC_POLY,Not Used,Right,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_006_2-S_HM_W_R_flute4_Poly_Chain_5_8_2020_12h10m4s.txt,Perugia
34330,2S,WW,25899,34330_006_2-S_HM_WW,,,,,32.722287035953,PQC4,CC_POLY,Not Used,Right,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_006_2-S_HM_W_R_flute4_Poly_Chain_5_8_2020_12h10m4s.txt,Perugia
34330,2S,WW,25899,34330_006_2-S_HM_WW,,,,,27.773910631990997,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_006_2-S_HM_W_L_flute4_Poly_Chain_5_8_2020_12h15m10s.txt,Perugia
34330,2S,WW,25903,34330_007_2-S_HM_WW,,,,,33.173807244814,PQC4,CC_POLY,Not Used,Right,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_007_2-S_HM_W_R_flute4_Poly_Chain_11_9_2020_11h22m26s.txt,Perugia
34330,2S,WW,25903,34330_007_2-S_HM_WW,,,,,27.672333497464,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_007_2-S_HM_W_L_flute4_Poly_Chain_11_9_2020_11h29m31s.txt,Perugia
34330,2S,WW,25903,34330_007_2-S_HM_WW,,,,,27.672333497464,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_007_2-S_HM_W_L_flute4_Poly_Chain_11_9_2020_11h29m31s.txt,Perugia
34330,2S,WW,25903,34330_007_2-S_HM_WW,,,,,33.173807244814,PQC4,CC_POLY,Not Used,Right,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_007_2-S_HM_W_R_flute4_Poly_Chain_11_9_2020_11h22m26s.txt,Perugia
34330,2S,EE,25928,34330_015_2-S_HM_EE,,,,,28.555429546174,PQC4,CC_POLY,Not Used,Right,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_015_2-S_HM_E_R_flute4_Poly_Chain_11_9_2020_12h12m37s.txt,Perugia
34330,2S,EE,25928,34330_015_2-S_HM_EE,,,,,27.630663407311996,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_015_2-S_HM_E_L_flute4_Poly_Chain_11_9_2020_11h46m8s.txt,Perugia
34330,2S,EE,25928,34330_015_2-S_HM_EE,,,,,27.778795762084997,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_015_2-S_HM_E_L_flute4_Poly_Chain_11_9_2020_11h45m18s.txt,Perugia
34330,2S,EE,25928,34330_015_2-S_HM_EE,,,,,27.778795762084997,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_015_2-S_HM_E_L_flute4_Poly_Chain_11_9_2020_11h45m18s.txt,Perugia
34330,2S,EE,25928,34330_015_2-S_HM_EE,,,,,27.630663407311996,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_015_2-S_HM_E_L_flute4_Poly_Chain_11_9_2020_11h46m8s.txt,Perugia
34330,2S,EE,25928,34330_015_2-S_HM_EE,,,,,28.555429546174,PQC4,CC_POLY,Not Used,Right,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_015_2-S_HM_E_R_flute4_Poly_Chain_11_9_2020_12h12m37s.txt,Perugia
34330,2S,EE,26028,34330_044_2-S_HM_EE,,,,,28.920871467957998,PQC4,CC_POLY,Not Used,Right,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_044_2-S_HM_E_R_flute4_Poly_Chain_15_9_2020_17h17m3s.txt,Perugia
34330,2S,EE,26028,34330_044_2-S_HM_EE,,,,,28.51720860399,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_044_2-S_HM_E_L_flute4_Poly_Chain_15_9_2020_17h4m5s.txt,Perugia
34330,2S,EE,26028,34330_044_2-S_HM_EE,,,,,28.51720860399,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_044_2-S_HM_E_L_flute4_Poly_Chain_15_9_2020_17h4m5s.txt,Perugia
34330,2S,EE,26028,34330_044_2-S_HM_EE,,,,,28.920871467957998,PQC4,CC_POLY,Not Used,Right,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_044_2-S_HM_E_R_flute4_Poly_Chain_15_9_2020_17h17m3s.txt,Perugia
34330,2S,WW,26031,34330_044_2-S_HM_WW,,,,,27.459105786169996,PQC4,CC_POLY,Not Used,Left,ContactChain-PolySi,PQC_HM_POSITION 4,0.2,,,,,,HPK_34330_044_2-S_HM_W_L_flute4_Poly_Chain_19_8_2020_14h33m54s.txt,Perugia
