Name,Center,Average,Std.dev
34252-Pss,Brown,106,14
34254-PS-s,Brown,108,14
34330-2S,Perugia,95,10
34331-2S,Brown,95,10
34332-2S,Perugia,95,15
34340-Pss,Brown,110,14
34341-Pss,Brown,109,12
34342-Pss,Demokritos,78.09,14
34343-Pss,Brown,110,12
34346-2S,Perugia,101,16
34347-2S,Demokritos,104,17
34348-2S,Perugia,96,15
34350-2S,Demokritos,90.7,12.8
34351-2S,Demokritos,90.07,14
34352-2S,Perugia,100,14
34353-2S,Brown,119,17
34354-2S,Perugia,99,16
