,Name,Mode,CAP_E,CAP_W,VDPPstop_std,VDPPstop_rot,VDPStrip_std,VDPStrip_rot,FET_Vth,C_acc,t_ox,VFB,Nox
36,VPX36235_031_PSP_HM_E_Left,Quick,2.4422599999999997,2.44559,17.6046,17.6348,34.6798,34.5635,2.75976,90.7734,0.6330439999999999,-4.64792,131521000000.0
37,VPX36235_031_PSP_HM_W_Left,Quick,2.44402,2.4452,20.422,20.6443,34.7399,34.4778,1.72773,90.2132,0.636976,-3.82275,102808000000.0
38,VPX36235_045_PSP_HM_E_Left,Quick,2.4542200000000003,2.4403900000000003,18.1182,17.5948,34.7054,34.7234,2.65285,91.3173,0.629274,-4.66385,133025000000.0
39,VPX36235_045_PSP_HM_W_Left,Quick,2.45951,2.45108,18.7226,18.5856,34.8189,34.6318,2.65085,91.4598,0.6282939999999999,-3.80763,103714000000.0
40,VPX36234_005_PSP_HM_E_Left,Quick,2.45431,2.48343,18.1517,18.0562,34.716,34.8429,2.56757,89.7139,0.64052,-4.7884,135131000000.0
41,VPX36234_005_PSP_HM_W_Left,Quick,2.46275,2.50078,17.5228,17.4748,34.9461,35.0071,2.94625,88.77,0.647331,-4.47824,123016000000.0
42,VPX36234_017_PSP_HM_E_Left,Quick,2.47412,2.47147,17.8075,17.905,34.5372,34.7676,2.58378,90.0037,0.638458,-4.83879,136989000000.0
43,VPX36234_017_PSP_HM_W_Left,Quick,2.42971,2.46833,18.04,17.939,34.9286,34.9625,2.77688,88.6717,0.648049,-4.55294,125194000000.0
44,VPX36234_032_PSP_HM_E_Left,Quick,2.47255,2.47167,17.7414,17.7198,34.707,34.7753,2.58378,90.4188,0.6355270000000001,-4.87438,138591000000.0
45,VPX36234_032_PSP_HM_W_Left,Quick,2.4549,2.4501,17.8063,17.5717,34.7584,34.8014,3.05345,89.7607,0.6401859999999999,-3.9983,108111000000.0
46,VPX36234_040_PSP_HM_E_Left,Quick,2.46235,2.45824,17.7385,17.758,34.9176,34.8558,2.5561599999999998,90.4141,0.63556,-4.7881599999999995,135771000000.0
47,VPX36234_040_PSP_HM_W_Left,Quick,2.4515700000000002,2.49,17.6589,17.5398,34.8931,34.8977,2.97267,90.1583,0.637363,-4.03465,109856000000.0
48,VPX36234_003_PSP_HM_E_Left,Extended,2.45843,2.47,17.6897,17.6438,34.4834,34.7678,2.6387400000000003,89.8968,0.639217,-4.73346,133618000000.0
49,VPX36234_003_PSP_HM_W_Left,Extended,2.4698,2.4605900000000003,17.7412,18.5815,34.5031,34.4742,2.9603599999999997,88.8778,0.646546,-4.34013,118573000000.0
50,VPX36234_021_PSP_HM_E_Left,Extended,2.47578,2.45902,17.9584,17.8604,34.7642,34.8433,2.4996,89.8512,0.639542,-4.93945,139999000000.0
51,VPX36234_021_PSP_HM_W_Left,Extended,2.42882,2.43098,18.0176,18.0241,35.0339,35.0218,2.66396,88.4466,0.649698,-4.60004,126544000000.0
52,VPX36234_043_PSP_HM_E_Left,Extended,2.41225,2.43265,18.1399,17.9924,34.7587,34.7516,2.55355,90.2049,0.637034,-4.83343,137015000000.0
53,VPX36234_043_PSP_HM_W_Left,Extended,2.45814,2.49324,17.9702,17.8596,34.8721,34.7892,2.9603599999999997,89.5107,0.6419739999999999,-4.17053,113617000000.0
54,VPX36234_003_PSP_HM_E_Right,Quick,,,17.6715,17.8527,34.7353,34.7865,2.79179,,,,
55,VPX36234_003_PSP_HM_W_Right,Quick,,,18.0005,17.8636,34.8403,34.7574,2.65165,,,,
56,VPX36234_021_PSP_HM_E_Right,Quick,,,18.135,18.1285,34.8551,34.8517,2.58308,,,,
57,VPX36234_021_PSP_HM_W_Right,Quick,,,18.2159,18.2083,35.0287,34.9189,2.48569,,,,
58,VPX36234_043_PSP_HM_E_Right,Quick,,,18.1027,18.0396,34.760999999999996,34.7633,2.76376,,,,
59,VPX36234_043_PSP_HM_W_Right,Quick,,,18.2355,18.2572,34.8086,34.8221,2.62482,,,,
60,VPX36232_001_PSP_HM_E_Left,Quick,2.46647,2.4737299999999998,17.8352,17.7252,34.7662,34.9609,2.45946,89.74,0.6403340000000001,-4.75753,134053000000.0
61,VPX36232_001_PSP_HM_W_Left,Quick,2.46029,2.43569,19.3616,19.2463,35.4488,35.3447,2.75075,88.8019,0.647098,-4.3703,119335000000.0
62,VPX36232_010_PSP_HM_E_Left,Quick,2.4493099999999997,2.44735,19.2188,19.0773,34.9307,35.1528,2.36757,89.1137,0.644835,-4.87994,136781000000.0
63,VPX36232_010_PSP_HM_W_Left,Quick,2.4448,2.46343,19.1739,18.9839,35.4393,35.3782,2.66146,88.9617,0.645936,-4.49179,123596000000.0
64,VPX36232_020_PSP_HM_E_Left,Quick,2.49245,2.5068599999999996,19.0864,16.3307,34.9026,35.1443,2.34334,89.9427,0.638891,-4.81885,135965000000.0
65,VPX36232_020_PSP_HM_W_Left,Quick,2.43735,2.48627,18.9127,18.7269,35.2095,35.1277,2.66146,88.8954,0.646418,-4.467890000000001,122642000000.0
66,VPX36232_031_PSP_HM_E_Left,Quick,2.4719599999999997,2.47706,17.9088,18.0736,34.472,35.5009,2.55355,90.2663,0.6366,-4.7470099999999995,134055000000.0
67,VPX36232_031_PSP_HM_W_Left,Quick,2.47275,2.46412,18.3071,18.0807,34.9598,34.7783,2.86186,88.5734,0.648768,-4.21116,113623000000.0
68,VPX36232_005_PSP_HM_E_Right,Extended,,,19.1131,19.0365,35.3322,35.3015,2.64384,,,,
69,VPX36232_005_PSP_HM_W_Right,Extended,,,19.0007,18.928,35.2541,35.2444,2.64384,,,,
70,VPX36232_015_PSP_HM_E_Right,Extended,,,19.0995,18.7061,34.5738,34.4458,2.6009,,,,
71,VPX36232_015_PSP_HM_W_Right,Extended,,,18.949,18.6571,34.7407,35.1936,2.38168,,,,
72,VPX36232_035_PSP_HM_E_Right,Extended,,,18.6865,18.5854,34.9267,34.9034,2.74865,,,,
73,VPX36232_035_PSP_HM_W_Right,Extended,,,18.4906,18.5786,35.2399,35.2537,2.44825,,,,
74,VPX36232_005_PSP_HM_E_Left,Extended,2.4493099999999997,2.44735,18.9316,18.7684,35.0666,35.2587,2.36757,89.4546,0.6423770000000001,-4.82597,135904000000.0
75,VPX36232_005_PSP_HM_W_Left,Extended,2.4493099999999997,2.44735,18.7867,18.7102,35.3132,35.2196,2.74404,89.4044,0.642738,-4.64141,129241000000.0
76,VPX36232_015_PSP_HM_E_Left,Extended,2.46647,2.4737299999999998,18.7971,18.7343,36.0418,35.1017,2.36046,89.1495,0.644575,-4.927630000000001,138473000000.0
77,VPX36232_015_PSP_HM_W_Left,Extended,2.46647,2.4737299999999998,18.809,18.7151,34.8726,34.9261,2.74404,89.0568,0.645246,-4.45329,122459000000.0
78,VPX36232_035_PSP_HM_E_Left,Extended,2.39551,2.39352,17.8919,17.8138,34.905,35.065,2.5561599999999998,85.4939,0.672137,-4.8648,130606000000.0
79,VPX36232_035_PSP_HM_W_Left,Extended,2.46343,2.45775,18.0689,18.0801,34.9435,34.882,2.86186,89.7241,0.640447,-4.22047,115537000000.0
