,Name,Mode,CCEdge Rc,CCPoly Rc,CCStrip Rc,CBKRPoly_std,CBKRPoly_rot,CBKRStrip_std,CBKRStrip_rot,GCD I_surf,GCD S_0,GCD Vfb_Acc_Dep
43,VPX37400_006_2-S_HM_W_Left,Extended,84.2937,16.6461,71.873,71.028,70.9372,116.413,115.382,8.50617,1.19625,-2.79279
44,VPX37400_019_2-S_HM_E_Left,Extended,89.4666,18.5513,78.2391,79.543,79.7789,108.118,108.729,9.1115,1.19628,-2.82282
45,VPX37400_019_2-S_HM_W_Left,Extended,83.5551,15.7459,71.6045,61.23,61.8097,139.214,138.252,9.50458,1.2267,-2.8979
46,VPX37400_049_2-S_HM_E_Left,Extended,85.3919,19.9273,84.7612,84.3506,84.3252,145.99,144.68,9.0611,1.1595,-2.67267
47,VPX37400_049_2-S_HM_W_Left,Extended,82.65299999999999,18.2778,78.1072,70.3942,69.9258,116.831,115.39299999999999,8.34244,1.2039600000000001,-2.77778
48,VPX35954_010_PSS_HM_E_Left,Extended,78.3243,19.632,76.1154,80.5371,80.2245,125.83,126.037,8.82296,1.3411,-2.5976
49,VPX35954_010_PSS_HM_W_Left,Extended,79.3807,19.9527,80.3831,85.2151,84.7838,107.74,107.65299999999999,8.62815,1.15241,-2.65766
50,VPX35954_021_PSS_HM_E_Left,Extended,77.8223,22.0404,81.0438,78.1909,77.8885,123.725,124.833,9.2959,1.2204899999999999,-2.56757
51,VPX35954_021_PSS_HM_W_Left,Extended,77.1164,21.5279,86.7542,98.2785,98.1529,166.11599999999999,165.601,9.121269999999999,1.1672,-2.65766
52,VPX35954_034_PSS_HM_E_Left,Extended,83.6163,19.160999999999998,65.8968,78.4881,77.9702,139.52700000000002,140.328,8.89852,1.10046,-2.50751
53,VPX35954_034_PSS_HM_W_Left,Extended,81.2252,18.3596,62.8461,67.7887,67.8238,139.613,139.303,7.021710000000001,1.11463,-2.56757
54,VPX35954_046_PSS_HM_E_Left,Extended,79.6533,20.0458,74.9908,86.4227,86.8768,168.10299999999998,169.442,7.92767,1.11489,-2.52252
55,VPX35954_046_PSS_HM_W_Left,Extended,80.6807,18.6762,70.6247,67.0882,66.9068,237.98,237.579,8.02792,1.0630899999999999,-2.55255
56,VPX36793_007_PSS_HM_E_Left,Extended,85.7487,19.7713,82.9659,80.5327,80.149,105.62100000000001,107.743,9.66998,1.18571,-2.8378400000000004
57,VPX36793_007_PSS_HM_W_Left,Extended,84.7888,19.621,82.0424,73.1889,73.3698,140.488,141.093,9.64385,1.21316,-2.9129099999999997
58,VPX36793_021_PSS_HM_E_Left,Extended,84.1171,21.9259,77.6296,92.6864,92.0648,99.1502,98.9608,9.918460000000001,1.31344,-2.8979
59,VPX36793_021_PSS_HM_W_Left,Extended,81.3956,21.0623,82.2409,79.1467,78.7163,130.028,130.207,9.637080000000001,1.33217,-3.003
60,VPX36793_048_PSS_HM_E_Left,Extended,83.5205,18.3694,80.1624,68.8071,68.4923,152.86700000000002,152.025,8.8929,1.25063,-2.77778
61,VPX36793_048_PSS_HM_W_Left,Extended,81.8951,19.2005,78.2088,73.5126,74.1313,112.367,112.09299999999999,8.89002,1.27197,-2.86787
62,VPX35716_004_2-S_HM_E_Left,Extended,79.0513,28.644000000000002,66.6859,123.515,123.985,152.497,152.942,6.44736,1.05971,-1.8618599999999998
63,VPX35716_004_2-S_HM_W_Left,Extended,78.4409,25.1477,63.3174,108.58,107.818,92.5187,92.432,6.60262,1.03904,-1.95195
64,VPX35716_017_2-S_HM_E_Left,Extended,76.7385,32.3252,75.5324,140.494,139.844,141.893,140.709,7.3560300000000005,1.09893,-2.04204
65,VPX35716_017_2-S_HM_W_Left,Extended,75.5997,28.5361,73.942,119.19200000000001,118.72200000000001,109.521,109.882,7.22483,1.06083,-2.13213
66,VPX35716_031_2-S_HM_E_Left,Extended,76.9814,29.2904,58.7727,130.755,129.968,122.10799999999999,121.64399999999999,7.1585399999999995,0.989548,-1.7567599999999999
67,VPX35716_031_2-S_HM_W_Left,Extended,76.6765,24.3211,55.6421,94.0813,93.8914,104.113,102.663,7.035769999999999,0.972577,-1.8618599999999998
68,VPX35716_045_2-S_HM_E_Left,Extended,74.9845,29.776,73.3162,119.897,120.11399999999999,110.396,110.39299999999999,7.5505,1.0347899999999999,-1.8318299999999998
69,VPX35716_045_2-S_HM_W_Left,Extended,74.3719,26.1757,66.9266,108.02799999999999,108.795,122.634,121.64,7.72767,1.05908,-1.93694
70,VPX36243_005_2-S_HM_E_Left,Extended,73.5005,18.9704,72.1607,80.5172,80.2147,122.167,121.788,8.34752,1.1840899999999999,-2.62763
71,VPX36243_005_2-S_HM_W_Left,Extended,73.4945,17.391,72.1722,82.8012,82.1778,117.611,118.78399999999999,9.41806,1.08808,-3.3633599999999997
72,VPX36243_015_2-S_HM_E_Left,Extended,73.1557,18.5025,77.8627,74.1626,74.3736,120.88600000000001,120.26,10.4419,1.04511,-2.62763
73,VPX36243_015_2-S_HM_W_Left,Extended,71.9368,16.6356,73.0577,66.0857,66.3638,148.076,147.511,10.8174,1.01255,-2.67267
74,VPX36243_026_2-S_HM_E_Left,Extended,78.5578,14.8455,55.9044,56.2664,56.1042,93.1493,93.4994,10.1844,0.9068,-2.4624599999999996
75,VPX36243_026_2-S_HM_W_Left,Extended,77.3191,15.0501,53.7616,55.1192,54.8783,86.7163,87.1122,8.596119999999999,1.07217,-2.49249
76,VPX36243_035_2-S_HM_E_Left,Extended,75.2347,15.0252,61.5789,55.3156,55.0494,123.43799999999999,124.25200000000001,8.73081,1.1561700000000001,-2.50751
77,VPX36243_035_2-S_HM_W_Left,Extended,72.6825,13.5387,57.9727,50.4814,50.7947,90.6292,90.1518,8.18988,1.1033,-2.52252
78,VPX35721_002_2-S_HM_E_Left,Extended,81.4069,20.4741,64.6035,81.3788,81.7356,102.773,102.315,8.699060000000001,1.12274,-2.64264
79,VPX35721_002_2-S_HM_W_Left,Extended,82.1791,18.7151,61.9525,75.2413,75.6813,101.03399999999999,100.34700000000001,8.94854,1.10664,-2.65766
80,VPX35721_012_2-S_HM_E_Left,Extended,81.1825,19.6768,75.0516,85.2936,85.1668,83.5377,83.5427,9.37073,1.12961,-2.7027
81,VPX35721_012_2-S_HM_W_Left,Extended,81.4595,18.7475,72.6707,78.0119,79.1317,100.09700000000001,100.803,9.28571,1.1193600000000001,-2.74775
82,VPX35721_020_2-S_HM_E_Left,Extended,80.7279,21.5441,73.453,86.619,86.6536,122.91799999999999,123.05,6.73671,1.24065,-2.7027
83,VPX35721_020_2-S_HM_W_Left,Extended,79.8391,19.3892,69.6848,79.9399,79.8542,110.197,110.62100000000001,6.916810000000001,1.13687,-2.74775
84,VPX35721_033_2-S_HM_E_Left,Extended,83.9737,15.2449,54.4676,64.88600000000001,64.6597,129.596,129.499,6.862939999999999,1.14785,-2.5375400000000004
85,VPX35721_033_2-S_HM_W_Left,Extended,87.5325,15.5912,55.1686,62.5119,62.8434,103.695,103.742,6.76575,1.01954,-2.58258
86,VPX37401_009_2-S_HM_E_Left,Extended,84.2478,15.2995,62.4342,59.8845,60.3042,123.715,124.02600000000001,6.815230000000001,1.0359200000000002,-2.34234
87,VPX37401_009_2-S_HM_W_Left,Extended,84.3873,13.8056,57.7413,51.6579,52.0041,141.154,141.361,6.62248,1.05125,-2.44745
88,VPX37401_026_2-S_HM_E_Left,Extended,78.2174,16.397000000000002,56.588,65.9471,65.4662,108.62700000000001,108.859,6.11075,0.953319,-2.25225
89,VPX37401_026_2-S_HM_W_Left,Extended,77.4058,16.2435,53.6551,42.2559,42.5645,91.1648,89.9536,6.72233,0.867613,-2.34234
90,VPX37401_041_2-S_HM_E_Left,Extended,79.921,15.4995,61.3109,53.2097,53.6553,109.89299999999999,108.881,7.563,0.992974,-2.26727
91,VPX37401_041_2-S_HM_W_Left,Extended,77.2683,14.5485,55.0693,53.9212,54.0187,105.104,104.76299999999999,7.2979,1.0175299999999998,-2.34234
