Name,Center,Average,Std.dev
34252-Pss,Brown,142,23
34254-PS-s,Brown,186,23
34330-2S,Perugia,120,20
34331-2S,Brown,113,17
34332-2S,Perugia,130,30
34340-Pss,Brown,150,18
34341-Pss,Brown,157,26
34342-Pss,Demokritos,112,17
34343-Pss,Brown,142,18
34346-2S,Perugia,150,30
34347-2S,Demokritos,118,22
34348-2S,Perugia,110,13
34350-2S,Demokritos,110,12
34351-2S,Demokritos,106,15
34352-2S,Perugia,170,35
34353-2S,Brown,141,15
34354-2S,Perugia,140,30
