batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,T_UM
34252,PSS,EE,Brown,Right,20.0,20.023,33.949
34252,PSS,EE,Brown,Left,20.0,20.056,34.392
34252,PSS,WW,Brown,Right,20.0,20.041,33.789
34252,PSS,WW,Brown,Left,20.0,20.105,33.695
34252,PSS,EE,Brown,Left,20.0,20.087,34.342
34252,PSS,EE,Brown,Right,20.0,20.039,34.015
34252,PSS,WW,Brown,Right,20.0,20.007,33.797
34252,PSS,WW,Brown,Left,20.0,20.059,34.251
34252,PSS,EE,Brown,Right,20.0,20.009,33.94
34252,PSS,EE,Brown,Left,20.0,20.022,34.077
34252,PSS,WW,Brown,Left,20.0,20.063,34.042
34252,PSS,WW,Brown,Right,20.0,20.016,34.424
34252,PSS,EE,Brown,Right,20.0,20.029,33.826
34252,PSS,EE,Brown,Left,20.0,20.097,33.821
34252,PSS,WW,Brown,Left,20.0,20.089,33.793
34252,PSS,WW,Brown,Right,20.0,20.02,34.23
34252,PSS,EE,Brown,Left,20.0,20.121,34.002
34252,PSS,EE,Brown,Right,20.0,20.024,33.845
34252,PSS,WW,Brown,Left,20.0,20.148,34.49
34252,PSS,WW,Brown,Right,20.0,20.058,34.383
34252,PSS,EE,Brown,Right,20.0,20.113,33.963
34252,PSS,EE,Brown,Left,20.0,20.087,33.971
34252,PSS,WW,Brown,Left,20.0,20.117,34.373
34252,PSS,WW,Brown,Right,20.0,20.077,33.962
34252,PSS,EE,Brown,Left,20.0,20.029,34.693
34252,PSS,EE,Brown,Right,20.0,20.023,34.056
34252,PSS,WW,Brown,Left,20.0,20.06,34.181
34252,PSS,WW,Brown,Right,20.0,20.089,34.167
34252,PSS,EE,Brown,Left,20.0,20.116,33.823
34252,PSS,EE,Brown,Right,20.0,20.118,33.862
34252,PSS,WW,Brown,Right,20.0,20.065,33.764
34252,PSS,WW,Brown,Left,20.0,20.118,33.767
34252,PSS,EE,Brown,Right,20.0,20.073,33.743
34252,PSS,EE,Brown,Left,20.0,20.151,34.372
34252,PSS,WW,Brown,Right,20.0,20.046,37.694
34252,PSS,WW,Brown,Left,20.0,20.166,34.161
34252,PSS,EE,Brown,Left,20.0,20.178,33.976
34252,PSS,EE,Brown,Right,20.0,20.149,33.741
34252,PSS,WW,Brown,Left,20.0,20.149,34.135
34252,PSS,WW,Brown,Right,20.0,20.086,34.613
34252,PSS,EE,Brown,Left,20.0,20.088,33.843
34252,PSS,EE,Brown,Right,20.0,20.019,34.181
34252,PSS,WW,Brown,Right,20.0,20.043,34.216
34252,PSS,WW,Brown,Left,20.0,20.118,34.037
34252,PSS,EE,Brown,Right,20.0,20.073,33.913
34252,PSS,EE,Brown,Left,20.0,20.071,34.191
34252,PSS,WW,Brown,Right,20.0,20.048,34.157
34252,PSS,WW,Brown,Left,20.0,20.097,34.306
34252,PSS,EE,Brown,Right,20.0,20.111,34.004
34252,PSS,EE,Brown,Left,20.0,20.084,33.971
34252,PSS,WW,Brown,Right,20.0,20.027,34.077
34252,PSS,WW,Brown,Left,20.0,20.088,33.972
34252,PSS,EE,Brown,Left,20.0,20.11,33.702
34252,PSS,EE,Brown,Right,20.0,20.063,33.987
34252,PSS,WW,Brown,Left,20.0,20.077,33.707
34252,PSS,WW,Brown,Right,20.0,20.032,33.477
34332,2S,EE,Perugia,Left,20.0,20.0,34.094
34332,2S,EE,Perugia,Right,20.0,20.0,33.762
34332,2S,WW,Perugia,Left,20.0,20.0,33.893
34332,2S,WW,Perugia,Right,20.0,20.0,34.096
34332,2S,EE,Perugia,Left,20.0,20.0,33.855
34332,2S,EE,Perugia,Right,20.0,20.0,33.89
34332,2S,WW,Perugia,Left,20.0,20.0,33.891
34332,2S,WW,Perugia,Right,20.0,20.0,34.13
34332,2S,EE,Perugia,Left,20.0,20.0,34.035
34332,2S,EE,Perugia,Right,20.0,20.0,33.653
34332,2S,WW,Perugia,Right,20.0,20.0,34.005
34332,2S,WW,Perugia,Left,20.0,20.0,33.785
34332,2S,EE,Perugia,Left,20.0,20.0,34.011
34332,2S,EE,Perugia,Right,20.0,20.0,33.914
34332,2S,WW,Perugia,Right,20.0,20.0,33.816
34332,2S,WW,Perugia,Left,20.0,20.0,33.999
34332,2S,EE,Perugia,Right,20.0,20.0,34.173
34332,2S,EE,Perugia,Left,20.0,20.0,33.907
34332,2S,WW,Perugia,Left,20.0,20.0,34.155
34332,2S,WW,Perugia,Right,20.0,20.0,33.951
34332,2S,EE,Perugia,Right,20.0,20.0,33.974
34332,2S,EE,Perugia,Left,20.0,20.0,33.973
34332,2S,WW,Perugia,Left,20.0,20.0,33.894
34332,2S,WW,Perugia,Right,20.0,20.0,33.86
34332,2S,EE,Perugia,Right,20.0,20.0,33.894
34332,2S,EE,Perugia,Left,20.0,20.0,34.111
34332,2S,WW,Perugia,Right,20.0,20.0,33.944
34332,2S,WW,Perugia,Left,20.0,20.0,34.048
34332,2S,EE,Perugia,Left,20.0,20.0,34.089
34332,2S,EE,Perugia,Right,20.0,20.0,33.96
34332,2S,WW,Perugia,Left,20.0,20.0,34.187
34332,2S,WW,Perugia,Right,20.0,20.0,33.93
34332,2S,EE,Perugia,Left,20.0,20.0,33.838
34332,2S,EE,Perugia,Right,20.0,20.0,33.743
34332,2S,WW,Perugia,Right,20.0,20.0,33.904
34332,2S,WW,Perugia,Left,20.0,20.0,33.924
34332,2S,EE,Perugia,Left,20.0,20.0,33.968
34332,2S,WW,Perugia,Left,20.0,20.0,33.836
34332,2S,WW,Perugia,Right,20.0,20.0,34.192
34346,2S,EE,Perugia,Right,20.0,20.0,34.188
34346,2S,EE,Perugia,Left,20.0,20.0,34.031
34346,2S,WW,Perugia,Left,20.0,20.0,34.408
34346,2S,WW,Perugia,Right,20.0,20.0,33.818
34346,2S,EE,Perugia,Left,20.0,20.0,34.134
34346,2S,EE,Perugia,Right,20.0,20.0,34.175
34346,2S,WW,Perugia,Left,20.0,20.0,34.147
34346,2S,WW,Perugia,Right,20.0,20.0,34.31
34346,2S,EE,Perugia,Left,20.0,20.0,34.278
34346,2S,EE,Perugia,Right,20.0,20.0,33.972
34346,2S,WW,Perugia,Left,20.0,20.0,34.257
34346,2S,WW,Perugia,Right,20.0,20.0,34.054
34346,2S,EE,Perugia,Left,20.0,20.0,34.116
34346,2S,EE,Perugia,Right,20.0,20.0,34.041
34346,2S,WW,Perugia,Left,20.0,20.0,34.14
34346,2S,EE,Perugia,Left,20.0,20.0,34.045
34346,2S,EE,Perugia,Right,20.0,20.0,34.042
34346,2S,WW,Perugia,Left,20.0,20.0,34.22
34346,2S,WW,Perugia,Right,20.0,20.0,34.418
34346,2S,EE,Perugia,Right,20.0,20.0,34.161
34346,2S,EE,Perugia,Left,20.0,20.0,34.564
34346,2S,WW,Perugia,Left,20.0,20.0,33.957
34346,2S,WW,Perugia,Right,20.0,20.0,34.077
34346,2S,EE,Perugia,Right,20.0,20.0,33.949
34346,2S,EE,Perugia,Left,20.0,20.0,34.256
34346,2S,WW,Perugia,Left,20.0,20.0,34.327
34346,2S,WW,Perugia,Right,20.0,20.0,33.864
34346,2S,EE,Perugia,Left,20.0,20.0,34.143
34346,2S,EE,Perugia,Right,20.0,20.0,34.282
34346,2S,WW,Perugia,Left,20.0,20.0,34.33
34346,2S,WW,Perugia,Right,20.0,20.0,34.171
34346,2S,EE,Perugia,Right,20.0,20.0,34.11
34346,2S,WW,Perugia,Left,20.0,20.0,34.18
34346,2S,WW,Perugia,Right,20.0,20.0,34.283
34346,2S,EE,Perugia,Left,20.0,20.0,34.222
34346,2S,EE,Perugia,Left,20.0,20.0,34.201
34346,2S,EE,Perugia,Right,20.0,20.0,34.034
34346,2S,WW,Perugia,Right,20.0,20.0,34.336
34346,2S,WW,Perugia,Left,20.0,20.0,34.157
34348,2S,EE,Perugia,Left,20.0,20.0,33.811
34348,2S,WW,Perugia,Left,20.0,20.0,34.118
34348,2S,EE,Perugia,Left,20.0,20.0,34.03
34348,2S,WW,Perugia,Left,20.0,20.0,34.124
34348,2S,EE,Perugia,Left,20.0,20.0,34.258
34348,2S,WW,Perugia,Left,20.0,20.0,34.146
34348,2S,EE,Perugia,Left,20.0,20.0,34.188
34348,2S,WW,Perugia,Left,20.0,20.0,34.178
34348,2S,EE,Perugia,Left,20.0,20.0,34.161
34348,2S,WW,Perugia,Left,20.0,20.0,34.192
34348,2S,EE,Perugia,Left,20.0,20.0,34.08
34348,2S,EE,Perugia,Left,20.0,20.0,34.204
34348,2S,EE,Perugia,Left,20.0,20.0,33.94
34348,2S,WW,Perugia,Left,20.0,20.0,34.096
34348,2S,EE,Perugia,Left,20.0,20.0,34.172
34348,2S,WW,Perugia,Left,20.0,20.0,34.283
34348,2S,EE,Perugia,Left,20.0,20.0,33.779
34348,2S,WW,Perugia,Left,20.0,20.0,34.075
34348,2S,EE,Perugia,Left,20.0,20.0,34.224
34348,2S,WW,Perugia,Left,20.0,20.0,34.177
34348,2S,EE,Perugia,Left,20.0,20.0,34.2
34348,2S,WW,Perugia,Left,20.0,20.0,34.124
34348,2S,EE,Perugia,Left,20.0,20.0,34.415
34348,2S,WW,Perugia,Left,20.0,20.0,34.159
34331,2S,EE,Brown,Right,20.0,20.123,33.91
34331,2S,EE,Brown,Left,20.0,20.162,34.021
34331,2S,WW,Brown,Left,20.0,20.139,34.605
34331,2S,WW,Brown,Right,20.0,20.071,33.897
34331,2S,EE,Brown,Right,20.0,20.02,33.9
34331,2S,WW,Brown,Right,20.0,20.072,33.931
34331,2S,EE,Brown,Right,20.0,20.09,34.369
34331,2S,WW,Brown,Right,20.0,20.093,33.74
34331,2S,EE,Brown,Left,20.0,20.035,34.305
34331,2S,WW,Brown,Right,20.0,20.071,33.8
34331,2S,WW,Brown,Right,20.0,20.076,32.004
34331,2S,EE,Brown,Left,20.0,22.493,34.289
34331,2S,EE,Brown,Left,20.0,20.504,34.381
34331,2S,WW,Brown,Right,20.0,20.04,33.699
34331,2S,EE,Brown,Right,20.0,20.002,33.878
34331,2S,WW,Brown,Right,20.0,20.022,33.977
34331,2S,EE,Brown,Right,20.0,20.077,33.888
34331,2S,WW,Brown,Right,20.0,19.944,33.802
34331,2S,EE,Brown,Right,20.0,20.001,33.406
34331,2S,WW,Brown,Right,20.0,20.001,34.37
34331,2S,EE,Brown,Right,20.0,20.008,33.95
34331,2S,WW,Brown,Right,20.0,19.999,33.86
34331,2S,EE,Brown,Right,20.0,19.999,33.915
34331,2S,WW,Brown,Right,20.0,19.999,33.656
34331,2S,EE,Brown,Right,20.0,20.003,33.961
34331,2S,WW,Brown,Right,20.0,20.001,33.694
34331,2S,EE,Brown,Right,20.0,20.025,34.014
34331,2S,WW,Brown,Right,20.0,20.067,33.363
34331,2S,EE,Brown,Right,20.0,20.137,31.826
