Name,Type,Average,Std.dev
35715,2S,1.13,0.06
35716,2S,1.14,0.06
35720,2S,1.15,0.09
35721,2S,1.14,0.06
35497,PS-p,2.15,0.31
35498,PS-p,2.41,0.20
35954,PS-s,1.11,0.10
35955,PS-s,1.06,0.05
36243,2S,1.11,0.09
36244,2S,1.15,0.08
36232,PS-p,2.61,0.27
36233,PS-p,2.59,0.33
36234,PS-p,2.54,0.25
36235,PS-p,2.25,0.32
36793,PS-s,1.17,0.09
36794,PS-s,1.14,0.10
37077,PS-s,1.15,0.08
37078,PS-s,1.17,0.09
37400,2S,1.16,0.06
37401,2S,0.98,0.06
37408,2S,1.08,0.09
37897,2S,1.13,0.07
37904,2S,1.1,0.05
37905,2S,1.09,0.07
38196,2S,1.06,0.09
38199,2S,1.12,0.07
38714,2S,0.96,0.06
38715,2S,1.01,0.06
38869,2S,0.97,0.04
38870,2S,1.13,0.06
