batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,RSH_OHMSQR
34252,PSS,EE,Brown,Left,20.0,20.062,34.943
34252,PSS,EE,Brown,Left,20.0,20.063,34.834
34252,PSS,EE,Brown,Right,20.0,20.143,34.921
34252,PSS,EE,Brown,Right,20.0,20.209,34.575
34252,PSS,WW,Brown,Left,20.0,20.052,35.196
34252,PSS,WW,Brown,Left,20.0,20.055,35.107
34252,PSS,WW,Brown,Right,20.0,20.017,34.404
34252,PSS,WW,Brown,Right,20.0,20.016,35.213
34252,PSS,EE,Brown,Left,20.0,20.05,34.787
34252,PSS,EE,Brown,Right,20.0,20.065,34.246
34252,PSS,EE,Brown,Left,20.0,20.044,34.957
34252,PSS,EE,Brown,Right,20.0,20.064,35.097
34252,PSS,WW,Brown,Right,20.0,20.022,34.492
34252,PSS,WW,Brown,Left,20.0,20.081,35.102
34252,PSS,WW,Brown,Left,20.0,20.091,34.956
34252,PSS,WW,Brown,Right,20.0,20.019,34.785
34252,PSS,EE,Brown,Right,20.0,19.989,34.869
34252,PSS,EE,Brown,Left,20.0,20.034,34.954
34252,PSS,EE,Brown,Left,20.0,20.036,34.934
34252,PSS,EE,Brown,Right,20.0,20.002,34.619
34252,PSS,WW,Brown,Left,20.0,20.014,35.217
34252,PSS,WW,Brown,Left,20.0,20.018,35.221
34252,PSS,WW,Brown,Right,20.0,20.088,35.073
34252,PSS,WW,Brown,Right,20.0,20.082,34.48
34252,PSS,EE,Brown,Left,20.0,20.027,34.652
34252,PSS,EE,Brown,Right,20.0,20.076,34.261
34252,PSS,EE,Brown,Left,20.0,20.023,34.593
34252,PSS,EE,Brown,Right,20.0,20.078,34.899
34252,PSS,WW,Brown,Left,20.0,20.079,34.991
34252,PSS,WW,Brown,Left,20.0,20.069,34.882
34252,PSS,WW,Brown,Right,20.0,20.242,34.514
34252,PSS,WW,Brown,Right,20.0,20.178,34.92
34252,PSS,EE,Brown,Right,20.0,20.008,34.666
34252,PSS,EE,Brown,Left,20.0,20.07,34.879
34252,PSS,EE,Brown,Left,20.0,20.071,34.904
34252,PSS,EE,Brown,Right,20.0,20.006,34.892
34252,PSS,WW,Brown,Left,20.0,20.09,35.319
34252,PSS,WW,Brown,Left,20.0,20.094,35.248
34252,PSS,WW,Brown,Right,20.0,20.067,35.099
34252,PSS,WW,Brown,Right,20.0,20.069,34.43
34252,PSS,EE,Brown,Right,20.0,20.165,34.983
34252,PSS,EE,Brown,Right,20.0,20.164,34.402
34252,PSS,EE,Brown,Left,20.0,20.116,34.77
34252,PSS,EE,Brown,Left,20.0,20.117,34.992
34252,PSS,WW,Brown,Left,20.0,20.075,35.346
34252,PSS,WW,Brown,Right,20.0,20.093,34.426
34252,PSS,WW,Brown,Right,20.0,20.092,34.807
34252,PSS,WW,Brown,Left,20.0,20.079,34.723
34252,PSS,EE,Brown,Left,20.0,20.015,35.51
34252,PSS,EE,Brown,Right,20.0,20.025,34.696
34252,PSS,EE,Brown,Left,20.0,20.014,34.959
34252,PSS,EE,Brown,Right,20.0,20.026,34.933
34252,PSS,WW,Brown,Left,20.0,20.012,35.177
34252,PSS,WW,Brown,Right,20.0,20.057,34.87
34252,PSS,WW,Brown,Right,20.0,20.062,34.461
34252,PSS,WW,Brown,Left,20.0,20.009,35.252
34252,PSS,EE,Brown,Left,20.0,20.026,34.753
34252,PSS,EE,Brown,Left,20.0,20.029,34.725
34252,PSS,EE,Brown,Right,20.0,20.047,34.238
34252,PSS,EE,Brown,Right,20.0,20.045,34.795
34252,PSS,WW,Brown,Left,20.0,20.077,34.684
34252,PSS,WW,Brown,Right,20.0,20.086,34.351
34252,PSS,WW,Brown,Left,20.0,20.075,34.813
34252,PSS,WW,Brown,Right,20.0,20.085,34.698
34252,PSS,EE,Brown,Left,20.0,20.238,35.011
34252,PSS,EE,Brown,Right,20.0,20.125,34.896
