PART_NAME_LABEL,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34330_006_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_006_2-S_HM_E_flute1_R_MOS_5_8_2020_9h22m29s.txt,Perugia
34330_006_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_006_2-S_HM_E_flute1_R_MOS_5_8_2020_9h22m29s.txt,Perugia
34330_006_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_006_2-S_HM_W_flute1_R_MOS_5_8_2020_10h29m25s.txt,Perugia
34330_006_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_006_2-S_HM_W_flute1_R_MOS_5_8_2020_10h29m25s.txt,Perugia
34330_006_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_006_2-S_HM_W_flute1_L_MOS_5_8_2020_10h22m30s.txt,Perugia
34330_006_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_006_2-S_HM_W_flute1_L_MOS_5_8_2020_10h22m30s.txt,Perugia
34330_007_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_007_2-S_HM_E_flute1_L_MOS_10_9_2020_9h33m52s.txt,Perugia
34330_007_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_007_2-S_HM_E_flute1_R_MOS_10_9_2020_10h18m24s.txt,Perugia
34330_007_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_007_2-S_HM_E_flute1_L_MOS_10_9_2020_9h33m52s.txt,Perugia
34330_007_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_007_2-S_HM_E_flute1_R_MOS_10_9_2020_10h18m24s.txt,Perugia
34330_007_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_007_2-S_HM_W_flute1_R_MOS_11_9_2020_9h21m56s.txt,Perugia
34330_007_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_007_2-S_HM_W_flute1_R_MOS_11_9_2020_9h21m56s.txt,Perugia
34330_007_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_007_2-S_HM_W_flute1_L_MOS_11_9_2020_9h5m46s.txt,Perugia
34330_007_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_007_2-S_HM_W_flute1_L_MOS_11_9_2020_9h5m46s.txt,Perugia
34330_015_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_015_2-S_HM_E_flute1_R_MOS_11_9_2020_13h19m24s.txt,Perugia
34330_015_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_015_2-S_HM_E_flute1_R_MOS_11_9_2020_13h19m24s.txt,Perugia
34330_015_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_015_2-S_HM_E_flute1_L_MOS_11_9_2020_12h48m34s.txt,Perugia
34330_015_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_015_2-S_HM_E_flute1_L_MOS_11_9_2020_12h48m34s.txt,Perugia
34330_015_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_015_2-S_HM_W_flute1_L_MOS_11_9_2020_15h39m5s.txt,Perugia
34330_015_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_015_2-S_HM_W_flute1_L_MOS_11_9_2020_15h39m5s.txt,Perugia
34330_015_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_015_2-S_HM_W_flute1_R_MOS_11_9_2020_16h9m44s.txt,Perugia
34330_015_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_015_2-S_HM_W_flute1_R_MOS_11_9_2020_16h9m44s.txt,Perugia
34330_038_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_038_2-S_HM_E_flute1_R_MOS_9_9_2020_14h4m25s.txt,Perugia
34330_038_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_038_2-S_HM_E_flute1_L_MOS_9_9_2020_13h35m0s.txt,Perugia
34330_038_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_038_2-S_HM_E_flute1_R_MOS_9_9_2020_14h4m25s.txt,Perugia
34330_038_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_038_2-S_HM_E_flute1_L_MOS_9_9_2020_13h35m0s.txt,Perugia
34330_038_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_038_2-S_HM_W_flute1_R_MOS_9_9_2020_18h19m41s.txt,Perugia
34330_038_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_038_2-S_HM_W_flute1_R_MOS_9_9_2020_18h19m41s.txt,Perugia
34330_038_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_038_2-S_HM_W_flute1_L_MOS_9_9_2020_17h51m14s.txt,Perugia
34330_038_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_038_2-S_HM_W_flute1_L_MOS_9_9_2020_17h51m14s.txt,Perugia
34330_039_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_039_2-S_HM_E_flute1_R_MOS_9_9_2020_9h45m4s.txt,Perugia
34330_039_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_039_2-S_HM_E_flute1_L_MOS_9_9_2020_9h9m46s.txt,Perugia
34330_039_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_039_2-S_HM_E_flute1_R_MOS_9_9_2020_9h45m4s.txt,Perugia
34330_039_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_039_2-S_HM_E_flute1_L_MOS_9_9_2020_9h9m46s.txt,Perugia
34330_039_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_039_2-S_HM_W_flute1_L_MOS_8_9_2020_16h22m25s.txt,Perugia
34330_039_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_039_2-S_HM_W_flute1_R_MOS_8_9_2020_16h30m4s.txt,Perugia
34330_039_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_039_2-S_HM_W_flute1_R_MOS_8_9_2020_16h30m4s.txt,Perugia
34330_039_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_039_2-S_HM_W_flute1_L_MOS_8_9_2020_16h22m25s.txt,Perugia
34330_041_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_041_2-S_HM_E_flute1_L_MOS_8_9_2020_11h21m39s.txt,Perugia
34330_041_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_041_2-S_HM_E_flute1_R_MOS_8_9_2020_12h10m35s.txt,Perugia
34330_041_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_041_2-S_HM_E_flute1_L_MOS_8_9_2020_11h21m39s.txt,Perugia
34330_041_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_041_2-S_HM_E_flute1_R_MOS_8_9_2020_12h10m35s.txt,Perugia
34330_041_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_041_2-S_HM_W_flute1_L_MOS_8_9_2020_13h21m55s.txt,Perugia
34330_041_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_041_2-S_HM_W_flute1_R_MOS_8_9_2020_13h48m43s.txt,Perugia
34330_041_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_041_2-S_HM_W_flute1_L_MOS_8_9_2020_13h21m55s.txt,Perugia
34330_041_2-S_HM_WW,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_041_2-S_HM_W_flute1_R_MOS_8_9_2020_13h48m43s.txt,Perugia
34330_042_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_042_2-S_HM_E_flute1_R_MOS_8_9_2020_10h3m44s.txt,Perugia
34330_042_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Right,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_042_2-S_HM_E_flute1_R_MOS_8_9_2020_10h3m44s.txt,Perugia
34330_042_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_042_2-S_HM_E_flute1_L_MOS_8_9_2020_9h33m57s.txt,Perugia
34330_042_2-S_HM_EE,PQC1,MOS_QUARTER,Not Used,Left,MOS1,PQC_HM_POSITION 1,0.1,10000.0,0.25,0.2,,,HPK_34330_042_2-S_HM_E_flute1_L_MOS_8_9_2020_9h33m57s.txt,Perugia
