batch_number,Type,TOX_NM,Location,KIND_OF_HM_SET_ID
35957,2-S,672.405,HEPHY,Left
35957,2-S,666.35,HEPHY,Right
35957,2-S,676.3910000000001,HEPHY,Right
35957,2-S,670.079,HEPHY,Left
35957,2-S,666.424,HEPHY,Left
35957,2-S,671.302,HEPHY,Left
35957,2-S,669.665,HEPHY,Left
35958,2-S,683.435,HEPHY,Right
35958,2-S,671.9989999999999,HEPHY,Right
35958,2-S,675.3560000000001,HEPHY,Right
35958,2-S,683.187,HEPHY,Right
35958,2-S,671.565,HEPHY,Right
35958,2-S,680.841,HEPHY,Right
35958,2-S,680.2389999999999,HEPHY,Left
35958,2-S,673.0319999999999,HEPHY,Left
35958,2-S,678.87,HEPHY,Left
35958,2-S,678.248,HEPHY,Left
35958,2-S,676.275,HEPHY,Left
35958,2-S,673.133,HEPHY,Left
35958,2-S,673.763,HEPHY,Right
35958,2-S,667.46,HEPHY,Right
35958,2-S,670.653,HEPHY,Right
35958,2-S,674.4830000000001,HEPHY,Right
35958,2-S,668.4639999999999,HEPHY,Right
35958,2-S,674.237,HEPHY,Right
35958,2-S,671.546,HEPHY,Right
35958,2-S,673.937,HEPHY,Right
35958,2-S,673.613,HEPHY,Right
35958,2-S,671.048,HEPHY,Right
35958,2-S,668.2360000000001,HEPHY,Right
35958,2-S,672.982,HEPHY,Right
35958,2-S,667.2389999999999,HEPHY,Right
35958,2-S,674.033,HEPHY,Right
35958,2-S,669.924,HEPHY,Left
35958,2-S,673.538,HEPHY,Left
35958,2-S,673.783,HEPHY,Right
35958,2-S,667.779,HEPHY,Right
35958,2-S,676.64,HEPHY,Right
35958,2-S,670.6110000000001,HEPHY,Right
36239,2-S,664.182,HEPHY,Left
36239,2-S,675.815,HEPHY,Left
36239,2-S,667.155,HEPHY,Right
36239,2-S,674.05,HEPHY,Right
36239,2-S,668.617,HEPHY,Right
36239,2-S,681.826,HEPHY,Right
36239,2-S,675.6160000000001,HEPHY,Right
36239,2-S,669.7130000000001,HEPHY,Right
36239,2-S,678.347,HEPHY,Left
36239,2-S,667.3,HEPHY,Left
36239,2-S,668.284,HEPHY,Right
36239,2-S,679.622,HEPHY,Right
36239,2-S,667.063,HEPHY,Right
36239,2-S,674.9960000000001,HEPHY,Right
36239,2-S,669.2869999999999,HEPHY,Left
