ID,KIND_OF_CONDITION_ID,KIND_OF_CONDITION,CONDITION_DATA_SET_ID,CHANNEL_ID,KIND_OF_PART_ID,KIND_OF_PART,PART_ID,PART_BARCODE,PART_SERIAL_NUMBER,PART_NAME_LABEL,VD_V,CMIN_PFRD,RHO_KOHMCM,NA,D_UM,VFB_V,CACC_PFRD,NOX,TOX_NM,CAC_PFRD,DOX_NM,VDPLNR_V,CMINPLNR_PFRD,RHOPLNR_KOHMCM,NAPLNR,DPLNR_UM
8902520,9140,Tracker Halfmoon CV Parameters,784702,,7600,PS-p Halfmoon E,68310,35496_001_PSP_HM_EE,,35496_001_PSP_HM_EE,,,,,,5.222,88.20100000000001,195595000000.0,651.202,,,,,,,
8889060,9140,Tracker Halfmoon CV Parameters,782502,,7600,PS-p Halfmoon E,68310,35496_001_PSP_HM_EE,,35496_001_PSP_HM_EE,,,,,,4.726,86.885,176500100000.0,661.063,,,,,,,
8895260,9140,Tracker Halfmoon CV Parameters,783582,,7620,PS-p Halfmoon W,68315,35496_001_PSP_HM_WW,,35496_001_PSP_HM_WW,,,,,,5.393,87.68,200061000000.0,655.068,,,,,,,
8905320,9140,Tracker Halfmoon CV Parameters,785442,,7620,PS-p Halfmoon W,68315,35496_001_PSP_HM_WW,,35496_001_PSP_HM_WW,,,,,,4.72,86.978,176525200000.0,660.352,,,,,,,
8916460,9140,Tracker Halfmoon CV Parameters,787802,,7600,PS-p Halfmoon E,68316,35496_002_PSP_HM_EE,,35496_002_PSP_HM_EE,,,,,,4.808,87.178,179798200000.0,658.84,,,,,,,
8870040,9140,Tracker Halfmoon CV Parameters,778422,,7600,PS-p Halfmoon E,68316,35496_002_PSP_HM_EE,,35496_002_PSP_HM_EE,,,,,,5.29,88.00200000000001,197411000000.0,652.674,,,,,,,
8898660,9140,Tracker Halfmoon CV Parameters,784722,,7620,PS-p Halfmoon W,68331,35496_002_PSP_HM_WW,,35496_002_PSP_HM_WW,,,,,,5.2860000000000005,87.95200000000001,197163700000.0,653.0409999999999,,,,,,,
8859200,9140,Tracker Halfmoon CV Parameters,776262,,7620,PS-p Halfmoon W,68331,35496_002_PSP_HM_WW,,35496_002_PSP_HM_WW,,,,,,4.647,87.19200000000001,174555300000.0,658.7339999999999,,,,,,,
8921520,9140,Tracker Halfmoon CV Parameters,789202,,7600,PS-p Halfmoon E,68414,35496_010_PSP_HM_EE,,35496_010_PSP_HM_EE,,,,,,4.888,87.18299999999999,182415600000.0,658.804,,,,,,,
8892000,9140,Tracker Halfmoon CV Parameters,782942,,7600,PS-p Halfmoon E,68414,35496_010_PSP_HM_EE,,35496_010_PSP_HM_EE,,,,,,5.209,88.402,195603600000.0,649.717,,,,,,,
8859560,9140,Tracker Halfmoon CV Parameters,776722,,7620,PS-p Halfmoon W,68419,35496_010_PSP_HM_WW,,35496_010_PSP_HM_WW,,,,,,5.303999999999999,87.277,196229400000.0,658.09,,,,,,,
8874340,9140,Tracker Halfmoon CV Parameters,779342,,7620,PS-p Halfmoon W,68419,35496_010_PSP_HM_WW,,35496_010_PSP_HM_WW,,,,,,4.742,87.101,177481800000.0,659.419,,,,,,,
8886000,9140,Tracker Halfmoon CV Parameters,781882,,7600,PS-p Halfmoon E,68496,35496_017_PSP_HM_EE,,35496_017_PSP_HM_EE,,,,,,5.14,88.324,193161600000.0,650.29,,,,,,,
8924080,9140,Tracker Halfmoon CV Parameters,789582,,7600,PS-p Halfmoon E,68496,35496_017_PSP_HM_EE,,35496_017_PSP_HM_EE,,,,,,4.8660000000000005,87.36399999999999,182090600000.0,657.435,,,,,,,
8930320,9140,Tracker Halfmoon CV Parameters,790862,,7620,PS-p Halfmoon W,68511,35496_017_PSP_HM_WW,,35496_017_PSP_HM_WW,,,,,,5.2589999999999995,87.811,195954100000.0,654.094,,,,,,,
8861960,9140,Tracker Halfmoon CV Parameters,777042,,7620,PS-p Halfmoon W,68511,35496_017_PSP_HM_WW,,35496_017_PSP_HM_WW,,,,,,4.802,86.874,178980800000.0,661.1460000000001,,,,,,,
8920020,9140,Tracker Halfmoon CV Parameters,788562,,7600,PS-p Halfmoon E,68594,35496_026_PSP_HM_EE,,35496_026_PSP_HM_EE,,,,,,5.008,88.436,189013800000.0,649.471,,,,,,,
8883660,9140,Tracker Halfmoon CV Parameters,780202,,7600,PS-p Halfmoon E,68594,35496_026_PSP_HM_EE,,35496_026_PSP_HM_EE,,,,,,4.379,87.60700000000001,166595500000.0,655.6110000000001,,,,,,,
8855920,9140,Tracker Halfmoon CV Parameters,775922,,7620,PS-p Halfmoon W,68599,35496_026_PSP_HM_WW,,35496_026_PSP_HM_WW,,,,,,5.1160000000000005,87.902,191430200000.0,653.4159999999999,,,,,,,
8908440,9140,Tracker Halfmoon CV Parameters,786582,,7620,PS-p Halfmoon W,68599,35496_026_PSP_HM_WW,,35496_026_PSP_HM_WW,,,,,,4.309,87.335,163755100000.0,657.66,,,,,,,
8928320,9140,Tracker Halfmoon CV Parameters,790542,,7600,PS-p Halfmoon E,68670,35496_032_PSP_HM_EE,,35496_032_PSP_HM_EE,,,,,,4.993,88.24799999999999,188136000000.0,650.849,,,,,,,
8911080,9140,Tracker Halfmoon CV Parameters,787122,,7600,PS-p Halfmoon E,68670,35496_032_PSP_HM_EE,,35496_032_PSP_HM_EE,,,,,,4.35,88.11200000000001,166583200000.0,651.8530000000001,,,,,,,
8898100,9140,Tracker Halfmoon CV Parameters,783822,,7620,PS-p Halfmoon W,68675,35496_032_PSP_HM_WW,,35496_032_PSP_HM_WW,,,,,,4.256,88.208,163667400000.0,651.1469999999999,,,,,,,
8881040,9140,Tracker Halfmoon CV Parameters,781062,,7620,PS-p Halfmoon W,68675,35496_032_PSP_HM_WW,,35496_032_PSP_HM_WW,,,,,,5.039,88.48899999999999,190161700000.0,649.0830000000001,,,,,,,
8846520,9140,Tracker Halfmoon CV Parameters,773602,,7600,PS-p Halfmoon E,68758,35496_040_PSP_HM_EE,,35496_040_PSP_HM_EE,,,,,,4.4719999999999995,88.16,170720600000.0,651.506,,,,,,,
8877340,9140,Tracker Halfmoon CV Parameters,780342,,7600,PS-p Halfmoon E,68758,35496_040_PSP_HM_EE,,35496_040_PSP_HM_EE,,,,,,5.012,88.69,189708800000.0,647.606,,,,,,,
8850120,9140,Tracker Halfmoon CV Parameters,774442,,7620,PS-p Halfmoon W,68773,35496_040_PSP_HM_WW,,35496_040_PSP_HM_WW,,,,,,4.348,88.51799999999999,167268200000.0,648.867,,,,,,,
8912860,9140,Tracker Halfmoon CV Parameters,787082,,7620,PS-p Halfmoon W,68773,35496_040_PSP_HM_WW,,35496_040_PSP_HM_WW,,,,,,5.095,88.507,192048800000.0,648.95,,,,,,,
8851600,9140,Tracker Halfmoon CV Parameters,774782,,7600,PS-p Halfmoon E,68812,35496_044_PSP_HM_EE,,35496_044_PSP_HM_EE,,,,,,5.127999999999999,88.064,192198600000.0,652.211,,,,,,,
8868720,9140,Tracker Halfmoon CV Parameters,778162,,7600,PS-p Halfmoon E,68812,35496_044_PSP_HM_EE,,35496_044_PSP_HM_EE,,,,,,4.603,88.12299999999999,174969900000.0,651.775,,,,,,,
8876860,9140,Tracker Halfmoon CV Parameters,779862,,7620,PS-p Halfmoon W,68817,35496_044_PSP_HM_WW,,35496_044_PSP_HM_WW,,,,,,4.475,88.71600000000001,171896700000.0,647.4209999999999,,,,,,,
8865780,9140,Tracker Halfmoon CV Parameters,777562,,7620,PS-p Halfmoon W,68817,35496_044_PSP_HM_WW,,35496_044_PSP_HM_WW,,,,,,5.171,89.051,195765700000.0,644.987,,,,,,,
8791120,9140,Tracker Halfmoon CV Parameters,762722,,7600,PS-p Halfmoon E,68130,35499_001_PSP_HM_EE,,35499_001_PSP_HM_EE,,,,,,5.0089999999999995,88.255,188676000000.0,650.799,,,,,,,
8811120,9140,Tracker Halfmoon CV Parameters,766822,,7600,PS-p Halfmoon E,68130,35499_001_PSP_HM_EE,,35499_001_PSP_HM_EE,,,,,,4.6339999999999995,87.051,173864200000.0,659.801,,,,,,,
8753140,9140,Tracker Halfmoon CV Parameters,754602,,7620,PS-p Halfmoon W,68135,35499_001_PSP_HM_WW,,35499_001_PSP_HM_WW,,,,,,4.438,87.635,168559300000.0,655.4019999999999,,,,,,,
8771240,9140,Tracker Halfmoon CV Parameters,758442,,7620,PS-p Halfmoon W,68135,35499_001_PSP_HM_WW,,35499_001_PSP_HM_WW,,,,,,5.117,87.637,190898300000.0,655.393,,,,,,,
