ID,KIND_OF_CONDITION_ID,KIND_OF_CONDITION,CONDITION_DATA_SET_ID,KIND_OF_PART_ID,KIND_OF_PART,PART_ID,PART_BARCODE,PART_NAME_LABEL,VFB_V,CACC_PFRD,NOX,TOX_NM,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
8851600,9140,Tracker Halfmoon CV Parameters,774782,7600,PS-p Halfmoon E,68812,35496_044_PSP_HM_EE,35496_044_PSP_HM_EE,5.127999999999999,88.064,192198600000.0,652.211,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos4,0.1,10000.0,0.25,,,HPK_VPX35496_044_PSP_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-19T17-19-54.json,HEPHY
8876860,9140,Tracker Halfmoon CV Parameters,779862,7620,PS-p Halfmoon W,68817,35496_044_PSP_HM_WW,35496_044_PSP_HM_WW,4.475,88.71600000000001,171896700000.0,647.4209999999999,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos3,0.1,10000.0,0.25,,,HPK_VPX35496_044_PSP_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-19T16-33-48.json,HEPHY
8865780,9140,Tracker Halfmoon CV Parameters,777562,7620,PS-p Halfmoon W,68817,35496_044_PSP_HM_WW,35496_044_PSP_HM_WW,5.171,89.051,195765700000.0,644.987,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos3,0.1,10000.0,0.25,,,HPK_VPX35496_044_PSP_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-19T16-33-48.json,HEPHY
8791120,9140,Tracker Halfmoon CV Parameters,762722,7600,PS-p Halfmoon E,68130,35499_001_PSP_HM_EE,35499_001_PSP_HM_EE,5.0089999999999995,88.255,188676000000.0,650.799,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35499_001_PSP_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-20T11-49-21.json,HEPHY
8811120,9140,Tracker Halfmoon CV Parameters,766822,7600,PS-p Halfmoon E,68130,35499_001_PSP_HM_EE,35499_001_PSP_HM_EE,4.6339999999999995,87.051,173864200000.0,659.801,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos2,0.1,10000.0,0.25,,,HPK_VPX35499_001_PSP_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-20T11-49-21.json,HEPHY
8753140,9140,Tracker Halfmoon CV Parameters,754602,7620,PS-p Halfmoon W,68135,35499_001_PSP_HM_WW,35499_001_PSP_HM_WW,4.438,87.635,168559300000.0,655.4019999999999,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35499_001_PSP_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-20T11-01-10.json,HEPHY
8771240,9140,Tracker Halfmoon CV Parameters,758442,7620,PS-p Halfmoon W,68135,35499_001_PSP_HM_WW,35499_001_PSP_HM_WW,5.117,87.637,190898300000.0,655.393,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos1,0.1,10000.0,0.25,,,HPK_VPX35499_001_PSP_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-20T11-01-10.json,HEPHY
8756420,9140,Tracker Halfmoon CV Parameters,755342,7600,PS-p Halfmoon E,68136,35499_002_PSP_HM_EE,35499_002_PSP_HM_EE,5.029,88.652,190167600000.0,647.888,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos4,0.1,10000.0,0.25,,,HPK_VPX35499_002_PSP_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-20T19-27-02.json,HEPHY
8794820,9140,Tracker Halfmoon CV Parameters,763182,7600,PS-p Halfmoon E,68136,35499_002_PSP_HM_EE,35499_002_PSP_HM_EE,4.636,87.367,174560600000.0,657.416,PQC1,MOS_QUARTER,Not Used,Right,MOS capacitor (HV Src),PQC Flute 1 Pos4,0.1,10000.0,0.25,,,HPK_VPX35499_002_PSP_HM_ER__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-20T19-27-02.json,HEPHY
8757700,9140,Tracker Halfmoon CV Parameters,755702,7620,PS-p Halfmoon W,68151,35499_002_PSP_HM_WW,35499_002_PSP_HM_WW,5.0680000000000005,88.23,190560000000.0,650.985,PQC1,MOS_QUARTER,Not Used,Left,MOS capacitor (HV Src),PQC Flute 1 Pos3,0.1,10000.0,0.25,,,HPK_VPX35499_002_PSP_HM_WL__PQC_Flute_1_MOS_capacitor_HV_Source_2021-04-20T14-14-30.json,HEPHY
