Name,Rsh_s [Omega/square],deltaRsh_s [Omega/square],Rsh_r [Omega/square],deltaRsh_r [Omega/square]
VPX34351_001_2-S_HM_E_Left,16994.24280348186,24.26868539211595,17026.478650705045,45.48363577674948
VPX34351_001_2-S_HM_W_Left,17859.45294723344,37.0094482124225,17919.4612167406,21.398760522799922
VPX34351_002_2-S_HM_E_Left,17244.29379172614,35.90033995227689,17100.769880369466,19.593012538603567
VPX34351_002_2-S_HM_W_Left,17373.435556114164,55.77806480895782,17568.338448274397,39.26601822089969
VPX34351_003_2-S_HM_E_Left,16808.762696759743,30.79890595501728,16948.61668133733,35.035264803942155
VPX34351_003_2-S_HM_W_Left,17662.367935440063,30.772133243617073,17651.75490284297,27.66845517040343
VPX34351_004_2-S_HM_E_Left,17015.766430511878,33.607347640959915,17006.04608291179,20.9318465190948
VPX34351_004_2-S_HM_W_Left,17745.78438995179,6.947197843036574,17883.456255455356,47.85939651919176
VPX34351_005_2-S_HM_E_Left,16970.041121109967,8.214062180196475,17037.885181259728,45.74121648891474
VPX34351_005_2-S_HM_W_Left,17590.556386268257,17.710035307640624,17613.865383763154,20.377603990875542
VPX34351_007_2-S_HM_E_Left,16961.80858146948,57.9819335241506,17057.921000172373,29.00338351499568
VPX34351_007_2-S_HM_W_Left,17522.81151366623,44.306229118065446,17580.240915209284,36.95631868763033
VPX34351_008_2-S_HM_E_Left,17066.748663242393,30.24646541097309,17009.61682293248,34.85434879242909
VPX34351_008_2-S_HM_W_Left,17645.010171928137,49.96540427222722,17830.391090996163,46.535230001245054
VPX34351_009_2-S_HM_W_Left,17670.997223868737,23.73719694025119,17666.533799074572,22.730038358300554
VPX34351_010_2-S_HM_E_Left,16984.82001742041,22.525207386785713,17114.85446632856,30.006844443622885
VPX34351_010_2-S_HM_W_Left,17655.424829938558,16.752366629580724,17744.197394348426,28.989434947505366
VPX34351_020_2-S_HM_E_Left,16968.057376376495,21.26578567381082,17138.262650713557,29.940652687875115
VPX34351_020_2-S_HM_W_Left,17294.978462028143,28.511433842834133,17262.64342788046,42.09941657438766
VPX34351_021_2-S_HM_E_Left,16935.623154775218,6.0748518972361625,17020.031481297712,22.852797382942466
VPX34351_021_2-S_HM_W_Left,17389.999821969297,5.429286238642257,17403.290909338546,35.760459670584446
VPX34351_022_2-S_HM_E_Left,17036.7941219456,22.232815803483795,17084.10642724093,5.293290435356978
VPX34351_022_2-S_HM_W_Left,17507.437493543628,31.463914504243508,17505.057000436333,28.603779005570633
VPX34351_024_2-S_HM_E_Left,17079.44462758856,6.444625695219246,17196.38636333286,19.371156992996784
VPX34351_024_2-S_HM_W_Left,17354.29242191731,33.40955865035725,17344.274512405642,48.857077308989375
VPX34351_027_2-S_HM_E_Left,16916.57920811999,47.18729565897553,16848.63596022582,39.71721398247008
VPX34351_027_2-S_HM_W_Left,18122.596649033545,6.793500153917821,18158.899172656744,22.129719383021293
VPX34351_035_2-S_HM_E_Left,17676.254146589847,36.00883252063874,17627.652407327696,40.281601661056136
VPX34351_035_2-S_HM_W_Left,18769.594902870525,28.660416403955917,18785.464858420313,50.646666188753855
VPX34351_037_2-S_HM_E_Left,17797.65930752607,35.92613600536928,17900.913206000987,21.53418846153326
VPX34351_037_2-S_HM_W_Left,18780.30712274526,23.86966167633185,18773.959140637133,23.418549356787384
VPX34351_038_2-S_HM_E_Left,18008.729717406102,98.34993197959587,17810.95039520831,66.6843925069251
VPX34351_038_2-S_HM_W_Left,18934.24569252766,80.64176733801348,18817.303957291842,68.30820634211823
VPX34351_040_2-S_HM_E_Left,17758.678728928953,44.7561819177103,17712.655857467602,6.147118744202676
VPX34351_040_2-S_HM_W_Left,18635.295403100434,21.206229445216398,18613.077465186034,30.736127133791207
VPX34351_044_2-S_HM_E_Left,17823.844734051807,6.17355808558829,17837.235009254302,41.21135938709697
VPX34351_044_2-S_HM_W_Left,18698.576851331356,41.92770866145171,18728.33301803331,37.84673848815394
VPX34351_047_2-S_HM_E_Left,17726.938817431303,29.827532747451773,17985.916656177506,38.59487717997877
VPX34351_047_2-S_HM_W_Left,18456.857589651452,39.45543674387012,18615.45795822934,35.66203310878964
VPX34351_048_2-S_HM_E_Left,17711.168049137534,29.216656736114118,17734.873795380514,25.068609952420317
VPX34351_048_2-S_HM_W_Left,18611.78803141708,9.364660627939312,18548.30820866568,20.804111147722697
VPX34351_049_2-S_HM_E_Left,17782.78122388665,66.37670034389856,17606.327154774423,32.831786489176096
