,Name,Mode,DielNE,DielNW,DielSW,LineW_Pstop_std,LineW_Pstop_rot,LineW_Strip_std,LineW_Strip_rot,GCD I_surf,GCD S_0,GCD Vfb_Acc_Dep
24,VPX36235_031_PSP_HM_E_Left,Quick,180,180,180,58.4508,58.5512,33.9184,33.8047,9.1299,2.32419,-3.9639599999999997
25,VPX36235_031_PSP_HM_W_Left,Quick,170,170,180,60.3699,61.0272,34.3057,34.0468,7.1532100000000005,1.7893599999999998,-3.6636599999999997
26,VPX36235_045_PSP_HM_E_Left,Quick,170,170,170,59.971000000000004,58.2384,34.4954,34.5133,10.2285,2.53635,-2.7627599999999997
27,VPX36235_045_PSP_HM_W_Left,Quick,180,170,170,57.5843,57.163000000000004,34.7081,34.5215,7.6752899999999995,1.87025,-3.6636599999999997
28,VPX36234_005_PSP_HM_E_Left,Quick,160,160,170,61.93,61.604,34.2617,34.3869,15.8062,2.79854,-2.7627599999999997
29,VPX36234_005_PSP_HM_W_Left,Quick,170,170,160,57.6208,57.4632,34.2432,34.303000000000004,10.7459,2.50674,-3.99399
30,VPX36234_017_PSP_HM_E_Left,Quick,160,170,170,60.781000000000006,61.1139,33.7343,33.9594,12.4018,2.72234,-3.6636599999999997
31,VPX36234_017_PSP_HM_W_Left,Quick,170,170,170,58.9772,58.6473,34.5062,34.5397,11.6608,2.51572,-2.74775
32,VPX36234_032_PSP_HM_E_Left,Quick,160,170,170,59.9598,59.8869,34.3695,34.437,12.8539,2.7492099999999997,-2.74775
33,VPX36234_032_PSP_HM_W_Left,Quick,160,170,170,58.2366,57.4693,34.2829,34.3253,10.1013,2.14189,-3.99399
34,VPX36234_040_PSP_HM_E_Left,Quick,160,170,170,60.0821,60.1481,34.7365,34.675,13.2806,2.81604,-2.7627599999999997
35,VPX36234_040_PSP_HM_W_Left,Quick,170,160,170,58.4035,58.0095,34.6448,34.6493,10.6131,2.23104,-3.99399
36,VPX36234_003_PSP_HM_E_Left,Extended,160,170,160,60.821000000000005,60.6629,32.8484,33.1193,13.8651,2.79162,-2.7627599999999997
37,VPX36234_003_PSP_HM_W_Left,Extended,170,170,170,57.4265,60.1466,34.1168,34.0882,11.5134,2.29825,-3.99399
38,VPX36234_021_PSP_HM_E_Left,Extended,170,180,170,61.7861,61.4489,34.1183,34.1959,13.4713,2.64323,-2.7627599999999997
39,VPX36234_021_PSP_HM_W_Left,Extended,170,170,170,59.1323,59.1537,34.503,34.4911,12.7715,2.3199,-3.34835
40,VPX36234_043_PSP_HM_E_Left,Extended,170,170,170,61.5484,61.0477,34.3607,34.3536,15.2024,2.8090900000000003,-2.77778
41,VPX36234_043_PSP_HM_W_Left,Extended,170,170,170,56.7016,56.3526,34.1488,34.0676,12.9071,2.2086900000000003,-3.99399
42,VPX36232_005_PSP_HM_E_Left,Extended,170,170,170,61.2714,60.7431,34.4089,34.5974,20.7403,2.7563299999999997,-2.7627599999999997
43,VPX36232_005_PSP_HM_W_Left,Extended,170,170,170,58.5722,58.3336,34.5167,34.4252,17.0689,2.66079,-3.99399
44,VPX36232_015_PSP_HM_E_Left,Extended,170,170,170,61.7037,61.4977,35.4109,34.4873,19.6194,2.8113799999999998,-3.3633599999999997
45,VPX36232_015_PSP_HM_W_Left,Extended,170,160,170,58.4907,58.1986,34.0996,34.152,17.3815,2.59762,-3.99399
46,VPX36232_035_PSP_HM_E_Left,Extended,170,160,170,60.9362,60.67,34.5381,34.6963,18.3144,2.85495,-2.7627599999999997
47,VPX36232_035_PSP_HM_W_Left,Extended,170,160,170,56.9745,57.0098,34.4621,34.4014,12.2537,2.18813,-3.99399
48,VPX36232_001_PSP_HM_E_Left,Quick,170,160,160,60.233999999999995,59.8625,34.5141,34.7074,12.3674,2.7863700000000002,-2.74775
49,VPX36232_001_PSP_HM_W_Left,Quick,160,160,160,58.5491,58.2002,34.6046,34.503,10.5884,2.4916,-3.99399
50,VPX36232_010_PSP_HM_E_Left,Quick,170,170,170,62.1481,61.6905,34.7032,34.9239,22.2989,2.84252,-3.7237199999999997
51,VPX36232_010_PSP_HM_W_Left,Quick,170,170,170,58.6001,58.0193,34.152,34.0931,19.1463,2.60907,-3.99399
52,VPX36232_020_PSP_HM_E_Left,Quick,170,160,160,62.3611,53.3574,34.2551,34.4923,20.1381,2.8857,-2.7627599999999997
53,VPX36232_020_PSP_HM_W_Left,Quick,170,170,170,59.2297,58.6477,34.5563,34.476,18.0462,2.69697,-3.99399
54,VPX36232_031_PSP_HM_E_Left,Quick,160,160,170,60.3802,60.9356,33.8517,34.8622,13.1256,2.40467,-3.45345
55,VPX36232_031_PSP_HM_W_Left,Quick,170,170,170,57.7133,56.9994,34.4803,34.3013,12.4954,1.94785,-3.99399
