,Name,Mode,DielNE,DielNW,DielSW,LineW_Pstop_std,LineW_Pstop_rot,LineW_Strip_std,LineW_Strip_rot,Rpoly,GCD I_surf,GCD S_0,GCD Vfb_Acc_Dep
39,VPX36244_003_2-S_HM_W_Left,Extended,200,200,200,55.0543,55.0925,34.0337,34.1559,1.44615,6.77398,1.07397,-2.94294
40,VPX36244_016_2-S_HM_E_Left,Extended,200,200,200,52.9853,52.9805,33.8413,33.9536,1.43679,7.60248,1.2053200000000002,-2.8378400000000004
41,VPX36244_016_2-S_HM_W_Left,Extended,200,200,200,53.8123,53.4857,18.1084,18.1151,1.42624,7.58515,1.23351,-2.97297
42,VPX36244_028_2-S_HM_E_Left,Extended,200,200,200,52.4507,52.2757,33.67,33.7875,1.45133,7.35717,1.2169,-2.64264
43,VPX36244_028_2-S_HM_W_Left,Extended,200,200,200,52.3807,52.3181,34.2034,34.1852,1.4169,6.65275,1.1778899999999999,-2.74775
44,VPX36244_042_2-S_HM_E_Left,Extended,200,200,200,51.6859,51.1792,33.9246,34.1356,1.46791,5.00483,1.08914,-2.71772
45,VPX36244_042_2-S_HM_W_Left,Extended,200,200,200,53.7366,53.4553,33.8118,33.7988,1.46089,5.8061,1.2311299999999998,-2.82282
46,VPX37077_009_PSS_HM_E_Left,Extended,200,200,200,46.7738,46.8715,34.35,34.1427,1.56179,4.9816199999999995,1.26817,-2.74775
47,VPX37077_009_PSS_HM_W_Left,Extended,200,200,200,49.9935,48.4101,34.3753,34.2616,1.48594,6.0212900000000005,1.19165,-2.74775
48,VPX37077_020_PSS_HM_E_Left,Extended,200,200,200,51.286,51.271,34.0405,34.0647,1.54888,6.557169999999999,1.19108,-2.8378400000000004
49,VPX37077_020_PSS_HM_W_Left,Extended,200,200,200,48.8003,48.7777,34.0876,34.0213,1.48219,6.51025,1.1725,-2.86787
50,VPX37077_032_PSS_HM_E_Left,Extended,200,200,200,52.7767,52.8599,33.9141,34.0192,1.52715,6.104830000000001,1.0994899999999999,-2.55255
51,VPX37077_032_PSS_HM_W_Left,Extended,200,200,200,48.7617,48.6057,34.0453,34.1355,1.48591,5.89823,1.06228,-2.58258
52,VPX37077_006_PSS_HM_E_Left,Quick,200,200,200,51.3636,51.2058,33.6771,33.8188,1.56151,6.34242,1.21281,-2.67267
53,VPX37077_006_PSS_HM_W_Left,Quick,200,200,200,47.9222,47.496,34.2502,34.4457,1.5127700000000002,6.01565,1.2112,-2.7627599999999997
54,VPX37077_019_PSS_HM_E_Left,Quick,200,200,200,49.1449,49.5804,34.1096,34.2166,1.57596,4.38698,1.25216,-2.85285
55,VPX37077_019_PSS_HM_W_Left,Quick,200,200,200,48.423,48.2958,34.3071,34.3158,1.5037200000000002,4.40117,1.14022,-2.95796
56,VPX37077_028_PSS_HM_E_Left,Quick,200,200,200,47.5398,47.757,34.0991,34.2037,1.54425,4.27705,1.02416,-2.62763
57,VPX37077_028_PSS_HM_W_Left,Quick,200,200,200,51.6433,51.9023,34.3271,34.4937,1.5144799999999998,4.21596,1.0183799999999998,-2.65766
