batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,R_OHM
34252,PSS,EE,Brown,Left,20.0,20.062,74.783
34252,PSS,EE,Brown,Left,20.0,20.063,74.794
34252,PSS,EE,Brown,Right,20.0,20.003,100.096
34252,PSS,EE,Brown,Right,20.0,20.005,100.105
34252,PSS,WW,Brown,Right,20.0,20.019,93.087
34252,PSS,WW,Brown,Left,20.0,20.097,85.38
34252,PSS,WW,Brown,Right,20.0,20.018,93.097
34252,PSS,WW,Brown,Left,20.0,20.093,85.371
34252,PSS,EE,Brown,Left,20.0,20.048,101.33
34252,PSS,EE,Brown,Right,20.0,20.108,95.172
34252,PSS,EE,Brown,Left,20.0,20.052,101.327
34252,PSS,EE,Brown,Right,20.0,20.112,95.174
34252,PSS,WW,Brown,Left,20.0,20.045,102.499
34252,PSS,WW,Brown,Right,20.0,20.02,108.683
34252,PSS,WW,Brown,Right,20.0,20.018,108.707
34252,PSS,WW,Brown,Left,20.0,20.048,102.501
34252,PSS,EE,Brown,Left,20.0,20.038,105.32
34252,PSS,EE,Brown,Left,20.0,20.033,105.321
34252,PSS,EE,Brown,Right,20.0,20.004,108.447
34252,PSS,EE,Brown,Right,20.0,20.007,108.44
34252,PSS,WW,Brown,Right,20.0,20.001,94.11
34252,PSS,WW,Brown,Left,20.0,20.072,98.592
34252,PSS,WW,Brown,Left,20.0,20.068,98.595
34252,PSS,WW,Brown,Right,20.0,20.002,94.118
34252,PSS,EE,Brown,Left,20.0,20.071,90.285
34252,PSS,EE,Brown,Right,20.0,20.031,99.52
34252,PSS,EE,Brown,Right,20.0,20.032,99.529
34252,PSS,EE,Brown,Left,20.0,20.074,90.291
34252,PSS,WW,Brown,Left,20.0,20.074,115.65
34252,PSS,WW,Brown,Left,20.0,20.071,115.649
34252,PSS,WW,Brown,Right,20.0,20.006,118.355
34252,PSS,WW,Brown,Right,20.0,20.008,118.343
34252,PSS,EE,Brown,Left,20.0,20.104,92.672
34252,PSS,EE,Brown,Right,20.0,20.035,96.527
34252,PSS,EE,Brown,Left,20.0,20.104,92.657
34252,PSS,EE,Brown,Right,20.0,20.033,96.524
34252,PSS,WW,Brown,Right,20.0,20.074,87.986
34252,PSS,WW,Brown,Left,20.0,20.143,109.986
34252,PSS,WW,Brown,Right,20.0,20.076,87.98
34252,PSS,WW,Brown,Left,20.0,20.147,109.985
34252,PSS,EE,Brown,Left,20.0,20.101,112.186
34252,PSS,EE,Brown,Right,20.0,20.125,114.986
34252,PSS,EE,Brown,Right,20.0,20.121,114.99
