,Name,Mode,Meander_Rsh,ClMet_Rsh_std,ClMet_Rsh_rot,VDPEdge_std,VDPEdge_rot,LineW_Edge_std,LineW_Edge_rot,VDPBulk_std,VDPBulk_rot,VDPBulk_ResF1081,VDPBulk_ResF1218,Diode_I600,Diode_Cap,Diode_Vdep,Diode_Rho_Bulk
31,VPX37408_021_2-S_HM_W_Left,Extended,0.248531,17.7305,17.5053,1.18156,1.1824299999999999,47.0294,47.0638,77.4475,76.8542,3.73244,4.174580000000001,0.24355300000000002,2.76031,215.926,3.9106699999999996
32,VPX37408_046_2-S_HM_E_Left,Extended,0.234814,17.1565,16.942999999999998,1.2071,1.2065299999999999,46.3461,46.3242,78.9988,78.4342,3.8072,4.2582,0.229621,2.76538,200.37,4.217219999999999
33,VPX37408_046_2-S_HM_W_Left,Extended,0.24280300000000002,17.426,17.4026,1.17076,1.16777,46.6455,46.5265,78.2165,78.1787,3.7695,4.21603,0.35932,2.77357,207.378,4.06904
34,VPX37408_004_2-S_HM_E_Left,Quick,,,,,,,,70.3416,70.0372,3.38999,3.79155,0.314203,2.76843,221.77,3.69464
35,VPX37408_004_2-S_HM_W_Left,Quick,,,,,,,,69.5508,70.1589,3.3518800000000004,3.74893,0.296025,2.74169,221.143,3.7260800000000005
36,VPX37408_016_2-S_HM_E_Left,Quick,,,,,,,,72.8845,70.582,3.51254,3.9286199999999996,0.282785,2.76171,216.178,3.83855
37,VPX37408_016_2-S_HM_W_Left,Quick,,,,,,,,71.0041,71.8401,3.42191,3.82726,0.21309899999999998,2.75826,221.37,3.76431
38,VPX37408_027_2-S_HM_E_Left,Quick,,,,,,,,76.3539,75.3714,3.6797400000000002,4.11563,0.21437399999999998,2.7795,212.45,3.94434
39,VPX37408_027_2-S_HM_W_Left,Quick,,,,,,,,76.5241,76.2125,3.68794,4.12481,0.322914,2.75495,205.378,4.1086800000000006
40,VPX37408_034_2-S_HM_E_Left,Quick,,,,,,,,78.5934,79.2707,3.78767,4.23634,0.24414299999999997,2.75052,203.845,4.14533
41,VPX37408_034_2-S_HM_W_Left,Quick,,,,,,,,78.1969,77.9722,3.76856,4.21497,0.351423,2.7556700000000003,201.68900000000002,4.16929
42,VPX37078_005_PSS_HM_E_Left,Extended,0.252243,17.1553,17.1436,1.15914,1.16297,45.5382,45.6886,72.3123,71.7774,3.48496,3.8977800000000005,0.599313,2.75807,226.892,3.74496
43,VPX37078_005_PSS_HM_W_Left,Extended,0.254424,17.4038,17.4691,1.13334,1.11637,46.5877,45.8904,73.2594,72.0013,3.5306,3.9488300000000005,0.57729,2.7507599999999996,222.15900000000002,3.84595
44,VPX37078_017_PSS_HM_E_Left,Extended,0.266625,17.0223,17.0958,1.20431,1.20492,46.7037,46.7272,71.8971,71.718,3.46495,3.8754,0.719418,2.76167,232.766,3.6757699999999995
45,VPX37078_017_PSS_HM_W_Left,Extended,0.268669,17.1565,17.146,1.20442,1.19294,46.8938,46.4468,71.376,70.7574,3.4398400000000002,3.84731,0.489839,2.8094,228.078,3.7513199999999998
46,VPX37078_031_PSS_HM_E_Left,Extended,0.265048,17.3513,17.1985,1.20866,1.2106,46.7151,46.7899,72.6633,73.6272,3.5018800000000003,3.9167,0.349493,2.7421900000000003,221.94,3.8577199999999996
47,VPX37078_031_PSS_HM_W_Left,Extended,0.26447,17.4038,17.377,1.20565,1.20051,47.0822,46.8813,73.1567,73.4119,3.52566,3.9433,0.143728,2.79386,214.043,4.0000599999999995
48,VPX37078_001_PSS_HM_E_Left,Quick,,,,,,,,60.4928,60.3162,2.91534,3.26068,0.482833,2.77629,229.46,3.72359
49,VPX37078_001_PSS_HM_W_Left,Quick,,,,,,,,73.973,73.3364,3.565,3.9873,0.589569,2.78402,227.08599999999998,3.76251
50,VPX37078_014_PSS_HM_E_Left,Quick,,,,,,,,71.946,72.428,3.46731,3.8780300000000003,0.595797,2.7732900000000003,230.43599999999998,3.70781
51,VPX37078_014_PSS_HM_W_Left,Quick,,,,,,,,72.3175,71.3791,3.48521,3.8980599999999996,0.10330999999999999,2.77167,244.47299999999998,3.49251
52,VPX37078_027_PSS_HM_E_Left,Quick,,,,,,,,73.5694,72.8403,3.5455400000000004,3.9655400000000003,0.520077,2.75743,228.73,3.7561199999999997
53,VPX37078_027_PSS_HM_W_Left,Quick,,,,,,,,71.9761,72.4936,3.46876,3.87966,0.5669,2.83831,212.588,4.035769999999999
54,VPX37078_048_PSS_HM_E_Left,Quick,,,,,,,,73.7396,74.2862,3.5537400000000003,3.97471,0.46234,2.7705,227.498,3.7608900000000003
