,Name,Mode,Meander_Rsh,ClMet_Rsh_std,ClMet_Rsh_rot,VDPEdge_std,VDPEdge_rot,LineW_Edge_std,LineW_Edge_rot,VDPBulk_std,VDPBulk_rot,VDPBulk_ResF1081,VDPBulk_ResF1218
33,Extended,0.22986199999999998,16.7318,16.6268,1.0994899999999999,1.0987,45.9285,45.8954,56.1806,56.1096,2.70752,3.02825,
34,VPX37400_003_2-S_HM_E_Left,Quick,,,,,,,,72.4913,72.0338,3.49359,3.90743
35,VPX37400_003_2-S_HM_W_Left,Quick,,,,,,,,72.5967,72.9142,3.4986699999999997,3.9131099999999996
36,VPX37400_015_2-S_HM_E_Left,Quick,,,,,,,,73.6817,73.2993,3.55096,3.97159
37,VPX37400_015_2-S_HM_W_Left,Quick,,,,,,,,73.0409,72.98100000000001,3.5200699999999996,3.93705
38,VPX37400_027_2-S_HM_E_Left,Quick,,,,,,,,78.9709,78.7294,3.80586,4.25669
39,VPX37400_027_2-S_HM_W_Left,Quick,,,,,,,,77.4737,79.5488,3.7337,4.1759900000000005
40,VPX37400_037_2-S_HM_E_Left,Quick,,,,,,,,78.2118,78.5813,3.76928,4.21577
41,VPX37400_037_2-S_HM_W_Left,Quick,,,,,,,,77.0644,76.6435,3.7139800000000003,4.15393
42,Extended,0.24195999999999998,17.748,17.4248,1.16635,1.16733,46.4929,46.532,61.9761,61.29,2.98683,3.34064,
43,Extended,0.23213000000000003,17.3793,17.1891,1.14056,1.13591,46.3425,46.1538,57.7658,57.6517,2.78392,3.11369,
44,Extended,0.233388,17.79,17.4318,1.1564,1.15792,46.162,46.2225,59.8904,59.9516,2.88631,3.22821,
45,Extended,0.232119,17.4038,17.2696,1.1389799999999999,1.13819,46.1547,46.1226,58.4892,58.8843,2.81878,3.15269,
46,Extended,0.234719,17.1705,17.1413,1.1353799999999998,1.11873,46.528,45.8457,59.5942,59.8525,2.87204,3.21225,
47,Extended,0.23570100000000002,17.2603,17.0608,1.12845,1.12056,46.3206,45.9969,58.0476,58.1401,2.7975,3.12888,
48,VPX36243_003_2-S_HM_E_Left,Quick,,,,,,,,63.3184,63.2492,3.05151,3.41299
49,VPX36243_003_2-S_HM_W_Left,Quick,,,,,,,,64.5911,64.3188,3.11285,3.48159
50,VPX36243_011_2-S_HM_E_Left,Quick,,,,,,,,62.3606,62.2447,3.00535,3.36136
51,VPX36243_011_2-S_HM_W_Left,Quick,,,,,,,,62.1793,62.3363,2.99662,3.3515900000000003
52,VPX36243_020_2-S_HM_E_Left,Quick,,,,,,,,63.1795,63.4477,3.04482,3.4055
53,VPX36243_020_2-S_HM_W_Left,Quick,,,,,,,,63.2481,63.7974,3.04813,3.4092
54,VPX36243_031_2-S_HM_E_Left,Quick,,,,,,,,61.4208,61.6511,2.96007,3.31071
55,VPX36243_031_2-S_HM_W_Left,Quick,,,,,,,,60.8628,61.5686,2.93317,3.2806300000000004
56,VPX36243_040_2-S_HM_E_Left,Quick,,,,,,,,62.7335,62.6016,3.02333,3.3814599999999997
57,VPX36243_040_2-S_HM_W_Left,Quick,,,,,,,,63.0543,62.3119,3.03879,3.39875
