,Name,Mode,CCEdge Rc,CCPoly Rc,CCStrip Rc,CBKRPoly_std,CBKRPoly_rot,CBKRStrip_std,CBKRStrip_rot,GCD I_surf,GCD S_0,GCD Vfb_Acc_Dep
0,VPX38715_010_2-S_HM_E_Left,Extended,90.7005,20.791,76.898,85.3825,84.9919,136.97799999999998,138.107,7.82463,1.02732,-2.49249
1,VPX38715_010_2-S_HM_W_Left,Extended,88.5898,20.3276,72.8884,76.7738,76.6738,118.926,119.12700000000001,7.4383300000000006,1.07348,-2.47748
2,VPX38715_032_2-S_HM_E_Left,Extended,88.2079,22.3385,66.7176,61.5864,62.1803,107.794,108.04299999999999,7.1933300000000004,0.985844,-2.2973
3,VPX38715_032_2-S_HM_W_Left,Extended,86.9047,18.2481,60.7885,60.9107,60.9238,126.684,127.82700000000001,7.03967,0.981524,-2.3123099999999996
4,VPX38715_039_2-S_HM_E_Left,Extended,87.6143,20.8415,66.0008,87.2961,87.0471,126.235,126.53399999999999,7.37287,1.06403,-2.32733
5,VPX38715_039_2-S_HM_W_Left,Extended,86.928,20.8525,60.8651,83.7687,83.9521,103.243,103.214,6.89573,1.01251,-2.32733
6,VPX37897_005_2-S_HM_E_Left,Extended,86.4908,20.3661,74.5641,69.8914,71.7258,116.115,116.10600000000001,6.91373,1.20799,-2.58258
7,VPX37897_005_2-S_HM_W_Left,Extended,85.4844,18.9576,74.0452,91.53,90.992,120.036,119.789,6.84207,1.24904,-2.64264
8,VPX37897_018_2-S_HM_E_Left,Extended,84.8033,23.5098,78.8954,112.771,112.802,146.836,144.84799999999998,6.982469999999999,1.17808,-2.67267
9,VPX37897_018_2-S_HM_W_Left,Extended,83.5154,20.701999999999998,81.654,67.5177,67.6547,129.317,128.732,7.3192,1.11253,-2.67267
10,VPX37897_043_2-S_HM_E_Left,Extended,83.0071,22.0815,81.9284,104.759,104.95700000000001,119.822,119.315,7.22053,1.07869,-2.52252
11,VPX37897_043_2-S_HM_W_Left,Extended,83.7228,20.1561,75.9357,81.527,81.8457,95.9681,97.0218,7.179069999999999,1.08182,-2.55255
12,VPX37408_010_2-S_HM_E_Left,Extended,77.7188,25.7105,91.10799999999999,108.113,107.479,132.613,133.09799999999998,7.6286,1.10094,-2.6876900000000004
