,Name,Mode,DielNE,DielNW,DielSW,LineW_Pstop_std,LineW_Pstop_rot,LineW_Strip_std,LineW_Strip_rot,Rpoly,GCD I_surf,GCD S_0,GCD Vfb_Acc_Dep
0,VPX38715_007_2-S_HM_E_Left,Quick,200,200,200,46.9286,47.1195,34.218,34.0244,1.4864899999999999,5.006530000000001,1.06159,-2.6876900000000004
1,VPX38715_007_2-S_HM_W_Left,Quick,200,200,200,45.2649,45.7272,33.3052,33.6933,1.46163,4.73113,1.00319,-2.65766
2,VPX38715_015_2-S_HM_E_Left,Quick,200,200,200,48.2729,47.4268,33.5434,33.574,1.47356,5.0336,1.0766,-2.6876900000000004
3,VPX38715_015_2-S_HM_W_Left,Quick,200,200,200,46.1541,46.4781,33.8016,33.9388,1.46674,5.0203,1.10201,-2.67267
4,VPX38715_028_2-S_HM_E_Left,Quick,200,200,200,46.9521,47.0681,33.7594,34.0231,1.47412,4.7775300000000005,0.978641,-2.5375400000000004
5,VPX38715_028_2-S_HM_W_Left,Quick,200,200,200,47.401,46.9416,33.8228,34.1068,1.4781799999999998,4.62873,0.9239700000000001,-2.55255
6,VPX38715_041_2-S_HM_E_Left,Quick,200,200,200,46.9379,46.8633,33.1555,33.2498,1.45565,5.086869999999999,0.989563,-2.55255
7,VPX38715_041_2-S_HM_W_Left,Quick,200,200,200,45.7789,45.4056,33.4059,33.8586,1.44313,4.916530000000001,0.940147,-2.55255
8,VPX38715_010_2-S_HM_E_Left,Extended,200,200,200,48.1525,47.907,33.7448,33.8927,1.47986,5.4601,1.02634,-2.67267
9,VPX38715_010_2-S_HM_W_Left,Extended,200,200,200,46.0137,45.5875,33.8672,33.9894,1.4783,4.981730000000001,1.0841100000000001,-2.65766
10,VPX38715_032_2-S_HM_E_Left,Extended,200,200,200,46.5045,46.4982,34.1718,34.2871,1.47361,4.94813,0.987727,-2.47748
11,VPX38715_032_2-S_HM_W_Left,Extended,200,200,200,46.2617,46.4608,34.0316,34.1809,1.45426,4.8268699999999995,0.955266,-2.47748
12,VPX38715_039_2-S_HM_E_Left,Extended,200,200,200,47.2997,47.2308,33.6681,33.6225,1.4475799999999999,5.082269999999999,1.04106,-2.5375400000000004
13,VPX38715_039_2-S_HM_W_Left,Extended,200,200,200,46.4579,46.6832,33.5693,33.5839,1.4595,4.7224,0.9927229999999999,-2.49249
14,VPX37897_005_2-S_HM_E_Left,Extended,200,200,200,49.0775,48.8033,33.6194,33.7078,1.51755,4.77913,1.18508,-2.7627599999999997
15,VPX37897_005_2-S_HM_W_Left,Extended,200,200,200,49.3985,49.4448,34.2396,35.1828,1.52939,4.68227,1.21305,-2.82282
