,Name,Mode,CAP_E,CAP_W,VDPPoly_std,VDPPoly_rot,VDPPstop_std,VDPPstop_rot,VDPStrip_std,VDPStrip_rot,FET_Vth,C_acc,t_ox,VFB,Nox
487,VPX38199_019_2-S_HM_W_Left,Extended,2.4588200000000002,2.46029,1.8519599999999998,1.85438,19.685,19.62,34.6532,34.91,3.98939,88.4412,0.649738,-2.74494,63658100000.0
488,VPX38199_039_2-S_HM_E_Left,Extended,2.46765,2.48029,1.8317599999999998,1.8389799999999998,18.7994,18.6957,34.9873,35.1109,4.21842,89.2671,0.643727,-2.60773,59837200000.0
489,VPX38199_039_2-S_HM_W_Left,Extended,2.45657,2.47333,1.86464,1.88133,19.7861,19.8654,34.8951,35.1382,3.76396,88.8568,0.646699,-2.65345,60811900000.0
490,VPX38199_043_2-S_HM_E_Left,Extended,2.46922,2.4744099999999998,1.84917,1.8397299999999999,18.6485,18.6982,34.9167,35.1047,4.17317,88.9554,0.645982,-2.60784,59628900000.0
491,VPX38199_043_2-S_HM_W_Left,Extended,2.45127,2.47422,1.87838,1.87199,19.7129,19.5313,34.7951,34.9241,3.7746800000000005,88.5515,0.648929,-2.58316,58621300000.0
492,VPX38199_019_2-S_HM_E_Right,Extended,,,1.8393,1.87937,19.2947,19.3229,34.6433,34.6762,4.03784,,,,
493,VPX38199_019_2-S_HM_W_Right,Extended,,,1.89982,1.87143,19.4309,19.3599,34.4763,34.7983,4.05445,,,,
494,VPX38199_039_2-S_HM_E_Right,Extended,,,1.8356700000000001,1.84207,19.0587,18.9542,34.5215,34.692,4.07528,,,,
495,VPX38199_039_2-S_HM_W_Right,Extended,,,1.85939,1.8528,18.9162,18.980999999999998,34.8546,35.0765,4.15315,,,,
496,VPX38199_043_2-S_HM_E_Right,Extended,,,1.8375700000000001,1.8409200000000001,18.7605,18.840999999999998,34.5011,34.8609,4.0715699999999995,,,,
497,VPX38199_043_2-S_HM_W_Right,Extended,,,1.85978,1.8803900000000002,18.6388,18.3855,34.7141,35.0164,4.2108099999999995,,,,
498,VPX38199_003_2-S_HM_E_Left,Quick,2.43059,2.46755,1.8783599999999998,1.85122,18.7958,18.7461,34.9576,35.1002,4.1675699999999996,88.5076,0.649251,-2.55724,57942000000.0
499,VPX38199_003_2-S_HM_W_Left,Quick,2.46882,2.47127,1.8907200000000002,1.9035,19.5979,19.3665,34.7367,34.8646,3.8838800000000004,87.5505,0.6563479999999999,-2.6983099999999998,61406000000.0
500,VPX38199_015_2-S_HM_E_Left,Quick,2.49343,2.44647,1.86858,1.87257,19.1264,19.1204,34.7124,34.919000000000004,4.066669999999999,88.3637,0.650308,-2.65572,60902100000.0
501,VPX38199_015_2-S_HM_W_Left,Quick,2.46,2.46755,1.84933,1.8772099999999998,19.7529,19.913,34.6894,34.7963,3.8683699999999996,87.7371,0.6549520000000001,-2.8193,65604500000.0
502,VPX38199_027_2-S_HM_E_Left,Quick,2.4680400000000002,2.47775,1.8404099999999999,1.8453400000000002,18.7643,18.6589,34.7764,34.9359,4.2396400000000005,88.2715,0.650987,-2.58188,58111900000.0
503,VPX38199_027_2-S_HM_W_Left,Quick,2.46912,2.45324,1.8477,1.8715400000000002,20.634,20.9241,34.8677,34.9923,3.34835,88.2227,0.651347,-2.59651,58567800000.0
504,VPX38199_047_2-S_HM_E_Left,Quick,2.46,2.4546099999999997,1.84643,1.8496599999999999,18.5739,18.6633,34.7997,34.931,4.16116,88.3473,0.650428,-2.68396,61543500000.0
505,VPX38199_047_2-S_HM_W_Left,Quick,2.45833,2.46549,1.87558,1.89593,20.0212,19.9534,34.6802,34.8536,3.57427,88.0132,0.652898,-2.69584,61738600000.0
506,VPX38881_018_2-S_HM_E_Left,Quick,2.4693099999999997,2.46461,1.83647,1.82558,17.9793,17.9162,34.546,34.7689,4.36937,85.2015,0.6744439999999999,-2.6912599999999998,59971700000.0
507,VPX38881_018_2-S_HM_W_Left,Quick,2.4552,2.46196,1.8437299999999999,1.8363599999999998,18.4408,18.5735,34.5644,34.8007,4.20721,84.9005,0.6768350000000001,-2.7234700000000003,60366000000.0
