ID,KIND_OF_CONDITION_ID,KIND_OF_CONDITION,CONDITION_DATA_SET_ID,CHANNEL_ID,AGGREGATED_COND_DATA_SET_ID,KIND_OF_PART_ID,KIND_OF_PART,PART_ID,PART_BARCODE,PART_SERIAL_NUMBER,PART_NAME_LABEL,VTH_V
9410331,9160,"Tracker Halfmoon TC Parameters",824875,,824874,7400,"2S Halfmoon E",28432,34332_044_2-S_HM_EE,,34332_044_2-S_HM_EE,4.106
9441678,9160,"Tracker Halfmoon TC Parameters",826327,,826326,7400,"2S Halfmoon E",28432,34332_044_2-S_HM_EE,,34332_044_2-S_HM_EE,4.132
9410336,9160,"Tracker Halfmoon TC Parameters",825082,,825081,7420,"2S Halfmoon W",28435,34332_044_2-S_HM_WW,,34332_044_2-S_HM_WW,3.675
9441662,9160,"Tracker Halfmoon TC Parameters",825463,,825462,7420,"2S Halfmoon W",28435,34332_044_2-S_HM_WW,,34332_044_2-S_HM_WW,4.098
9441671,9160,"Tracker Halfmoon TC Parameters",825871,,825870,7400,"2S Halfmoon E",28448,34332_049_2-S_HM_EE,,34332_049_2-S_HM_EE,4.085
9441674,9160,"Tracker Halfmoon TC Parameters",825991,,825990,7400,"2S Halfmoon E",28448,34332_049_2-S_HM_EE,,34332_049_2-S_HM_EE,4.074
9441676,9160,"Tracker Halfmoon TC Parameters",826090,,826089,7420,"2S Halfmoon W",28451,34332_049_2-S_HM_WW,,34332_049_2-S_HM_WW,4.084
9410338,9160,"Tracker Halfmoon TC Parameters",825388,,825387,7420,"2S Halfmoon W",28451,34332_049_2-S_HM_WW,,34332_049_2-S_HM_WW,3.826
9441666,9160,"Tracker Halfmoon TC Parameters",825643,,825642,7400,"2S Halfmoon E",28320,34332_011_2-S_HM_EE,,34332_011_2-S_HM_EE,4.054
9441673,9160,"Tracker Halfmoon TC Parameters",825934,,825933,7400,"2S Halfmoon E",28320,34332_011_2-S_HM_EE,,34332_011_2-S_HM_EE,4.088
9410322,9160,"Tracker Halfmoon TC Parameters",824416,,824415,7420,"2S Halfmoon W",28323,34332_011_2-S_HM_WW,,34332_011_2-S_HM_WW,4.058
9441661,9160,"Tracker Halfmoon TC Parameters",825421,,825420,7420,"2S Halfmoon W",28323,34332_011_2-S_HM_WW,,34332_011_2-S_HM_WW,3.931
21936172,9160,"Tracker Halfmoon TC Parameters",2050247,,2050246,7480,"PS-s Halfmoon E",26200,34252_001_PSS_HM_EE,,34252_001_PSS_HM_EE,4.336
21936166,9160,"Tracker Halfmoon TC Parameters",2049902,,2049901,7480,"PS-s Halfmoon E",26200,34252_001_PSS_HM_EE,,34252_001_PSS_HM_EE,4.378
21886100,9160,"Tracker Halfmoon TC Parameters",2047415,,2047414,7500,"PS-s Halfmoon W",26205,34252_001_PSS_HM_WW,,34252_001_PSS_HM_WW,4.261
21841831,9160,"Tracker Halfmoon TC Parameters",2046530,,2046529,7500,"PS-s Halfmoon W",26205,34252_001_PSS_HM_WW,,34252_001_PSS_HM_WW,4.435
