batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,ISURF_PAMPR
34332,2S,WW,Perugia,Left,20.0,20.0,3.706
34332,2S,EE,Perugia,Right,20.0,20.0,3.805
34332,2S,EE,Perugia,Left,20.0,20.0,3.952
34332,2S,WW,Perugia,Right,20.0,20.0,4.131
34332,2S,WW,Perugia,Left,20.0,20.0,3.93
34346,2S,EE,Perugia,Right,20.0,20.0,4.577
34346,2S,EE,Perugia,Left,20.0,20.0,4.642
34346,2S,WW,Perugia,Right,20.0,20.0,4.612
34346,2S,WW,Perugia,Left,20.0,20.0,4.352
34346,2S,WW,Perugia,Left,20.0,20.0,4.352
34346,2S,EE,Perugia,Right,20.0,20.0,4.431
34346,2S,EE,Perugia,Left,20.0,20.0,4.728
34346,2S,WW,Perugia,Right,20.0,20.0,4.689
34346,2S,WW,Perugia,Left,20.0,20.0,4.45
34346,2S,EE,Perugia,Left,20.0,20.0,4.819
34346,2S,EE,Perugia,Right,20.0,20.0,4.548
34346,2S,WW,Perugia,Left,20.0,20.0,4.427
34346,2S,WW,Perugia,Right,20.0,20.0,4.64
34346,2S,WW,Perugia,Left,20.0,20.0,4.427
34346,2S,EE,Perugia,Left,20.0,20.0,4.629
34346,2S,EE,Perugia,Right,20.0,20.0,4.603
34346,2S,WW,Perugia,Left,20.0,20.0,4.45
34346,2S,EE,Perugia,Left,20.0,20.0,4.871
34346,2S,EE,Perugia,Right,20.0,20.0,4.82
34346,2S,WW,Perugia,Left,20.0,20.0,4.606
34346,2S,WW,Perugia,Right,20.0,20.0,4.716
34346,2S,EE,Perugia,Left,20.0,20.0,4.775
34346,2S,EE,Perugia,Right,20.0,20.0,4.7
34346,2S,WW,Perugia,Left,20.0,20.0,4.765
34346,2S,WW,Perugia,Right,20.0,20.0,4.858
34346,2S,EE,Perugia,Right,20.0,20.0,3.981
34346,2S,EE,Perugia,Left,20.0,20.0,4.111
34346,2S,WW,Perugia,Right,20.0,20.0,3.886
34346,2S,WW,Perugia,Left,20.0,20.0,3.678
34346,2S,WW,Perugia,Right,20.0,20.0,3.886
34346,2S,WW,Perugia,Right,20.0,20.0,3.886
34346,2S,WW,Perugia,Left,20.0,20.0,3.678
34346,2S,EE,Perugia,Left,20.0,20.0,4.491
34346,2S,EE,Perugia,Right,20.0,20.0,4.33
34346,2S,WW,Perugia,Right,20.0,20.0,4.317
34346,2S,WW,Perugia,Left,20.0,20.0,4.085
34346,2S,EE,Perugia,Right,20.0,20.0,4.477
34346,2S,WW,Perugia,Right,20.0,20.0,4.534
34346,2S,WW,Perugia,Left,20.0,20.0,4.372
34346,2S,EE,Perugia,Left,20.0,20.0,4.576
34346,2S,EE,Perugia,Right,20.0,20.0,4.576
34346,2S,EE,Perugia,Left,20.0,20.0,4.73
34346,2S,WW,Perugia,Left,20.0,20.0,4.532
34346,2S,WW,Perugia,Right,20.0,20.0,4.766
34348,2S,EE,Perugia,Left,20.0,20.0,4.946
34348,2S,EE,Perugia,Left,20.0,20.0,4.979
34348,2S,WW,Perugia,Left,20.0,20.0,4.766
34348,2S,EE,Perugia,Left,20.0,20.0,5.027
34348,2S,WW,Perugia,Left,20.0,20.0,4.869
34348,2S,EE,Perugia,Left,20.0,20.0,5.201
34348,2S,EE,Perugia,Left,20.0,20.0,5.201
34348,2S,EE,Perugia,Left,20.0,20.0,5.201
34348,2S,WW,Perugia,Left,20.0,20.0,4.932
34348,2S,EE,Perugia,Left,20.0,20.0,5.237
34348,2S,WW,Perugia,Left,20.0,20.0,4.947
34348,2S,EE,Perugia,Left,20.0,20.0,4.944
34348,2S,EE,Perugia,Left,20.0,20.0,5.234
34348,2S,EE,Perugia,Left,20.0,20.0,5.383
34348,2S,WW,Perugia,Left,20.0,20.0,5.031
34348,2S,EE,Perugia,Left,20.0,20.0,5.148
34348,2S,EE,Perugia,Left,20.0,20.0,5.148
34348,2S,WW,Perugia,Left,20.0,20.0,4.969
34348,2S,EE,Perugia,Left,20.0,20.0,5.343
34348,2S,WW,Perugia,Left,20.0,20.0,5.011
34348,2S,EE,Perugia,Left,20.0,20.0,5.415
34348,2S,WW,Perugia,Left,20.0,20.0,5.156
34348,2S,EE,Perugia,Left,20.0,20.0,4.365
34348,2S,WW,Perugia,Left,20.0,20.0,4.198
34348,2S,EE,Perugia,Left,20.0,20.0,4.764
34348,2S,WW,Perugia,Left,20.0,20.0,4.549
34331,2S,EE,Brown,Left,20.0,20.126,4.556
34331,2S,EE,Brown,Right,20.0,20.099,4.449
34331,2S,WW,Brown,Right,20.0,20.047,4.558
34331,2S,WW,Brown,Left,20.0,20.099,4.46
34331,2S,EE,Brown,Right,20.0,20.006,4.421
34331,2S,WW,Brown,Right,20.0,20.056,4.577
34331,2S,EE,Brown,Right,20.0,20.121,4.502
34331,2S,WW,Brown,Right,20.0,20.065,4.565
34331,2S,EE,Brown,Right,20.0,20.025,4.271
34331,2S,WW,Brown,Right,20.0,20.072,4.402
34331,2S,EE,Brown,Right,20.0,20.133,4.372
34331,2S,WW,Brown,Right,20.0,20.072,4.441
34331,2S,EE,Brown,Right,20.0,20.012,4.316
34331,2S,WW,Brown,Right,20.0,20.047,4.38
34331,2S,EE,Brown,Right,20.0,20.1,4.336
34331,2S,WW,Brown,Right,20.0,20.041,4.432
34331,2S,EE,Brown,Right,20.0,20.005,4.397
34331,2S,WW,Brown,Right,20.0,20.019,4.521
34331,2S,EE,Brown,Right,20.0,20.079,4.465
34331,2S,WW,Brown,Right,20.0,20.026,4.474
34331,2S,EE,Brown,Right,20.0,20.002,4.378
34331,2S,WW,Brown,Right,20.0,20.004,4.449
34331,2S,EE,Brown,Right,20.0,20.003,4.355
34331,2S,WW,Brown,Right,20.0,20.008,4.393
34331,2S,EE,Brown,Right,20.0,20.001,3.83
34331,2S,WW,Brown,Right,20.0,20.001,3.935
34331,2S,EE,Brown,Right,20.0,20.003,3.822
34331,2S,WW,Brown,Right,20.0,20.001,3.94
34331,2S,EE,Brown,Right,20.0,20.006,3.84
34331,2S,WW,Brown,Right,20.0,20.068,4.148
34331,2S,EE,Brown,Right,20.0,20.138,4.134
34331,2S,WW,Brown,Right,20.0,20.069,4.204
34331,2S,EE,Brown,Right,20.0,20.008,3.915
34331,2S,WW,Brown,Right,20.0,20.06,4.044
34331,2S,EE,Brown,Right,20.0,20.122,4.111
34331,2S,WW,Brown,Right,20.0,20.058,4.191
34331,2S,EE,Brown,Right,20.0,20.019,4.073
34331,2S,WW,Brown,Right,20.0,20.035,4.16
34331,2S,EE,Brown,Right,20.0,20.106,4.122
34331,2S,WW,Brown,Right,20.0,20.052,4.275
34340,PSS,EE,Brown,Right,20.0,20.003,4.243
34340,PSS,WW,Brown,Right,20.0,20.007,4.256
34340,PSS,EE,Brown,Right,20.0,20.049,4.243
34340,PSS,WW,Brown,Right,20.0,20.004,4.289
34340,PSS,EE,Brown,Right,20.0,20.001,4.135
34340,PSS,WW,Brown,Right,20.0,20.005,4.289
34340,PSS,EE,Brown,Right,20.0,20.029,4.244
34340,PSS,WW,Brown,Right,20.0,20.002,4.246
34340,PSS,EE,Brown,Right,20.0,20.001,4.252
34340,PSS,WW,Brown,Right,20.0,20.008,4.366
34340,PSS,EE,Brown,Right,20.0,20.056,4.289
34340,PSS,WW,Brown,Right,20.0,20.007,4.399
34340,PSS,EE,Brown,Right,20.0,20.004,4.272
34340,PSS,WW,Brown,Right,20.0,20.005,4.385
34340,PSS,EE,Brown,Right,20.0,20.05,4.39
34340,PSS,WW,Brown,Right,20.0,20.013,4.394
34340,PSS,EE,Brown,Right,20.0,20.003,4.269
34340,PSS,WW,Brown,Right,20.0,20.008,4.386
34340,PSS,EE,Brown,Right,20.0,20.055,4.391
34340,PSS,WW,Brown,Right,20.0,20.008,4.421
34340,PSS,EE,Brown,Right,20.0,20.002,3.888
34340,PSS,WW,Brown,Right,20.0,20.005,3.981
34340,PSS,EE,Brown,Right,20.0,20.082,3.985
34340,PSS,WW,Brown,Right,20.0,20.018,3.908
34340,PSS,EE,Brown,Right,20.0,20.001,3.853
34340,PSS,WW,Brown,Right,20.0,20.003,4.022
34340,PSS,EE,Brown,Right,20.0,20.05,3.952
34340,PSS,WW,Brown,Right,20.0,20.009,4.016
34340,PSS,EE,Brown,Right,20.0,20.001,4.035
34340,PSS,WW,Brown,Right,20.0,20.006,4.046
34340,PSS,EE,Brown,Right,20.0,20.06,4.035
34340,PSS,WW,Brown,Right,20.0,20.016,4.109
34340,PSS,EE,Brown,Right,20.0,20.004,4.048
34254,PSS,EE,Brown,Right,20.0,20.004,4.206
34254,PSS,WW,Brown,Right,20.0,20.008,4.247
34254,PSS,EE,Brown,Right,20.0,20.063,4.098
34254,PSS,WW,Brown,Right,20.0,20.012,4.206
34254,PSS,EE,Brown,Right,20.0,20.005,4.166
34254,PSS,WW,Brown,Right,20.0,20.013,4.176
34254,PSS,EE,Brown,Right,20.0,20.068,4.21
34254,PSS,WW,Brown,Right,20.0,20.018,4.271
34254,PSS,EE,Brown,Right,20.0,20.008,4.174
34254,PSS,WW,Brown,Right,20.0,20.03,4.251
34254,PSS,EE,Brown,Right,20.0,20.078,4.208
34254,PSS,WW,Brown,Right,20.0,20.02,4.34
34254,PSS,EE,Brown,Right,20.0,20.005,4.249
34254,PSS,WW,Brown,Right,20.0,20.003,4.292
34254,PSS,EE,Brown,Right,20.0,20.009,4.23
34254,PSS,WW,Brown,Right,20.0,20.003,4.328
34254,PSS,EE,Brown,Right,20.0,20.003,4.186
34254,PSS,WW,Brown,Right,20.0,20.003,4.347
34254,PSS,EE,Brown,Right,20.0,20.008,4.263
34254,PSS,WW,Brown,Right,20.0,20.003,4.338
34254,PSS,EE,Brown,Right,20.0,20.004,4.268
34254,PSS,WW,Brown,Right,20.0,20.002,4.454
34254,PSS,EE,Brown,Right,20.0,20.011,4.342
34254,PSS,WW,Brown,Right,20.0,19.977,4.4
34254,PSS,EE,Brown,Right,20.0,20.001,4.431
34254,PSS,WW,Brown,Right,20.0,20.001,4.452
34254,PSS,EE,Brown,Right,20.0,20.008,4.394
34254,PSS,WW,Brown,Right,20.0,20.002,4.512
