batch_number,Average,std
34252,-1.9145384615384615,0.055826924960344235
34254,-2.4006363636363637,0.06716104570810405
34331,-2.4146052631578945,0.0496079437152824
34332,-1.960964285714286,0.13023865705775606
34340,-2.434675,0.04262801985693305
34341,-2.6453499999999996,0.09511168873137196
34343,-2.4239,0.07137829879215053
34346,-2.1483384615384615,0.0637123116347708
34348,-1.709625,0.11163535339514796
34352,-1.6187777777777779,0.008333333333333304
34353,-2.419125,0.07020465474872085
34359,-2.295892857142857,0.07053517078351972
35494,5.0,0.0
35495,5.0,0.0
35500,-4.26375,0.5255043156000583
35501,-3.689875,0.61182057068579
35717,-2.1765,0.08512610965769861
35718,-2.21,0.10075855156901439
35722,-2.1546250000000002,0.07364380974858464
35952,-2.46675,0.10257227417080793
35963,-2.4174374999999997,0.06721802213692375
36238,-2.424166666666667,0.06316044984198882
36245,-2.033478260869565,0.15865539258669373
36246,-2.212375,0.08476174592012933
36696,-2.509375,0.09912139022431009
36697,-1.7815652173913044,0.1582483164026359
36702,-1.931,0.05828436039510642
36703,-2.289,0.0951154423236369
36704,-1.9508,0.1102803324448106
36705,-0.8832333333333333,2.6784702876099256
36706,-2.3196666666666665,0.11429377352536178
36795,-2.43725,0.08011375840462293
36796,-2.16675,0.07755504957309808
36797,-2.511,0.09820823357976217
36798,-2.2638,0.08370742699028157
36799,-2.5674,0.09290284135070616
37083,-2.4421000000000004,0.1064325429880192
37084,-3.1552000000000002,0.07815475364455701
37085,-3.0384871794871797,0.12554279450594394
37086,-0.4085769230769231,3.3160795796060967
37087,-2.35075,0.08016545390628065
37088,-2.068,0.13940280792416937
37398,-2.486125,0.0472060453150411
37399,-2.268125,0.0790667665421356
37400,-5.3708888888888895,2.5494749132582837
37401,-2.3320000000000003,0.06949820141557626
37402,-2.194,1.3626125008916536
37403,-2.5328285714285714,0.09091026141339692
37406,-2.4438750000000002,0.07131907679075572
37407,-2.573625,0.10624760501502413
37408,-2.7155,0.0907055676350686
37895,-2.4539999999999997,0.09797667360871444
37896,-2.252125,0.07864465743365637
37897,-2.608,0.06410928169929825
37900,-2.412625,0.06929509205281945
37901,-1.644,0.10041349294401321
37903,-1.852125,0.13233230628124903
37904,-2.708,0.03908033683673586
37905,-2.783,0.06179143806533247
38194,-2.461875,0.11814278084871138
38195,-2.253470588235294,0.1129890025882268
38196,-2.708,0.035071355833500455
38198,-1.8686875,1.8032255228590577
38199,-2.5098333333333334,0.08502803459251919
38201,-2.095625,0.06899704625057762
38202,-2.242125,0.12081560625302393
38212,-1.96825,0.13227541613726143
38213,-2.26624,0.10508658334916006
38693,-2.114625,0.07940841535109125
38694,-2.382375,0.08380749625523619
38695,-2.378875,0.07456624571480046
38696,-2.4471,0.08665057542926208
38711,-2.483375,0.06319691448164212
38713,-2.44775,0.0637444675470519
38714,-2.2445,0.0780864905089224
38715,-2.348,0.07317786550590279
38716,-2.1958333333333333,0.0765554393503011
