batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,S0_CMSEC
34252,PSS,EE,Brown,Right,20.0,20.005,1.471
34252,PSS,EE,Brown,Left,20.0,20.031,1.612
34252,PSS,WW,Brown,Right,20.0,20.005,1.639
34252,PSS,EE,Brown,Left,20.0,20.123,1.533
34252,PSS,EE,Brown,Right,20.0,20.065,1.535
34252,PSS,WW,Brown,Right,20.0,20.004,1.522
34252,PSS,WW,Brown,Left,20.0,20.022,1.535
34252,PSS,EE,Brown,Right,20.0,20.002,1.501
34252,PSS,WW,Brown,Left,20.0,20.032,1.534
34252,PSS,WW,Brown,Right,20.0,20.002,1.608
34252,PSS,EE,Brown,Left,20.0,20.055,1.583
34252,PSS,EE,Brown,Right,20.0,20.009,1.572
34252,PSS,WW,Brown,Right,20.0,20.002,1.632
34252,PSS,WW,Brown,Left,20.0,20.042,1.571
34252,PSS,EE,Brown,Left,20.0,20.085,1.6
34252,PSS,EE,Brown,Right,20.0,20.014,1.548
34252,PSS,WW,Brown,Right,20.0,20.043,1.602
34252,PSS,WW,Brown,Left,20.0,20.104,1.577
34252,PSS,EE,Brown,Right,20.0,20.085,1.467
34252,PSS,EE,Brown,Left,20.0,20.073,1.612
34252,PSS,WW,Brown,Left,20.0,20.081,1.606
34252,PSS,WW,Brown,Right,20.0,20.045,1.571
34252,PSS,EE,Brown,Left,20.0,20.003,1.53
34252,PSS,WW,Brown,Left,20.0,20.034,1.57
34252,PSS,WW,Brown,Right,20.0,20.05,1.578
34252,PSS,EE,Brown,Left,20.0,20.082,1.605
34252,PSS,EE,Brown,Right,20.0,20.089,1.54
34252,PSS,WW,Brown,Right,20.0,20.032,1.614
34252,PSS,EE,Brown,Left,20.0,20.116,1.687
34252,PSS,EE,Brown,Right,20.0,20.051,1.547
34252,PSS,WW,Brown,Right,20.0,20.054,1.628
34252,PSS,WW,Brown,Left,20.0,20.127,1.584
34252,PSS,EE,Brown,Right,20.0,20.099,1.482
34252,PSS,EE,Brown,Left,20.0,20.123,1.644
34252,PSS,WW,Brown,Right,20.0,20.056,1.546
34252,PSS,WW,Brown,Left,20.0,20.103,1.589
34252,PSS,EE,Brown,Left,20.0,20.067,1.576
34252,PSS,EE,Brown,Right,20.0,20.008,1.564
34252,PSS,WW,Brown,Right,20.0,20.025,1.619
34252,PSS,WW,Brown,Left,20.0,20.069,1.638
34252,PSS,EE,Brown,Right,20.0,20.063,1.615
34252,PSS,EE,Brown,Left,20.0,20.064,1.621
34252,PSS,WW,Brown,Left,20.0,20.062,1.602
34252,PSS,WW,Brown,Right,20.0,20.022,1.689
34252,PSS,EE,Brown,Right,20.0,20.005,1.516
34252,PSS,EE,Brown,Left,20.0,20.045,1.602
34252,PSS,WW,Brown,Right,20.0,20.014,1.489
34252,PSS,WW,Brown,Left,20.0,20.059,1.588
34252,PSS,EE,Brown,Right,20.0,20.05,1.632
34252,PSS,EE,Brown,Left,20.0,20.033,1.653
34252,PSS,WW,Brown,Left,20.0,20.032,1.607
34252,PSS,WW,Brown,Right,20.0,20.009,1.574
34332,2S,WW,Perugia,Right,20.0,20.0,1.313
34332,2S,WW,Perugia,Left,20.0,20.0,1.259
34332,2S,WW,Perugia,Left,20.0,20.0,1.259
34332,2S,WW,Perugia,Left,20.0,20.0,0.879
34332,2S,WW,Perugia,Left,20.0,20.0,0.879
34332,2S,EE,Perugia,Right,20.0,20.0,1.278
34332,2S,EE,Perugia,Left,20.0,20.0,1.336
34332,2S,EE,Perugia,Left,20.0,20.0,0.933
34332,2S,WW,Perugia,Left,20.0,20.0,1.299
34332,2S,WW,Perugia,Right,20.0,20.0,1.323
34332,2S,WW,Perugia,Left,20.0,20.0,0.907
34332,2S,WW,Perugia,Right,20.0,20.0,1.389
34332,2S,WW,Perugia,Left,20.0,20.0,1.324
34332,2S,WW,Perugia,Left,20.0,20.0,0.925
34332,2S,EE,Perugia,Right,20.0,20.0,1.287
34332,2S,EE,Perugia,Left,20.0,20.0,1.348
34332,2S,EE,Perugia,Left,20.0,20.0,0.942
