batch_number,Type,VFB_V,Location,KIND_OF_HM_SET_ID
34254,PSS,-2.831,Brown,Right
34254,PSS,-2.899,Brown,Right
34254,PSS,-2.821,Brown,Right
34254,PSS,-2.855,Brown,Right
34254,PSS,-2.84,Brown,Right
34254,PSS,-2.94,Brown,Right
34254,PSS,-2.841,Brown,Right
34254,PSS,-2.917,Brown,Right
34254,PSS,-2.837,Brown,Right
34254,PSS,-2.916,Brown,Right
34254,PSS,-2.823,Brown,Right
34254,PSS,-2.926,Brown,Right
34331,2-S,-2.954,Brown,Right
34331,2-S,-3.039,Brown,Right
34331,2-S,-2.965,Brown,Right
34331,2-S,-3.039,Brown,Right
34331,2-S,-3.03,Brown,Right
34331,2-S,-3.005,Brown,Right
34331,2-S,-2.927,Brown,Left
34331,2-S,-3.054,Brown,Right
34331,2-S,-2.972,Brown,Right
34331,2-S,-2.945,Brown,Right
34331,2-S,-3.024,Brown,Right
34331,2-S,-2.954,Brown,Right
34331,2-S,-3.036,Brown,Right
34331,2-S,-3.047,Brown,Right
34331,2-S,-2.946,Brown,Right
34331,2-S,-2.947,Brown,Right
34331,2-S,-3.029,Brown,Right
34331,2-S,-3.032,Brown,Right
34331,2-S,-2.962,Brown,Right
34331,2-S,-3.01,Brown,Right
34331,2-S,-2.925,Brown,Right
34331,2-S,-3.036,Brown,Right
34331,2-S,-2.971,Brown,Right
34331,2-S,-2.975,Brown,Right
34331,2-S,-3.051,Brown,Right
34331,2-S,-2.893,Brown,Left
34331,2-S,-2.965,Brown,Left
34331,2-S,-2.952,Brown,Right
34331,2-S,-3.049,Brown,Right
34331,2-S,-2.986,Brown,Right
34331,2-S,-3.05,Brown,Right
34331,2-S,-2.972,Brown,Right
34331,2-S,-3.051,Brown,Right
34331,2-S,-3.031,Brown,Right
34331,2-S,-2.957,Brown,Right
34331,2-S,-2.774,Brown,Right
34331,2-S,-2.868,Brown,Right
34331,2-S,-2.85,Brown,Left
34331,2-S,-2.767,Brown,Left
34331,2-S,-2.893,Brown,Right
34331,2-S,-2.82,Brown,Right
34331,2-S,-2.995,Brown,Right
34331,2-S,-2.906,Brown,Right
34331,2-S,-2.937,Brown,Right
34331,2-S,-2.859,Brown,Right
34331,2-S,-2.893,Brown,Right
34331,2-S,-2.974,Brown,Right
34331,2-S,-2.844,Brown,Right
34331,2-S,-2.915,Brown,Right
34331,2-S,-3.009,Brown,Right
34331,2-S,-2.881,Brown,Right
34331,2-S,-2.799,Brown,Left
34331,2-S,-2.863,Brown,Left
34331,2-S,-2.846,Brown,Left
34331,2-S,-3.008,Brown,Right
34331,2-S,-2.923,Brown,Right
34331,2-S,-2.918,Brown,Right
34331,2-S,-2.961,Brown,Right
34331,2-S,-2.905,Brown,Left
34331,2-S,-2.893,Brown,Left
34331,2-S,-2.957,Brown,Right
34331,2-S,-3.016,Brown,Left
34331,2-S,-2.834,Brown,Left
34332,2-S,-2.991,Perugia,Left
34332,2-S,-3.005,Perugia,Left
34332,2-S,-3.015,Perugia,Right
34332,2-S,-3.021,Perugia,Right
34332,2-S,-2.976,Perugia,Left
34332,2-S,-2.984,Perugia,Left
34332,2-S,-2.984,Perugia,Left
34332,2-S,-2.983,Perugia,Left
34332,2-S,-2.977,Perugia,Left
34332,2-S,-2.984,Perugia,Left
34332,2-S,-2.996,Perugia,Right
34332,2-S,-2.994,Perugia,Right
34332,2-S,-2.99,Perugia,Right
34332,2-S,2.244,Perugia,Right
34332,2-S,-3.008,Perugia,Left
34332,2-S,-3.015,Perugia,Left
34332,2-S,-3.012,Perugia,Right
34332,2-S,-3.012,Perugia,Right
34332,2-S,-3.022,Perugia,Right
34332,2-S,-3.03,Perugia,Right
34332,2-S,-3.036,Perugia,Right
34332,2-S,-3.049,Perugia,Right
34332,2-S,-3.06,Perugia,Right
34332,2-S,-3.049,Perugia,Right
34332,2-S,-2.974,Perugia,Right
34332,2-S,-2.983,Perugia,Right
34332,2-S,-2.977,Perugia,Right
34332,2-S,-2.974,Perugia,Left
34332,2-S,-2.961,Perugia,Left
34332,2-S,-2.974,Perugia,Right
34332,2-S,-2.98,Perugia,Right
34332,2-S,-2.98,Perugia,Right
34332,2-S,-2.966,Perugia,Right
34332,2-S,-2.979,Perugia,Right
34332,2-S,-2.993,Perugia,Right
34332,2-S,-2.981,Perugia,Right
34332,2-S,-2.995,Perugia,Right
34332,2-S,-3.01,Perugia,Left
34332,2-S,-3.001,Perugia,Left
34340,PSS,-2.967,Brown,Right
34340,PSS,-2.843,Brown,Right
34340,PSS,-2.932,Brown,Right
34340,PSS,-2.866,Brown,Right
34340,PSS,-2.952,Brown,Right
34340,PSS,-2.901,Brown,Right
34340,PSS,-2.934,Brown,Right
34340,PSS,-2.882,Brown,Right
34340,PSS,-2.941,Brown,Right
34340,PSS,-2.872,Brown,Right
34340,PSS,-2.949,Brown,Right
34340,PSS,-2.884,Brown,Right
34340,PSS,-2.946,Brown,Right
34340,PSS,-2.878,Brown,Right
34340,PSS,-2.881,Brown,Left
34340,PSS,-0.466,Brown,Left
34340,PSS,-2.862,Brown,Right
34340,PSS,-2.939,Brown,Right
34340,PSS,-2.892,Brown,Right
34340,PSS,-2.821,Brown,Left
34340,PSS,-2.018,Brown,Left
34340,PSS,-2.793,Brown,Right
34340,PSS,-2.897,Brown,Right
34340,PSS,-2.781,Brown,Right
34340,PSS,-2.863,Brown,Right
34340,PSS,-2.784,Brown,Right
34340,PSS,-2.854,Brown,Right
34340,PSS,-2.804,Brown,Right
34340,PSS,-2.901,Brown,Right
34340,PSS,-2.806,Brown,Right
34340,PSS,-2.852,Brown,Right
34340,PSS,-2.857,Brown,Right
34340,PSS,-2.881,Brown,Right
34340,PSS,-2.838,Brown,Right
34340,PSS,-2.934,Brown,Right
34340,PSS,-2.836,Brown,Right
34340,PSS,-2.861,Brown,Right
34340,PSS,-2.801,Brown,Right
34340,PSS,-2.935,Brown,Right
34340,PSS,-2.808,Brown,Left
34340,PSS,-2.944,Brown,Right
34341,PSS,-3.062,Brown,Right
34341,PSS,-3.011,Brown,Right
34341,PSS,-3.149,Brown,Right
34341,PSS,-3.101,Brown,Right
34341,PSS,-3.141,Brown,Right
34341,PSS,-3.0,Brown,Left
34341,PSS,-3.12,Brown,Right
34341,PSS,-3.083,Brown,Right
34341,PSS,-3.095,Brown,Right
34341,PSS,-3.103,Brown,Right
34341,PSS,-3.094,Brown,Right
34341,PSS,-3.0,Brown,Left
34341,PSS,-3.133,Brown,Right
34341,PSS,-3.116,Brown,Right
34341,PSS,-2.984,Brown,Left
34341,PSS,-3.065,Brown,Right
34341,PSS,-3.178,Brown,Right
34341,PSS,-3.128,Brown,Right
34341,PSS,-3.069,Brown,Right
34341,PSS,-3.162,Brown,Right
34341,PSS,-3.233,Brown,Right
34341,PSS,-3.153,Brown,Right
34341,PSS,-3.025,Brown,Left
34341,PSS,-3.144,Brown,Right
34341,PSS,-3.161,Brown,Right
34341,PSS,-3.042,Brown,Left
34341,PSS,-2.851,Brown,Left
34341,PSS,-2.823,Brown,Left
34341,PSS,-2.869,Brown,Left
34341,PSS,-2.955,Brown,Right
34341,PSS,-2.963,Brown,Right
34341,PSS,-2.989,Brown,Right
34341,PSS,-3.007,Brown,Right
34341,PSS,-2.941,Brown,Right
34341,PSS,-3.004,Brown,Right
34341,PSS,-3.043,Brown,Right
34341,PSS,-2.962,Brown,Right
34341,PSS,-2.91,Brown,Right
34341,PSS,-3.002,Brown,Right
34341,PSS,-2.92,Brown,Left
34343,PSS,-2.836,Brown,Right
34343,PSS,-2.967,Brown,Right
34343,PSS,-2.882,Brown,Right
34343,PSS,-2.906,Brown,Right
34343,PSS,-2.896,Brown,Right
34343,PSS,-2.95,Brown,Right
34343,PSS,-2.881,Brown,Right
34343,PSS,-2.95,Brown,Right
34343,PSS,-2.858,Brown,Right
34343,PSS,-2.953,Brown,Right
34343,PSS,-2.92,Brown,Left
34343,PSS,-2.981,Brown,Right
34343,PSS,-2.885,Brown,Right
34343,PSS,-2.948,Brown,Right
34343,PSS,-2.97,Brown,Right
34343,PSS,-3.019,Brown,Right
34343,PSS,-2.896,Brown,Right
34343,PSS,-2.872,Brown,Right
34343,PSS,-2.953,Brown,Right
34343,PSS,-2.95,Brown,Right
34343,PSS,-2.669,Brown,Right
34343,PSS,-2.761,Brown,Right
34343,PSS,-2.683,Brown,Right
34343,PSS,-2.76,Brown,Right
34343,PSS,-2.817,Brown,Right
34343,PSS,-2.813,Brown,Left
34343,PSS,-2.828,Brown,Left
34343,PSS,-2.652,Brown,Left
34343,PSS,-2.776,Brown,Right
34343,PSS,-2.64,Brown,Right
34343,PSS,-2.771,Brown,Right
34343,PSS,-2.817,Brown,Right
34343,PSS,-2.877,Brown,Right
34346,2-S,-3.05,Perugia,Left
34346,2-S,-3.058,Perugia,Left
34346,2-S,-3.13,Perugia,Left
34346,2-S,-3.067,Perugia,Left
34346,2-S,-3.118,Perugia,Right
34346,2-S,-3.168,Perugia,Right
34346,2-S,-3.138,Perugia,Right
34346,2-S,-3.209,Perugia,Right
34346,2-S,-3.147,Perugia,Right
34346,2-S,-3.122,Perugia,Right
34346,2-S,-3.116,Perugia,Right
34346,2-S,-3.227,Perugia,Right
34346,2-S,-3.209,Perugia,Right
34346,2-S,-3.188,Perugia,Right
34346,2-S,-3.179,Perugia,Left
34346,2-S,-3.164,Perugia,Right
34346,2-S,-3.148,Perugia,Right
34346,2-S,-3.262,Perugia,Right
34346,2-S,-3.138,Perugia,Right
34346,2-S,-3.247,Perugia,Left
34346,2-S,-3.249,Perugia,Left
34346,2-S,-3.36,Perugia,Left
34346,2-S,-3.23,Perugia,Left
34346,2-S,-3.121,Perugia,Left
34346,2-S,-3.099,Perugia,Left
34346,2-S,-3.079,Perugia,Right
34346,2-S,-3.138,Perugia,Right
34346,2-S,-3.096,Perugia,Left
34346,2-S,-3.127,Perugia,Left
34346,2-S,-3.099,Perugia,Right
34346,2-S,-3.186,Perugia,Right
34346,2-S,-3.107,Perugia,Right
34346,2-S,-3.094,Perugia,Right
34346,2-S,-3.097,Perugia,Right
34346,2-S,-3.168,Perugia,Right
34346,2-S,-3.018,Perugia,Right
34346,2-S,-3.035,Perugia,Right
34346,2-S,-3.064,Perugia,Right
34346,2-S,-3.031,Perugia,Left
34348,2-S,-2.586,Perugia,Left
34348,2-S,-2.486,Perugia,Left
34348,2-S,-2.296,Perugia,Left
34348,2-S,-2.57,Perugia,Left
34348,2-S,-2.518,Perugia,Left
34348,2-S,-2.589,Perugia,Left
34348,2-S,-2.64,Perugia,Left
34348,2-S,-2.555,Perugia,Left
34348,2-S,-2.53,Perugia,Left
34348,2-S,-2.818,Perugia,Left
34348,2-S,-2.497,Perugia,Left
34348,2-S,-2.592,Perugia,Left
34348,2-S,-2.739,Perugia,Left
34348,2-S,-2.57,Perugia,Left
34348,2-S,-2.688,Perugia,Left
34348,2-S,-2.526,Perugia,Left
34348,2-S,-2.609,Perugia,Left
34348,2-S,-2.609,Perugia,Left
34348,2-S,-2.742,Perugia,Left
34348,2-S,-2.631,Perugia,Left
34348,2-S,-2.525,Perugia,Left
34348,2-S,-2.521,Perugia,Left
34348,2-S,-2.438,Perugia,Left
34348,2-S,-2.339,Perugia,Left
34348,2-S,-2.368,Perugia,Left
34352,2-S,-2.359,Perugia,Left
34352,2-S,-2.359,Perugia,Left
34352,2-S,-2.359,Perugia,Left
34352,2-S,-2.359,Perugia,Left
34352,2-S,-2.359,Perugia,Left
34352,2-S,-2.359,Perugia,Left
34352,2-S,-2.359,Perugia,Left
34352,2-S,-2.359,Perugia,Left
34352,2-S,-2.359,Perugia,Left
34352,2-S,-2.359,Perugia,Left
34352,2-S,-2.359,Perugia,Left
34352,2-S,-2.359,Perugia,Left
34352,2-S,-2.521,Perugia,Left
34352,2-S,-2.456,Perugia,Left
34352,2-S,-2.621,Perugia,Left
34352,2-S,-2.403,Perugia,Left
34352,2-S,-2.623,Perugia,Left
34352,2-S,-2.548,Perugia,Left
34352,2-S,-2.579,Perugia,Left
34352,2-S,-2.685,Perugia,Left
34352,2-S,-2.759,Perugia,Left
34353,2-S,-2.762,Brown,Left
34353,2-S,-2.81,Brown,Right
34353,2-S,-2.843,Brown,Left
34353,2-S,-2.863,Brown,Right
34353,2-S,-2.956,Brown,Right
34353,2-S,-2.903,Brown,Right
34353,2-S,-2.968,Brown,Right
34353,2-S,-2.878,Brown,Left
34353,2-S,-2.97,Brown,Right
34353,2-S,-2.91,Brown,Right
34353,2-S,-2.991,Brown,Right
34353,2-S,-2.919,Brown,Right
34353,2-S,-2.779,Brown,Left
34353,2-S,-2.718,Brown,Left
34353,2-S,-2.767,Brown,Right
34353,2-S,-2.67,Brown,Left
34353,2-S,-2.782,Brown,Right
34353,2-S,-2.757,Brown,Right
34353,2-S,-2.764,Brown,Left
34353,2-S,-2.813,Brown,Right
34353,2-S,-2.758,Brown,Right
34353,2-S,-2.785,Brown,Right
34353,2-S,-2.764,Brown,Right
34353,2-S,-2.798,Brown,Right
34353,2-S,-2.801,Brown,Right
34353,2-S,-2.847,Brown,Right
34353,2-S,-2.789,Brown,Right
34353,2-S,-2.844,Brown,Right
34353,2-S,-2.86,Brown,Right
34353,2-S,-2.859,Brown,Right
34353,2-S,-2.876,Brown,Right
34353,2-S,-2.855,Brown,Right
34354,2-S,-3.098,Perugia,Left
34354,2-S,-3.065,Perugia,Left
34354,2-S,-1223.809,Perugia,Left
34354,2-S,-3.143,Perugia,Left
34354,2-S,-3.124,Perugia,Left
34354,2-S,-3.153,Perugia,Left
34354,2-S,-3.094,Perugia,Left
34354,2-S,-3.08,Perugia,Left
34354,2-S,-3.054,Perugia,Left
34354,2-S,-3.071,Perugia,Left
34354,2-S,-3.077,Perugia,Left
34354,2-S,-3.193,Perugia,Left
34354,2-S,-3.066,Perugia,Left
34354,2-S,-3.072,Perugia,Left
